date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2008-09-10,sh.000021,598.4600,613.4800,589.9800,601.8800,0.0000,1003960000,9848000000.0000,3,0.004529,1,0.000000,,,,,0,
2008-09-11,sh.000021,599.0800,600.4500,576.8500,578.2600,601.8800,1081210000,11053000000.0000,3,0.004878,1,-3.924369,,,,,0,-3.9243703063733593
2008-09-12,sh.000021,578.2300,585.0300,574.1800,577.7800,578.2600,868050000,8988000000.0000,3,0.003916,1,-0.083004,,,,,0,-0.08300764362052515
2008-09-16,sh.000021,565.6400,565.6400,543.6800,546.7100,577.7800,1699620000,15089000000.0000,3,0.007663,1,-5.377481,,,,,0,-5.377479317387235
2008-09-17,sh.000021,538.8000,545.7000,519.6400,521.2200,546.7100,1835910000,15346000000.0000,3,0.008278,1,-4.662445,,,,,0,-4.662435294763223
2008-09-18,sh.000021,504.5800,527.8700,487.8200,514.9400,521.2200,2560740000,19505000000.0000,3,0.011546,1,-1.204859,,,,,0,-1.204865507846964
2008-09-19,sh.000021,562.0400,562.9100,556.7600,562.9100,514.9400,1576200000,13638000000.0000,3,0.007107,1,9.315642,,,,,0,9.315648425059209
2008-09-22,sh.000021,609.5400,614.5600,585.4000,606.6200,562.9100,4839220000,48914000000.0000,3,0.021819,1,7.765011,,,,,0,7.765006839459243
2008-09-23,sh.000021,590.2000,605.9800,585.9300,589.4800,606.6200,4797580000,40813000000.0000,3,0.021596,1,-2.825495,,,,,0,-2.825492070818636
2008-09-24,sh.000021,574.4100,592.2500,566.5400,591.8000,589.4800,2527810000,21921000000.0000,3,0.011374,1,0.393568,,,,,0,0.393567211779855
2008-09-25,sh.000021,593.3600,627.0200,592.3400,616.1600,591.8000,3876450000,39461000000.0000,3,0.017443,1,4.116253,,,,,0,4.116255491720189
2008-09-26,sh.000021,619.0400,621.2000,603.7400,617.8600,616.1600,2766870000,31414000000.0000,3,0.012450,1,0.275904,,,,,0,0.2759023630225954
2008-10-06,sh.000021,608.6200,608.6200,583.3100,583.4100,617.8600,1983570000,19150000000.0000,3,0.008923,1,-5.575699,,,,,0,-5.575696759783777
2008-10-07,sh.000021,558.0800,584.9800,553.0800,573.5600,583.4100,2101280000,22601000000.0000,3,0.009452,1,-1.688345,,,,,0,-1.6883495312044694
2008-10-08,sh.000021,555.3500,563.8700,540.9500,547.9700,573.5600,1893320000,19170000000.0000,3,0.008517,1,-4.461613,,,,,0,-4.461608201408729
2008-10-09,sh.000021,557.5200,558.4500,539.4400,543.2900,547.9700,1613490000,16566000000.0000,3,0.007258,1,-0.854060,,,,,0,-0.8540613537237562
2008-10-10,sh.000021,519.9100,531.6100,512.3400,522.4700,543.2900,2030180000,17542000000.0000,3,0.009132,1,-3.832209,,,,,0,-3.832207476669902
2008-10-13,sh.000021,518.9800,551.2600,508.8000,551.0600,522.4700,2270940000,20970000000.0000,3,0.010215,1,5.472090,,,,,0,5.4720845215993075
2008-10-14,sh.000021,571.9200,573.4100,534.9600,535.2100,551.0600,2699580000,26961000000.0000,3,0.012143,1,-2.876270,,,,,0,-2.8762748158095097
