date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-01-04,sh.000058,3223.4870,3229.2240,3164.6790,3165.0350,0.0000,2980270400,35368120768.0000,3,0.003983,1,0.000000,,,,,0,
2010-01-05,sh.000058,3176.2620,3208.4650,3131.9460,3193.6610,3165.0350,3672400200,46074849284.0000,3,0.004908,1,0.904445,,,,,0,0.9044449745421623
2010-01-06,sh.000058,3185.0330,3205.8260,3163.1230,3163.7110,3193.6610,3376417300,44426323646.0000,3,0.004512,1,-0.937795,,,,,0,-0.9377952137061607
2010-01-07,sh.000058,3163.3550,3178.5790,3079.0360,3095.0680,3163.7110,3467375300,43502364001.0000,3,0.004634,1,-2.169699,,,,,0,-2.169698812565357
2010-01-08,sh.000058,3083.6150,3105.9820,3057.9670,3102.2880,3095.0680,2574878800,32739883026.0000,3,0.003441,1,0.233274,,,,,0,0.2332743577847074
2010-01-11,sh.000058,3221.9390,3221.9390,3087.4100,3101.7650,3102.2880,4153835000,49620016476.0000,3,0.005550,1,-0.016859,,,,,0,-0.01685852506280172
2010-01-12,sh.000058,3093.6620,3148.7360,3052.1280,3147.5470,3101.7650,4385112200,52659860122.0000,3,0.005859,1,1.475999,,,,,0,1.4759983428789702
2010-01-13,sh.000058,3066.7220,3090.8980,3019.5380,3024.4100,3147.5470,5566297300,66441614877.0000,3,0.007438,1,-3.912158,,,,,0,-3.9121576262403757
2010-01-14,sh.000058,3037.8840,3062.4050,3012.2400,3061.4310,3024.4100,3722594000,45703489862.0000,3,0.004974,1,1.224074,,,,,0,1.2240734556492106
2010-01-15,sh.000058,3060.0550,3090.3240,3037.7570,3071.3450,3061.4310,3166284600,39439505038.0000,3,0.004231,1,0.323835,,,,,0,0.32383548739134405
2010-01-18,sh.000058,3059.2320,3088.9860,3049.5520,3087.9290,3071.3450,3575788900,43092994857.0000,3,0.004778,1,0.539959,,,,,0,0.5399588779508635
