date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-02-03,sh.000064,2275.5500,2296.3220,2214.7350,2295.3130,0.0000,1787585600,20757931180.0000,3,0.011257,1,0.000000,,,,,0,
2010-02-04,sh.000064,2286.9510,2322.1890,2271.6410,2306.2140,2295.3130,1974757000,21899550019.0000,3,0.012436,1,0.474924,,,,,0,0.4749243349381871
2010-02-05,sh.000064,2263.8740,2291.7520,2251.2000,2269.6900,2306.2140,1888548700,21261802299.0000,3,0.011893,1,-1.583721,,,,,0,-1.5837211984664035
2010-02-08,sh.000064,2270.5500,2283.8590,2261.1910,2266.3080,2269.6900,1168172100,13893111907.0000,3,0.007357,1,-0.149007,,,,,0,-0.14900713313271696
2010-02-09,sh.000064,2263.8430,2282.0710,2259.7300,2272.9440,2266.3080,1034949100,11765208799.0000,3,0.006518,1,0.292811,,,,,0,0.29281103892322413
2010-02-10,sh.000064,2288.4890,2299.7050,2277.4110,2299.2490,2272.9440,957694000,11575970224.0000,3,0.006031,1,1.157310,,,,,0,1.1573096389528192
2010-02-11,sh.000064,2301.5130,2313.0620,2295.2370,2302.5390,2299.2490,1033467800,11811703044.0000,3,0.006508,1,0.143090,,,,,0,0.1430902003219492
2010-02-12,sh.000064,2306.6540,2322.8100,2303.3850,2320.2610,2302.5390,1055465700,12541213185.0000,3,0.006647,1,0.769672,,,,,0,0.7696720880731922
2010-02-22,sh.000064,2319.9000,2332.2090,2311.2590,2314.2130,2320.2610,1235726300,14229812988.0000,3,0.007781,1,-0.260660,,,,,0,-0.26066033088517626
2010-02-23,sh.000064,2312.0560,2323.3600,2278.8160,2322.8620,2314.2130,1319413200,16016986855.0000,3,0.008308,1,0.373734,,,,,0,0.37373396485111954
2010-02-24,sh.000064,2313.7010,2363.4860,2304.2790,2362.7570,2322.8620,1708551200,19595356703.0000,3,0.010758,1,1.717493,,,,,0,1.7174933336547848
2010-02-25,sh.000064,2365.3640,2384.9710,2361.9830,2383.1190,2362.7570,2001435300,23769045103.0000,3,0.012603,1,0.861790,,,,,0,0.861789849739103
2010-02-26,sh.000064,2379.3830,2396.8090,2371.4450,2383.0760,2383.1190,1712589400,21598493717.0000,3,0.010784,1,-0.001804,,,,,0,-0.001804358070245371
2010-03-01,sh.000064,2383.6410,2405.9640,2383.6410,2401.2850,2383.0760,1870983200,22081303798.0000,3,0.011781,1,0.764096,,,,,0,0.764096487061261
2010-03-02,sh.000064,2403.9110,2414.3710,2388.3410,2397.0430,2401.2850,1908101100,22441073366.0000,3,0.012015,1,-0.176655,,,,,0,-0.17665541574614085
2010-03-03,sh.000064,2399.6890,2432.4920,2393.9510,2432.0080,2397.0430,2568112000,30776012719.0000,3,0.016171,1,1.458672,,,,,0,1.4586722057134516
2010-03-04,sh.000064,2435.6030,2439.0970,2352.2450,2359.0970,2432.0080,2776979500,31966300223.0000,3,0.017486,1,-2.997975,,,,,0,-2.997975335607428
2010-03-05,sh.000064,2359.5840,2374.3810,2340.7540,2361.7840,2359.0970,1716954000,20212019997.0000,3,0.010807,1,0.113900,,,,,0,0.11389951324596304
2010-03-08,sh.000064,2367.2060,2380.4260,2361.1860,2375.2190,2361.7840,1422036500,16791413130.0000,3,0.008946,1,0.568850,,,,,0,0.5688496492481931
2010-03-09,sh.000064,2375.2530,2382.6120,2354.9600,2374.8830,2375.2190,1550399700,17585365177.0000,3,0.009753,1,-0.014146,,,,,0,-0.014146064005060577
2010-03-10,sh.000064,2374.7640,2379.1680,2333.2630,2347.9120,2374.8830,1525680200,17762841445.0000,3,0.009598,1,-1.135677,,,,,0,-1.1356769996669347
2010-03-11,sh.000064,2346.0860,2353.3540,2314.1350,2331.0340,2347.9120,1248088200,14702993087.0000,3,0.007851,1,-0.718851,,,,,0,-0.7188514731386708
2010-03-12,sh.000064,2330.6670,2337.0290,2297.3540,2300.7930,2331.0340,1165537000,13146535774.0000,3,0.007325,1,-1.297321,,,,,0,-1.2973212745931662
2010-03-15,sh.000064,2298.9520,2303.8310,2268.2190,2278.4560,2300.7930,1122452500,12677419172.0000,3,0.007054,1,-0.970839,,,,,0,-0.9708391845767994
2010-03-16,sh.000064,2278.7940,2290.6600,2265.4230,2288.0950,2278.4560,864575100,10037835598.0000,3,0.005434,1,0.423050,,,,,0,0.42304964414496826
2010-03-17,sh.000064,2293.9950,2336.4990,2291.6720,2336.3120,2288.0950,1438914000,16684489895.0000,3,0.009037,1,2.107299,,,,,0,2.107298866524343
2010-03-18,sh.000064,2340.9790,2350.0140,2324.5850,2333.6410,2336.3120,1625061300,18312249351.0000,3,0.010207,1,-0.114325,,,,,0,-0.1143254839250818
2010-03-19,sh.000064,2335.5400,2345.5210,2320.0500,2344.9920,2333.6410,1379680100,16168659133.0000,3,0.008665,1,0.486407,,,,,0,0.48640729229560975
2010-03-22,sh.000064,2351.1770,2362.9730,2346.2190,2361.9710,2344.9920,1746571200,20347720413.0000,3,0.010970,1,0.724054,,,,,0,0.7240536428269273
2010-03-23,sh.000064,2363.1480,2364.9640,2339.7240,2342.2430,2361.9710,1531101600,18365260589.0000,3,0.009616,1,-0.835235,,,,,0,-0.8352346408994848
2010-03-24,sh.000064,2345.1890,2353.8650,2342.1940,2347.9980,2342.2430,1429805100,17490959622.0000,3,0.008980,1,0.245705,,,,,0,0.24570465148150422
2010-03-25,sh.000064,2345.1900,2345.1900,2314.6500,2316.9690,2347.9980,1538919000,19134946884.0000,3,0.009666,1,-1.321509,,,,,0,-1.3215087917451407
2010-03-26,sh.000064,2314.3800,2353.0750,2311.8570,2347.6950,2316.9690,1468104500,18791692015.0000,3,0.009221,1,1.326129,,,,,0,1.326129093656414
