date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-08-18,sh.000074,5179.7340,5195.6500,5097.9140,5151.2260,0.0000,311541100,4180629442.0000,3,0.017263,1,0.000000,,,,,0,
2010-08-19,sh.000074,5159.0030,5202.2390,5134.9700,5163.4280,5151.2260,336514000,5022672155.0000,3,0.018647,1,0.236876,,,,,0,0.23687564863199562
2010-08-20,sh.000074,5138.1610,5144.2460,5007.9110,5026.0600,5163.4280,358027000,4893537025.0000,3,0.019839,1,-2.660403,,,,,0,-2.6604031275346385
2010-08-23,sh.000074,5007.6270,5051.8880,5004.9320,5038.9820,5026.0600,238801400,3078728897.0000,3,0.013232,1,0.257100,,,,,0,0.2570999948269481
2010-08-24,sh.000074,5029.1240,5131.2590,5003.7740,5105.3570,5038.9820,324170600,3840669689.0000,3,0.017963,1,1.317230,,,,,0,1.3172303453356182
2010-08-25,sh.000074,5073.0970,5097.2600,4998.3390,5000.0370,5105.3570,271182000,3459565768.0000,3,0.015027,1,-2.062931,,,,,0,-2.062931152512937
2010-08-26,sh.000074,5009.1510,5055.8690,4991.1830,5042.1600,5000.0370,200777600,2630696955.0000,3,0.011125,1,0.842454,,,,,0,0.8424537658421327
2010-08-27,sh.000074,5044.1630,5114.6720,5040.5560,5113.6980,5042.1600,210014400,2772980819.0000,3,0.011637,1,1.418797,,,,,0,1.418796706173553
2010-08-30,sh.000074,5141.5900,5281.0760,5141.4800,5257.6820,5113.6980,382460300,5657006371.0000,3,0.021193,1,2.815653,,,,,0,2.8156531731048595
2010-08-31,sh.000074,5251.7180,5311.9410,5231.4070,5299.7550,5257.6820,325588100,4620209604.0000,3,0.018041,1,0.800219,,,,,0,0.8002195644392307
2010-09-01,sh.000074,5304.3090,5326.6380,5153.4380,5221.5600,5299.7550,320798900,4604273190.0000,3,0.017776,1,-1.475446,,,,,0,-1.4754455630496044
2010-09-02,sh.000074,5261.6610,5350.0610,5242.3560,5333.9930,5221.5600,351704500,5331426895.0000,3,0.019489,1,2.153245,,,,,0,2.1532453902665116
2010-09-03,sh.000074,5339.4820,5438.6000,5325.8060,5425.0960,5333.9930,485352700,6649663079.0000,3,0.026894,1,1.707970,,,,,0,1.7079699954611671
2010-09-06,sh.000074,5461.4160,5488.1800,5395.4430,5432.4720,5425.0960,379110300,5806576769.0000,3,0.021007,1,0.135961,,,,,0,0.1359607276995689
2010-09-07,sh.000074,5444.9660,5464.5600,5366.3370,5463.9130,5432.4720,305108600,4440203030.0000,3,0.016907,1,0.578760,,,,,0,0.5787604611675823
2010-09-08,sh.000074,5441.2190,5522.8000,5420.7500,5511.9630,5463.9130,304336600,4186501819.0000,3,0.016864,1,0.879406,,,,,0,0.8794063887913373
2010-09-09,sh.000074,5528.7270,5554.6110,5442.0430,5457.6370,5511.9630,406362400,5701318582.0000,3,0.022517,1,-0.985602,,,,,0,-0.9856016812884949
2010-09-10,sh.000074,5455.6080,5588.7410,5412.7310,5570.4250,5457.6370,400733100,5717504463.0000,3,0.022205,1,2.066609,,,,,0,2.0666086806433004
2010-09-13,sh.000074,5582.9600,5650.6270,5572.2400,5632.0090,5570.4250,388738500,5716063980.0000,3,0.021541,1,1.105553,,,,,0,1.105552987429137
2010-09-14,sh.000074,5632.3410,5685.7460,5612.0570,5660.2110,5632.0090,392465000,5853608187.0000,3,0.021747,1,0.500745,,,,,0,0.5007449384402562
2010-09-15,sh.000074,5652.9750,5653.9380,5527.4090,5546.9250,5660.2110,331517200,4647792550.0000,3,0.018370,1,-2.001445,,,,,0,-2.0014448224633385
2010-09-16,sh.000074,5548.0120,5580.7420,5355.7640,5437.8240,5546.9250,326517700,4716920131.0000,3,0.018093,1,-1.966874,,,,,0,-1.9668735380413582
