date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-12-02,sh.000090,952.9430,955.6790,944.1020,944.4420,0.0000,10300363300,131041000000.0000,3,0.006662,1,0.000000,,,,,0,
2010-12-03,sh.000090,945.6370,947.0530,935.1880,942.9540,944.4420,8242870900,104836000000.0000,3,0.005331,1,-0.157553,,,,,0,-0.15755334896161433
2010-12-06,sh.000090,945.3320,948.2650,934.2270,941.4120,942.9540,8500151700,108101000000.0000,3,0.005454,1,-0.163529,,,,,0,-0.1635286556926352
2010-12-07,sh.000090,937.7550,953.5140,925.4130,950.6190,941.4120,8376346900,109449000000.0000,3,0.005373,1,0.977999,,,,,0,0.9779990057488197
2010-12-08,sh.000090,948.7660,955.0070,941.8500,943.5050,950.6190,8488145200,109056000000.0000,3,0.005443,1,-0.748355,,,,,0,-0.7483544932302078
2010-12-09,sh.000090,938.8740,943.2780,928.0730,928.4480,943.5050,9317644800,107914000000.0000,3,0.005975,1,-1.595858,,,,,0,-1.5958579975728804
2010-12-10,sh.000090,924.0360,942.3840,922.1720,940.6370,928.4480,7946465600,97539590666.0000,3,0.005095,1,1.312836,,,,,0,1.3128360446680976
2010-12-13,sh.000090,944.2900,967.8330,944.0880,967.7030,940.6370,12725816900,158908000000.0000,3,0.008132,1,2.877412,,,,,0,2.877411796474094
2010-12-14,sh.000090,970.3170,973.5100,966.7650,972.2370,967.7030,11943995200,151917000000.0000,3,0.007632,1,0.468532,,,,,0,0.46853218394486973
2010-12-15,sh.000090,972.2830,976.3590,964.8030,967.1900,972.2370,10740469800,139943000000.0000,3,0.006857,1,-0.519112,,,,,0,-0.5191121094959228
2010-12-16,sh.000090,966.1490,969.5270,959.6390,961.9820,967.1900,8561028900,107003000000.0000,3,0.005465,1,-0.538467,,,,,0,-0.5384671057393153
2010-12-17,sh.000090,961.5160,962.8780,956.5000,961.5740,961.9820,7210465400,91842892724.0000,3,0.004594,1,-0.042412,,,,,0,-0.042412435991523445
2010-12-20,sh.000090,965.1600,968.1210,929.1890,947.6360,961.5740,11210976100,144469000000.0000,3,0.007136,1,-1.449498,,,,,0,-1.4494984265381539
2010-12-21,sh.000090,948.8250,965.1140,943.3690,964.9460,947.6360,10542203900,134711000000.0000,3,0.006709,1,1.826651,,,,,0,1.8266507393134068
2010-12-22,sh.000090,965.6120,967.2840,951.5000,955.2820,964.9460,9733878700,124889000000.0000,3,0.006193,1,-1.001507,,,,,0,-1.0015068200707633
