date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2013-03-19,sh.000101,144.7330,144.7530,144.6600,144.6690,0.0000,3740080,387100000.0000,3,0.000000,1,0.000000,,,,,0,
2013-03-20,sh.000101,144.6880,144.7030,144.6450,144.6770,144.6690,2763140,286190000.0000,3,0.000000,1,0.005527,,,,,0,0.005529864725661859
2013-03-21,sh.000101,144.6940,144.7220,144.6880,144.7220,144.6770,2264070,234770000.0000,3,0.000000,1,0.031103,,,,,0,0.03110376908563861
2013-03-22,sh.000101,144.7410,144.7650,144.7210,144.7650,144.7220,5111430,539280000.0000,3,0.000000,1,0.029712,,,,,0,0.029712137753756807
2013-03-25,sh.000101,144.8230,144.8540,144.8130,144.8510,144.7650,3362760,349870000.0000,3,0.000000,1,0.059406,,,,,0,0.059406624529412255
2013-03-26,sh.000101,144.8700,144.8790,144.8550,144.8550,144.8510,3406100,354150000.0000,3,0.000000,1,0.002760,,,,,0,0.0027614583261392767
2013-03-27,sh.000101,144.8720,144.9240,144.8640,144.9190,144.8550,1484730,154820000.0000,3,0.000000,1,0.044189,,,,,0,0.044182113147650526
2013-03-28,sh.000101,144.9390,144.9780,144.9330,144.9770,144.9190,1993570,207320000.0000,3,0.000000,1,0.040021,,,,,0,0.0400223573168379
2013-03-29,sh.000101,144.9960,145.0040,144.9580,144.9790,144.9770,1623440,167230000.0000,3,0.000000,1,0.001379,,,,,0,0.0013795291667006992
2013-04-01,sh.000101,145.0370,145.1200,145.0360,145.1170,144.9790,24188900,248270000.0000,3,0.000000,1,0.095187,,,,,0,0.09518619938058137
2013-04-02,sh.000101,145.1360,145.2280,145.1350,145.2200,145.1170,29023500,298360000.0000,3,0.000000,1,0.070975,,,,,0,0.07097721149142977
2013-04-03,sh.000101,145.2390,145.3350,145.2370,145.3330,145.2200,35418200,360800000.0000,3,0.000000,1,0.077807,,,,,0,0.07781297341964422
2013-04-08,sh.000101,145.4290,145.4800,145.3760,145.4360,145.3330,20386700,210820000.0000,3,0.000000,1,0.070880,,,,,0,0.07087172218285254
2013-04-09,sh.000101,145.4550,145.5640,145.4510,145.5560,145.4360,24778700,259350000.0000,3,0.000000,1,0.082507,,,,,0,0.08251052009131676
2013-04-10,sh.000101,145.5750,145.6930,145.5370,145.6900,145.5560,38500500,396400000.0000,3,0.000000,1,0.092063,,,,,0,0.09206078760064518
2013-04-11,sh.000101,145.7100,145.7860,145.6800,145.6870,145.6900,51147700,530740000.0000,3,0.000000,1,-0.002063,,,,,0,-0.0020591667238556433
2013-04-12,sh.000101,145.7060,145.7680,145.7040,145.7400,145.6870,19059900,199240000.0000,3,0.000000,1,0.036386,,,,,0,0.03637936123332963
2013-04-15,sh.000101,145.7970,145.8890,145.7910,145.8710,145.7400,20281600,212310000.0000,3,0.000000,1,0.089884,,,,,0,0.08988609853162188
2013-04-16,sh.000101,145.8910,145.9530,145.8910,145.9250,145.8710,35306800,364660000.0000,3,0.000000,1,0.037020,,,,,0,0.03701900994714791
2013-04-17,sh.000101,145.9440,145.9720,145.9210,145.9680,145.9250,30587800,319190000.0000,3,0.000000,1,0.029467,,,,,0,0.029467192050702806
2013-04-18,sh.000101,145.9870,145.9870,145.9220,145.9410,145.9680,97573500,1005240000.0000,3,0.000000,1,-0.018503,,,,,0,-0.018497204866807504
2013-04-19,sh.000101,145.9590,145.9710,145.8930,145.9310,145.9410,32655600,340910000.0000,3,0.000000,1,-0.006848,,,,,0,-0.006852084061359509
2013-04-22,sh.000101,145.9890,145.9890,145.8300,145.8630,145.9310,66810900,696000000.0000,3,0.000000,1,-0.046593,,,,,0,-0.04659736450789431
2013-04-23,sh.000101,145.8820,145.8860,145.7310,145.7780,145.8630,91887700,941180000.0000,3,0.000000,1,-0.058278,,,,,0,-0.05827385971768351
2013-04-24,sh.000101,145.7960,145.8800,145.7710,145.8630,145.7780,50576800,518260000.0000,3,0.000000,1,0.058312,,,,,0,0.058307837945381635
2013-04-25,sh.000101,145.8820,145.9690,145.8480,145.9690,145.8630,106862100,1106110000.0000,3,0.000000,1,0.072662,,,,,0,0.07267093094205368
2013-04-26,sh.000101,145.9880,146.0310,145.9740,146.0110,145.9690,65737000,677120000.0000,3,0.000000,1,0.028778,,,,,0,0.02877323267269638
2013-05-02,sh.000101,146.1240,146.1630,146.0430,146.1540,146.0110,44317500,456130000.0000,3,0.000000,1,0.097942,,,,,0,0.09793782660210137
2013-05-03,sh.000101,146.1730,146.2410,146.1730,146.2400,146.1540,58823800,609840000.0000,3,0.000000,1,0.058841,,,,,0,0.05884204332418097
2013-05-06,sh.000101,146.2980,146.3280,146.2550,146.3030,146.2400,47852300,493450000.0000,3,0.000000,1,0.043072,,,,,0,0.043079868708972846
2013-05-07,sh.000101,146.3210,146.3880,146.3150,146.3850,146.3030,68456300,705760000.0000,3,0.000000,1,0.056049,,,,,0,0.05604806463297418
2013-05-08,sh.000101,146.4040,146.4420,146.3650,146.4260,146.3850,97870700,1008550000.0000,3,0.000000,1,0.028009,,,,,0,0.02800833418723503
2013-05-09,sh.000101,146.4450,146.5680,146.4450,146.5490,146.4260,56824200,592150000.0000,3,0.000000,1,0.084002,,,,,0,0.08400147514786571
2013-05-10,sh.000101,146.5690,146.6250,146.5660,146.6160,146.5490,89811700,918030000.0000,3,0.000000,1,0.045719,,,,,0,0.04571849688501661
2013-05-13,sh.000101,146.6730,146.7490,146.6610,146.7350,146.6160,147949400,1532950000.0000,3,0.000000,1,0.081167,,,,,0,0.08116440224805732
