date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-06-13,sh.000112,2359.4700,2394.5100,2346.8100,2389.6200,0.0000,21328400,311870088.0000,3,0.010343,1,0.000000,,,,,1,
2011-06-17,sh.000112,2305.8000,2319.2600,2271.8200,2274.6500,2389.6200,9817500,153944023.0000,3,0.004761,1,-4.811234,,,,,1,-4.811225215724669
2011-06-20,sh.000112,2268.0100,2274.5400,2185.0100,2186.2600,2274.6500,14555200,248932819.0000,3,0.007059,1,-3.885868,,,,,1,-3.8858725518211568
2011-06-21,sh.000112,2196.5100,2212.8700,2170.5900,2209.9400,2186.2600,14918200,247347306.0000,3,0.007235,1,1.083125,,,,,1,1.0831282647077556
2011-06-22,sh.000112,2214.5400,2224.4400,2194.6400,2216.1300,2209.9400,20175400,269608136.0000,3,0.009781,1,0.280095,,,,,1,0.2800981022109239
2011-06-23,sh.000112,2203.7600,2298.3400,2198.1300,2285.5200,2216.1300,27199900,409246502.0000,3,0.013187,1,3.131140,,,,,1,3.1311340038716162
2011-06-24,sh.000112,2275.6900,2350.4700,2263.1300,2335.2700,2285.5200,36859800,606175240.0000,3,0.017870,1,2.176748,,,,,1,2.1767475235394906
2011-06-27,sh.000112,2336.0800,2401.4400,2333.3500,2389.4200,2335.2700,29313600,570073571.0000,3,0.014212,1,2.318785,,,,,1,2.3187896902713723
2011-06-28,sh.000112,2387.0300,2398.4900,2358.4500,2392.7000,2389.4200,29639000,445922408.0000,3,0.014370,1,0.137273,,,,,1,0.13727180654719007
2011-06-29,sh.000112,2387.6300,2426.4000,2375.9300,2391.7000,2392.7000,22144200,421407098.0000,3,0.010736,1,-0.041794,,,,,1,-0.04179378944288992
2011-06-30,sh.000112,2386.3300,2421.9400,2383.3500,2410.2300,2391.7000,29904400,449970670.0000,3,0.014498,1,0.774764,,,,,1,0.7747627210770602
2011-07-01,sh.000112,2430.2640,2432.4460,2410.6450,2414.2380,2410.2300,24525100,383450000.0000,3,0.011890,1,0.166294,,,,,1,0.16629118382891495
2011-07-04,sh.000112,2424.1890,2469.1160,2408.8440,2468.1070,2414.2380,34893000,605130000.0000,3,0.016917,1,2.231300,,,,,1,2.231304452999261
2011-07-05,sh.000112,2470.9380,2486.7050,2447.2710,2485.5030,2468.1070,39773700,713870000.0000,3,0.019283,1,0.704832,,,,,1,0.7048316786914199
2011-07-06,sh.000112,2476.7800,2528.3860,2451.6130,2527.3170,2485.5030,36674900,688810000.0000,3,0.017781,1,1.682314,,,,,1,1.682315410602997
2011-07-07,sh.000112,2519.0050,2583.9730,2514.8320,2557.2630,2527.3170,43455500,836130000.0000,3,0.021068,1,1.184895,,,,,1,1.1848929121277552
2011-07-08,sh.000112,2543.1480,2567.7530,2533.5900,2555.1580,2557.2630,30146800,596070000.0000,3,0.014616,1,-0.082314,,,,,1,-0.08231456834905115
2011-07-11,sh.000112,2552.4350,2559.9970,2514.5590,2555.2610,2555.1580,27467400,537150000.0000,3,0.013317,1,0.004032,,,,,1,0.004031061875631181
2011-07-12,sh.000112,2533.3890,2610.9770,2513.8990,2560.9300,2555.2610,32834900,691760000.0000,3,0.015919,1,0.221854,,,,,1,0.2218560060987862
2011-07-13,sh.000112,2548.5760,2609.8300,2545.0020,2606.1660,2560.9300,38144100,689700000.0000,3,0.018493,1,1.766393,,,,,1,1.7663895537949337
2011-07-14,sh.000112,2615.4260,2617.7770,2568.1190,2597.1710,2606.1660,44020500,836650000.0000,3,0.021342,1,-0.345147,,,,,1,-0.34514301851840123
2011-07-15,sh.000112,2592.1620,2603.7510,2583.0860,2594.1470,2597.1710,35675200,492550000.0000,3,0.016724,1,-0.116431,,,,,1,-0.11643438187165511
2011-07-18,sh.000112,2595.1940,2597.9610,2564.9510,2567.2890,2594.1470,18761100,292330000.0000,3,0.008795,1,-1.035327,,,,,1,-1.0353306886618063
2011-07-19,sh.000112,2567.8590,2579.5740,2542.6800,2548.2380,2567.2890,35471400,524420000.0000,3,0.016628,1,-0.742068,,,,,1,-0.7420668261345131
2011-07-20,sh.000112,2554.3090,2567.3900,2532.8330,2551.0510,2548.2380,37260500,548100000.0000,3,0.017467,1,0.110390,,,,,1,0.11039000281762856
2011-07-21,sh.000112,2538.8640,2542.7910,2492.5750,2494.7270,2551.0510,30574100,528670000.0000,3,0.014332,1,-2.207873,,,,,1,-2.2078743231711218
2011-07-22,sh.000112,2505.0160,2526.3490,2494.8230,2505.6340,2494.7270,23292000,393830000.0000,3,0.010919,1,0.437201,,,,,1,0.43720214676796765
2011-07-25,sh.000112,2496.2670,2511.7120,2390.2730,2402.5320,2505.6340,33025200,577910000.0000,3,0.015482,1,-4.114809,,,,,1,-4.114806871234977
2011-07-26,sh.000112,2395.3680,2414.3160,2388.1520,2406.0230,2402.5320,21211900,367250000.0000,3,0.009944,1,0.145304,,,,,1,0.14530503651979387
2011-07-27,sh.000112,2401.4290,2472.2060,2388.6660,2468.2190,2406.0230,23807500,441270000.0000,3,0.011160,1,2.585015,,,,,1,2.5850126952235986
2011-07-28,sh.000112,2446.7170,2517.0950,2437.8390,2512.4510,2468.2190,49460200,770040000.0000,3,0.023186,1,1.792059,,,,,1,1.7920614013586356
2011-07-29,sh.000112,2513.2400,2528.8480,2468.8280,2471.0820,2512.4510,35172900,587140000.0000,3,0.016488,1,-1.646555,,,,,1,-1.6465594751897683
2011-08-01,sh.000112,2462.0780,2500.3120,2437.3280,2487.5620,2471.0820,29155700,498300000.0000,3,0.013668,1,0.666914,,,,,1,0.6669143314548043
2011-08-02,sh.000112,2472.7550,2476.6900,2407.4020,2436.3190,2487.5620,32899400,574380000.0000,3,0.015423,1,-2.059966,,,,,1,-2.0599687565576286
2011-08-03,sh.000112,2419.6360,2445.6740,2400.0310,2421.7520,2436.3190,34282100,584900000.0000,3,0.016071,1,-0.597916,,,,,1,-0.5979102079818
2011-08-04,sh.000112,2429.5130,2464.5260,2429.5130,2444.5060,2421.7520,25353700,452600000.0000,3,0.011885,1,0.939574,,,,,1,0.9395677179166118
2011-08-05,sh.000112,2368.2050,2450.6970,2347.4040,2435.4960,2444.5060,33606500,597860000.0000,3,0.015754,1,-0.368582,,,,,1,-0.36858162753536927
2011-08-08,sh.000112,2396.6340,2451.8460,2312.2170,2337.8940,2435.4960,34550000,624250000.0000,3,0.016196,1,-4.007482,,,,,1,-4.007479379970258
2011-08-09,sh.000112,2238.0170,2340.0600,2205.8810,2328.1340,2337.8940,32862000,475180000.0000,3,0.015405,1,-0.417470,,,,,1,-0.417469739859877
2011-08-10,sh.000112,2364.8760,2382.5920,2319.7050,2327.5160,2328.1340,34183500,537620000.0000,3,0.016025,1,-0.026541,,,,,1,-0.02654486382656085
2011-08-11,sh.000112,2277.5100,2372.9560,2270.1590,2372.2700,2327.5160,31301200,514960000.0000,3,0.014673,1,1.922818,,,,,1,1.922822442466554
2011-08-12,sh.000112,2388.3230,2425.2090,2376.0260,2385.6840,2372.2700,30928000,517320000.0000,3,0.014498,1,0.565453,,,,,1,0.565449969860099
2011-08-15,sh.000112,2387.7320,2415.1210,2367.4660,2414.0450,2385.6840,26805000,464270000.0000,3,0.012566,1,1.188793,,,,,1,1.1887995224849401
2011-08-16,sh.000112,2411.3670,2428.1150,2379.5180,2383.2830,2414.0450,24044500,429500000.0000,3,0.011272,1,-1.274291,,,,,1,-1.2742927327369702
2011-08-17,sh.000112,2378.7770,2393.2630,2355.9190,2368.1030,2383.2830,22668300,381050000.0000,3,0.010626,1,-0.636934,,,,,1,-0.6369365283098949
2011-08-18,sh.000112,2363.8630,2368.7320,2319.6680,2320.3890,2368.1030,12342600,194230000.0000,3,0.005786,1,-2.014866,,,,,1,-2.014861684648006
2011-08-19,sh.000112,2264.3570,2290.3840,2250.7280,2286.9580,2320.3890,17483200,287460000.0000,3,0.008196,1,-1.440746,,,,,1,-1.4407498053128132
2011-08-22,sh.000112,2281.7810,2307.3750,2265.2730,2276.5150,2286.9580,14140000,240520000.0000,3,0.006629,1,-0.456638,,,,,1,-0.45663278468603963
2011-08-23,sh.000112,2283.6710,2325.3400,2278.9100,2324.4770,2276.5150,17071500,278980000.0000,3,0.008003,1,2.106824,,,,,1,2.106816779155851
2011-08-25,sh.000112,2351.7940,2415.8470,2351.7940,2414.5760,2324.4770,43125300,658440000.0000,3,0.020216,1,3.876092,,,,,1,3.87609772004629
2011-08-26,sh.000112,2400.2170,2423.5270,2387.6040,2417.7490,2414.5760,47067100,589930000.0000,3,0.022064,1,0.131414,,,,,1,0.1314102351717139
2011-08-29,sh.000112,2405.8580,2419.7530,2394.0900,2402.8090,2417.7490,41294500,543500000.0000,3,0.019358,1,-0.617928,,,,,1,-0.617930149076662
2011-08-30,sh.000112,2410.6610,2420.1300,2372.3850,2375.9240,2402.8090,28837300,410280000.0000,3,0.013518,1,-1.118899,,,,,1,-1.1188987555814989
2011-08-31,sh.000112,2374.0830,2376.2790,2331.1310,2349.0570,2375.9240,31605400,416370000.0000,3,0.014816,1,-1.130810,,,,,0,-1.1308021637055798
2011-09-01,sh.000112,2342.6800,2375.3360,2323.6070,2338.3460,2349.0570,41150300,671140000.0000,3,0.019290,1,-0.455968,,,,,1,-0.45597020421385137
2011-09-02,sh.000112,2319.1360,2344.7310,2284.8190,2290.3160,2338.3460,20328500,322130000.0000,3,0.009530,1,-2.054017,,,,,1,-2.0540159582884687
2011-09-05,sh.000112,2263.1560,2275.1850,2244.0690,2245.0900,2290.3160,17732400,261240000.0000,3,0.008313,1,-1.974655,,,,,1,-1.9746620117049196
2011-09-06,sh.000112,2235.6780,2261.1760,2218.0130,2231.8640,2245.0900,21019900,306450000.0000,3,0.009854,1,-0.589111,,,,,1,-0.5891077863248273
2011-09-07,sh.000112,2238.2360,2280.9500,2232.6430,2279.2110,2231.8640,18710800,280720000.0000,3,0.008771,1,2.121407,,,,,1,2.121410623586373
2011-09-08,sh.000112,2282.1750,2293.1780,2233.3170,2235.2040,2279.2110,13971300,203590000.0000,3,0.006549,1,-1.930793,,,,,1,-1.9307997372774888
2011-09-09,sh.000112,2234.6570,2263.2740,2225.3810,2240.2790,2235.2040,11797700,169330000.0000,3,0.005531,1,0.227046,,,,,1,0.2270486273288519
2011-09-13,sh.000112,2210.5790,2213.2060,2187.1370,2210.2030,2240.2790,13485900,196510000.0000,3,0.006322,1,-1.342519,,,,,1,-1.3425113568443892
2011-09-14,sh.000112,2213.8050,2237.2750,2185.6770,2230.7100,2210.2030,16321300,265450000.0000,3,0.007651,1,0.927837,,,,,1,0.9278333257171534
2011-09-15,sh.000112,2231.5510,2260.3980,2227.8850,2253.0690,2230.7100,14772500,263340000.0000,3,0.006925,1,1.002332,,,,,1,1.0023266134997266
2011-09-16,sh.000112,2254.3490,2283.8550,2254.3490,2263.3900,2253.0690,15953300,279290000.0000,3,0.007479,1,0.458077,,,,,1,0.45808628142325336
2011-09-19,sh.000112,2247.4920,2260.8780,2220.4790,2224.9230,2263.3900,12994400,213640000.0000,3,0.006091,1,-1.699521,,,,,1,-1.6995303504919623
2011-09-20,sh.000112,2217.2290,2256.7500,2213.4760,2246.7840,2224.9230,10387500,176610000.0000,3,0.004869,1,0.982544,,,,,1,0.9825508568161778
2011-09-21,sh.000112,2244.0960,2337.0400,2241.4290,2328.8210,2246.7840,30333700,542200000.0000,3,0.014220,1,3.651313,,,,,1,3.65130782487324
2011-09-22,sh.000112,2310.6900,2322.7770,2257.5490,2258.1900,2328.8210,18097700,307870000.0000,3,0.008484,1,-3.032912,,,,,1,-3.032908068073925
2011-09-23,sh.000112,2227.9180,2249.2860,2219.0340,2247.5260,2258.1900,18537300,243910000.0000,3,0.008690,1,-0.472239,,,,,1,-0.4722366142795864
2011-09-26,sh.000112,2248.6960,2261.7570,2204.8010,2214.7530,2247.5260,17175500,229940000.0000,3,0.008052,1,-1.458179,,,,,1,-1.4581811289390956
2011-09-27,sh.000112,2229.8050,2246.7810,2210.3020,2241.4330,2214.7530,21807200,285190000.0000,3,0.010223,1,1.204657,,,,,1,1.2046490060065418
2011-09-28,sh.000112,2251.8960,2257.0890,2196.5490,2204.5990,2241.4330,15281400,228850000.0000,3,0.007164,1,-1.643323,,,,,1,-1.643323712999667
2011-09-29,sh.000112,2196.7110,2196.7110,2114.1340,2123.3120,2204.5990,15959700,260250000.0000,3,0.007482,1,-3.687160,,,,,1,-3.687155804751807
2011-09-30,sh.000112,2119.4130,2135.7300,2080.0650,2100.1630,2123.3120,12348600,180590000.0000,3,0.005789,1,-1.090227,,,,,1,-1.090230733872355
2011-10-10,sh.000112,2104.1500,2122.2680,2055.8020,2060.8380,2100.1630,11356700,150160000.0000,3,0.005324,1,-1.872483,,,,,1,-1.8724737079931275
2011-10-11,sh.000112,2120.1850,2129.4040,2009.5420,2062.7690,2060.8380,16876200,248780000.0000,3,0.007911,1,0.093707,,,,,1,0.09369974738429043
2011-10-12,sh.000112,2054.9540,2131.8900,2037.2610,2125.4060,2062.7690,17446200,246910000.0000,3,0.008178,1,3.036548,,,,,1,3.0365494148884453
2011-10-13,sh.000112,2127.5110,2182.0830,2118.6710,2177.2640,2125.4060,21904300,353120000.0000,3,0.010268,1,2.439906,,,,,1,2.4399103041960135
2011-10-14,sh.000112,2173.6570,2177.2310,2143.5950,2155.2870,2177.2640,14570800,229280000.0000,3,0.006830,1,-1.009377,,,,,1,-1.0093860919025088
2011-10-17,sh.000112,2160.1100,2206.6570,2158.0820,2205.2330,2155.2870,19975400,375050000.0000,3,0.009364,1,2.317362,,,,,1,2.317371190008588
2011-10-18,sh.000112,2196.8370,2196.8370,2143.5960,2148.5700,2205.2330,27835600,401630000.0000,3,0.013049,1,-2.569472,,,,,1,-2.5694790527803657
2011-10-19,sh.000112,2149.4120,2163.9440,2116.2550,2130.1040,2148.5700,17527900,242650000.0000,3,0.008217,1,-0.859458,,,,,1,-0.8594553586804388
2011-10-20,sh.000112,2117.6100,2123.6340,2036.0200,2045.1740,2130.1040,25733800,342100000.0000,3,0.012063,1,-3.987132,,,,,1,-3.9871292669278025
2011-10-21,sh.000112,2042.5210,2061.5990,2005.1170,2014.8180,2045.1740,16931000,223430000.0000,3,0.007937,1,-1.484273,,,,,1,-1.4842746876304935
2011-10-24,sh.000112,2000.7980,2072.8700,1969.7560,2064.2130,2014.8180,22900300,297830000.0000,3,0.010735,1,2.451581,,,,,1,2.451586197860056
2011-10-25,sh.000112,2065.0260,2119.9270,2044.6920,2109.8390,2064.2130,26390200,345880000.0000,3,0.012371,1,2.210345,,,,,1,2.210333914184237
2011-10-26,sh.000112,2099.6600,2165.2020,2089.8630,2125.8530,2109.8390,33803700,513340000.0000,3,0.015846,1,0.759011,,,,,1,0.7590152613540679
2011-10-27,sh.000112,2126.0960,2142.5160,2112.9880,2118.2800,2125.8530,19240000,285340000.0000,3,0.009019,1,-0.356233,,,,,1,-0.3562334742806761
2011-10-28,sh.000112,2146.5490,2155.9100,2116.2970,2153.6800,2118.2800,28231500,390570000.0000,3,0.013234,1,1.671163,,,,,1,1.6711671733670608
2011-10-31,sh.000112,2151.5360,2165.8050,2133.6650,2162.0000,2153.6800,20274700,305230000.0000,3,0.009504,1,0.386319,,,,,1,0.3863155157683762
2011-11-01,sh.000112,2147.4550,2205.1830,2138.0670,2190.1850,2162.0000,28243800,494290000.0000,3,0.013240,1,1.303657,,,,,1,1.3036540240517924
2011-11-02,sh.000112,2155.5500,2274.2860,2146.2020,2273.2250,2190.1850,43690900,768500000.0000,3,0.020481,1,3.791462,,,,,1,3.791460538721614
2011-11-03,sh.000112,2280.9450,2333.6670,2276.1850,2277.2990,2273.2250,57911800,1006170000.0000,3,0.027148,1,0.179216,,,,,1,0.17921675153140804
2011-11-04,sh.000112,2298.1990,2305.7150,2271.8950,2291.2810,2277.2990,32886000,499840000.0000,3,0.015416,1,0.613970,,,,,1,0.6139729565594942
2011-11-07,sh.000112,2292.6860,2330.5650,2277.1460,2292.7800,2291.2810,22763800,394360000.0000,3,0.010671,1,0.065423,,,,,1,0.0654219190051375
2011-11-08,sh.000112,2290.9960,2292.5580,2230.0420,2233.0000,2292.7800,22021500,360020000.0000,3,0.010323,1,-2.607316,,,,,1,-2.6073151370825
2011-11-09,sh.000112,2239.3160,2274.2890,2207.7960,2272.3840,2233.0000,24692800,394810000.0000,3,0.011575,1,1.763727,,,,,1,1.763725929243165
2011-11-10,sh.000112,2247.5440,2281.4050,2236.7090,2245.0220,2272.3840,25593700,423080000.0000,3,0.011998,1,-1.204113,,,,,1,-1.204109868754577
2011-11-11,sh.000112,2248.5000,2275.8250,2241.3520,2258.1340,2245.0220,27560700,367950000.0000,3,0.012920,1,0.584051,,,,,1,0.5840477287082368
2011-11-14,sh.000112,2269.8760,2310.1480,2269.8760,2304.6530,2258.1340,30163600,444940000.0000,3,0.014140,1,2.060066,,,,,1,2.060063751752539
2011-11-15,sh.000112,2303.9290,2322.6270,2294.9430,2320.7090,2304.6530,26007900,430100000.0000,3,0.012192,1,0.696673,,,,,1,0.6966775475527154
2011-11-16,sh.000112,2323.1280,2333.6430,2250.0940,2262.7080,2320.7090,38628800,530760000.0000,3,0.018108,1,-2.499278,,,,,1,-2.499279315071379
2011-11-17,sh.000112,2262.4550,2286.1990,2250.2550,2262.5150,2262.7080,20240000,316860000.0000,3,0.009488,1,-0.008535,,,,,1,-0.008529602582396656
2011-11-18,sh.000112,2259.4750,2259.4750,2162.5640,2170.8080,2262.5150,26676500,387650000.0000,3,0.012505,1,-4.053312,,,,,1,-4.053321193450643
2011-11-21,sh.000112,2166.5300,2182.4870,2140.0990,2173.4440,2170.8080,11855100,172410000.0000,3,0.005557,1,0.121429,,,,,1,0.12142944009787549
2011-11-22,sh.000112,2158.4610,2191.3350,2135.5720,2190.5640,2173.4440,11068900,180520000.0000,3,0.005189,1,0.787684,,,,,1,0.7876899519840386
2011-11-23,sh.000112,2193.0700,2222.2970,2191.8370,2196.9410,2190.5640,18512200,334140000.0000,3,0.008678,1,0.291110,,,,,1,0.2911122432396329
2011-11-24,sh.000112,2171.6840,2190.6870,2136.2620,2178.0080,2196.9410,17175400,309540000.0000,3,0.008051,1,-0.861783,,,,,1,-0.8617891877842898
2011-11-25,sh.000112,2170.2800,2182.8040,2147.7130,2160.2170,2178.0080,11701700,202590000.0000,3,0.005486,1,-0.816848,,,,,1,-0.8168473210382943
2011-11-28,sh.000112,2152.3060,2172.3860,2112.7420,2133.6930,2160.2170,14745100,270340000.0000,3,0.006912,1,-1.227836,,,,,1,-1.227839610557635
2011-11-29,sh.000112,2150.8490,2164.2220,2126.1570,2163.3960,2133.6930,16594900,258570000.0000,3,0.007779,1,1.392088,,,,,1,1.3920934267488416
2011-11-30,sh.000112,2167.1240,2167.1240,2041.1240,2069.9230,2163.3960,19292500,283560000.0000,3,0.009044,1,-4.320656,,,,,1,-4.320660664991538
2011-12-01,sh.000112,2133.4880,2149.4300,2102.5900,2110.2310,2069.9230,23537900,372370000.0000,3,0.011034,1,1.947312,,,,,1,1.9473188133085406
2011-12-02,sh.000112,2100.2180,2103.6650,2038.8350,2047.4560,2110.2310,17655400,268320000.0000,3,0.008276,1,-2.974788,,,,,1,-2.9747928070434138
2011-12-05,sh.000112,2039.4810,2047.6600,1988.0190,1993.5470,2047.4560,16673700,231640000.0000,3,0.007816,1,-2.632977,,,,,1,-2.632974774549479
2011-12-06,sh.000112,1989.6150,2015.4470,1969.3720,2004.5080,1993.5470,12177300,172030000.0000,3,0.005708,1,0.549827,,,,,1,0.5498240071591054
2011-12-07,sh.000112,2003.0700,2017.8160,1991.6830,2005.8300,2004.5080,8486900,128800000.0000,3,0.003978,1,0.065946,,,,,1,0.06595134566687033
2011-12-08,sh.000112,2006.1120,2025.9550,1968.8100,2008.9310,2005.8300,10180000,142010000.0000,3,0.004772,1,0.154603,,,,,1,0.154599342915418
2011-12-09,sh.000112,1995.5880,2012.2230,1984.4780,1997.9420,2008.9310,7838900,115960000.0000,3,0.003675,1,-0.547008,,,,,1,-0.5470073387289109
2011-12-12,sh.000112,1995.0860,2008.7140,1987.3650,1989.7960,1997.9420,7541100,117310000.0000,3,0.003535,1,-0.407719,,,,,1,-0.4077195434101677
2011-12-13,sh.000112,1982.0070,1986.5730,1905.4860,1912.5420,1989.7960,14566800,212740000.0000,3,0.006829,1,-3.882510,,,,,1,-3.88250855866632
2011-12-14,sh.000112,1911.2620,1920.0970,1870.4060,1882.6810,1912.5420,7256800,127070000.0000,3,0.003402,1,-1.561323,,,,,1,-1.561325189198448
2011-12-15,sh.000112,1871.2450,1875.1770,1829.3950,1831.5310,1882.6810,13139300,169320000.0000,3,0.006159,1,-2.716872,,,,,1,-2.716870250456671
2011-12-16,sh.000112,1832.7190,1855.1470,1797.1100,1847.9000,1831.5310,13722900,240090000.0000,3,0.006433,1,0.893734,,,,,1,0.893733166405597
2011-12-19,sh.000112,1822.5120,1841.3930,1788.5050,1840.3430,1847.9000,16515300,266700000.0000,3,0.007742,1,-0.408951,,,,,1,-0.4089507007954962
