date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-10-18,sh.000117,3786.2560,3786.2560,3673.2150,3677.4990,0.0000,521687800,6151380000.0000,3,0.008231,1,0.000000,,,,,1,
2011-10-19,sh.000117,3680.1110,3698.5030,3638.4380,3644.2700,3677.4990,409242200,4831590000.0000,3,0.006457,1,-0.903576,,,,,1,-0.9035760444802254
2011-10-20,sh.000117,3632.3640,3632.3640,3496.0500,3526.6070,3644.2700,514337500,5513080000.0000,3,0.008115,1,-3.228715,,,,,1,-3.2287124719079574
2011-10-21,sh.000117,3528.2800,3533.5840,3466.0490,3474.7690,3526.6070,362142900,4078180000.0000,3,0.005714,1,-1.469908,,,,,1,-1.4699114474621133
2011-10-24,sh.000117,3477.9010,3531.8200,3409.1130,3530.6480,3474.7690,488081100,5464770000.0000,3,0.007701,1,1.608133,,,,,1,1.6081356775083488
2011-10-25,sh.000117,3530.6620,3643.1290,3519.5450,3639.8560,3530.6480,672054900,8109050000.0000,3,0.010603,1,3.093143,,,,,1,3.0931432416938742
2011-10-26,sh.000117,3613.0970,3725.2890,3602.7980,3689.7730,3639.8560,839338800,9948650000.0000,3,0.013243,1,1.371400,,,,,1,1.3714004070490615
2011-10-27,sh.000117,3691.5710,3732.7700,3677.6060,3689.4010,3689.7730,638282200,7101770000.0000,3,0.010071,1,-0.010084,,,,,1,-0.010081921028759488
2011-10-28,sh.000117,3733.7150,3774.6130,3720.8660,3774.6130,3689.4010,844539900,9677030000.0000,3,0.013325,1,2.309648,,,,,1,2.3096432185061966
2011-10-31,sh.000117,3771.6310,3788.6580,3752.6450,3785.1630,3774.6130,763015800,8961110000.0000,3,0.012039,1,0.279500,,,,,1,0.27949885193530033
2011-11-01,sh.000117,3753.3700,3806.5580,3739.4010,3786.2920,3785.1630,732433600,8488660000.0000,3,0.011556,1,0.029825,,,,,1,0.029826984993763794
2011-11-02,sh.000117,3727.5460,3847.2930,3707.4220,3846.1220,3786.2920,809567900,9548980000.0000,3,0.012753,1,1.580176,,,,,1,1.580173953831343
2011-11-03,sh.000117,3860.7100,3924.1090,3860.7100,3873.3170,3846.1220,1131512600,13562800000.0000,3,0.017824,1,0.707071,,,,,1,0.7070758545880906
2011-11-04,sh.000117,3894.9530,3914.5200,3868.6180,3899.6470,3873.3170,807763300,9256850000.0000,3,0.012724,1,0.679781,,,,,1,0.6797791143869691
2011-11-07,sh.000117,3889.5540,3925.0420,3876.2780,3880.8190,3899.6470,628054100,7398640000.0000,3,0.009894,1,-0.482810,,,,,1,-0.4828129315294416
2011-11-08,sh.000117,3883.9890,3892.5250,3826.8210,3835.3730,3880.8190,613904000,7330770000.0000,3,0.009671,1,-1.171043,,,,,1,-1.1710414734621755
2011-11-09,sh.000117,3844.5420,3891.5380,3802.8460,3890.5480,3835.3730,655314100,7797820000.0000,3,0.010323,1,1.438584,,,,,1,1.4385823751692506
2011-11-10,sh.000117,3846.5340,3870.0200,3831.8730,3832.4890,3890.5480,666398200,8255680000.0000,3,0.010498,1,-1.492311,,,,,1,-1.4923090526064664
2011-11-11,sh.000117,3839.8540,3851.5250,3805.9850,3824.2980,3832.4890,537924900,6575290000.0000,3,0.008474,1,-0.213723,,,,,1,-0.2137253361979674
2011-11-14,sh.000117,3849.4060,3915.1020,3849.4060,3914.8110,3824.2980,739755200,8914050000.0000,3,0.011653,1,2.366786,,,,,1,2.3667873162604103
2011-11-15,sh.000117,3916.1010,3946.6800,3909.6380,3945.9010,3914.8110,689027100,8361770000.0000,3,0.010852,1,0.794160,,,,,1,0.7941634985699109
2011-11-16,sh.000117,3946.0650,3949.0840,3824.5370,3843.3470,3945.9010,725974100,8630510000.0000,3,0.011434,1,-2.599000,,,,,1,-2.5990008365643136
2011-11-17,sh.000117,3842.5210,3882.7690,3830.5090,3837.6650,3843.3470,514460300,5925030000.0000,3,0.008103,1,-0.147837,,,,,1,-0.14783989059536928
2011-11-18,sh.000117,3814.8070,3814.8070,3726.3150,3741.3750,3837.6650,610328800,6788330000.0000,3,0.009613,1,-2.509079,,,,,1,-2.509077785580549
2011-11-21,sh.000117,3730.4650,3740.7320,3699.2890,3738.0370,3741.3750,445107300,5123890000.0000,3,0.007010,1,-0.089216,,,,,1,-0.08921853596606244
