date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-10-18,sh.000122,885.1160,888.9500,864.2410,865.0720,0.0000,280113300,2964680000.0000,3,0.011033,1,0.000000,,,,,1,
2011-10-19,sh.000122,866.3560,871.9350,856.1000,862.0960,865.0720,198228500,2134580000.0000,3,0.007679,1,-0.344019,,,,,1,-0.34401760778293156
2011-10-20,sh.000122,856.1290,856.5400,829.7750,835.1780,862.0960,221045000,2260300000.0000,3,0.008563,1,-3.122393,,,,,1,-3.1223900818470374
2011-10-21,sh.000122,835.1810,837.0020,815.5940,816.2300,835.1780,226724600,2220790000.0000,3,0.008783,1,-2.268738,,,,,1,-2.268737921736441
2011-10-24,sh.000122,816.3700,828.6110,801.0930,828.3960,816.2300,245805600,2431280000.0000,3,0.009522,1,1.490513,,,,,1,1.4905112529556508
2011-10-25,sh.000122,825.6070,850.1180,822.7800,848.4710,828.3960,291354400,2968230000.0000,3,0.011287,1,2.423359,,,,,1,2.4233579109508074
2011-10-26,sh.000122,842.6250,864.7050,840.6460,857.5340,848.4710,330138900,3282180000.0000,3,0.012789,1,1.068155,,,,,1,1.068156719557889
2011-10-27,sh.000122,859.3600,866.9810,854.7530,859.5940,857.5340,253878000,2623850000.0000,3,0.009835,1,0.240223,,,,,1,0.2402237112464345
2011-10-28,sh.000122,871.2860,878.4940,865.2380,878.1740,859.5940,333849400,3557740000.0000,3,0.012933,1,2.161488,,,,,1,2.161485538521668
2011-10-31,sh.000122,881.1560,891.5930,880.1270,886.6380,878.1740,354863800,4050950000.0000,3,0.013747,1,0.963817,,,,,1,0.9638181043847949
2011-11-01,sh.000122,877.6610,892.8510,875.8110,887.6600,886.6380,305759800,3350150000.0000,3,0.011845,1,0.115264,,,,,1,0.11526688456844347
2011-11-02,sh.000122,873.6080,897.5330,866.5680,896.9800,887.6600,344963800,3676360000.0000,3,0.013364,1,1.049952,,,,,1,1.049951558028983
2011-11-03,sh.000122,906.3150,920.0020,906.2120,908.5760,896.9800,518402700,5574160000.0000,3,0.020083,1,1.292783,,,,,1,1.2927824477691807
2011-11-04,sh.000122,915.6340,928.0280,911.3120,926.0520,908.5760,606690800,5939710000.0000,3,0.023503,1,1.923451,,,,,1,1.9234494417638137
2011-11-07,sh.000122,922.8780,932.4680,916.9680,920.1460,926.0520,444428800,4477540000.0000,3,0.017217,1,-0.637762,,,,,1,-0.6377611624401314
2011-11-08,sh.000122,920.1030,923.1760,902.8500,905.3580,920.1460,399143100,4010040000.0000,3,0.015463,1,-1.607139,,,,,1,-1.6071362588111038
2011-11-09,sh.000122,908.2200,920.7600,899.5800,920.3840,905.3580,376626700,3822140000.0000,3,0.014590,1,1.659675,,,,,1,1.6596749573097203
2011-11-10,sh.000122,909.2950,914.1590,904.3630,904.9310,920.3840,332760000,3381110000.0000,3,0.012891,1,-1.678967,,,,,1,-1.6789731242611738
2011-11-11,sh.000122,905.8730,913.5930,902.9950,906.1390,904.9310,261469500,2714060000.0000,3,0.010129,1,0.133485,,,,,1,0.13349084073812634
2011-11-14,sh.000122,913.1320,926.2520,911.7600,926.1210,906.1390,328947800,3397280000.0000,3,0.012743,1,2.205180,,,,,1,2.205180441411314
2011-11-15,sh.000122,926.5390,933.3860,925.2450,932.7900,926.1210,362744800,3605210000.0000,3,0.014053,1,0.720101,,,,,1,0.7201002892710529
2011-11-16,sh.000122,932.5600,933.1590,905.5710,909.5880,932.7900,482165500,5137740000.0000,3,0.018679,1,-2.487373,,,,,1,-2.4873765799376057
2011-11-17,sh.000122,908.7750,915.2880,902.9110,904.1300,909.5880,280737200,2854070000.0000,3,0.010876,1,-0.600053,,,,,1,-0.6000518916256525
2011-11-18,sh.000122,896.5620,897.7470,874.1410,876.5260,904.1300,292972700,2921010000.0000,3,0.011350,1,-3.053101,,,,,1,-3.053100770906847
2011-11-21,sh.000122,876.9590,879.0150,868.1860,877.1650,876.5260,189897200,2087520000.0000,3,0.007357,1,0.072899,,,,,1,0.0729014313323395
2011-11-22,sh.000122,870.0180,878.4010,865.1220,877.3200,877.1650,195003100,2029740000.0000,3,0.007554,1,0.017674,,,,,1,0.017670563690996843
2011-11-23,sh.000122,879.0870,882.5580,871.7450,876.4800,877.3200,191431700,2035480000.0000,3,0.007416,1,-0.095749,,,,,1,-0.09574613595951798
2011-11-24,sh.000122,870.0760,881.2000,864.4020,874.8400,876.4800,209256600,2077880000.0000,3,0.008106,1,-0.187107,,,,,1,-0.18711208470244545
2011-11-25,sh.000122,873.2480,879.1130,866.3630,868.9850,874.8400,162430900,1622560000.0000,3,0.006292,1,-0.669270,,,,,1,-0.6692652370719254
2011-11-28,sh.000122,870.5690,880.3430,870.5690,877.2540,868.9850,219680300,2223910000.0000,3,0.008510,1,0.951575,,,,,1,0.9515699350391538
2011-11-29,sh.000122,884.4990,893.9900,882.5950,893.8070,877.2540,271727900,2841430000.0000,3,0.010527,1,1.886908,,,,,1,1.8869107464884793
2011-11-30,sh.000122,891.3020,891.3020,848.3430,859.1180,893.8070,305627600,2985110000.0000,3,0.011840,1,-3.881042,,,,,1,-3.8810391952625034
2011-12-01,sh.000122,880.2030,887.8310,870.8520,872.1660,859.1180,330873100,3302610000.0000,3,0.012818,1,1.518771,,,,,1,1.518766921424075
2011-12-02,sh.000122,866.6420,868.0190,850.2910,854.1960,872.1660,205634800,2088800000.0000,3,0.007966,1,-2.060391,,,,,1,-2.060387586766743
