date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2014-11-17,sh.000159,2185.8360,2186.6010,2151.6190,2152.8460,0.0000,17871892224,164813287424.0000,3,0.007903,1,0.000000,,,,,0,
2014-11-18,sh.000159,2151.0370,2155.3180,2129.1340,2136.1100,2152.8460,16458090496,140752957440.0000,3,0.007278,1,-0.777382,,,,,0,-0.7773895578225276
2014-11-19,sh.000159,2133.4510,2143.1680,2126.7300,2132.8330,2136.1100,14764122368,132507852800.0000,3,0.006529,1,-0.153414,,,,,0,-0.1534097026838488
2014-11-20,sh.000159,2126.4280,2140.0990,2122.0810,2133.7830,2132.8330,13026175232,118052483072.0000,3,0.005760,1,0.044539,,,,,0,0.044541696419719834
2014-11-21,sh.000159,2133.4290,2170.8020,2127.8600,2169.7470,2133.7830,17379487488,159710969856.0000,3,0.007685,1,1.685462,,,,,0,1.6854572372167143
2014-11-24,sh.000159,2192.3470,2232.6930,2182.4250,2219.2680,2169.7470,30683137536,278449549312.0000,3,0.013567,1,2.282340,,,,,0,2.282339830404201
2014-11-25,sh.000159,2219.8610,2250.4450,2214.0670,2250.2790,2219.2680,25743997696,230177087488.0000,3,0.011383,1,1.397352,,,,,0,1.3973526406004133
2014-11-26,sh.000159,2257.9610,2282.2130,2254.2580,2281.9060,2250.2790,28218912512,266065854464.0000,3,0.012477,1,1.405468,,,,,0,1.4054701661438296
2014-11-27,sh.000159,2292.8580,2307.3500,2278.0640,2307.1440,2281.9060,30521673216,284969402368.0000,3,0.013492,1,1.106007,,,,,0,1.1060052429854528
2014-11-28,sh.000159,2307.8510,2346.3480,2298.5860,2345.9480,2307.1440,40546145536,343817805824.0000,3,0.017921,1,1.681904,,,,,0,1.6819062876006097
2014-12-01,sh.000159,2359.2880,2379.0770,2339.0550,2347.3230,2345.9480,38887584000,345604853760.0000,3,0.017178,1,0.058612,,,,,0,0.05861169983307768
2014-12-02,sh.000159,2337.8120,2439.7300,2335.7530,2426.2150,2347.3230,38262432256,344016076800.0000,3,0.016902,1,3.360939,,,,,0,3.360934988495412
2014-12-03,sh.000159,2434.2010,2494.7830,2408.4610,2452.4070,2426.2150,48819267072,459588263936.0000,3,0.021564,1,1.079537,,,,,0,1.0795415905020755
2014-12-04,sh.000159,2457.0840,2556.5100,2450.3090,2555.9530,2452.4070,45988634112,441367293952.0000,3,0.020314,1,4.222215,,,,,0,4.222219231962709
2014-12-05,sh.000159,2583.8160,2617.8410,2471.7510,2562.6260,2555.9530,55808681472,558904098816.0000,3,0.024652,1,0.261080,,,,,0,0.2610767881882081
2014-12-08,sh.000159,2550.4690,2671.9140,2526.3130,2657.6140,2562.6260,51698408192,521218539520.0000,3,0.022836,1,3.706668,,,,,0,3.706666520982771
2014-12-09,sh.000159,2643.6840,2751.4380,2514.1070,2540.5470,2657.6140,67924309760,700839636992.0000,3,0.030003,1,-4.404963,,,,,0,-4.404966259208443
2014-12-10,sh.000159,2547.7230,2635.5750,2501.6850,2630.4690,2540.5470,45522579456,476157661184.0000,3,0.020108,1,3.539469,,,,,0,3.539473979422536
2014-12-11,sh.000159,2605.2710,2658.8080,2586.9150,2611.0750,2630.4690,41272561408,413505933312.0000,3,0.018213,1,-0.737285,,,,,0,-0.7372829712116058
2014-12-12,sh.000159,2611.2350,2649.6330,2599.9450,2621.1740,2611.0750,34489307392,358904193024.0000,3,0.015214,1,0.386780,,,,,0,0.3867755617896984
2014-12-15,sh.000159,2605.8590,2652.5990,2583.2200,2645.8650,2621.1740,33834223616,351300202496.0000,3,0.014943,1,0.941979,,,,,0,0.9419824857106018
2014-12-16,sh.000159,2649.8820,2712.8150,2639.2240,2712.7210,2645.8650,39489253888,434302857216.0000,3,0.017433,1,2.526809,,,,,0,2.526810702738058
2014-12-17,sh.000159,2727.8720,2761.5100,2686.8210,2751.7620,2712.7210,48037813504,518360317952.0000,3,0.021198,1,1.439183,,,,,0,1.4391822822914735
2014-12-18,sh.000159,2752.9920,2783.4310,2724.7350,2747.4220,2751.7620,38723610368,417789706240.0000,3,0.017088,1,-0.157712,,,,,0,-0.15771712815280114
2014-12-19,sh.000159,2747.7770,2791.5200,2700.2640,2783.0220,2747.4220,46008116480,458665996288.0000,3,0.020302,1,1.295755,,,,,0,1.2957601708073918
2014-12-22,sh.000159,2795.8920,2830.5060,2747.6230,2773.9660,2783.0220,60129585408,558934093824.0000,3,0.026508,1,-0.325398,,,,,0,-0.3254016676835447
2014-12-23,sh.000159,2744.0580,2798.8800,2700.9410,2708.0800,2773.9660,38986533632,376730554368.0000,3,0.017187,1,-2.375155,,,,,0,-2.3751552830856615
2014-12-24,sh.000159,2712.7640,2722.7580,2615.0810,2649.8870,2708.0800,33360929024,337492033536.0000,3,0.014707,1,-2.148870,,,,,0,-2.148865616968476
2014-12-25,sh.000159,2668.7200,2739.3370,2645.9180,2738.8980,2649.8870,33233711616,336820596736.0000,3,0.014649,1,3.359048,,,,,0,3.3590488952925046
2014-12-26,sh.000159,2745.3910,2826.5410,2737.5790,2820.7900,2738.8980,40898638080,439833849856.0000,3,0.018021,1,2.989965,,,,,0,2.9899616561113174
2014-12-29,sh.000159,2863.8080,2877.8960,2786.2640,2825.6220,2820.7900,45190881792,501342150656.0000,3,0.019895,1,0.171301,,,,,0,0.17129952956440597
2014-12-30,sh.000159,2820.7420,2845.9420,2792.9360,2821.1120,2825.6220,35467798272,397451898880.0000,3,0.015614,1,-0.159611,,,,,0,-0.15961087505688143
2014-12-31,sh.000159,2825.3990,2880.6120,2814.9940,2874.5980,2821.1120,36567539968,396100870144.0000,3,0.016001,1,1.895913,,,,,0,1.8959190560317918
2015-01-05,sh.000159,2897.4570,2969.6350,2881.1640,2950.1360,2874.5980,47449203712,500583469056.0000,3,0.020763,1,2.627779,,,,,,2.627776127305448
2015-01-06,sh.000159,2924.5590,2978.3940,2904.6540,2946.9670,2950.1360,44904047360,485153169408.0000,3,0.019649,1,-0.107417,,,,,,-0.10741877662588939
2015-01-07,sh.000159,2931.1350,2970.3920,2919.0020,2955.1030,2946.9670,34546849536,392038858752.0000,3,0.015117,1,0.276080,,,,,,0.2760804583152865
2015-01-08,sh.000159,2959.5840,2966.4120,2879.7980,2885.0920,2955.1030,32475166208,355815051264.0000,3,0.014210,1,-2.369156,,,,,,-2.3691559989617916
2015-01-09,sh.000159,2875.6890,2983.3790,2866.9390,2876.1480,2885.0920,36915207424,419649753088.0000,3,0.016150,1,-0.310011,,,,,,-0.31000744516985757
2015-01-12,sh.000159,2863.0200,2879.9630,2800.8120,2836.1220,2876.1480,28356890880,327745847296.0000,3,0.012406,1,-1.391649,,,,,,-1.3916530025576024
2015-01-13,sh.000159,2832.2210,2866.4300,2821.2690,2837.6650,2836.1220,20038912512,243055808512.0000,3,0.008767,1,0.054404,,,,,,0.05440527593665312
2015-01-14,sh.000159,2845.5930,2863.4380,2806.8080,2830.9120,2837.6650,21146326016,239320215552.0000,3,0.009250,1,-0.237975,,,,,,-0.2379773510967742
2015-01-15,sh.000159,2830.7830,2914.3960,2819.2690,2914.1400,2830.9120,25250010624,300290605056.0000,3,0.011030,1,2.939964,,,,,,2.939971288404597
2015-01-16,sh.000159,2924.9750,2960.5970,2912.7480,2940.8380,2914.1400,30399726336,356423634944.0000,3,0.013280,1,0.916154,,,,,,0.9161536508198065
2015-01-19,sh.000159,2769.7800,2833.0190,2699.6230,2718.2840,2940.8380,35311715072,365763551232.0000,3,0.015425,1,-7.567706,,,,,,-7.567706891709102
2015-01-20,sh.000159,2705.5300,2773.3530,2696.7950,2757.0730,2718.2840,31406723328,372433092608.0000,3,0.013719,1,1.426969,,,,,,1.4269664244059843
2015-01-21,sh.000159,2774.5320,2886.2120,2767.8580,2879.3040,2757.0730,36087989760,422892171264.0000,3,0.015764,1,4.433360,,,,,,4.433361031789884
2015-01-22,sh.000159,2882.4310,2904.7390,2856.4720,2898.1740,2879.3040,30280626176,357131710464.0000,3,0.013221,1,0.655371,,,,,,0.6553667136224517
2015-01-23,sh.000159,2909.6520,2945.7380,2883.4080,2901.8410,2898.1740,31366764032,367193604096.0000,3,0.013686,1,0.126528,,,,,,0.12652794483698493
2015-01-26,sh.000159,2904.1400,2932.5510,2886.1000,2931.3880,2901.8410,26819240448,309297225728.0000,3,0.011701,1,1.018211,,,,,,1.0182156775646822
2015-01-27,sh.000159,2937.9770,2939.9510,2857.3280,2911.6880,2931.3880,31992872192,363742400512.0000,3,0.013959,1,-0.672035,,,,,,-0.6720365915395599
2015-01-28,sh.000159,2890.1200,2920.4750,2867.3060,2877.5020,2911.6880,25638344448,295871238144.0000,3,0.011174,1,-1.174097,,,,,,-1.174095576174372
2015-01-29,sh.000159,2838.3360,2863.2350,2821.6090,2842.3350,2877.5020,23485569536,257873227776.0000,3,0.010235,1,-1.222136,,,,,,-1.2221364224942355
2015-01-30,sh.000159,2853.7280,2867.1950,2800.1860,2800.2900,2842.3350,21957992448,247230001152.0000,3,0.009569,1,-1.479239,,,,,,-1.4792415390867064
2015-02-02,sh.000159,2741.1720,2777.9680,2732.5880,2738.8950,2800.2900,21450747648,229551149056.0000,3,0.009335,1,-2.192452,,,,,,-2.192451496095049
