date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2007-07-02,sh.000912,5018.4900,5100.3900,4905.1600,5069.4400,0.0000,222200000,361000000.0000,3,0.027421,1,0.000000,,,,,0,
2007-07-03,sh.000912,5086.5500,5121.6700,4986.4500,5105.7400,5069.4400,178280000,278000000.0000,3,0.022001,1,0.716061,,,,,0,0.7160554222951587
2007-07-04,sh.000912,5114.8200,5151.3200,5040.9000,5069.7500,5105.7400,177810000,292000000.0000,3,0.021943,1,-0.704897,,,,,0,-0.704892924434064
2007-07-05,sh.000912,4995.0500,5014.1300,4745.9500,4748.8700,5069.7500,180140000,322000000.0000,3,0.022230,1,-6.329304,,,,,0,-6.329306178805661
2007-07-06,sh.000912,4731.7100,4958.7800,4710.5400,4957.2200,4748.8700,220350000,367000000.0000,3,0.027193,1,4.387362,,,,,0,4.387359519211942
2007-07-09,sh.000912,4997.6500,5110.2600,4965.3500,5077.9300,4957.2200,270830000,401000000.0000,3,0.033422,1,2.435033,,,,,0,2.4350341522062724
2007-07-10,sh.000912,5075.7700,5120.3700,4981.8100,4993.0700,5077.9300,268120000,411000000.0000,3,0.033572,1,-1.671160,,,,,0,-1.6711534030599218
2007-07-11,sh.000912,4955.0300,4970.0600,4892.2600,4957.1600,4993.0700,164010000,253000000.0000,3,0.020536,1,-0.719190,,,,,0,-0.7191968067741916
2007-07-12,sh.000912,4972.7500,4991.5000,4886.4900,4923.7400,4957.1600,140250000,197000000.0000,3,0.017561,1,-0.674175,,,,,0,-0.6741763429060188
2007-07-13,sh.000912,4916.4400,4942.1600,4864.1100,4915.8300,4923.7400,103970000,162000000.0000,3,0.013018,1,-0.160653,,,,,0,-0.16065023742114493
2007-07-16,sh.000912,4915.6900,4916.7400,4747.0200,4750.0300,4915.8300,142520000,220000000.0000,3,0.017845,1,-3.372783,,,,,0,-3.3727773336344025
2007-07-17,sh.000912,4739.2000,4873.5600,4684.8000,4845.8100,4750.0300,137520000,237000000.0000,3,0.017219,1,2.016414,,,,,0,2.016408317421159
2007-07-18,sh.000912,4823.3400,4920.9000,4798.3600,4878.8700,4845.8100,127800000,218000000.0000,3,0.016002,1,0.682240,,,,,0,0.6822388826635661
2007-07-19,sh.000912,4873.7100,4969.3100,4849.8900,4958.6400,4878.8700,112620000,189000000.0000,3,0.014102,1,1.635010,,,,,0,1.6350097461092616
2007-07-20,sh.000912,4949.3300,5109.3700,4944.2300,5100.8800,4958.6400,243030000,373000000.0000,3,0.030431,1,2.868523,,,,,0,2.8685284674830225
2007-07-23,sh.000912,5126.3700,5331.2400,5123.5600,5318.2200,5100.8800,321540000,509000000.0000,3,0.040261,1,4.260840,,,,,0,4.26083342482082
2007-07-24,sh.000912,5329.0800,5340.4000,5238.9800,5242.0800,5318.2200,274300000,442000000.0000,3,0.034346,1,-1.431685,,,,,0,-1.4316820289495436
2007-07-25,sh.000912,5211.2500,5276.9300,5168.4500,5275.2900,5242.0800,287280000,484000000.0000,3,0.035971,1,0.633526,,,,,0,0.6335271495284234
2007-07-26,sh.000912,5316.3400,5378.3500,5296.7200,5357.9200,5275.2900,306510000,488000000.0000,3,0.038379,1,1.566357,,,,,0,1.566359384981686
2007-07-27,sh.000912,5309.0600,5356.6900,5262.5400,5319.6000,5357.9200,248080000,411000000.0000,3,0.031063,1,-0.715200,,,,,0,-0.7152029145638505
2007-07-30,sh.000912,5323.1700,5466.7100,5323.1700,5458.9100,5319.6000,336940000,603000000.0000,3,0.042189,1,2.618807,,,,,0,2.618805925257539
