date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-04-16,sh.000961,4619.5920,4619.6700,4538.7720,4544.6400,0.0000,598125700,12717230000.0000,3,0.005017,1,0.000000,,,,,0,
2010-04-19,sh.000961,4462.8230,4462.8230,4281.3580,4283.2060,4544.6400,1081384500,22876500000.0000,3,0.009004,1,-5.752581,,,,,0,-5.752578862132096
2010-04-20,sh.000961,4282.2800,4341.9610,4225.2040,4316.9230,4283.2060,733969000,16012850000.0000,3,0.006112,1,0.787186,,,,,0,0.7871907164866521
2010-04-21,sh.000961,4330.9730,4411.6470,4293.0510,4411.6220,4316.9230,775319400,16071140000.0000,3,0.006456,1,2.193674,,,,,0,2.1936689628237582
2010-04-22,sh.000961,4388.9940,4463.3770,4324.0710,4409.8760,4411.6220,935428500,21001730000.0000,3,0.007789,1,-0.039579,,,,,0,-0.0395772801930927
2010-04-23,sh.000961,4401.4330,4476.3110,4393.3810,4403.3100,4409.8760,993551400,24841590000.0000,3,0.008273,1,-0.148891,,,,,0,-0.1488930754515505
2010-04-26,sh.000961,4433.6270,4453.6990,4371.3650,4376.4960,4403.3100,675885000,15357340000.0000,3,0.005628,1,-0.608950,,,,,0,-0.6089509936842985
2010-04-27,sh.000961,4362.6990,4362.6990,4204.2800,4272.3630,4376.4960,943390900,19655380000.0000,3,0.007855,1,-2.379376,,,,,0,-2.379369248823715
2010-04-28,sh.000961,4223.8650,4295.0880,4195.0250,4262.0540,4272.3630,733660300,16136590000.0000,3,0.006096,1,-0.241286,,,,,0,-0.24129503977073918
2010-04-29,sh.000961,4286.0330,4301.9520,4164.6660,4165.0680,4262.0540,674353200,14893880000.0000,3,0.005604,1,-2.275577,,,,,0,-2.275569478941375
2010-04-30,sh.000961,4164.4430,4184.5740,4080.9590,4181.4400,4165.0680,686063600,14315400000.0000,3,0.005701,1,0.393080,,,,,0,0.39307881648029674
2010-05-04,sh.000961,4114.9800,4203.7060,4102.8900,4176.4000,4181.4400,525585600,11507090000.0000,3,0.004367,1,-0.120534,,,,,0,-0.1205326394734807
2010-05-05,sh.000961,4107.5030,4142.6640,4010.8990,4142.0710,4176.4000,848185300,17559490000.0000,3,0.007015,1,-0.821978,,,,,0,-0.8219758643807973
2010-05-06,sh.000961,4109.1930,4109.1930,3908.4240,3911.4240,4142.0710,949967900,20248730000.0000,3,0.007857,1,-5.568392,,,,,0,-5.568398030840127
2010-05-07,sh.000961,3824.9280,3865.3240,3767.9370,3786.2520,3911.4240,940211700,18788640000.0000,3,0.007736,1,-3.200167,,,,,0,-3.200164441390141
2010-05-10,sh.000961,3801.5870,3844.2810,3757.8170,3832.4920,3786.2520,696303600,12855620000.0000,3,0.005713,1,1.221260,,,,,0,1.221260497188248
2010-05-11,sh.000961,3911.6010,3932.2340,3796.9400,3808.7370,3832.4920,942533800,18520970000.0000,3,0.007732,1,-0.619829,,,,,0,-0.6198316917556568
2010-05-12,sh.000961,3792.3090,3851.6250,3737.2600,3798.1030,3808.7370,691982900,13297450000.0000,3,0.005677,1,-0.279201,,,,,0,-0.2792001653041387
2010-05-13,sh.000961,3814.6520,3918.8450,3795.5360,3918.1790,3798.1030,765045200,14125640000.0000,3,0.006276,1,3.161471,,,,,0,3.1614729774311012
