date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-08-02,sh.000992,3447.2900,3450.5100,3408.3000,3447.8500,0.0000,1223118200,10799730000.0000,3,0.001530,1,0.000000,,,,,1,
2011-08-03,sh.000992,3420.7700,3462.6700,3416.5600,3446.7600,3447.8500,1214286800,10767350000.0000,3,0.001519,1,-0.031616,,,,,1,-0.0316139043171737
2011-08-04,sh.000992,3458.7500,3480.2500,3440.1600,3446.3500,3446.7600,1019671600,9943850000.0000,3,0.001275,1,-0.011893,,,,,1,-0.011895229142744324
2011-08-05,sh.000992,3366.6400,3386.6200,3353.3500,3363.6100,3446.3500,1634447600,15334940000.0000,3,0.002041,1,-2.400801,,,,,1,-2.400800847273199
2011-08-08,sh.000992,3334.8000,3365.1400,3222.4100,3254.6600,3363.6100,2271434600,19199710000.0000,3,0.002837,1,-3.239085,,,,,1,-3.239079441433468
2011-08-09,sh.000992,3182.1600,3289.2800,3164.9200,3275.3200,3254.6600,2555925300,21282000000.0000,3,0.003192,1,0.634787,,,,,1,0.634782127779876
2011-08-10,sh.000992,3332.8500,3348.2500,3292.3700,3299.5200,3275.3200,2209604500,18888900000.0000,3,0.002759,1,0.738858,,,,,1,0.7388591038432812
2011-08-11,sh.000992,3249.2100,3366.4800,3246.1100,3360.4300,3299.5200,2113382200,18692520000.0000,3,0.002639,1,1.846023,,,,,1,1.8460260886431934
2011-08-12,sh.000992,3374.9300,3377.8600,3343.7200,3354.6400,3360.4300,1917893600,16610810000.0000,3,0.002395,1,-0.172300,,,,,1,-0.17229937835336884
2011-08-15,sh.000992,3361.8500,3430.6600,3346.2000,3430.2500,3354.6400,2144166000,18499330000.0000,3,0.002677,1,2.253896,,,,,1,2.253893115207606
2011-08-16,sh.000992,3429.5700,3457.0500,3394.6200,3406.1200,3430.2500,1928801500,16710880000.0000,3,0.002408,1,-0.703444,,,,,1,-0.7034472706071049
2011-08-17,sh.000992,3405.5300,3425.7800,3393.2100,3405.9200,3406.1200,1535706200,12739050000.0000,3,0.001918,1,-0.005878,,,,,1,-0.005871783730460045
2011-08-18,sh.000992,3411.9500,3415.0100,3340.1400,3344.9800,3405.9200,1453716800,12712930000.0000,3,0.001790,1,-1.789236,,,,,1,-1.7892375628317803
2011-08-19,sh.000992,3292.3900,3323.0200,3289.1300,3317.2400,3344.9800,1412663000,11688440000.0000,3,0.001740,1,-0.829302,,,,,1,-0.8293024173537722
2011-08-22,sh.000992,3323.0000,3349.3500,3284.6300,3297.0600,3317.2400,1087683500,9429780000.0000,3,0.001339,1,-0.608335,,,,,1,-0.6083370512835917
2011-08-23,sh.000992,3310.3400,3362.9500,3297.9100,3362.6500,3297.0600,1282030200,10980080000.0000,3,0.001579,1,1.989343,,,,,1,1.989348085870457
2011-08-24,sh.000992,3376.7600,3386.8000,3332.6300,3338.2100,3362.6500,1265665800,11410850000.0000,3,0.001559,1,-0.726806,,,,,1,-0.7268077260493944
2011-08-25,sh.000992,3352.6800,3482.7300,3348.3500,3482.7300,3362.6500,3259077600,28452880000.0000,3,0.004013,1,3.570996,,,,,1,4.329266283427335
2011-08-26,sh.000992,3461.4800,3478.0200,3442.4600,3472.3900,3482.7300,1878276600,16098190000.0000,3,0.002313,1,-0.296896,,,,,1,-0.2968935289270225
2011-08-29,sh.000992,3429.1500,3429.1500,3378.1100,3385.3200,3472.3900,2008089300,17828940000.0000,3,0.002470,1,-2.507490,,,,,1,-2.507494837849422
2011-08-30,sh.000992,3409.6100,3453.7600,3373.4500,3378.0900,3385.3200,1881994300,16367220000.0000,3,0.002314,1,-0.213569,,,,,1,-0.21356917514444573
2011-08-31,sh.000992,3376.9000,3400.8300,3361.8100,3388.6400,3378.0900,1299082800,11269230000.0000,3,0.001597,1,0.312301,,,,,0,0.312306658496353
2011-09-01,sh.000992,3394.5900,3424.2800,3379.1100,3392.2100,3388.6400,1282023500,11524830000.0000,3,0.001576,1,0.105354,,,,,1,0.10535199962227182
2011-09-02,sh.000992,3385.7900,3391.3000,3338.3500,3354.7500,3392.2100,1112573600,9345170000.0000,3,0.001368,1,-1.104294,,,,,1,-1.1042948402368968
2011-09-05,sh.000992,3325.1070,3325.1070,3290.3820,3295.8290,3354.7500,1216045200,9834920000.0000,3,0.001495,1,-1.756343,,,,,1,-1.7563454802891343
2011-09-06,sh.000992,3277.6600,3303.3280,3273.1240,3287.8900,3295.8290,1057569800,8499870000.0000,3,0.001300,1,-0.240887,,,,,1,-0.24088021556945005
2011-09-07,sh.000992,3305.5580,3364.1150,3295.5300,3354.6500,3287.8900,1383519600,11758680000.0000,3,0.001701,1,2.030482,,,,,1,2.0304815550398647
2011-09-08,sh.000992,3362.5850,3364.0510,3324.8370,3326.4630,3354.6500,1004027900,8377100000.0000,3,0.001234,1,-0.840237,,,,,1,-0.8402366863905275
