date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600009,9.8800,10.0400,9.8800,10.0300,9.8000,2194676,21833906.0000,3,0.455983,1,2.346934,3.300263,23.836217,19.446178,174.066182,0,
2001-01-03,sh.600009,10.0800,10.0900,9.9300,10.0000,10.0300,2310254,23103079.0000,3,0.479997,1,-0.299100,3.290391,23.764922,19.388014,173.545545,0,-0.29910269192422456
2001-01-04,sh.600009,10.0000,10.0000,9.9000,9.9100,10.0000,1602815,15949553.0000,3,0.333014,1,-0.900002,3.260778,23.551038,19.213522,171.983635,0,-0.9000000000000008
2001-01-05,sh.600009,9.9000,10.1500,9.8800,10.0700,9.9100,3352028,33752813.0000,3,0.696444,1,1.614529,3.313424,23.931277,19.523730,174.760364,0,1.6145307769929396
2001-01-08,sh.600009,10.0700,10.0900,9.8800,9.9500,10.0700,2219574,22062725.0000,3,0.461156,1,-1.191657,3.273940,23.646098,19.291074,172.677818,0,-1.1916583912611856
2001-01-09,sh.600009,9.9700,10.1500,9.9600,10.1000,9.9500,2935654,29567595.0000,3,0.609935,1,1.507543,3.323295,24.002572,19.581894,175.281001,0,1.5075376884422065
2001-01-10,sh.600009,10.1000,10.2700,10.1000,10.2300,10.1000,5337355,54499210.0000,3,1.108932,1,1.287120,3.366070,24.311516,19.833938,177.537093,0,1.2871287128712883
2001-01-11,sh.600009,10.2600,10.2800,10.1500,10.1600,10.2300,2482159,25298475.0000,3,0.515713,1,-0.684259,3.343038,24.145161,19.698222,176.322274,0,-0.6842619745845546
2001-01-12,sh.600009,10.1600,10.2300,10.1400,10.1400,10.1600,2432981,24769364.0000,3,0.505496,1,-0.196846,3.336457,24.097631,19.659446,175.975183,0,-0.19685039370078705
2001-01-15,sh.600009,10.1400,10.1400,9.8900,9.9000,10.1400,2304007,22992314.0000,3,0.478699,1,-2.366871,3.257488,23.527273,19.194134,171.810090,0,-2.3668639053254448
2001-01-16,sh.600009,9.8400,10.1000,9.8100,10.0500,9.9000,1725205,17126127.0000,3,0.358442,1,1.515157,3.306843,23.883747,19.484954,174.413273,0,1.5151515151515138
2001-01-17,sh.600009,10.0500,10.1000,9.9700,10.0000,10.0500,1202834,12053177.0000,3,0.249910,1,-0.497514,3.290391,23.764922,19.388014,173.545545,0,-0.4975124378109541
2001-01-18,sh.600009,10.0100,10.1000,9.9800,10.1000,10.0000,1720740,17307454.0000,3,0.357515,1,1.000004,3.323295,24.002572,19.581894,175.281001,0,1.0000000000000009
2001-01-19,sh.600009,10.1000,10.1900,10.1000,10.1400,10.1000,2322638,23564071.0000,3,0.482570,1,0.396039,3.336457,24.097631,19.659446,175.975183,0,0.3960396039603964
2001-02-05,sh.600009,10.2000,10.2400,9.9200,10.0100,10.1400,2048733,20600766.0000,3,0.425661,1,-1.282052,3.293682,23.788687,19.407402,173.719091,0,-1.2820512820512886
2001-02-06,sh.600009,9.9800,10.0900,9.8800,10.0900,10.0100,2481317,24684027.0000,3,0.515538,1,0.799200,3.320005,23.978807,19.562506,175.107455,0,0.7992007992007943
2001-02-07,sh.600009,10.1000,10.1400,10.0000,10.1000,10.0900,1502011,15175609.0000,3,0.312070,1,0.099110,3.323295,24.002572,19.581894,175.281001,0,0.09910802775023875
2001-02-08,sh.600009,10.1000,10.1800,9.9700,10.0100,10.1000,1743804,17545833.0000,3,0.362307,1,-0.891091,3.293682,23.788687,19.407402,173.719091,0,-0.8910891089108919
2001-02-09,sh.600009,10.0000,10.2200,10.0000,10.1800,10.0100,2863908,29051498.0000,3,0.595028,1,1.698303,3.349619,24.192691,19.736998,176.669365,0,1.6983016983016963
2001-02-12,sh.600009,10.2000,10.3500,10.1400,10.3200,10.1800,4579788,46983742.0000,3,0.951533,1,1.375239,3.395684,24.525400,20.008431,179.099003,0,1.3752455795677854
2001-02-13,sh.600009,10.3200,10.3500,10.1800,10.2500,10.3200,2968260,30428492.0000,3,0.616709,1,-0.678292,3.372651,24.359046,19.872715,177.884184,0,-0.6782945736434121
