date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-12-06,sh.600011,13.3000,14.0700,13.3000,13.6400,7.9500,123438106,1684639205.0000,3,84.197746,1,71.572330,3.386534,30.950445,6.516761,-162.115386,0,
2001-12-07,sh.600011,13.6000,13.6800,13.0300,13.1100,13.6400,21226690,284941998.0000,3,14.478831,1,-3.885635,3.254946,29.747825,6.263544,-155.816181,0,-3.885630498533732
2001-12-10,sh.600011,13.0200,13.2800,12.7600,13.1800,13.1100,11154109,145102149.0000,3,7.608273,1,0.533949,3.272326,29.906661,6.296987,-156.648151,0,0.5339435545385296
2001-12-11,sh.600011,13.1000,13.3000,12.9500,12.9600,13.1800,5654160,74127608.0000,3,3.856731,1,-1.669198,3.217704,29.407461,6.191878,-154.033387,0,-1.669195751138075
2001-12-12,sh.600011,12.9000,13.7300,12.8700,13.4600,12.9600,18886173,254419526.0000,3,12.882353,1,3.858025,3.341844,30.542008,6.430763,-159.976033,0,3.8580246913580307
2001-12-13,sh.600011,13.4300,13.5900,13.2800,13.3800,13.4600,5719654,76988191.0000,3,3.901404,1,-0.594353,3.321981,30.360480,6.392541,-159.025210,0,-0.5943536404160454
2001-12-14,sh.600011,13.3200,13.5800,13.2800,13.3100,13.3800,3588120,48141410.0000,3,2.447475,1,-0.523167,3.304602,30.201644,6.359097,-158.193239,0,-0.5231689088191382
2001-12-17,sh.600011,13.4000,13.5500,13.3000,13.3100,13.3100,2935549,39365226.0000,3,2.002353,1,0.000000,3.304602,30.201644,6.359097,-158.193239,0,0.0
2001-12-18,sh.600011,13.3000,13.3800,12.9000,13.1700,13.3100,7393558,96591647.0000,3,5.043183,1,-1.051843,3.269843,29.883970,6.292210,-156.529298,0,-1.0518407212622094
2001-12-19,sh.600011,13.1700,13.2400,12.9300,12.9900,13.1700,3267712,42651830.0000,3,2.228923,1,-1.366745,3.225152,29.475534,6.206211,-154.389946,0,-1.3667425968109326
2001-12-20,sh.600011,12.9000,12.9200,12.4300,12.5000,12.9900,7445758,93776202.0000,3,5.078789,1,-3.772130,3.103495,28.363677,5.972105,-148.566153,0,-3.772132409545803
2001-12-21,sh.600011,12.4000,12.5800,12.2800,12.5300,12.5000,3083413,38183002.0000,3,2.103211,1,0.239998,3.110944,28.431750,5.986438,-148.922711,0,0.23999999999999577
2001-12-24,sh.600011,12.4000,12.5000,12.1000,12.2700,12.5300,4534291,55657806.0000,3,3.092862,1,-2.075014,3.046391,27.841786,5.862218,-145.832535,0,-2.0750199521149204
2001-12-25,sh.600011,12.2800,12.5600,12.1900,12.4100,12.2700,3351630,41584045.0000,3,2.286164,1,1.140989,3.081150,28.159459,5.929106,-147.496476,0,1.140994295028519
2001-12-26,sh.600011,12.3100,12.7600,12.3000,12.5000,12.4100,3566726,44719246.0000,3,2.432882,1,0.725223,3.103495,28.363677,5.972105,-148.566153,0,0.725221595487513
2001-12-27,sh.600011,12.5800,12.7200,12.4600,12.5000,12.5000,3720942,46725485.0000,3,2.538073,1,0.000000,3.103495,28.363677,5.972105,-148.566153,0,0.0
2001-12-28,sh.600011,12.5000,12.5800,12.3300,12.5200,12.5000,2142850,26678027.0000,3,1.461649,1,0.160004,3.108461,28.409059,5.981660,-148.803859,0,0.16000000000000458
2001-12-31,sh.600011,12.5600,12.7400,12.5200,12.5700,12.5200,2109999,26631835.0000,3,1.439241,1,0.399355,3.120875,28.522514,6.005549,-149.398123,0,0.39936102236421966
2002-01-04,sh.600011,12.5700,12.5700,12.1500,12.2200,12.5700,1922190,23600214.0000,3,1.311135,1,-2.784403,3.033977,27.728331,5.838330,-145.238271,0,-2.7844073190135266
2002-01-07,sh.600011,12.2000,12.3000,12.0800,12.2600,12.2200,1328250,16136023.0000,3,0.906006,1,0.327332,3.043908,27.819095,5.857441,-145.713683,0,0.3273322422258529
2002-01-08,sh.600011,12.2600,12.3700,12.1400,12.1500,12.2600,1042499,12783145.0000,3,0.711094,1,-0.897232,3.016598,27.569494,5.804886,-144.406300,0,-0.8972267536704659
2002-01-09,sh.600011,12.1100,12.1900,11.8000,11.9000,12.1500,2066747,24735267.0000,3,1.409738,1,-2.057613,2.954528,27.002221,5.685444,-141.434977,0,-2.0576131687242816
2002-01-10,sh.600011,11.8000,12.1900,11.5000,12.1000,11.9000,3313737,38863524.0000,3,2.260316,1,1.680679,3.004184,27.456040,5.780998,-143.812036,0,1.680672268907557
2002-01-11,sh.600011,12.0500,12.0600,11.5100,11.5200,12.1000,2739088,32258153.0000,3,1.868346,1,-4.793387,2.860181,26.139965,5.503892,-136.918566,0,-4.793388429752065
2002-01-14,sh.600011,11.4000,11.5100,11.1900,11.2800,11.5200,2764019,31313461.0000,3,1.885351,1,-2.083339,2.800594,25.595382,5.389228,-134.066096,0,-2.083333333333337
2002-01-15,sh.600011,11.1800,11.7900,11.1700,11.3600,11.2800,3424487,39158237.0000,3,2.335860,1,0.709219,2.820457,25.776910,5.427449,-135.016920,0,0.7092198581560183
2002-01-16,sh.600011,11.3600,11.7100,11.1800,11.5900,11.3600,2830280,32501507.0000,3,1.930548,1,2.024652,2.877561,26.298802,5.537336,-137.750537,0,2.0246478873239493
2002-01-17,sh.600011,11.5400,11.6200,11.2800,11.3400,11.5900,2558650,29213158.0000,3,1.745268,1,-2.157032,2.815491,25.731528,5.417894,-134.779214,0,-2.1570319240724722
2002-01-18,sh.600011,11.2500,11.9900,11.1800,11.6000,11.3400,5675161,66055249.0000,3,3.871056,1,2.292771,2.880044,26.321493,5.542113,-137.869390,0,2.2927689594356204
2002-01-21,sh.600011,11.7000,11.8400,11.4700,11.6500,11.6000,3142879,36496713.0000,3,2.143773,1,0.431028,2.892458,26.434947,5.566002,-138.463654,0,0.4310344827586299
2002-01-22,sh.600011,11.6000,11.9900,11.5500,11.7700,11.6500,3163396,37246386.0000,3,2.157768,1,1.030050,2.922251,26.707239,5.623334,-139.889889,0,1.030042918454921
2002-01-23,sh.600011,11.8600,12.6000,11.7000,12.4900,11.7700,6359397,77314682.0000,3,4.337776,1,6.117241,3.101013,28.340986,5.967327,-148.447300,0,6.1172472387425625
2002-01-24,sh.600011,12.4900,12.8500,12.0200,12.5300,12.4900,9668673,121114945.0000,3,6.595050,1,0.320256,3.110944,28.431750,5.986438,-148.922711,0,0.32025620496396456
2002-01-25,sh.600011,12.5100,12.5800,12.3600,12.4000,12.5300,3145060,39162759.0000,3,2.145261,1,-1.037511,3.078667,28.136768,5.924328,-147.377623,0,-1.037509976057449
2002-01-28,sh.600011,12.3000,12.3900,11.4800,11.5000,12.4000,5566410,66214122.0000,3,3.796876,1,-7.258061,2.855216,26.094583,5.494337,-136.680860,0,-7.258064516129037
2002-01-29,sh.600011,11.2000,11.9000,11.2000,11.8500,11.5000,2695682,31564416.0000,3,1.838738,1,3.043482,2.942114,26.888766,5.661556,-140.840713,0,3.04347826086957
