date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2002-10-09,sh.600050,3.0500,3.1500,2.8600,2.8700,2.3000,1304738321,3911240489.0000,3,47.445030,1,24.782610,2.250643,33.839304,1.947417,-2.149427,0,
2002-10-10,sh.600050,2.8300,2.8900,2.7900,2.8300,2.8700,202927101,576093020.0000,3,7.379167,1,-1.390000,2.219275,33.367676,1.920275,-2.119470,0,-1.3937282229965153
2002-10-11,sh.600050,2.8500,2.9600,2.8300,2.9400,2.8300,173135913,504271975.0000,3,6.295851,1,3.890000,2.305536,34.664653,1.994914,-2.201852,0,3.886925795053009
2002-10-14,sh.600050,2.9600,3.0200,2.9400,3.0100,2.9400,178761083,534049619.0000,3,6.500403,1,2.380000,2.360430,35.490002,2.042412,-2.254277,0,2.3809523809523725
2002-10-15,sh.600050,3.0100,3.0100,2.9600,2.9800,3.0100,90834152,271086326.0000,3,3.303060,1,-1.000000,2.336904,35.136281,2.022056,-2.231809,0,-0.9966777408637828
2002-10-16,sh.600050,2.9900,3.0500,2.9800,2.9900,2.9800,111936407,337916506.0000,3,4.070415,1,0.340000,2.344746,35.254188,2.028842,-2.239298,0,0.3355704697986628
2002-10-17,sh.600050,2.9900,3.0100,2.9700,2.9800,2.9900,81004244,242238148.0000,3,2.945609,1,-0.330000,2.336904,35.136281,2.022056,-2.231809,0,-0.33444816053512794
2002-10-18,sh.600050,2.9800,3.0300,2.9700,3.0100,2.9800,60059481,180426808.0000,3,2.183981,1,1.010000,2.360430,35.490002,2.042412,-2.254277,0,1.0067114093959662
2002-10-21,sh.600050,3.0100,3.0400,3.0000,3.0300,3.0100,53577800,161786071.0000,3,1.948284,1,0.660000,2.376114,35.725816,2.055983,-2.269256,0,0.6644518272425293
2002-10-22,sh.600050,3.0400,3.0700,3.0300,3.0500,3.0300,92634896,282630418.0000,3,3.368542,1,0.660000,2.391798,35.961630,2.069554,-2.284234,0,0.660066006600668
2002-10-23,sh.600050,3.0500,3.0600,3.0200,3.0400,3.0500,51837602,157496514.0000,3,1.885004,1,-0.330000,2.383956,35.843723,2.062769,-2.276745,0,-0.3278688524590123
2002-10-24,sh.600050,3.0500,3.0500,3.0200,3.0400,3.0400,43407924,131766821.0000,3,1.578470,1,0.000000,2.383956,35.843723,2.062769,-2.276745,0,0.0
2002-10-25,sh.600050,3.0400,3.0600,2.9900,2.9900,3.0400,88674495,268069837.0000,3,3.224527,1,-1.640000,2.344746,35.254188,2.028842,-2.239298,0,-1.6447368421052544
2002-10-28,sh.600050,2.9800,3.0000,2.9300,2.9400,2.9900,96863324,286858214.0000,3,3.522303,1,-1.670000,2.305536,34.664653,1.994914,-2.201852,0,-1.6722408026755953
2002-10-29,sh.600050,2.9300,2.9700,2.9200,2.9700,2.9400,47253958,139364039.0000,3,1.718326,1,1.020000,2.329062,35.018374,2.015271,-2.224320,0,1.0204081632653184
