date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600057,10.5000,10.6000,10.3500,10.5600,10.4600,638790,6682686.0000,3,0.443604,1,0.956027,6.177710,-25.939630,3.727792,-32.207349,0,
2001-01-03,sh.600057,10.5600,10.6800,10.4200,10.6000,10.5600,693720,7323671.0000,3,0.481750,1,0.378787,6.201111,-26.037886,3.741912,-32.329347,0,0.37878787878786735
2001-01-04,sh.600057,10.6000,10.6000,10.4000,10.4100,10.6000,693035,7258780.0000,3,0.481274,1,-1.792458,6.089959,-25.571170,3.674840,-31.749859,0,-1.7924528301886733
2001-01-05,sh.600057,10.3600,10.5500,10.2200,10.3100,10.4100,940842,9731204.0000,3,0.653363,1,-0.960609,6.031458,-25.325529,3.639539,-31.444865,0,-0.9606147934678178
2001-01-08,sh.600057,10.3000,10.3000,10.0500,10.1000,10.3100,1431491,14490733.0000,3,0.994091,1,-2.036858,5.908605,-24.809684,3.565407,-30.804378,0,-2.036857419980609
2001-01-09,sh.600057,10.1000,10.1000,9.8700,10.0500,10.1000,1537053,15247826.0000,3,1.067398,1,-0.495051,5.879355,-24.686864,3.547757,-30.651881,0,-0.4950495049504844
2001-01-10,sh.600057,10.1000,10.2100,10.0000,10.1800,10.0500,887224,8962541.0000,3,0.616128,1,1.293533,5.955406,-25.006197,3.593648,-31.048373,0,1.2935323383084452
2001-01-11,sh.600057,10.2000,10.2600,10.1000,10.1200,10.1800,665021,6738422.0000,3,0.461820,1,-0.589395,5.920306,-24.858812,3.572467,-30.865377,0,-0.5893909626719096
2001-01-12,sh.600057,10.1100,10.2500,10.1000,10.1800,10.1200,599481,6102233.0000,3,0.416306,1,0.592889,5.955406,-25.006197,3.593648,-31.048373,0,0.5928853754940677
2001-01-15,sh.600057,10.1800,10.1800,10.0000,10.0500,10.1800,627449,6329430.0000,3,0.435728,1,-1.277015,5.879355,-24.686864,3.547757,-30.651881,0,-1.2770137524557912
2001-01-16,sh.600057,10.0500,10.0900,10.0000,10.0100,10.0500,500148,5010686.0000,3,0.347325,1,-0.398010,5.855954,-24.588608,3.533636,-30.529883,0,-0.39800995024876773
2001-01-17,sh.600057,10.0200,10.0900,10.0000,10.0200,10.0100,554317,5550028.0000,3,0.384942,1,0.099902,5.861804,-24.613172,3.537166,-30.560383,0,0.09990009990010762
2001-01-18,sh.600057,10.0200,10.1600,10.0000,10.0900,10.0200,437318,4408068.0000,3,0.303693,1,0.698600,5.902755,-24.785120,3.561877,-30.773878,0,0.698602794411185
2001-01-19,sh.600057,10.0500,10.1600,9.9000,10.1500,10.0900,631068,6367726.0000,3,0.438242,1,0.594643,5.937856,-24.932504,3.583058,-30.956875,0,0.5946481665014991
2001-02-05,sh.600057,10.1800,10.3400,10.0800,10.2100,10.1500,581572,5961385.0000,3,0.403869,1,0.591137,5.972956,-25.079889,3.604238,-31.139871,0,0.5911330049261032
