date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600058,25.8000,26.0000,24.8800,25.0100,25.5000,294160,7389695.0000,3,0.245539,1,-1.921568,6.391792,144.403918,1.126259,36.468133,0,
2001-01-03,sh.600058,25.5000,25.8800,24.4800,25.1500,25.0100,372956,9333891.0000,3,0.311312,1,0.559774,6.427571,145.212257,1.132564,36.672273,0,0.5597760895641679
2001-01-04,sh.600058,25.1000,25.7000,24.8800,25.2000,25.1500,406000,10269129.0000,3,0.338894,1,0.198812,6.440350,145.500949,1.134816,36.745180,0,0.19880715705766772
2001-01-05,sh.600058,25.5400,25.5800,24.7900,24.7900,25.2000,386300,9719965.0000,3,0.322450,1,-1.626984,6.335566,143.133672,1.116352,36.147342,0,-1.6269841269841323
2001-01-08,sh.600058,25.2000,25.2000,24.0000,24.4000,24.7900,423950,10347457.0000,3,0.353877,1,-1.573220,6.235894,140.881871,1.098790,35.578666,0,-1.573215006050832
2001-01-09,sh.600058,24.4000,24.9000,23.8000,24.2500,24.4000,375708,9069427.0000,3,0.313609,1,-0.614753,6.197559,140.015794,1.092035,35.359945,0,-0.6147540983606481
2001-01-10,sh.600058,24.2300,24.4000,23.8000,24.3000,24.2500,543963,13056999.0000,3,0.454054,1,0.206182,6.210337,140.304486,1.094286,35.432852,0,0.20618556701030855
2001-01-11,sh.600058,24.2000,24.5000,23.5000,23.9000,24.3000,318900,7652425.0000,3,0.266190,1,-1.646089,6.108110,137.994948,1.076273,34.849595,0,-1.6460905349794275
2001-01-12,sh.600058,23.8800,24.2400,23.2000,23.3000,23.9000,239570,5648887.0000,3,0.199972,1,-2.510462,5.954768,134.530639,1.049254,33.974710,0,-2.5104602510460206
2001-01-15,sh.600058,22.8500,22.9600,21.3000,22.0800,23.3000,145220,3238801.0000,3,0.121217,1,-5.236049,5.642973,127.486546,0.994315,32.195777,0,-5.2360515021459335
2001-01-16,sh.600058,22.0000,23.2800,21.7000,23.2800,22.0800,737301,16678078.0000,3,0.615436,1,5.434786,5.949657,134.415162,1.048353,33.945547,0,5.434782608695676
2001-01-17,sh.600058,23.2800,23.6000,22.0000,22.9000,23.2800,300106,6843567.0000,3,0.250503,1,-1.632307,5.852540,132.221100,1.031241,33.391453,0,-1.6323024054982982
2001-01-18,sh.600058,22.9000,23.5000,21.9900,23.2700,22.9000,1779002,40070005.0000,3,1.484958,1,1.615724,5.947101,134.357424,1.047903,33.930966,0,1.615720524017461
2001-01-19,sh.600058,23.0000,23.1500,22.5000,22.6900,23.2700,293600,6663236.0000,3,0.245072,1,-2.492479,5.798871,131.008592,1.021784,33.085243,0,-2.492479587451646
2001-02-05,sh.600058,22.4900,22.9600,22.0000,22.2100,22.6900,87057,1940839.0000,3,0.072668,1,-2.115476,5.676197,128.237146,1.000169,32.385335,0,-2.1154693697664206
2001-02-06,sh.600058,22.3000,22.4800,21.8800,22.2800,22.2100,78662,1739940.0000,3,0.065660,1,0.315181,5.694087,128.641315,1.003321,32.487405,0,0.31517334533994745
2001-02-07,sh.600058,22.2500,22.4000,22.0600,22.2800,22.2800,106800,2376911.0000,3,0.089147,1,0.000000,5.694087,128.641315,1.003321,32.487405,0,0.0
2001-02-08,sh.600058,22.2800,22.3500,21.9000,22.0000,22.2800,163400,3630534.0000,3,0.136392,1,-1.256736,5.622528,127.024638,0.990712,32.079125,0,-1.2567324955116699
2001-02-09,sh.600058,22.3500,22.7800,21.7000,22.3200,22.0000,381500,8488954.0000,3,0.318443,1,1.454544,5.704310,128.872269,1.005122,32.545731,0,1.454545454545464
2001-02-12,sh.600058,22.2200,22.4000,21.5000,21.8700,22.3200,90600,1965553.0000,3,0.075625,1,-2.016124,5.589304,126.274038,0.984858,31.889567,0,-2.0161290322580627
