date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600073,15.8000,15.9500,15.4500,15.8400,16.0000,615632,9645688.0000,3,0.513027,1,-0.999999,6.093618,30.902027,8.111682,44.675778,0,
2001-01-03,sh.600073,15.8400,15.8400,15.5000,15.6700,15.8400,664115,10375363.0000,3,0.553429,1,-1.073233,6.028220,30.570377,8.024625,44.196304,0,-1.0732323232323204
2001-01-04,sh.600073,15.8000,16.2000,15.6800,15.8000,15.6700,1125161,17873636.0000,3,0.937634,1,0.829611,6.078230,30.823992,8.091198,44.562961,0,0.8296107211231751
2001-01-05,sh.600073,15.9100,16.0000,15.6300,15.7900,15.8000,565176,8888338.0000,3,0.470980,1,-0.063293,6.074383,30.804483,8.086077,44.534756,0,-0.06329113924051777
2001-01-08,sh.600073,15.7900,15.8000,15.1000,15.2000,15.7900,1048350,16043097.0000,3,0.873625,1,-3.736543,5.847411,29.653460,7.783938,42.870697,0,-3.7365421152628198
2001-01-09,sh.600073,15.2200,15.4500,15.1500,15.2500,15.2000,479981,7309401.0000,3,0.399984,1,0.328949,5.866646,29.751005,7.809543,43.011719,0,0.328947368421062
2001-01-10,sh.600073,15.2500,15.5000,15.1700,15.3100,15.2500,477692,7309328.0000,3,0.398077,1,0.393445,5.889728,29.868058,7.840269,43.180945,0,0.39344262295082366
2001-01-11,sh.600073,15.3100,15.6600,15.2100,15.4900,15.3100,710479,10937099.0000,3,0.592066,1,1.175698,5.958974,30.219217,7.932447,43.688624,0,1.1757021554539504
2001-01-12,sh.600073,15.5000,15.6000,15.2500,15.3000,15.4900,363461,5561857.0000,3,0.302884,1,-1.226595,5.885881,29.848549,7.835148,43.152741,0,-1.2265978050355009
2001-01-15,sh.600073,15.3000,15.3000,15.0000,15.0100,15.3000,707611,10659427.0000,3,0.589676,1,-1.895424,5.774319,29.282792,7.686638,42.334813,0,-1.8954248366013116
2001-01-16,sh.600073,14.9400,15.0000,14.6100,14.9000,15.0100,566567,8388792.0000,3,0.472139,1,-0.732849,5.732002,29.068195,7.630307,42.024564,0,-0.7328447701532292
2001-01-17,sh.600073,14.9000,14.9500,14.6900,14.6900,14.9000,358200,5294569.0000,3,0.298500,1,-1.409396,5.651215,28.658509,7.522766,41.432272,0,-1.4093959731543704
2001-01-18,sh.600073,14.6500,14.8100,14.6200,14.7800,14.6900,403790,5950709.0000,3,0.336492,1,0.612663,5.685838,28.834089,7.568855,41.686111,0,0.6126616746085833
2001-01-19,sh.600073,14.8000,14.9800,14.8000,14.9000,14.7800,406219,6063655.0000,3,0.338516,1,0.811907,5.732002,29.068195,7.630307,42.024564,0,0.8119079837618504
2001-02-05,sh.600073,15.0000,15.1000,14.4000,14.4700,14.9000,311500,4564175.0000,3,0.259583,1,-2.885902,5.566582,28.229314,7.410104,40.811775,0,-2.885906040268449
2001-02-06,sh.600073,14.4000,14.4100,13.8000,14.0900,14.4700,414667,5830016.0000,3,0.345556,1,-2.626124,5.420397,27.487978,7.215505,39.740007,0,-2.6261230131306212
2001-02-07,sh.600073,14.1000,14.3900,13.9000,14.2300,14.0900,349886,4954985.0000,3,0.291572,1,0.993608,5.474254,27.761101,7.287199,40.134869,0,0.9936124911284594
2001-02-08,sh.600073,14.0000,14.2300,13.4500,13.6700,14.2300,389199,5410718.0000,3,0.324333,1,-3.935344,5.258823,26.668606,7.000423,38.555422,0,-3.935347856640903
2001-02-09,sh.600073,13.6800,14.0600,13.6500,13.7900,13.6700,457550,6314944.0000,3,0.381292,1,0.877834,5.304987,26.902712,7.061875,38.893875,0,0.8778346744696464
2001-02-12,sh.600073,13.8300,13.8500,13.4500,13.6000,13.7900,313826,4255418.0000,3,0.261522,1,-1.377807,5.231894,26.532044,6.964576,38.357992,0,-1.377810007251623
2001-02-13,sh.600073,13.6500,13.8400,13.4600,13.5100,13.6000,493389,6719016.0000,3,0.411158,1,-0.661766,5.197272,26.356464,6.918487,38.104152,0,-0.6617647058823506
2001-02-14,sh.600073,13.5600,13.7800,13.5500,13.6100,13.5100,262066,3578232.0000,3,0.218388,1,0.740188,5.235741,26.551552,6.969697,38.386196,0,0.7401924500370027
2001-02-15,sh.600073,13.6300,13.7000,13.5000,13.5400,13.6100,214160,2910984.0000,3,0.178467,1,-0.514325,5.208813,26.414990,6.933850,38.188765,0,-0.5143277002204294
2001-02-16,sh.600073,13.6400,13.6400,13.1500,13.3900,13.5400,352710,4690863.0000,3,0.293925,1,-1.107826,5.151108,26.122358,6.857034,37.765699,0,-1.107828655834553
2001-02-19,sh.600073,13.5000,13.5300,13.2000,13.5300,13.3900,293465,3924533.0000,3,0.244554,1,1.045552,5.204966,26.395482,6.928729,38.160561,0,1.0455563853622118
2001-02-20,sh.600073,13.6000,13.9300,13.5000,13.6700,13.5300,415000,5691093.0000,3,0.345833,1,1.034740,5.258823,26.668606,7.000423,38.555422,0,1.0347376201034875
2001-02-21,sh.600073,13.5000,13.6100,13.2000,13.2600,13.6700,299470,3990844.0000,3,0.249558,1,-2.999267,5.101097,25.868742,6.790461,37.399042,0,-2.9992684711046103
2001-02-22,sh.600073,13.2000,13.4000,13.1500,13.2800,13.2600,182350,2420613.0000,3,0.151958,1,0.150826,5.108791,25.907760,6.800703,37.455451,0,0.15082956259426794
2001-02-23,sh.600073,13.2800,13.4500,12.8900,13.1100,13.2800,426209,5584516.0000,3,0.355174,1,-1.280121,5.043392,25.576110,6.713646,36.975976,0,-1.2801204819277157
2001-02-26,sh.600073,13.1800,13.5000,12.9500,13.4600,13.1100,500655,6605858.0000,3,0.417212,1,2.669721,5.178037,26.258920,6.892882,37.963130,0,2.6697177726926036
2001-02-27,sh.600073,13.5000,13.7300,13.3400,13.6400,13.4600,401028,5434017.0000,3,0.334190,1,1.337298,5.247282,26.610079,6.985060,38.470809,0,1.3372956909361022
2001-02-28,sh.600073,13.4400,13.6000,13.0000,13.2000,13.6400,522188,6880608.0000,3,0.435157,1,-3.225811,5.480682,53.524915,7.960684,28.801092,0,-3.2258064516129115
2001-03-01,sh.600073,13.1500,13.2000,12.9600,13.0300,13.2000,934192,12198288.0000,3,0.778493,1,-1.287879,5.410098,52.835579,7.858160,28.430169,0,-1.2878787878787823
2001-03-02,sh.600073,13.1000,13.4700,13.1000,13.3700,13.0300,695022,9236974.0000,3,0.579185,1,2.609364,5.551267,54.214251,8.063208,29.172015,0,2.609363008442056
2001-03-05,sh.600073,13.4000,13.6000,13.3800,13.5500,13.3700,719215,9691778.0000,3,0.599346,1,1.346300,5.626004,54.944136,8.171763,29.564757,0,1.3462976813762184
2001-03-06,sh.600073,13.6000,13.6000,13.3000,13.4900,13.5500,447369,6009309.0000,3,0.372808,1,-0.442808,5.601091,54.700841,8.135578,29.433843,0,-0.44280442804428555
2001-03-07,sh.600073,13.5200,13.6600,13.5000,13.6200,13.4900,523447,7115666.0000,3,0.436206,1,0.963678,5.655068,55.227980,8.213979,29.717490,0,0.9636767976278549
2001-03-08,sh.600073,13.6000,14.0500,13.5200,13.8700,13.6200,1051054,14587143.0000,3,0.875878,1,1.835536,5.758869,56.241710,8.364749,30.262965,0,1.8355359765051427
2001-03-09,sh.600073,13.9000,15.2100,13.9000,15.0000,13.8700,5718269,84876053.0000,3,4.765224,1,8.147081,6.228048,60.823767,9.046232,32.728513,0,8.147080028839238
2001-03-12,sh.600073,14.9800,14.9800,14.3100,14.5000,15.0000,1906219,27676252.0000,3,1.588516,1,-3.333333,6.020447,58.796308,8.744691,31.637563,0,-3.3333333333333326
2001-03-13,sh.600073,14.4000,14.4500,13.9800,14.0900,14.5000,1410640,19871484.0000,3,1.175533,1,-2.827585,5.850213,57.133792,8.497427,30.742984,0,-2.8275862068965485
2001-03-14,sh.600073,14.0500,14.3000,13.9600,14.1400,14.0900,729520,10324887.0000,3,0.607933,1,0.354863,5.870973,57.336538,8.527581,30.852079,0,0.35486160397446564
2001-03-15,sh.600073,14.1500,14.3000,14.0200,14.0600,14.1400,576164,8144982.0000,3,0.480137,1,-0.565770,5.837757,57.012144,8.479335,30.677527,0,-0.5657708628005631
2001-03-16,sh.600073,14.0600,14.0800,13.8500,13.8900,14.0600,656425,9136158.0000,3,0.547021,1,-1.209104,5.767173,56.322808,8.376811,30.306603,0,-1.2091038406827903
2001-03-19,sh.600073,13.8200,13.9500,13.6600,13.8800,13.8900,626616,8637055.0000,3,0.522180,1,-0.071996,5.763021,56.282259,8.370780,30.284784,0,-0.07199424046075986
2001-03-20,sh.600073,13.9900,14.5000,13.9800,14.3000,13.8800,940091,13477883.0000,3,0.783409,1,3.025937,5.937406,57.985324,8.624075,31.201183,0,3.0259365994236287
2001-03-21,sh.600073,14.3200,14.4000,14.1000,14.3700,14.3000,592477,8442405.0000,3,0.493731,1,0.489508,5.966470,58.269169,8.666290,31.353916,0,0.4895104895104696
2001-03-22,sh.600073,14.4000,14.9600,14.3800,14.9400,14.3700,2268602,33334689.0000,3,1.890502,1,3.966595,6.203136,60.580472,9.010047,32.597599,0,3.9665970772442716
2001-03-23,sh.600073,14.9400,15.1700,14.6500,14.8900,14.9400,2785720,41624391.0000,3,2.321433,1,-0.334667,6.182376,60.377726,8.979893,32.488504,0,-0.33467202141900243
2001-03-26,sh.600073,14.8000,15.3000,14.6600,15.2500,14.8900,3002713,45298155.0000,3,2.502261,1,2.417728,6.331849,61.837496,9.197003,33.273989,0,2.417730020147757
2001-03-27,sh.600073,15.2500,15.6400,15.0800,15.6300,15.2500,3339493,51392003.0000,3,2.782911,1,2.491804,6.489626,63.378365,9.426174,34.103111,0,2.4918032786885203
2001-03-28,sh.600073,15.7900,15.7900,15.3000,15.3800,15.6300,1492637,23175959.0000,3,1.243864,1,-1.599488,6.385825,62.364636,9.275403,33.557636,0,-1.599488163787588
2001-03-29,sh.600073,15.3800,15.4500,15.0000,15.0600,15.3800,1083037,16398660.0000,3,0.902531,1,-2.080622,6.252960,61.067062,9.082417,32.859428,0,-2.080624187256175
2001-03-30,sh.600073,15.0300,15.2500,14.9700,15.0000,15.0600,1258721,18959194.0000,3,1.048934,1,-0.398409,6.228048,60.823767,9.046232,32.728513,0,-0.3984063745019917
2001-04-02,sh.600073,15.0800,15.1900,14.9100,14.9900,15.0000,757622,11376993.0000,3,0.631352,1,-0.066668,6.223896,60.783218,9.040201,32.706694,0,-0.06666666666667043
2001-04-03,sh.600073,15.0000,15.0700,14.7200,14.8200,14.9900,724246,10760467.0000,3,0.603538,1,-1.134090,6.153312,60.093882,8.937677,32.335771,0,-1.1340893929286167
2001-04-04,sh.600073,14.8500,14.9800,14.6600,14.6800,14.8200,674750,9979599.0000,3,0.562292,1,-0.944665,6.095183,59.526193,8.853246,32.030305,0,-0.9446693657220062
2001-04-05,sh.600073,14.6000,14.8000,14.5500,14.8000,14.6800,818905,11993117.0000,3,0.682421,1,0.817438,6.145008,60.012783,8.925616,32.292133,0,0.8174386920980936
2001-04-06,sh.600073,14.9000,15.0700,14.7400,14.7700,14.8000,518250,7726860.0000,3,0.431875,1,-0.202701,6.132551,59.891136,8.907523,32.226676,0,-0.20270270270270618
2001-04-09,sh.600073,14.7700,14.7800,14.5000,14.5900,14.7700,560280,8173343.0000,3,0.466900,1,-1.218689,6.057815,59.161251,8.798968,31.833934,0,-1.2186865267433955
2001-04-10,sh.600073,14.5900,14.8200,14.5800,14.8200,14.5900,394299,5774257.0000,3,0.328582,1,1.576419,6.153312,60.093882,8.937677,32.335771,0,1.5764222069911016
2001-04-11,sh.600073,14.8000,14.9800,14.7700,14.8400,14.8200,375615,5580998.0000,3,0.313013,1,0.134956,6.161616,60.174980,8.949739,32.379409,0,0.13495276653170407
2001-04-12,sh.600073,14.9500,15.3800,14.8100,15.1500,14.8400,1819662,27728059.0000,3,1.516385,1,2.088945,6.290329,61.432005,9.136694,33.055799,0,2.088948787062006
2001-04-13,sh.600073,15.2000,15.2400,14.8800,14.9200,15.1500,614833,9201702.0000,3,0.512361,1,-1.518149,6.194832,60.499373,8.997985,32.553961,0,-1.5181518151815232
2001-04-16,sh.600073,14.9500,15.3600,14.9500,15.0300,14.9200,876354,13260888.0000,3,0.730295,1,0.737263,6.240504,60.945414,9.064325,32.793970,0,0.7372654155495928
2001-04-17,sh.600073,15.2000,15.2000,14.8500,15.0800,15.0300,826224,12342961.0000,3,0.688520,1,0.332669,6.261264,61.148160,9.094479,32.903066,0,0.3326679973386648
2001-04-18,sh.600073,15.0800,15.4500,14.8100,15.1100,15.0800,1352342,20573256.0000,3,1.126952,1,0.198937,6.273721,61.269808,9.112571,32.968523,0,0.19893899204244114
2001-04-19,sh.600073,15.1500,15.2600,14.8000,14.9000,15.1100,679053,10130204.0000,3,0.565877,1,-1.389808,6.186528,60.418275,8.985924,32.510323,0,-1.389808074123089
2001-04-20,sh.600073,14.9800,15.2500,14.7500,14.8000,14.9000,752750,11288405.0000,3,0.627292,1,-0.671137,6.145008,60.012783,8.925616,32.292133,0,-0.6711409395973145
2001-04-23,sh.600073,14.7500,14.8000,14.3500,14.4500,14.8000,925697,13428494.0000,3,0.771414,1,-2.364867,5.999686,58.593562,8.714537,31.528468,0,-2.3648648648648796
2001-04-24,sh.600073,14.4500,14.6500,14.4200,14.5300,14.4500,621542,8998665.0000,3,0.517952,1,0.553633,6.032903,58.917956,8.762783,31.703020,0,0.5536332179930881
2001-04-25,sh.600073,14.5600,14.6200,14.0400,14.1500,14.5300,723960,10356457.0000,3,0.603300,1,-2.615279,5.875125,57.377087,8.533612,30.873898,0,-2.6152787336545025
2001-04-26,sh.600073,14.2000,14.3300,14.0800,14.1000,14.1500,590453,8361116.0000,3,0.492044,1,-0.353351,5.854365,57.174341,8.503458,30.764803,0,-0.35335689045936647
2001-04-27,sh.600073,14.1100,14.2500,14.1000,14.1300,14.1000,354488,5014240.0000,3,0.295407,1,0.212764,5.866821,57.295988,8.521551,30.830260,0,0.21276595744681437
2001-04-30,sh.600073,14.1500,14.1500,14.0000,14.0200,14.1300,479757,6739955.0000,3,0.399797,1,-0.778483,5.821149,56.849947,8.455212,30.590251,0,-0.7784854918612916
2001-05-08,sh.600073,14.0200,14.3000,14.0000,14.1800,14.0200,248845,3529367.0000,3,0.207371,1,1.141226,5.887582,57.498734,8.551705,30.939355,0,1.1412268188302432
2001-05-09,sh.600073,14.2500,14.3000,14.0800,14.0900,14.1800,249200,3518948.0000,3,0.207667,1,-0.634698,5.850213,57.133792,8.497427,30.742984,0,-0.6346967559943573
2001-05-10,sh.600073,14.1000,14.1400,14.0000,14.0900,14.0900,328127,4618582.0000,3,0.273439,1,0.000000,5.850213,57.133792,8.497427,30.742984,0,0.0
2001-05-11,sh.600073,14.1000,14.3000,14.1000,14.2200,14.0900,333202,4733286.0000,3,0.277668,1,0.922641,5.904190,57.660931,8.575828,31.026631,0,0.9226401703335663
2001-05-14,sh.600073,14.2500,14.3200,14.1000,14.2800,14.2200,509990,7230844.0000,3,0.424992,1,0.421937,5.929102,57.904226,8.612013,31.157545,0,0.42194092827003704
2001-05-15,sh.600073,14.3000,14.3900,14.2000,14.2900,14.2800,548724,7845706.0000,3,0.457270,1,0.070030,5.933254,57.944775,8.618044,31.179364,0,0.07002801120448154
2001-05-16,sh.600073,14.2900,14.5000,14.2900,14.3900,14.2900,496766,7155227.0000,3,0.413972,1,0.699793,5.974774,58.350267,8.678352,31.397554,0,0.6997900629811094
2001-05-17,sh.600073,14.4000,14.4900,14.1700,14.2200,14.3900,468085,6677226.0000,3,0.390071,1,-1.181376,5.904190,57.660931,8.575828,31.026631,0,-1.1813759555246661
2001-05-18,sh.600073,14.2200,14.2700,14.0400,14.0900,14.2200,688368,9692246.0000,3,0.573640,1,-0.914206,5.850213,57.133792,8.497427,30.742984,0,-0.9142053445850951
2001-05-21,sh.600073,14.0900,14.1300,13.9900,14.0100,14.0900,911321,12770901.0000,3,0.759434,1,-0.567778,5.816997,56.809398,8.449181,30.568432,0,-0.5677785663591228
2001-05-22,sh.600073,14.0500,14.1500,14.0100,14.0200,14.0100,490550,6897272.0000,3,0.408792,1,0.071379,5.821149,56.849947,8.455212,30.590251,0,0.07137758743753775
2001-05-23,sh.600073,14.0500,14.0500,13.7100,13.8200,14.0200,714347,9896704.0000,3,0.595289,1,-1.426539,5.738108,56.038964,8.334595,30.153870,0,-1.4265335235377985
