date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600182,8.1800,8.2300,8.0800,8.2300,8.1700,1006935,8213907.0000,3,0.839112,1,0.734388,3.616622,-359.508606,3.852203,12.474762,0,
2001-01-03,sh.600182,8.2500,8.2900,8.0900,8.1600,8.2300,1427358,11647699.0000,3,1.189465,1,-0.850543,3.585861,-356.450817,3.819438,12.368658,0,-0.8505467800729027
2001-01-04,sh.600182,8.1300,8.3500,8.1300,8.2200,8.1600,1132400,9372440.0000,3,0.943667,1,0.735299,3.612228,-359.071779,3.847523,12.459604,0,0.7352941176470562
2001-01-05,sh.600182,8.2200,8.2900,8.1500,8.1800,8.2200,1011337,8273011.0000,3,0.842781,1,-0.486617,3.594650,-357.324471,3.828800,12.398973,0,-0.48661800486619056
2001-01-08,sh.600182,8.1700,8.1700,7.8800,7.9000,8.1800,2203018,17535129.0000,3,1.835848,1,-3.422985,3.471606,-345.093315,3.697741,11.974559,0,-3.422982885085568
2001-01-09,sh.600182,7.9000,8.0000,7.8700,7.9300,7.9000,1107549,8763607.0000,3,0.922957,1,0.379744,3.484789,-346.403796,3.711783,12.020032,0,0.37974683544304
2001-01-10,sh.600182,8.0000,8.0500,7.9000,7.9600,7.9300,889955,7072630.0000,3,0.741629,1,0.378313,3.497973,-347.714277,3.725825,12.065505,0,0.3783102143757988
2001-01-11,sh.600182,7.9800,8.0600,7.8400,7.8900,7.9600,1652408,13052659.0000,3,1.377007,1,-0.879399,3.467211,-344.656488,3.693060,11.959401,0,-0.8793969849246297
2001-01-12,sh.600182,7.8900,7.9900,7.8500,7.9600,7.8900,633040,5017391.0000,3,0.527533,1,0.887201,3.497973,-347.714277,3.725825,12.065505,0,0.8871989860583129
2001-01-15,sh.600182,7.8400,7.9600,7.6000,7.6400,7.9600,1247600,9739227.0000,3,1.039667,1,-4.020103,3.357351,-333.735814,3.576043,11.580459,0,-4.02010050251257
2001-01-16,sh.600182,7.6000,7.8500,7.5500,7.7600,7.6400,1076590,8236570.0000,3,0.897158,1,1.570685,3.410084,-338.977737,3.632211,11.762351,0,1.5706806282722585
2001-01-17,sh.600182,7.7000,7.7000,7.5800,7.5900,7.7600,781600,5951915.0000,3,0.651333,1,-2.190722,3.335378,-331.551679,3.552639,11.504671,0,-2.1907216494845394
2001-01-18,sh.600182,7.5900,7.6800,7.4200,7.4800,7.5900,1129900,8530111.0000,3,0.941583,1,-1.449277,3.287040,-326.746582,3.501152,11.337936,0,-1.449275362318836
2001-01-19,sh.600182,7.5000,7.6400,7.5000,7.6100,7.4800,724767,5501132.0000,3,0.603973,1,1.737969,3.344167,-332.425333,3.562001,11.534986,0,1.7379679144384985
2001-02-05,sh.600182,7.7000,7.8800,7.7000,7.7200,7.6100,955330,7445113.0000,3,0.796108,1,1.445462,3.392506,-337.230430,3.613488,11.701720,0,1.4454664914586024
2001-02-06,sh.600182,7.7000,7.8300,7.6000,7.8300,7.7200,413070,3179492.0000,3,0.344225,1,1.424872,3.440845,-342.035526,3.664976,11.868455,0,1.4248704663212486
