date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600187,24.9000,25.6500,24.9000,25.5500,25.0200,630100,15914742.0000,3,0.970763,1,2.118300,10.050905,96.933591,13.133415,-47.659533,0,
2001-01-03,sh.600187,25.4000,26.0700,25.4000,25.9700,25.5500,579520,14929573.0000,3,0.892837,1,1.643836,10.216125,98.527020,13.349307,-48.442977,0,1.6438356164383494
2001-01-04,sh.600187,26.3000,26.3000,25.3500,25.5600,25.9700,617000,15897379.0000,3,0.950581,1,-1.578744,10.054839,96.971530,13.138555,-47.678186,0,-1.5787447054293469
2001-01-05,sh.600187,25.7000,25.7000,25.0600,25.3800,25.5600,536230,13654051.0000,3,0.826142,1,-0.704227,9.984030,96.288632,13.046030,-47.342424,0,-0.7042253521126751
2001-01-08,sh.600187,25.2600,25.9600,25.2600,25.8000,25.3800,416590,10672536.0000,3,0.641819,1,1.654847,10.149250,97.882061,13.261922,-48.125869,0,1.654846335697413
2001-01-09,sh.600187,25.8000,26.2000,25.5000,26.0600,25.8000,419640,10876683.0000,3,0.646518,1,1.007753,10.251530,98.868469,13.395569,-48.610858,0,1.0077519379844802
2001-01-10,sh.600187,25.8500,27.1800,25.8500,26.9500,26.0600,742630,19860144.0000,3,1.144132,1,3.415201,10.601639,102.245021,13.853054,-50.271014,0,3.4151957022256374
2001-01-11,sh.600187,27.4500,27.6000,26.6200,27.2500,26.9500,671200,18236756.0000,3,1.034084,1,1.113170,10.719654,103.383184,14.007263,-50.830617,0,1.1131725417439675
2001-01-12,sh.600187,27.3000,27.9600,27.0000,27.7000,27.2500,644030,17703988.0000,3,0.992224,1,1.651379,10.896676,105.090430,14.238575,-51.670022,0,1.6513761467889854
2001-01-15,sh.600187,27.9500,28.0500,26.0000,27.1500,27.7000,448074,12204869.0000,3,0.690325,1,-1.985564,10.680316,103.003797,13.955860,-50.644083,0,-1.9855595667870096
2001-01-16,sh.600187,27.1500,27.5400,26.8000,27.4500,27.1500,541134,14739321.0000,3,0.833698,1,1.104977,10.798330,104.141960,14.110068,-51.203686,0,1.104972375690605
2001-01-17,sh.600187,27.4000,27.9000,27.2000,27.8000,27.4500,487390,13480000.0000,3,0.750897,1,1.275040,10.936014,105.469818,14.289978,-51.856556,0,1.2750455373406355
2001-01-18,sh.600187,27.8800,28.0000,27.5000,27.7500,27.8000,436840,12110447.0000,3,0.673017,1,-0.179853,10.916345,105.280124,14.264277,-51.763289,0,-0.17985611510791255
2001-01-19,sh.600187,27.8000,28.1900,27.5000,28.0500,27.7500,672852,18807238.0000,3,1.036629,1,1.081078,11.034359,106.418287,14.418485,-52.322892,0,1.0810810810810922
2001-02-05,sh.600187,28.0500,28.3000,27.8000,28.2300,28.0500,480378,13501703.0000,3,0.740094,1,0.641712,11.105168,107.101185,14.511010,-52.658654,0,0.6417112299465177
2001-02-06,sh.600187,28.3500,28.4000,27.7000,28.0500,28.2300,417410,11690756.0000,3,0.643082,1,-0.637621,11.034359,106.418287,14.418485,-52.322892,0,-0.6376195536663132
2001-02-07,sh.600187,28.0500,28.2800,27.8000,28.0000,28.0500,420300,11803697.0000,3,0.647535,1,-0.178250,11.014690,106.228593,14.392784,-52.229625,0,-0.17825311942959443
2001-02-08,sh.600187,27.9000,28.2800,27.8000,28.0000,28.0000,312260,8756049.0000,3,0.481083,1,0.000000,11.014690,106.228593,14.392784,-52.229625,0,0.0
2001-02-09,sh.600187,27.9600,28.2800,27.6000,27.8800,28.0000,348430,9761320.0000,3,0.536808,1,-0.428574,10.967484,105.773328,14.331100,-52.005784,0,-0.4285714285714337
2001-02-12,sh.600187,27.8000,27.8300,27.3000,27.5800,27.8800,183693,5050955.0000,3,0.283006,1,-1.076037,10.849470,104.635164,14.176892,-51.446180,0,-1.076040172166426
