date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600257,26.3000,26.9500,26.0000,26.9000,26.0000,615047,16393731.0000,3,1.537618,1,3.461537,4.910918,148.493500,43.512472,315.306445,0,
2001-01-03,sh.600257,26.9000,27.1700,26.6300,26.8300,26.9000,496567,13361642.0000,3,1.241417,1,-0.260222,4.898139,148.107085,43.399243,314.485945,0,-0.26022304832713505
2001-01-04,sh.600257,26.8600,26.9000,26.4800,26.6000,26.8300,576024,15333008.0000,3,1.440060,1,-0.857248,4.856149,146.837438,43.027203,311.790016,0,-0.8572493477450482
2001-01-05,sh.600257,26.6000,27.4800,26.4400,27.0800,26.6000,502355,13562098.0000,3,1.255888,1,1.804510,4.943779,149.487136,43.803634,317.416302,0,1.8045112781954753
2001-01-08,sh.600257,27.1000,27.5000,26.5500,26.5800,27.0800,693165,18573826.0000,3,1.732913,1,-1.846381,4.852498,146.727034,42.994852,311.555587,0,-1.846381093057603
2001-01-09,sh.600257,26.3900,26.8000,25.6100,26.1000,26.5800,564473,14796559.0000,3,1.411183,1,-1.805867,4.764868,144.077336,42.218421,305.929301,0,-1.8058690744920836
2001-01-10,sh.600257,26.1000,26.5200,26.1000,26.5000,26.1000,367408,9676155.0000,3,0.918520,1,1.532565,4.837893,146.285418,42.865447,310.617873,0,1.5325670498084198
2001-01-11,sh.600257,26.6000,26.6000,26.1000,26.1900,26.5000,268250,7038080.0000,3,0.670625,1,-1.169809,4.781299,144.574154,42.364002,306.984230,0,-1.16981132075471
2001-01-12,sh.600257,26.0800,26.1000,25.6000,25.6600,26.1900,568450,14647145.0000,3,1.421125,1,-2.023676,4.684541,141.648446,41.506693,300.771873,0,-2.023673157693784
2001-01-15,sh.600257,25.5100,25.5200,24.1000,24.4300,25.6600,941539,23464201.0000,3,2.353848,1,-4.793451,4.459990,134.858595,39.517089,286.354515,0,-4.793452844894775
2001-01-16,sh.600257,24.2000,25.2000,24.1200,24.9800,24.4300,512613,12636507.0000,3,1.281532,1,2.251327,4.560399,137.894707,40.406750,292.801301,0,2.2513303315595534
2001-01-17,sh.600257,24.9900,25.0700,24.7000,24.8200,24.9800,300916,7506278.0000,3,0.752290,1,-0.640512,4.531189,137.011474,40.147939,290.925872,0,-0.6405124099279402
2001-01-18,sh.600257,24.6500,25.0200,24.6000,24.9600,24.8200,389596,9717345.0000,3,0.973990,1,0.564059,4.556748,137.784303,40.374398,292.566872,0,0.5640612409347323
2001-01-19,sh.600257,25.0000,25.2800,25.0000,25.0000,24.9600,307830,7746134.0000,3,0.769575,1,0.160260,4.564050,138.005111,40.439101,293.035729,0,0.1602564102564097
2001-02-05,sh.600257,25.0000,25.0000,23.8800,23.9500,25.0000,577410,14015176.0000,3,1.443525,1,-4.199997,4.372360,132.208896,38.740659,280.728229,0,-4.200000000000004
2001-02-06,sh.600257,23.1800,23.4000,22.6000,23.0000,23.9500,507338,11616515.0000,3,1.268345,1,-3.966600,4.198926,126.964702,37.203973,269.592871,0,-3.9665970772442605
2001-02-07,sh.600257,23.0000,23.2900,22.6800,22.7500,23.0000,238525,5455512.0000,3,0.596313,1,-1.086957,4.153286,125.584651,36.799582,266.662514,0,-1.0869565217391353
2001-02-08,sh.600257,22.6100,22.8900,22.4800,22.6100,22.7500,468660,10610562.0000,3,1.171650,1,-0.615382,4.127727,124.811822,36.573123,265.021514,0,-0.6153846153846176
2001-02-09,sh.600257,22.6600,23.0800,22.6600,23.0000,22.6100,252575,5799196.0000,3,0.631437,1,1.724898,4.198926,126.964702,37.203973,269.592871,0,1.7249004865103945
2001-02-12,sh.600257,23.0000,23.6400,22.6800,23.4400,23.0000,279659,6499349.0000,3,0.699147,1,1.913046,4.279254,129.393592,37.915701,274.750300,0,1.9130434782608674
2001-02-13,sh.600257,23.4000,23.8700,23.4000,23.7000,23.4400,515031,12215529.0000,3,1.287578,1,1.109216,4.326720,130.828845,38.336268,277.797871,0,1.1092150170648463
2001-02-14,sh.600257,23.5500,23.5800,23.3800,23.4500,23.7000,128872,3022193.0000,3,0.322180,1,-1.054852,4.281079,129.448794,37.931877,274.867514,0,-1.0548523206751037
2001-02-15,sh.600257,23.6100,23.6100,23.1800,23.4500,23.4500,183565,4275887.0000,3,0.458913,1,0.000000,4.281079,129.448794,37.931877,274.867514,0,0.0
2001-02-16,sh.600257,23.2100,23.5000,22.7500,23.5000,23.4500,204234,4702873.0000,3,0.510585,1,0.213216,4.290207,129.724804,38.012755,275.453586,0,0.2132196162046851
2001-02-19,sh.600257,23.4700,23.7200,23.1500,23.6400,23.5000,168782,3983068.0000,3,0.421955,1,0.595742,4.315766,130.497633,38.239214,277.094586,0,0.5957446808510625
2001-02-20,sh.600257,23.5000,23.8400,23.2000,23.2500,23.6400,237313,5567399.0000,3,0.593283,1,-1.649744,4.244567,128.344753,37.608364,272.523228,0,-1.6497461928934087
2001-02-21,sh.600257,23.0500,23.1500,22.7600,22.8000,23.2500,354730,8109843.0000,3,0.886825,1,-1.935487,4.162414,125.860661,36.880460,267.248585,0,-1.9354838709677358
2001-02-22,sh.600257,22.7600,23.1200,22.7600,23.0000,22.8000,90450,2075973.0000,3,0.226125,1,0.877196,4.198926,126.964702,37.203973,269.592871,0,0.8771929824561431
2001-02-23,sh.600257,22.9900,23.4500,22.7000,23.4300,23.0000,273550,6309668.0000,3,0.683875,1,1.869567,4.277428,129.338390,37.899525,274.633086,0,1.8695652173913002
2001-02-26,sh.600257,23.3000,23.6500,23.3000,23.5800,23.4300,141315,3319584.0000,3,0.353287,1,0.640203,4.304812,130.166421,38.142160,276.391300,0,0.6402048655569814
2001-02-27,sh.600257,23.6000,23.6900,22.8000,23.3100,23.5800,161208,3761599.0000,3,0.403020,1,-1.145040,4.255520,128.675966,37.705418,273.226514,0,-1.1450381679389277
2001-02-28,sh.600257,23.2900,23.4000,23.1000,23.2000,23.3100,118300,2750567.0000,3,0.295750,1,-0.471895,4.235439,128.068743,37.527486,271.937157,0,-0.471900471900466
2001-03-01,sh.600257,23.3000,23.3500,23.0000,23.2800,23.2000,152060,3530389.0000,3,0.380150,1,0.344827,4.250044,128.510359,37.656891,272.874871,0,0.34482758620690834
2001-03-02,sh.600257,23.2300,23.6000,23.2200,23.4000,23.2800,222080,5209482.0000,3,0.555200,1,0.515459,4.271951,129.172784,37.850998,274.281443,0,0.5154639175257714
2001-03-05,sh.600257,23.4000,23.5000,23.2000,23.3000,23.4000,133770,3120815.0000,3,0.334425,1,-0.427352,4.253695,128.620764,37.689242,273.109300,0,-0.42735042735041473
2001-03-06,sh.600257,23.3600,23.7500,23.0100,23.6700,23.3000,298079,7009253.0000,3,0.745197,1,1.587987,4.263989,70.662915,23.151395,5.947157,0,1.587982832618029
2001-03-07,sh.600257,23.6500,24.1800,23.5700,24.0800,23.6700,389723,9361139.0000,3,0.974307,1,1.732150,4.337848,71.886903,23.552412,6.050171,0,1.7321504013519062
2001-03-08,sh.600257,24.0000,24.1000,24.0000,24.1000,24.0800,203210,4885188.0000,3,0.508025,1,0.083058,4.341451,71.946610,23.571974,6.055196,0,0.08305647840531893
2001-03-09,sh.600257,24.0800,24.1500,23.8000,24.0200,24.1000,243198,5837996.0000,3,0.607995,1,-0.331950,4.327039,71.707783,23.493727,6.035096,0,-0.3319502074688896
2001-03-12,sh.600257,24.0200,24.0200,24.0200,24.0200,24.0200,0,0.0000,3,,0,0.000000,4.327039,71.707783,23.493727,6.035096,0,0.0
2001-03-13,sh.600257,23.9000,24.3000,23.7100,24.2100,24.0200,164650,3956144.0000,3,0.411625,1,0.791002,4.361266,72.274997,23.679564,6.082834,0,0.7910074937552025
2001-03-14,sh.600257,24.1800,24.5000,24.1600,24.3900,24.2100,267813,6518810.0000,3,0.669532,1,0.743496,4.393692,72.812358,23.855620,6.128059,0,0.743494423791824
2001-03-15,sh.600257,24.4400,24.4500,24.0300,24.1500,24.3900,226592,5510162.0000,3,0.566480,1,-0.984009,4.350458,72.095877,23.620879,6.067759,0,-0.9840098400984099
2001-03-16,sh.600257,24.1500,24.1500,23.8000,23.8900,24.1500,272670,6528635.0000,3,0.681675,1,-1.076606,4.303621,71.319689,23.366575,6.002433,0,-1.0766045548654124
2001-03-19,sh.600257,23.9000,24.3800,23.8500,24.3500,23.8900,225456,5443263.0000,3,0.563640,1,1.925496,4.386486,72.692944,23.816497,6.118009,0,1.925491837588944
2001-03-20,sh.600257,24.4500,24.6800,24.3000,24.6200,24.3500,247780,6061323.0000,3,0.619450,1,1.108831,4.435125,73.498985,24.080581,6.185847,0,1.1088295687885052
2001-03-21,sh.600257,24.5000,24.7500,24.5000,24.5600,24.6200,238900,5878193.0000,3,0.597250,1,-0.243710,4.424316,73.319865,24.021896,6.170772,0,-0.2437043054427379
2001-03-22,sh.600257,24.7000,24.8300,24.5500,24.7000,24.5600,322192,7946265.0000,3,0.805480,1,0.570038,4.449537,73.737812,24.158828,6.205948,0,0.5700325732899136
2001-03-23,sh.600257,24.7100,25.1000,24.5800,24.6000,24.7000,433902,10764644.0000,3,1.084755,1,-0.404860,4.431522,73.439278,24.061019,6.180822,0,-0.4048582995951344
2001-03-26,sh.600257,24.6800,25.1000,24.6800,25.1000,24.6000,296853,7413677.0000,3,0.742133,1,2.032520,4.521594,74.931946,24.550065,6.306449,0,2.0325203252032464
2001-03-27,sh.600257,25.2800,25.4200,25.1200,25.1900,25.1000,268943,6784259.0000,3,0.672357,1,0.358566,4.537807,75.200627,24.638093,6.329062,0,0.35856573705179695
2001-03-28,sh.600257,25.2000,25.2100,24.8700,25.0700,25.1900,295750,7398480.0000,3,0.739375,1,-0.476383,4.516189,74.842386,24.520722,6.298911,0,-0.4763795156808248
2001-03-29,sh.600257,25.1800,25.1800,24.8200,25.0000,25.0700,170800,4261026.0000,3,0.427000,1,-0.279217,4.503579,74.633413,24.452255,6.281324,0,-0.2792181890706069
