date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-04-26,sh.600295,22.1600,23.7000,22.1500,22.2300,16.8000,46620489,1056805288.0000,3,58.275611,1,32.321430,7.341497,55.575218,6.296282,-6848.457457,0,
2001-04-27,sh.600295,22.1000,22.5200,21.6000,22.4000,22.2300,8056727,177764272.0000,3,10.070909,1,0.764733,7.397640,56.000220,6.344431,-6900.829826,0,0.7647323436797082
2001-04-30,sh.600295,22.4000,22.6200,22.0000,22.0300,22.4000,3325313,73796304.0000,3,4.156641,1,-1.651781,7.275447,55.075216,6.239635,-6786.842905,0,-1.6517857142857029
2001-05-08,sh.600295,21.8800,22.0800,21.6100,21.8000,22.0300,2542630,55326169.0000,3,3.178288,1,-1.044037,7.199489,54.500214,6.174491,-6715.986170,0,-1.0440308669995457
2001-05-09,sh.600295,21.8000,21.9400,20.8600,21.0200,21.8000,3608301,77123656.0000,3,4.510376,1,-3.577976,6.941892,52.550206,5.953569,-6475.689417,0,-3.5779816513761498
2001-05-10,sh.600295,20.9800,21.4500,20.7800,21.2000,21.0200,1856838,39187859.0000,3,2.321048,1,0.856329,7.001338,53.000208,6.004551,-6531.142514,0,0.8563273073263655
2001-05-11,sh.600295,21.2000,21.4500,20.9000,21.4100,21.2000,1217500,25678070.0000,3,1.521875,1,0.990562,7.070691,53.525210,6.064030,-6595.837794,0,0.9905660377358627
2001-05-14,sh.600295,21.4100,21.5200,21.0100,21.2700,21.4100,1427244,30396969.0000,3,1.784055,1,-0.653897,7.024455,53.175209,6.024377,-6552.707607,0,-0.6539000467071454
2001-05-15,sh.600295,21.3000,21.7100,21.3000,21.5900,21.2700,1411366,30366421.0000,3,1.764207,1,1.504465,7.130136,53.975212,6.115012,-6651.290891,0,1.5044663845792172
2001-05-16,sh.600295,21.6000,21.6200,21.3100,21.4600,21.5900,1193208,25537632.0000,3,1.491510,1,-0.602136,7.087203,53.650211,6.078192,-6611.241432,0,-0.602130616025931
2001-05-17,sh.600295,21.4000,21.4000,21.1300,21.1500,21.4600,1649911,34996534.0000,3,2.062389,1,-1.444546,6.984825,52.875208,5.990389,-6515.738876,0,-1.4445479962721497
2001-05-18,sh.600295,21.6500,21.6900,21.2000,21.3800,21.1500,757176,16176140.0000,3,0.946470,1,1.087468,7.060783,53.450210,6.055533,-6586.595611,0,1.0874704491725895
2001-05-21,sh.600295,21.4000,21.9800,21.3000,21.9700,21.3800,1568142,33748278.0000,3,1.960177,1,2.759589,7.255632,54.925216,6.222641,-6768.358539,0,2.75958840037418
2001-05-22,sh.600295,21.9700,22.0800,21.7000,21.7500,21.9700,1169300,25581264.0000,3,1.461625,1,-1.001362,7.182976,54.375214,6.160329,-6700.582532,0,-1.0013654984069142
2001-05-23,sh.600295,21.6200,21.7800,21.2100,21.3600,21.7500,1066005,22862842.0000,3,1.332506,1,-1.793101,7.054178,53.400210,6.049868,-6580.434156,0,-1.7931034482758679
2001-05-24,sh.600295,21.3600,21.4800,21.2100,21.2500,21.3600,1305598,27768647.0000,3,1.631997,1,-0.514984,7.017850,53.125209,6.018713,-6546.546152,0,-0.5149812734082326
2001-05-25,sh.600295,21.2500,21.3500,21.0100,21.1200,21.2500,975394,20585973.0000,3,1.219243,1,-0.611761,6.974918,52.800207,5.981892,-6506.496693,0,-0.611764705882345
2001-05-28,sh.600295,21.1100,21.1500,20.8100,20.9400,21.1200,892400,18719916.0000,3,1.115500,1,-0.852274,6.915472,52.350206,5.930910,-6451.043596,0,-0.8522727272727293
