date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600303,19.4800,19.6700,19.0000,19.5300,19.3500,2147010,41354762.0000,3,5.367525,1,0.930234,19.354850,100.461957,9.703177,515.413027,0,
2001-01-03,sh.600303,19.5000,19.6700,19.1100,19.3600,19.5300,2144283,41377809.0000,3,5.360707,1,-0.870456,19.186374,99.587480,9.618715,510.926585,0,-0.8704557091653964
2001-01-04,sh.600303,19.3000,19.6300,19.2700,19.5800,19.3600,1694158,33042036.0000,3,4.235395,1,1.136360,19.404401,100.719156,9.728018,516.732569,0,1.1363636363636243
2001-01-05,sh.600303,19.6800,20.3500,19.6000,20.1800,19.5800,2448319,49236480.0000,3,6.120798,1,3.064353,19.999020,103.805545,10.026119,532.567070,0,3.06435137895813
2001-01-08,sh.600303,20.3000,20.5800,19.7100,20.3600,20.1800,2646953,53228786.0000,3,6.617383,1,0.891974,20.177406,104.731462,10.115549,537.317421,0,0.8919722497522375
2001-01-09,sh.600303,20.3000,20.5200,20.0000,20.2900,20.3600,1609101,32670082.0000,3,4.022753,1,-0.343810,20.108034,104.371383,10.080771,535.470062,0,-0.34381139489194634
2001-01-10,sh.600303,20.2400,20.7000,20.1500,20.4800,20.2900,1132038,23245740.0000,3,2.830095,1,0.936415,20.296330,105.348739,10.175169,540.484321,0,0.9364218827008441
2001-01-11,sh.600303,20.5300,20.7000,19.8800,19.9500,20.4800,1715205,34651677.0000,3,4.288012,1,-2.587885,19.771083,102.622429,9.911847,526.497178,0,-2.587890625
2001-01-12,sh.600303,19.8000,20.9000,19.8000,20.5800,19.9500,2720229,55593436.0000,3,6.800573,1,3.157891,20.395433,105.863137,10.224853,543.123405,0,3.157894736842093
2001-01-15,sh.600303,20.6800,20.6800,19.6000,19.6500,20.5800,1130700,22629790.0000,3,2.826750,1,-4.518952,19.473773,101.079235,9.762797,518.579927,0,-4.518950437317781
2001-01-16,sh.600303,19.6500,20.1600,19.4000,20.0000,19.6500,1135094,22466020.0000,3,2.837735,1,1.781173,19.820635,102.879628,9.936689,527.816720,0,1.781170483460559
2001-01-17,sh.600303,20.0200,20.0200,19.7100,19.8300,20.0000,459602,9132496.0000,3,1.149005,1,-0.850000,19.652159,102.005151,9.852227,523.330278,0,-0.8500000000000063
2001-01-18,sh.600303,19.8500,20.2000,19.8000,20.1000,19.8300,588947,11800363.0000,3,1.472368,1,1.361576,19.919738,103.394026,9.986372,530.455803,0,1.3615733736762614
2001-01-19,sh.600303,20.1600,20.5800,20.1000,20.1800,20.1000,892445,18203672.0000,3,2.231113,1,0.398010,19.999020,103.805545,10.026119,532.567070,0,0.3980099502487455
2001-02-05,sh.600303,20.1800,20.3500,19.8800,19.9900,20.1800,786479,15716735.0000,3,1.966198,1,-0.941529,19.810724,102.828188,9.931721,527.552811,0,-0.9415262636273569
2001-02-06,sh.600303,20.1500,20.1600,19.0000,19.5500,19.9900,883610,17351725.0000,3,2.209025,1,-2.201103,19.374670,100.564837,9.713113,515.940843,0,-2.2011005502751257
2001-02-07,sh.600303,19.5500,19.9400,19.1000,19.6900,19.5500,535140,10476334.0000,3,1.337850,1,0.716119,19.513415,101.284994,9.782670,519.635561,0,0.716112531969304
2001-02-08,sh.600303,19.6000,19.9800,19.4500,19.8700,19.6900,771967,15285325.0000,3,1.929917,1,0.914171,19.691800,102.210911,9.872100,524.385911,0,0.9141696292534363
2001-02-09,sh.600303,19.8700,20.6000,19.8200,20.5800,19.8700,1305650,26530743.0000,3,3.264125,1,3.573221,20.395433,105.863137,10.224853,543.123405,0,3.573225968797167
2001-02-12,sh.600303,20.6000,20.6800,20.0800,20.4800,20.5800,578279,11750964.0000,3,1.445698,1,-0.485911,20.296330,105.348739,10.175169,540.484321,0,-0.4859086491739495
2001-02-13,sh.600303,20.4600,21.2700,20.3000,20.9800,20.4800,1164747,24386187.0000,3,2.911868,1,2.441406,20.791846,107.920730,10.423587,553.679739,0,2.44140625
2001-02-14,sh.600303,21.0000,21.2200,20.8000,21.0300,20.9800,616251,12959239.0000,3,1.540628,1,0.238328,20.841397,108.177929,10.448428,554.999281,0,0.23832221163013756
2001-02-15,sh.600303,21.0100,21.2000,20.4100,20.6000,21.0300,479586,9958495.0000,3,1.198965,1,-2.044699,20.415254,105.966017,10.234790,543.651221,0,-2.044698050404181
2001-02-16,sh.600303,20.5100,20.9800,20.3000,20.8000,20.6000,422390,8691508.0000,3,1.055975,1,0.970868,20.613460,106.994813,10.334156,548.929388,0,0.9708737864077666
2001-02-19,sh.600303,21.0000,21.0900,20.5000,20.9700,20.8000,683309,14274778.0000,3,1.708273,1,0.817308,20.781935,107.869290,10.418618,553.415831,0,0.8173076923076783
2001-02-20,sh.600303,21.0500,21.2000,20.5000,20.5300,20.9700,682694,14182261.0000,3,1.706735,1,-2.098229,20.345881,105.605938,10.200011,541.803863,0,-2.0982355746304138
2001-02-21,sh.600303,20.3000,20.6900,20.3000,20.3000,20.5300,408200,8325784.0000,3,1.020500,1,-1.120319,20.117944,104.422823,10.085739,535.733970,0,-1.1203117389186557
2001-02-22,sh.600303,20.2000,20.6000,20.2000,20.3500,20.3000,271200,5534752.0000,3,0.678000,1,0.246311,20.167496,104.680022,10.110581,537.053512,0,0.24630541871921707
2001-02-23,sh.600303,20.3000,21.1800,20.2200,20.9600,20.3500,384980,8006403.0000,3,0.962450,1,2.997537,20.772025,107.817850,10.413650,553.151922,0,2.9975429975430012
2001-02-26,sh.600303,21.0800,21.5000,20.8800,21.1900,20.9600,749217,15976178.0000,3,1.873042,1,1.097335,20.999962,109.000966,10.527922,559.221814,0,1.09732824427482
2001-02-27,sh.600303,21.1000,21.4900,21.0000,21.4100,21.1900,389796,8271738.0000,3,0.974490,1,1.038222,21.217989,110.132642,10.637225,565.027798,0,1.0382255781028693
2001-02-28,sh.600303,21.4100,21.6600,21.1100,21.4600,21.4100,425648,9133617.0000,3,1.064120,1,0.233532,21.267541,110.389841,10.662067,566.347340,0,0.23353573096684954
2001-03-01,sh.600303,21.4600,21.5500,21.2400,21.4800,21.4600,357580,7660427.0000,3,0.893950,1,0.093199,21.287362,110.492721,10.672004,566.875157,0,0.09319664492077884
2001-03-02,sh.600303,21.4500,21.7000,21.3600,21.5100,21.4800,480661,10365510.0000,3,1.201653,1,0.139668,21.317092,110.647040,10.686909,567.666882,0,0.13966480446927498
2001-03-05,sh.600303,21.7100,21.7900,21.3300,21.4500,21.5100,278851,5990292.0000,3,0.697128,1,-0.278938,21.257631,110.338401,10.657099,566.083432,0,-0.2789400278940146
2001-03-06,sh.600303,21.4000,21.5000,21.1500,21.4700,21.4500,354328,7550277.0000,3,0.885820,1,0.093233,21.277451,110.441281,10.667036,566.611249,0,0.09324009324009896
2001-03-07,sh.600303,21.4000,21.8800,21.4000,21.6400,21.4700,484259,10506947.0000,3,1.210648,1,0.791803,21.445927,111.315758,10.751497,571.097691,0,0.7918025151374186
2001-03-08,sh.600303,21.6000,22.1000,21.5000,22.0800,21.6400,514619,11174720.0000,3,1.286547,1,2.033274,21.881981,113.579110,10.970105,582.709658,0,2.0332717190387983
2001-03-09,sh.600303,22.0800,23.0000,22.0000,22.6900,22.0800,1369147,30957080.0000,3,3.422868,1,2.762684,22.486510,116.716938,11.273174,598.808068,0,2.7626811594203105
2001-03-12,sh.600303,22.6900,23.3000,22.4300,23.1400,22.6900,891994,20410417.0000,3,2.229985,1,1.983248,22.932474,119.031730,11.496749,610.683945,0,1.9832525341560103
2001-03-13,sh.600303,23.1500,23.6000,22.6000,23.2300,23.1400,980391,22810500.0000,3,2.450978,1,0.388938,23.021667,119.494688,11.541464,613.059120,0,0.3889369057908487
2001-03-14,sh.600303,23.2300,23.6100,22.9500,23.4800,23.2300,714931,16725338.0000,3,1.787328,1,1.076195,23.269425,120.780684,11.665673,619.656829,0,1.076194575979339
2001-03-15,sh.600303,23.4800,24.3500,23.4000,24.2500,23.4800,1546726,37118050.0000,3,3.866815,1,3.279389,24.032519,124.741549,12.048235,639.977773,0,3.2793867120954
2001-03-16,sh.600303,24.3000,24.4800,23.7100,23.7800,24.2500,1179850,28436763.0000,3,2.949625,1,-1.938141,23.566735,122.323878,11.814723,627.574080,0,-1.938144329896907
2001-03-19,sh.600303,23.8000,25.3000,23.8000,25.1900,23.7800,1512744,37598687.0000,3,3.781860,1,5.929352,24.964089,129.576892,12.515260,664.785158,0,5.929352396972254
2001-03-20,sh.600303,25.5000,25.6000,24.9000,25.1800,25.1900,590870,14846698.0000,3,1.477175,1,-0.039699,24.954179,129.525452,12.510291,664.521250,0,-0.03969829297341132
2001-03-21,sh.600303,25.0500,25.3200,24.6300,25.0400,25.1800,800814,20008709.0000,3,2.002035,1,-0.555994,24.815434,128.805295,12.440734,660.826533,0,-0.5559968228753043
2001-03-22,sh.600303,25.0500,26.5000,25.0500,25.8000,25.0400,998982,25858967.0000,3,2.497455,1,3.035137,25.568619,132.714720,12.818329,680.883568,0,3.0351437699680517
2001-03-23,sh.600303,25.8500,26.5900,25.5300,26.5900,25.8000,750794,19556532.0000,3,1.876985,1,3.062019,26.351534,136.778466,13.210828,701.732329,0,3.06201550387597
2001-03-26,sh.600303,26.6000,27.8500,26.3300,27.3000,26.5900,1312955,35810462.0000,3,3.282388,1,2.670173,27.055166,140.430693,13.563580,720.469822,0,2.6701767581797764
2001-03-27,sh.600303,27.4900,27.5700,26.9000,27.3000,27.3000,623427,17028591.0000,3,1.558568,1,0.000000,27.055166,140.430693,13.563580,720.469822,0,0.0
2001-03-28,sh.600303,28.5000,28.5000,26.0000,27.7000,27.3000,3555366,97133192.0000,3,8.888415,1,1.465207,27.451579,142.488285,13.762314,731.026157,0,1.46520146520146
2001-03-29,sh.600303,27.1200,28.7000,26.8500,28.6000,27.7000,1717268,47976917.0000,3,4.293170,1,3.249096,28.343507,147.117868,14.209465,754.777909,0,3.2490974729241895
2001-03-30,sh.600303,29.1100,29.7800,28.5000,28.8800,28.6000,2013705,58493243.0000,3,5.034263,1,0.979017,6.044614,82.256332,7.365850,7.480735,0,0.9790209790209614
2001-04-02,sh.600303,29.0100,30.2000,28.2500,28.5800,28.8800,1841509,52977678.0000,3,4.603772,1,-1.038779,5.981824,81.401869,7.289335,7.403026,0,-1.0387811634349098
2001-04-03,sh.600303,28.5800,28.6500,27.6500,27.8100,28.5800,1069271,29935031.0000,3,2.673177,1,-2.694193,5.820662,79.208746,7.092946,7.203574,0,-2.694191742477259
2001-04-04,sh.600303,27.9000,28.2000,27.6200,27.7000,27.8100,859716,23964220.0000,3,2.149290,1,-0.395537,5.797639,78.895443,7.064890,7.175081,0,-0.39554117224019913
2001-04-05,sh.600303,27.5100,28.0000,27.2100,27.9200,27.7000,558021,15365717.0000,3,1.395053,1,0.794221,5.843685,79.522049,7.121001,7.232067,0,0.7942238267148127
2001-04-06,sh.600303,28.0000,28.1800,27.7000,28.1800,27.9200,382081,10660784.0000,3,0.955203,1,0.931233,5.898104,80.262584,7.187314,7.299415,0,0.9312320916905481
