date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2003-08-21,sh.600348,9.0100,9.3200,8.9800,9.0800,8.2000,59120298,540657494.0000,3,39.413532,1,10.731710,6.974924,25.383700,3.202003,46.359924,0,
2003-08-22,sh.600348,9.0000,9.1600,8.9600,9.0100,9.0800,18074975,163402421.0000,3,12.049983,1,-0.770000,6.921153,25.188011,3.177318,46.002523,0,-0.770925110132159
2003-08-25,sh.600348,8.9800,8.9900,8.6400,8.7500,9.0100,12393022,108711816.0000,3,8.262015,1,-2.890000,6.721430,24.461165,3.085631,44.675037,0,-2.885682574916759
2003-08-26,sh.600348,8.7200,8.8700,8.6300,8.7800,8.7500,6246139,54567093.0000,3,4.164093,1,0.340000,6.744475,24.545032,3.096210,44.828208,0,0.34285714285713365
2003-08-27,sh.600348,8.7900,8.8400,8.6500,8.6900,8.7800,3747784,32728097.0000,3,2.498523,1,-1.030000,6.675340,24.293431,3.064472,44.368693,0,-1.0250569476081939
2003-08-28,sh.600348,8.7000,8.8700,8.6900,8.7100,8.6900,5905656,51806783.0000,3,3.937104,1,0.230000,6.690704,24.349343,3.071525,44.470808,0,0.23014959723821615
2003-08-29,sh.600348,8.6900,8.7600,8.5400,8.7600,8.7100,5401372,46726593.0000,3,3.600915,1,0.570000,6.729112,24.489121,3.089157,44.726094,0,0.5740528128587608
2003-09-01,sh.600348,8.7600,9.1800,8.6700,9.0500,8.7600,14618730,131263154.0000,3,9.745820,1,3.310000,6.951879,25.299834,3.191424,46.206752,0,3.3105022831050324
2003-09-02,sh.600348,9.0900,9.1900,8.9800,9.0500,9.0500,13680450,124275665.0000,3,9.120300,1,0.000000,6.951879,25.299834,3.191424,46.206752,0,0.0
2003-09-03,sh.600348,9.0500,9.0600,8.8900,8.9500,9.0500,5549345,49657468.0000,3,3.699563,1,-1.100000,6.875063,25.020277,3.156160,45.696180,0,-1.1049723756906271
2003-09-04,sh.600348,8.9100,8.9900,8.8800,8.9100,8.9500,4134201,36922280.0000,3,2.756134,1,-0.450000,6.844336,24.908455,3.142054,45.491952,0,-0.4469273743016644
2003-09-05,sh.600348,8.8900,8.9200,8.6500,8.7000,8.9100,4952358,43427675.0000,3,3.301572,1,-2.360000,6.683022,24.321387,3.067999,44.419751,0,-2.3569023569023684
2003-09-08,sh.600348,8.6700,8.7600,8.6200,8.7000,8.7000,2029832,17617902.0000,3,1.353221,1,0.000000,6.683022,24.321387,3.067999,44.419751,0,0.0
2003-09-09,sh.600348,8.6600,8.7300,8.5700,8.6000,8.7000,3332005,28740114.0000,3,2.221337,1,-1.150000,6.606206,24.041831,3.032734,43.909179,0,-1.1494252873563204
2003-09-10,sh.600348,8.6300,8.6800,8.5600,8.6200,8.6000,1359223,11717662.0000,3,0.906149,1,0.230000,6.621569,24.097742,3.039787,44.011293,0,0.23255813953488857
2003-09-11,sh.600348,8.6300,8.6800,8.5900,8.6000,8.6200,1267351,10931793.0000,3,0.844901,1,-0.230000,6.606206,24.041831,3.032734,43.909179,0,-0.23201856148491462
2003-09-12,sh.600348,8.6100,8.6700,8.3800,8.4400,8.6000,5914546,49979631.0000,3,3.943031,1,-1.860000,6.483300,23.594541,2.976311,43.092264,0,-1.8604651162790753
