date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-15,sh.600365,15.5800,15.6800,14.3000,14.4500,7.0800,30354930,443112282.0000,3,50.591550,1,104.096000,18.439231,110.984846,15.964972,-2496.656264,0,
2001-01-16,sh.600365,14.3000,14.4500,13.8300,14.1300,14.4500,5940672,83786347.0000,3,9.901120,1,-2.214531,18.030888,108.527051,15.611423,-2441.366990,0,-2.214532871972308
2001-01-17,sh.600365,14.1500,14.3000,14.0800,14.1200,14.1300,2036778,28875039.0000,3,3.394630,1,-0.070773,18.018128,108.450244,15.600374,-2439.639200,0,-0.07077140835103357
2001-01-18,sh.600365,14.0900,14.2500,14.0500,14.1500,14.1200,1751908,24789151.0000,3,2.919847,1,0.212463,18.056410,108.680663,15.633520,-2444.822570,0,0.21246458923513956
2001-01-19,sh.600365,14.1800,14.7700,14.0500,14.4500,14.1500,3434382,49916696.0000,3,5.723970,1,2.120143,18.439231,110.984846,15.964972,-2496.656264,0,2.1201413427561766
2001-02-05,sh.600365,14.4500,14.4800,13.7100,13.7700,14.4500,2331679,32569369.0000,3,3.886132,1,-4.705878,17.571503,105.762030,15.213679,-2379.166557,0,-4.70588235294117
2001-02-06,sh.600365,13.6800,13.7200,13.0600,13.4100,13.7700,2506539,33381967.0000,3,4.177565,1,-2.614383,17.112117,102.997010,14.815936,-2316.966125,0,-2.614379084967311
2001-02-07,sh.600365,13.4100,13.4600,13.1800,13.2600,13.4100,710556,9447357.0000,3,1.184260,1,-1.118565,16.920706,101.844918,14.650210,-2291.049277,0,-1.1185682326621982
2001-02-08,sh.600365,13.2600,13.5300,13.0200,13.1100,13.2600,1144801,15194096.0000,3,1.908002,1,-1.131226,16.729296,100.692826,14.484484,-2265.132430,0,-1.1312217194570207
2001-02-09,sh.600365,13.2000,13.4700,13.2000,13.3600,13.1100,1060500,14158944.0000,3,1.767500,1,1.906941,17.048314,102.612979,14.760694,-2308.327176,0,1.9069412662090057
2001-02-12,sh.600365,13.4200,13.4800,13.1200,13.3400,13.3600,740050,9804285.0000,3,1.233417,1,-0.149697,17.022792,102.459367,14.738597,-2304.871596,0,-0.14970059880239361
2001-02-13,sh.600365,13.3600,13.4400,13.2500,13.3100,13.3400,648836,8657451.0000,3,1.081393,1,-0.224886,16.984510,102.228949,14.705452,-2299.688227,0,-0.2248875562218866
2001-02-14,sh.600365,13.3000,13.4000,13.2000,13.3100,13.3100,390020,5189236.0000,3,0.650033,1,0.000000,16.984510,102.228949,14.705452,-2299.688227,0,0.0
2001-02-15,sh.600365,13.3100,13.4500,13.1600,13.1700,13.3100,495104,6573664.0000,3,0.825173,1,-1.051843,16.805860,101.153663,14.550774,-2275.499169,0,-1.0518407212622094
2001-02-16,sh.600365,13.0500,13.1300,12.8000,12.9900,13.1700,1094943,14186149.0000,3,1.824905,1,-1.366745,16.576167,99.771153,14.351902,-2244.398953,0,-1.3667425968109326
2001-02-19,sh.600365,12.9200,13.3200,12.9000,13.2800,12.9900,620381,8165931.0000,3,1.033968,1,2.232486,16.946228,101.998530,14.672307,-2294.504857,0,2.2324865280985318
2001-02-20,sh.600365,13.2800,13.3700,13.0100,13.0500,13.2800,816705,10747165.0000,3,1.361175,1,-1.731924,16.652731,100.231989,14.418193,-2254.765692,0,-1.7319277108433617
2001-02-21,sh.600365,13.0300,13.0300,12.6300,12.6300,13.0500,1075000,13772171.0000,3,1.791667,1,-3.218391,16.116781,97.006132,13.954159,-2182.198520,0,-3.218390804597704
2001-02-22,sh.600365,12.6000,12.9000,12.5200,12.7300,12.6300,556180,7091064.0000,3,0.926967,1,0.791761,16.244389,97.774193,14.064643,-2199.476418,0,0.7917656373713333
2001-02-23,sh.600365,12.8000,13.1000,12.7500,13.0900,12.7300,549852,7108940.0000,3,0.916420,1,2.827970,16.703774,100.539214,14.462387,-2261.676851,0,2.827965435978008
2001-02-26,sh.600365,13.1200,13.2500,13.0800,13.2300,13.0900,693442,9133176.0000,3,1.155737,1,1.069514,16.882424,101.614500,14.617065,-2285.865908,0,1.0695187165775444
2001-02-27,sh.600365,13.2500,13.2500,13.0300,13.1800,13.2300,602580,7924522.0000,3,1.004300,1,-0.377923,16.818621,101.230469,14.561822,-2277.226959,0,-0.3779289493575311
2001-02-28,sh.600365,13.1400,13.2000,13.0600,13.1600,13.1800,366563,4809045.0000,3,0.610938,1,-0.151749,16.793099,101.076857,14.539726,-2273.771379,0,-0.15174506828528056
