date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-03-20,sh.600367,36.0600,38.6600,35.8800,37.9100,12.6600,19542726,730033266.0000,3,65.142420,1,199.447100,32.515661,106.017514,19.239565,1269.419145,0,
2001-03-21,sh.600367,37.8000,38.3800,37.6000,38.1000,37.9100,2866681,108880727.0000,3,9.555603,1,0.501183,32.678625,106.548860,19.335991,1275.781309,0,0.5011870218939674
2001-03-22,sh.600367,38.0500,38.3000,37.6000,38.3000,38.1000,1510712,57235876.0000,3,5.035707,1,0.524936,32.850167,107.108171,19.437492,1282.478324,0,0.5249343832020914
2001-03-23,sh.600367,38.4000,40.0000,38.0500,38.5000,38.3000,2907111,114100948.0000,3,9.690370,1,0.522195,33.021708,107.667483,19.538993,1289.175339,0,0.5221932114882533
2001-03-26,sh.600367,38.6000,40.1900,38.6000,39.8000,38.5000,2260893,89193838.0000,3,7.536310,1,3.376621,34.136727,111.303008,20.198752,1332.705935,0,3.3766233766233666
2001-03-27,sh.600367,40.0000,40.1500,39.2500,39.7000,39.8000,1344618,53240235.0000,3,4.482060,1,-0.251252,34.050956,111.023353,20.148001,1329.357427,0,-0.2512562814070196
2001-03-28,sh.600367,39.7000,40.2900,39.3400,39.5200,39.7000,1095695,43503042.0000,3,3.652317,1,-0.453401,33.896569,110.519972,20.056650,1323.330114,0,-0.45340050377833396
2001-03-29,sh.600367,39.6000,40.3500,39.4700,40.1500,39.5200,1064752,42359577.0000,3,3.549173,1,1.594132,34.436924,112.281804,20.376379,1344.425710,0,1.5941295546558543
2001-03-30,sh.600367,40.1500,41.7800,40.1500,41.2900,40.1500,1646120,67911127.0000,3,5.487067,1,2.839351,35.414710,115.469880,20.954936,1382.598695,0,2.8393524283935268
2001-04-02,sh.600367,41.4100,42.0000,40.9100,41.5000,41.2900,1534828,63400113.0000,3,5.116093,1,0.508595,35.594828,116.057157,21.061512,1389.630560,0,0.5085977234197125
2001-04-03,sh.600367,41.5000,41.5800,40.7000,41.0400,41.5000,1302662,53457146.0000,3,4.342207,1,-1.108432,35.200283,114.770740,20.828059,1374.227426,0,-1.1084337349397622
2001-04-04,sh.600367,41.0000,41.4800,39.5000,39.7400,41.0400,1673491,67329091.0000,3,5.578303,1,-3.167639,34.085264,111.135215,20.168301,1330.696830,0,-3.1676413255360525
2001-04-05,sh.600367,39.5000,40.4000,39.4200,40.3000,39.7400,1210266,48460637.0000,3,4.034220,1,1.409153,34.565580,112.701287,20.452505,1349.448472,0,1.4091595369904342
2001-04-06,sh.600367,40.5800,40.6000,39.6800,39.9800,40.3000,677300,27124955.0000,3,2.257667,1,-0.794044,34.291114,111.806389,20.290103,1338.733248,0,-0.7940446650124056
2001-04-09,sh.600367,39.9800,40.8800,39.7000,40.7000,39.9800,745286,29953009.0000,3,2.484287,1,1.800903,34.908663,113.819911,20.655507,1362.842501,0,1.800900450225118
2001-04-10,sh.600367,41.9500,41.9500,40.7000,41.0800,40.7000,981208,40552050.0000,3,3.270693,1,0.933663,32.594619,80.386616,16.281573,1467.616069,0,0.9336609336609181
2001-04-11,sh.600367,41.2200,42.8600,40.9600,42.7000,41.0800,1489413,62336147.0000,3,4.964710,1,3.943522,33.879996,83.556682,16.923641,1525.491873,0,3.9435248296007863
2001-04-12,sh.600367,42.2100,43.7800,42.2100,42.5000,42.7000,1316907,56735387.0000,3,4.389690,1,-0.468386,33.721307,83.165316,16.844374,1518.346712,0,-0.4683840749414636
2001-04-13,sh.600367,42.6800,43.4900,42.3000,43.2000,42.5000,593114,25446271.0000,3,1.977047,1,1.647061,34.276717,84.535098,17.121810,1543.354776,0,1.6470588235294237
2001-04-16,sh.600367,43.3800,44.4800,43.0100,43.8000,43.2000,1483283,65142846.0000,3,4.944277,1,1.388885,34.752782,85.709197,17.359613,1564.790259,0,1.388888888888884
2001-04-17,sh.600367,44.0000,48.1300,43.5100,47.3800,43.8000,2514673,115321580.0000,3,8.382243,1,8.173520,37.593307,92.714651,18.778504,1692.688640,0,8.173515981735168
2001-04-18,sh.600367,45.0800,48.6600,45.0800,48.0000,47.3800,1765808,83319608.0000,3,5.886027,1,1.308567,38.085241,93.927887,19.024234,1714.838640,0,1.3085690164626351
2001-04-19,sh.600367,48.5000,48.5700,46.6000,47.9600,48.0000,1373366,65342512.0000,3,4.577887,1,-0.083335,38.053503,93.849613,19.008380,1713.409607,0,-0.08333333333333526
2001-04-20,sh.600367,47.9000,47.9300,45.4000,45.5000,47.9600,1696574,79625962.0000,3,5.655247,1,-5.129272,36.101635,89.035809,18.033388,1625.524127,0,-5.129274395329442
2001-04-23,sh.600367,45.0700,46.0000,44.0000,45.5000,45.5000,1384584,62521525.0000,3,4.615280,1,0.000000,36.101635,89.035809,18.033388,1625.524127,0,0.0
2001-04-24,sh.600367,45.3000,46.5000,45.1000,45.5100,45.5000,675117,31016105.0000,3,2.250390,1,0.021974,36.109569,89.055377,18.037351,1625.881385,0,0.021978021978008577
