date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2002-03-04,sh.600373,11.0000,11.2000,10.5700,11.0300,2.6800,37259889,407611052.0000,3,82.799753,1,311.567100,10.594991,129.053518,4.081764,322.095858,0,
2002-03-05,sh.600373,11.0300,11.4600,10.9500,11.2900,11.0300,14460892,162345219.0000,3,32.135316,1,2.357210,10.844737,132.095577,4.177980,329.688326,0,2.357207615593837
2002-03-06,sh.600373,11.3000,11.4500,11.1600,11.1800,11.2900,11533240,130290716.0000,3,25.629422,1,-0.974310,10.739075,130.808552,4.137273,326.476128,0,-0.9743135518157642
2002-03-07,sh.600373,11.1800,11.6900,11.1700,11.6200,11.1800,10703011,123363346.0000,3,23.784469,1,3.935596,11.161722,135.956653,4.300099,339.324921,0,3.9355992844364973
2002-03-08,sh.600373,11.6500,11.8900,11.5600,11.7700,11.6200,10272741,120182639.0000,3,22.828313,1,1.290883,11.305807,137.711687,4.355609,343.705191,0,1.2908777969018903
2002-03-11,sh.600373,11.8300,12.0700,11.7100,12.0500,11.7700,6625998,78304788.0000,3,14.724440,1,2.378927,11.574764,140.987751,4.459225,351.881695,0,2.3789294817332385
2002-03-12,sh.600373,12.0000,12.1000,11.7200,11.7800,12.0500,6099824,72461660.0000,3,13.555164,1,-2.240668,11.315412,137.828689,4.359309,343.997209,0,-2.240663900414952
2002-03-13,sh.600373,11.7000,11.8700,11.6300,11.6700,11.7800,3567574,41849924.0000,3,7.927942,1,-0.933783,11.209751,136.541664,4.318602,340.785011,0,-0.9337860780984641
2002-03-14,sh.600373,11.6800,12.0700,11.6800,12.0500,11.6700,3606252,42903647.0000,3,8.013893,1,3.256213,11.574764,140.987751,4.459225,351.881695,0,3.2562125107112427
2002-03-15,sh.600373,12.1200,12.4000,11.7500,11.7800,12.0500,5903282,71830848.0000,3,13.118404,1,-2.240668,11.315412,137.828689,4.359309,343.997209,0,-2.240663900414952
