date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-05-08,sh.600381,25.8000,26.8800,22.0100,22.3300,5.6800,20658480,490017749.0000,3,59.024229,1,293.133800,21.783996,139.216344,23.551558,-94.043812,0,
2001-05-09,sh.600381,22.0000,22.3300,21.3700,21.5000,22.3300,5083438,110670139.0000,3,14.524109,1,-3.716972,20.974290,134.041710,22.676153,-90.548229,0,-3.7169726824899163
2001-05-10,sh.600381,21.5000,22.2200,21.4200,22.0600,21.5000,1990677,43597482.0000,3,5.687649,1,2.604649,21.520598,137.533029,23.266788,-92.906695,0,2.6046511627906943
2001-05-11,sh.600381,22.1900,22.2000,21.8100,21.9300,22.0600,833538,18286817.0000,3,2.381537,1,-0.589298,21.393776,136.722545,23.129676,-92.359194,0,-0.5893019038984537
2001-05-14,sh.600381,21.9400,22.9900,21.9400,22.8800,21.9300,3117222,70632961.0000,3,8.906349,1,4.331960,22.320547,142.645318,24.131646,-96.360162,0,4.331965344277244
2001-05-15,sh.600381,22.9000,22.9800,22.7000,22.9000,22.8800,1668058,38077455.0000,3,4.765880,1,0.087415,22.340058,142.770008,24.152740,-96.444393,0,0.08741258741258306
2001-05-16,sh.600381,22.9000,23.0700,22.5000,22.9100,22.9000,1412858,32260584.0000,3,4.036737,1,0.043669,22.349814,142.832353,24.163287,-96.486509,0,0.04366812227074579
2001-05-17,sh.600381,22.9900,23.0900,22.6000,22.8800,22.9100,1566340,35885265.0000,3,4.475257,1,-0.130950,22.320547,142.645318,24.131646,-96.360162,0,-0.13094718463553257
2001-05-18,sh.600381,22.7000,22.9200,22.6000,22.8600,22.8800,1055231,24019955.0000,3,3.014946,1,-0.087406,22.301036,142.520628,24.110552,-96.275931,0,-0.08741258741258306
2001-05-21,sh.600381,22.8400,22.9800,22.6200,22.9800,22.8600,1208839,27538435.0000,3,3.453826,1,0.524930,22.418102,143.268768,24.237116,-96.781317,0,0.5249343832021136
2001-05-22,sh.600381,23.0000,23.9800,23.0000,23.5800,22.9800,2954295,69938816.0000,3,8.440843,1,2.610968,23.003431,147.009467,24.869939,-99.308244,0,2.610966057441244
2001-05-23,sh.600381,23.6000,23.6800,23.1800,23.6000,23.5800,1792313,41870541.0000,3,5.120894,1,0.084820,23.022942,147.134157,24.891033,-99.392475,0,0.08481764206955678
2001-05-24,sh.600381,23.6200,24.1000,23.6100,23.8500,23.6000,2529077,60452811.0000,3,7.225934,1,1.059322,23.266829,148.692781,25.154709,-100.445361,0,1.0593220338983134
2001-05-25,sh.600381,23.9000,23.9500,23.4000,23.7400,23.8500,1009305,23927228.0000,3,2.883729,1,-0.461218,23.159519,148.006986,25.038692,-99.982091,0,-0.4612159329140608
2001-05-28,sh.600381,23.7800,23.8000,23.0000,23.1700,23.7400,898290,20909393.0000,3,2.566543,1,-2.401010,22.603456,144.453322,24.437510,-97.581510,0,-2.401010951979765
2001-05-29,sh.600381,23.1700,23.4000,23.0500,23.2000,23.1700,533367,12361393.0000,3,1.523906,1,0.129481,22.632723,144.640357,24.469151,-97.707857,0,0.12947777298228935
2001-05-30,sh.600381,23.2500,23.4800,23.2000,23.4800,23.2000,507331,11850079.0000,3,1.449517,1,1.206891,22.905876,146.386017,24.764468,-98.887090,0,1.206896551724146
2001-05-31,sh.600381,23.6600,23.7300,23.0000,23.1100,23.4800,669700,15568169.0000,3,1.913429,1,-1.575805,22.544923,144.079252,24.374228,-97.328818,0,-1.5758091993185785
2001-06-01,sh.600381,23.1000,23.3300,23.0000,23.2000,23.1100,561047,12953972.0000,3,1.602991,1,0.389442,22.632723,144.640357,24.469151,-97.707857,0,0.38944180008653184
2001-06-04,sh.600381,23.2100,23.5300,23.0600,23.5000,23.2000,625376,14512280.0000,3,1.786789,1,1.293100,22.925387,146.510707,24.785563,-98.971320,0,1.2931034482758674
2001-06-05,sh.600381,23.4800,23.6200,23.3600,23.3900,23.5000,652070,15317976.0000,3,1.863057,1,-0.468088,22.818077,145.824912,24.669545,-98.508050,0,-0.46808510638297607
2001-06-06,sh.600381,23.3600,23.5000,23.1000,23.3200,23.3900,511504,11903145.0000,3,1.461440,1,-0.299272,22.749788,145.388497,24.595716,-98.213242,0,-0.29927319367251126
2001-06-07,sh.600381,23.3300,23.3800,23.0600,23.1100,23.3200,536479,12418597.0000,3,1.532797,1,-0.900511,22.544923,144.079252,24.374228,-97.328818,0,-0.9005145797598701
2001-06-08,sh.600381,23.1000,23.4900,23.0000,23.4900,23.1100,553286,12806137.0000,3,1.580817,1,1.644306,22.915632,146.448362,24.775016,-98.929205,0,1.6443098225876307
2001-06-11,sh.600381,23.4900,23.8500,23.4900,23.5800,23.4900,787179,18619489.0000,3,2.249083,1,0.383142,23.003431,147.009467,24.869939,-99.308244,0,0.3831417624521105
2001-06-12,sh.600381,23.5800,24.2800,23.5100,24.2800,23.5800,1924138,46239621.0000,3,5.497537,1,2.968621,23.686315,151.373615,25.608232,-102.256326,0,2.9686174724342873
2001-06-13,sh.600381,24.3200,24.5500,24.1600,24.3500,24.2800,1832209,44698159.0000,3,5.234883,1,0.288302,23.754603,151.810030,25.682062,-102.551134,0,0.2883031301482708
2001-06-14,sh.600381,24.2600,24.4700,23.8000,23.8000,24.3500,1715899,41416030.0000,3,4.902569,1,-2.258732,23.218052,148.381056,25.101974,-100.234784,0,-2.2587268993839893
2001-06-15,sh.600381,23.7000,24.4200,23.6000,24.3600,23.8000,1166057,28015253.0000,3,3.331591,1,2.352947,23.764359,151.872375,25.692609,-102.593250,0,2.35294117647058
2001-06-18,sh.600381,24.4000,24.9500,24.0300,24.2800,24.3600,2037270,50055834.0000,3,5.820771,1,-0.328407,23.686315,151.373615,25.608232,-102.256326,0,-0.3284072249589376
2001-06-19,sh.600381,24.3000,24.4500,24.0000,24.3800,24.2800,697051,16882356.0000,3,1.991574,1,0.411855,23.783870,151.997065,25.713703,-102.677481,0,0.4118616144975107
2001-06-20,sh.600381,24.4000,24.8800,24.0000,24.4000,24.3800,828096,20343218.0000,3,2.365989,1,0.082036,23.803381,152.121755,25.734797,-102.761711,0,0.08203445447088065
2001-06-21,sh.600381,24.4500,24.8500,24.3000,24.7700,24.4000,819978,20217987.0000,3,2.342794,1,1.516397,24.164334,154.428519,26.125038,-104.319983,0,1.5163934426229542
2001-06-22,sh.600381,24.8000,25.1300,24.6100,25.0900,24.7700,1567802,39197156.0000,3,4.479434,1,1.291884,24.476509,156.423559,26.462543,-105.667678,0,1.291885345175614
2001-06-25,sh.600381,25.1500,25.7900,24.9000,25.5500,25.0900,1899441,48257187.0000,3,5.426974,1,1.833396,24.925261,159.291428,26.947707,-107.604989,0,1.8333997608608987
2001-06-26,sh.600381,25.7000,25.9700,25.4700,25.6600,25.5500,3146052,80948981.0000,3,8.988720,1,0.430531,25.032572,159.977223,27.063725,-108.068259,0,0.43052837573385183
