date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-08-24,sh.600418,13.5000,14.3800,13.0700,13.1500,9.9000,54550924,745852542.0000,3,61.989686,1,32.828290,10.776770,32.646600,1.572771,50.835338,0,
2001-08-27,sh.600418,12.8800,13.0500,12.4100,12.5800,13.1500,9800994,124267340.0000,3,11.137493,1,-4.334599,10.309640,31.231501,1.504598,48.631829,0,-4.334600760456276
2001-08-28,sh.600418,12.8800,13.3800,12.6500,13.3300,12.5800,5119657,66620693.0000,3,5.817792,1,5.961844,10.924284,33.093474,1.594300,51.531183,0,5.961844197138322
2001-08-29,sh.600418,13.3500,13.5000,13.1000,13.2300,13.3300,5988569,79908697.0000,3,6.805192,1,-0.750190,10.842332,32.845211,1.582339,51.144603,0,-0.7501875468867159
2001-08-30,sh.600418,13.1500,13.5000,13.0800,13.2800,13.2300,3466311,46260828.0000,3,3.938990,1,0.377930,10.883308,32.969342,1.588319,51.337893,0,0.37792894935750887
2001-08-31,sh.600418,13.3100,13.4100,13.0000,13.0400,13.2800,1674001,22086303.0000,3,1.902274,1,-1.807227,10.686622,32.373511,1.559615,50.410100,0,-1.8072289156626509
2001-09-03,sh.600418,12.8900,13.1000,12.5200,12.6900,13.0400,2005099,25594773.0000,3,2.278522,1,-2.684052,10.399788,31.504590,1.517754,49.057068,0,-2.6840490797546024
2001-09-04,sh.600418,12.6500,13.2200,12.6100,13.1500,12.6900,2349977,30659801.0000,3,2.670428,1,3.624902,10.776770,32.646600,1.572771,50.835338,0,3.624901497241928
2001-09-05,sh.600418,13.1800,13.5500,13.1000,13.2900,13.1500,3555784,47440272.0000,3,4.040664,1,1.064641,10.891503,32.994169,1.589515,51.376551,0,1.0646387832699444
2001-09-06,sh.600418,13.2900,13.3600,13.0600,13.2200,13.2900,1161529,15329006.0000,3,1.319919,1,-0.526710,10.834137,32.820385,1.581143,51.105945,0,-0.5267118133935211
2001-09-07,sh.600418,13.1500,13.2200,12.7200,12.7700,13.2200,1850207,23913681.0000,3,2.102508,1,-3.403932,10.465350,31.703200,1.527322,49.366332,0,-3.4039334341906313
2001-09-10,sh.600418,12.5100,13.7900,12.5000,13.7900,12.7700,5503096,73605038.0000,3,6.253518,1,7.987466,11.301267,34.235484,1.649317,53.309454,0,7.987470634299143
2001-09-11,sh.600418,13.7900,13.8500,13.5000,13.6700,13.7900,3724648,51037375.0000,3,4.232555,1,-0.870195,11.202923,33.937569,1.634964,52.845557,0,-0.870195794053652
2001-09-12,sh.600418,13.3000,13.8900,13.0700,13.7900,13.6700,4804011,65213900.0000,3,5.459103,1,0.877834,11.301267,34.235484,1.649317,53.309454,0,0.8778346744696464
2001-09-13,sh.600418,13.7900,13.9800,13.6800,13.7500,13.7900,2699197,37326794.0000,3,3.067269,1,-0.290065,11.268485,34.136179,1.644533,53.154822,0,-0.29006526468454696
2001-09-14,sh.600418,13.7100,13.8500,13.4100,13.4400,13.7500,1888307,25599183.0000,3,2.145803,1,-2.254549,11.014432,33.366563,1.607456,51.956422,0,-2.2545454545454535
2001-09-17,sh.600418,13.4000,13.5600,13.1300,13.2000,13.4400,1316865,17511124.0000,3,1.496438,1,-1.785713,10.817746,32.770732,1.578751,51.028629,0,-1.7857142857142905
2001-09-18,sh.600418,13.2500,13.6000,13.1900,13.4800,13.2000,831705,11146204.0000,3,0.945119,1,2.121210,11.047213,33.465869,1.612240,52.111054,0,2.1212121212121238
2001-09-19,sh.600418,13.2800,13.6800,13.2500,13.6300,13.4800,745356,10066551.0000,3,0.846995,1,1.112764,11.170142,33.838263,1.630180,52.690925,0,1.1127596439169274
