date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2002-04-18,sh.600428,12.5500,13.0000,11.9800,12.2000,7.3900,83322006,1042539691.0000,3,64.093851,1,65.087960,12.186009,51.263474,8.207542,290.331999,0,
2002-04-19,sh.600428,12.1000,12.1900,11.7800,12.1400,12.2000,15322407,183420751.0000,3,11.786467,1,-0.491799,12.126078,51.011359,8.167177,288.904137,0,-0.4918032786885185
2002-04-22,sh.600428,11.9800,12.1000,11.8000,11.8200,12.1400,4760213,56682297.0000,3,3.661702,1,-2.635920,11.244418,49.666743,7.951897,281.288872,0,-2.635914332784184
2002-04-23,sh.600428,11.7600,12.0000,11.7000,11.8900,11.8200,4687928,55503367.0000,3,3.606098,1,0.592222,11.311009,49.960878,7.998989,282.954711,0,0.5922165820642977
2002-04-24,sh.600428,11.9000,12.0000,11.7500,11.8700,11.8900,3474682,41315969.0000,3,2.672832,1,-0.168212,11.291983,49.876839,7.985534,282.478757,0,-0.1682085786375187
2002-04-25,sh.600428,11.8100,12.1700,11.7800,12.1200,11.8700,4863837,58327916.0000,3,3.741413,1,2.106150,11.529809,50.927320,8.153722,288.428183,0,2.1061499578769904
2002-04-26,sh.600428,12.1300,12.2400,12.0000,12.1500,12.1200,4814504,58536421.0000,3,3.703465,1,0.247523,11.558348,51.053378,8.173904,289.142114,0,0.24752475247524774
2002-04-29,sh.600428,12.1800,12.2300,12.0500,12.1500,12.1500,4365700,53002005.0000,3,3.358231,1,0.000000,11.558348,51.053378,8.173904,289.142114,0,0.0
2002-04-30,sh.600428,12.1600,12.7500,12.1000,12.5300,12.1500,17101216,213726112.0000,3,13.154782,1,3.127573,11.919844,52.650109,8.429549,298.185242,0,3.1275720164609
2002-05-08,sh.600428,12.4100,12.5000,12.2900,12.3000,12.5300,3524101,43563527.0000,3,2.710847,1,-1.835591,11.701044,51.683667,8.274817,292.711770,0,-1.8355945730247347
2002-05-09,sh.600428,12.2500,12.4200,12.2000,12.2900,12.3000,2788338,34331490.0000,3,2.144875,1,-0.081303,11.691531,51.641648,8.268089,292.473793,0,-0.08130081300814496
2002-05-10,sh.600428,12.2900,12.3000,12.0600,12.1100,12.2900,3875800,47217578.0000,3,2.981385,1,-1.464608,11.520296,50.885301,8.146994,288.190206,0,-1.4646053702196848
2002-05-13,sh.600428,12.0800,12.0900,11.9500,11.9900,12.1100,2886769,34640835.0000,3,2.220592,1,-0.990916,11.406140,50.381070,8.066264,285.334481,0,-0.9909165978530088
2002-05-14,sh.600428,11.9500,12.1300,11.9100,11.9600,11.9900,1931617,23169780.0000,3,1.485859,1,-0.250206,11.377601,50.255013,8.046082,284.620550,0,-0.2502085070892335
