date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2004-03-12,sh.600479,33.5000,38.5000,32.5000,35.9600,23.0500,11982319,410074001.0000,3,66.568439,1,56.008680,9.282875,40.216299,2.932090,-1299.604194,0,
2004-03-15,sh.600479,35.0000,35.4800,34.0600,34.6100,35.9600,4464176,154815964.0000,3,24.800978,1,-3.750000,8.934380,38.706510,2.822014,-1250.814826,0,-3.754171301446052
2004-03-16,sh.600479,34.6100,35.2500,34.2100,34.6900,34.6100,2258758,78495496.0000,3,12.548656,1,0.230000,8.955031,38.795979,2.828537,-1253.706048,0,0.23114706732156876
2004-03-17,sh.600479,34.7000,35.8000,34.4800,35.0200,34.6900,2155002,75751561.0000,3,11.972233,1,0.950000,9.040219,39.165038,2.855445,-1265.632338,0,0.9512827904295307
2004-03-18,sh.600479,35.0000,35.0300,33.5200,33.7100,35.0200,2355819,80605833.0000,3,13.087883,1,-3.740000,8.702050,37.699984,2.748631,-1218.288581,0,-3.740719588806407
2004-03-19,sh.600479,33.6000,33.9600,33.2100,33.6000,33.7100,1161530,38919749.0000,3,6.452944,1,-0.330000,8.673654,37.576964,2.739661,-1214.313151,0,-0.3263126668644256
2004-03-22,sh.600479,33.9000,34.3000,33.5000,33.9800,33.6000,1024283,34650700.0000,3,5.690461,1,1.130000,8.771749,38.001942,2.770646,-1228.046454,0,1.130952380952377
2004-03-23,sh.600479,33.9800,33.9800,32.9000,33.1600,33.9800,1170150,38829589.0000,3,6.500833,1,-2.410000,8.560070,37.084885,2.703785,-1198.411431,0,-2.413184226015308
2004-03-24,sh.600479,33.1600,33.4800,32.9100,33.3000,33.1600,574159,19048911.0000,3,3.189772,1,0.420000,8.596210,37.241456,2.715200,-1203.471069,0,0.42219541616406175
2004-03-25,sh.600479,33.2500,33.3300,32.8300,32.9200,33.3000,556782,18375555.0000,3,3.093233,1,-1.140000,8.498116,36.816478,2.684216,-1189.737766,0,-1.141141141141122
2004-03-26,sh.600479,32.9500,33.5000,32.9000,33.1100,32.9200,579481,19199037.0000,3,3.219339,1,0.580000,8.547163,37.028967,2.699708,-1196.604417,0,0.577156743620888
2004-03-29,sh.600479,30.3300,34.4900,30.3300,33.6600,33.1100,1316309,44229637.0000,3,7.312828,1,1.660000,8.689142,37.644066,2.744554,-1216.481567,0,1.661129568106312
2004-03-30,sh.600479,33.5700,34.4500,33.5000,33.7000,33.6600,699677,23757564.0000,3,3.887094,1,0.120000,8.699468,37.688800,2.747815,-1217.927178,0,0.11883541295307776
2004-03-31,sh.600479,33.7100,34.3300,33.6600,33.7900,33.7000,616300,20899246.0000,3,3.423889,1,0.270000,8.722701,37.789453,2.755154,-1221.179803,0,0.26706231454005636
2004-04-01,sh.600479,34.0000,34.0000,33.1800,33.2700,33.7900,716974,23893842.0000,3,3.983189,1,-1.540000,8.588466,37.207905,2.712754,-1202.386861,0,-1.5389168393015518
2004-04-02,sh.600479,33.3000,33.7700,33.1000,33.4100,33.2700,453916,15134024.0000,3,2.521756,1,0.420000,8.624606,37.364475,2.724169,-1207.446499,0,0.4207995190862457
2004-04-05,sh.600479,33.4000,34.3900,33.1800,34.0200,33.4100,1269531,43061538.0000,3,7.052950,1,1.830000,8.782074,38.046676,2.773907,-1229.492065,0,1.825800658485499
2004-04-06,sh.600479,34.1400,35.3000,33.8800,34.8000,34.0200,1666196,57875180.0000,3,9.256644,1,2.290000,8.983427,38.918999,2.837507,-1257.681478,0,2.292768959435598
2004-04-07,sh.600479,34.8000,34.9700,34.1500,34.2900,34.8000,604178,20758603.0000,3,3.356544,1,-1.470000,8.851773,38.348634,2.795922,-1239.249939,0,-1.4655172413792994
2004-04-08,sh.600479,34.3000,35.0000,33.8300,34.9900,34.2900,1088110,37495463.0000,3,6.045056,1,2.040000,9.032475,39.131487,2.852999,-1264.548129,0,2.041411490230405
2004-04-09,sh.600479,34.9900,36.3600,34.4400,34.7900,34.9900,2479834,87729620.0000,3,13.776856,1,-0.570000,8.980846,38.907815,2.836691,-1257.320075,0,-0.5715918833952616
2004-04-12,sh.600479,34.7100,35.0500,34.1500,34.2000,34.7900,751440,25915677.0000,3,4.174667,1,-1.700000,8.828540,38.247981,2.788584,-1235.997314,0,-1.6958896234550047
2004-04-13,sh.600479,34.2500,34.7500,33.3300,33.5000,34.2000,981259,33371278.0000,3,5.451439,1,-2.050000,8.647839,37.465128,2.731508,-1210.699124,0,-2.046783625730997
2004-04-14,sh.600479,33.5100,33.8700,33.3500,33.5900,33.5000,616526,20688529.0000,3,3.425144,1,0.270000,8.671072,37.565781,2.738846,-1213.951748,0,0.26865671641791433
2004-04-15,sh.600479,33.5500,33.8000,30.8800,31.3400,33.5900,1420008,45582412.0000,3,7.888933,1,-6.700000,8.090247,35.049466,2.555387,-1132.636135,0,-6.698422149449246
2004-04-16,sh.600479,31.4000,31.6700,30.6000,31.5800,31.3400,719436,22387180.0000,3,3.996867,1,0.770000,8.152202,35.317873,2.574956,-1141.309801,0,0.7657945118059839
2004-04-19,sh.600479,30.7000,30.9900,29.0000,29.0700,31.5800,1520304,45136520.0000,3,8.446133,1,-7.950000,2.741717,32.510784,2.370296,-1050.597717,0,-7.948068397720065
2004-04-20,sh.600479,29.0000,29.5800,28.7000,29.0900,29.0700,462945,13508904.0000,3,2.571917,1,0.070000,2.743603,32.533151,2.371927,-1051.320523,0,0.06879944960440643
2004-04-21,sh.600479,29.0000,29.3800,28.5000,28.8800,29.0900,556519,16045291.0000,3,3.091772,1,-0.720000,2.723797,32.298295,2.354804,-1043.731065,0,-0.7218975592987342
2004-04-22,sh.600479,29.0800,29.3000,28.8000,29.2000,28.8800,227003,6594696.0000,3,1.261128,1,1.110000,2.753978,32.656171,2.380896,-1055.295953,0,1.1080332409972415
2004-04-23,sh.600479,29.2700,29.6000,28.7200,28.7800,29.2000,376740,11002809.0000,3,2.093000,1,-1.440000,2.714366,32.186459,2.346650,-1040.117038,0,-1.4383561643835585
2004-04-26,sh.600479,28.8000,29.0000,28.0000,28.1000,28.7800,376287,10685910.0000,3,2.090483,1,-2.360000,2.650232,31.425973,2.291205,-1015.541653,0,-2.3627519110493433
2004-04-27,sh.600479,28.1100,28.5000,27.7000,27.7900,28.1000,426136,11875598.0000,3,2.367422,1,-1.100000,2.620995,31.079281,2.265928,-1004.338169,0,-1.1032028469750932
2004-04-28,sh.600479,27.7900,28.5000,27.5800,28.3200,27.7900,307703,8708133.0000,3,1.709461,1,1.910000,2.670981,31.672013,2.309143,-1023.492513,0,1.9071608492263525
2004-04-29,sh.600479,28.3200,28.4600,27.7100,27.7800,28.3200,324920,9083418.0000,3,1.805111,1,-1.910000,2.620052,31.068097,2.265113,-1003.976766,0,-1.906779661016944
2004-04-30,sh.600479,27.7500,28.2500,27.6100,28.0700,27.7800,200365,5610448.0000,3,1.113139,1,1.040000,2.647403,31.392422,2.288759,-1014.457445,0,1.0439164866810513
2004-05-10,sh.600479,28.0900,28.1800,27.8000,27.8400,28.0700,155350,4329445.0000,3,0.863056,1,-0.820000,2.625710,31.135199,2.270005,-1006.145182,0,-0.8193801211257568
2004-05-11,sh.600479,27.8000,28.2000,27.6200,28.1800,27.8400,140899,3938459.0000,3,0.782772,1,1.220000,2.657777,31.515442,2.297728,-1018.432875,0,1.2212643678160884
2004-05-12,sh.600479,28.1600,28.7800,28.1600,28.7700,28.1800,270420,7705625.0000,3,1.502333,1,2.090000,2.713423,32.175276,2.345835,-1039.755635,0,2.0936834634492474
2004-05-13,sh.600479,28.8000,28.8000,28.3700,28.5000,28.7700,152946,4357412.0000,3,0.849700,1,-0.940000,2.687958,31.873318,2.323820,-1029.997762,0,-0.9384775808133461
2004-05-14,sh.600479,28.4000,28.6600,27.6000,27.7900,28.5000,294420,8214093.0000,3,1.635667,1,-2.490000,2.620995,31.079281,2.265928,-1004.338169,0,-2.491228070175444
2004-05-17,sh.600479,27.6000,27.9000,27.6000,27.8300,27.7900,136641,3783121.0000,3,0.759117,1,0.140000,2.624767,31.124015,2.269190,-1005.783779,0,0.14393666786614023
2004-05-18,sh.600479,27.8300,27.8300,27.8300,27.8300,27.8300,0,0.0000,3,,0,0.000000,2.624767,31.124015,2.269190,-1005.783779,0,0.0
2004-05-19,sh.600479,28.1500,28.5000,28.1500,28.1600,27.8300,240864,6838054.0000,3,1.338133,1,1.190000,2.655891,31.493075,2.296097,-1017.710069,0,1.1857707509881577
2004-05-20,sh.600479,28.1500,28.1800,27.6700,27.7100,28.1600,170972,4763760.0000,3,0.949844,1,-1.600000,2.613450,30.989812,2.259405,-1001.446947,0,-1.5980113636363646
