date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2004-07-14,sh.600482,6.1600,6.4500,6.0800,6.4000,5.7200,38319198,241423434.0000,3,47.898998,1,11.888120,5.225465,35.315291,2.037269,-132.489021,0,
2004-07-15,sh.600482,6.3300,6.4300,6.2100,6.3200,6.4000,14845172,93737424.0000,3,18.556465,1,-1.250000,5.160146,34.873850,2.011803,-130.832909,0,-1.2499999999999956
2004-07-16,sh.600482,6.3200,6.7900,6.2300,6.5800,6.3200,20734948,135107879.0000,3,25.918685,1,4.110000,5.372431,36.308534,2.094567,-136.215275,0,4.113924050632911
2004-07-19,sh.600482,6.5800,6.6800,6.5000,6.5800,6.5800,10676605,70419374.0000,3,13.345756,1,0.000000,5.372431,36.308534,2.094567,-136.215275,0,0.0
2004-07-20,sh.600482,6.5500,6.5600,6.3900,6.4300,6.5800,7590340,48948152.0000,3,9.487925,1,-2.280000,5.249959,35.480832,2.046819,-133.110064,0,-2.27963525835867
2004-07-21,sh.600482,6.4500,6.6000,6.4200,6.4600,6.4300,6654477,43216886.0000,3,8.318096,1,0.470000,5.274454,35.646372,2.056368,-133.731106,0,0.4665629860031162
2004-07-22,sh.600482,6.4600,6.5200,6.2500,6.2600,6.4600,6445188,40969283.0000,3,8.056485,1,-3.100000,5.111158,34.542769,1.992704,-129.590824,0,-3.095975232198145
2004-07-23,sh.600482,6.2300,6.3000,6.1200,6.2900,6.2600,3949049,24515143.0000,3,4.936311,1,0.480000,5.135652,34.708310,2.002254,-130.211866,0,0.4792332268370725
2004-07-26,sh.600482,6.1900,6.2400,6.0900,6.1300,6.2900,2322371,14272516.0000,3,2.902964,1,-2.540000,5.005015,33.825427,1.951322,-126.899641,0,-2.5437201907790197
2004-07-27,sh.600482,6.1100,6.1900,5.9100,5.9500,6.1300,3533837,21307176.0000,3,4.417296,1,-2.940000,4.858049,32.832185,1.894024,-123.173387,0,-2.9363784665579096
2004-07-28,sh.600482,5.9600,6.1500,5.9100,6.1400,5.9500,3475025,21005666.0000,3,4.343781,1,3.190000,5.013180,33.880607,1.954505,-127.106655,0,3.1932773109243584
2004-07-29,sh.600482,6.1300,6.2000,6.0600,6.1800,6.1400,2448880,15037470.0000,3,3.061100,1,0.650000,5.045839,34.101328,1.967238,-127.934711,0,0.6514657980456029
2004-07-30,sh.600482,6.1800,6.2100,5.9900,6.0100,6.1800,2351562,14292310.0000,3,2.939453,1,-2.750000,4.907038,33.163266,1.913123,-124.415472,0,-2.750809061488668
2004-08-02,sh.600482,6.0000,6.0900,5.9700,6.0400,6.0100,1366934,8237470.0000,3,1.708668,1,0.500000,4.931532,33.328806,1.922673,-125.036514,0,0.4991680532445919
2004-08-03,sh.600482,6.0000,6.0800,6.0000,6.0300,6.0400,975581,5886720.0000,3,1.219476,1,-0.170000,4.923368,33.273626,1.919489,-124.829500,0,-0.16556291390728006
2004-08-04,sh.600482,6.0100,6.3600,6.0000,6.2300,6.0300,5393375,33666811.0000,3,6.741719,1,3.320000,5.086663,34.377229,1.983154,-128.969782,0,3.316749585406309
2004-08-05,sh.600482,6.2000,6.2800,6.0700,6.1000,6.2300,2388695,14741256.0000,3,2.985869,1,-2.090000,4.980521,33.659887,1.941772,-126.278598,0,-2.0866773675762618
2004-08-06,sh.600482,6.0800,6.2000,6.0200,6.0900,6.1000,1745173,10609235.0000,3,2.181466,1,-0.160000,4.972356,33.604707,1.938589,-126.071584,0,-0.16393442622950616
2004-08-09,sh.600482,6.0900,6.1800,6.0300,6.1000,6.0900,1060425,6453491.0000,3,1.325531,1,0.160000,4.980521,33.659887,1.941772,-126.278598,0,0.16420361247946325
2004-08-10,sh.600482,6.1000,6.1500,6.0600,6.0900,6.1000,667241,4066727.0000,3,0.834051,1,-0.160000,4.972356,33.604707,1.938589,-126.071584,0,-0.16393442622950616
2004-08-11,sh.600482,6.0800,6.1400,5.9900,6.0100,6.0900,1341923,8112587.0000,3,1.677404,1,-1.310000,4.907038,33.163266,1.913123,-124.415472,0,-1.3136288998357948
2004-08-12,sh.600482,5.9700,5.9700,5.7500,5.8300,6.0100,2566935,14961667.0000,3,3.208669,1,-3.000000,4.760072,32.170023,1.855825,-120.689218,0,-2.9950083194675514
2004-08-13,sh.600482,5.8000,5.9200,5.7800,5.8100,5.8300,1045797,6111985.0000,3,1.307246,1,-0.340000,4.743742,32.059663,1.849458,-120.275190,0,-0.34305317324185847
2004-08-16,sh.600482,5.7800,5.8100,5.5600,5.6200,5.8100,1969907,11111064.0000,3,2.462384,1,-3.270000,4.588611,31.011240,1.788977,-116.341922,0,-3.2702237521514577
2004-08-17,sh.600482,5.6000,5.7300,5.5600,5.6500,5.6200,1020957,5765028.0000,3,1.276196,1,0.530000,4.613106,31.176780,1.798527,-116.962964,0,0.5338078291815096
2004-08-18,sh.600482,5.6500,5.7000,5.5500,5.5700,5.6500,1155986,6485043.0000,3,1.444983,1,-1.420000,4.547787,30.735339,1.773061,-115.306851,0,-1.415929203539823
2004-08-19,sh.600482,5.5700,5.5700,5.2600,5.3400,5.5700,1881783,10164949.0000,3,2.352229,1,-4.130000,4.359997,29.466196,1.699846,-110.545527,0,-4.129263913824066
2004-08-20,sh.600482,5.3000,5.5000,5.2600,5.4100,5.3400,1424060,7637899.0000,3,1.780075,1,1.310000,4.417151,29.852457,1.722129,-111.994626,0,1.310861423220988
2004-08-23,sh.600482,5.4000,5.4500,5.3000,5.3900,5.4100,945469,5082474.0000,3,1.181836,1,-0.370000,4.400821,29.742097,1.715763,-111.580598,0,-0.3696857670979714
2004-08-24,sh.600482,5.3500,5.6500,5.3500,5.5400,5.3900,2316901,12823592.0000,3,2.896126,1,2.780000,4.523293,30.569799,1.763511,-114.685809,0,2.782931354359941
2004-08-25,sh.600482,5.5000,5.5300,5.4000,5.4300,5.5400,839735,4581620.0000,3,1.049669,1,-1.990000,4.433480,29.962817,1.728495,-112.408654,0,-1.9855595667870096
2004-08-26,sh.600482,5.4800,5.4800,5.3700,5.4100,5.4300,594612,3217998.0000,3,0.743265,1,-0.370000,4.417151,29.852457,1.722129,-111.994626,0,-0.36832412523019054
2004-08-27,sh.600482,5.4100,5.4500,5.2600,5.3100,5.4100,796233,4251134.0000,3,0.995291,1,-1.850000,4.335503,29.300656,1.690297,-109.924485,0,-1.848428835489846
2004-08-30,sh.600482,5.2800,5.2800,5.0200,5.1500,5.3100,2166229,11068194.0000,3,2.707786,1,-3.010000,4.629792,25.515953,1.398581,-106.612259,0,-3.0131826741996104
2004-08-31,sh.600482,5.4000,5.5900,5.3200,5.3500,5.1500,5052343,27513822.0000,3,6.315429,1,3.880000,4.809589,26.506864,1.452895,-110.752541,0,3.883495145631044
2004-09-01,sh.600482,5.3300,5.3300,5.1800,5.2000,5.3500,1483499,7779350.0000,3,1.854374,1,-2.800000,4.674741,25.763681,1.412159,-107.647330,0,-2.8037383177569986
2004-09-02,sh.600482,5.1500,5.3400,5.1300,5.3100,5.2000,1044140,5480397.0000,3,1.305175,1,2.120000,4.773630,26.308682,1.442032,-109.924485,0,2.115384615384608
2004-09-03,sh.600482,5.3000,5.4000,5.2500,5.2900,5.3100,876693,4658966.0000,3,1.095866,1,-0.380000,4.755650,26.209590,1.436600,-109.510457,0,-0.37664783427494575
2004-09-06,sh.600482,5.2800,5.3300,5.2500,5.3100,5.2900,389602,2061370.0000,3,0.487003,1,0.380000,4.773630,26.308682,1.442032,-109.924485,0,0.3780718336483746
2004-09-07,sh.600482,5.3400,5.4200,5.2900,5.3500,5.3100,580969,3105307.0000,3,0.726211,1,0.750000,4.809589,26.506864,1.452895,-110.752541,0,0.7532956685499137
2004-09-08,sh.600482,5.4000,5.4100,5.3000,5.3200,5.3500,879837,4712323.0000,3,1.099796,1,-0.560000,4.782620,26.358227,1.444747,-110.131499,0,-0.5607476635513864
2004-09-09,sh.600482,5.3200,5.3200,5.1500,5.1600,5.3200,1043033,5426110.0000,3,1.303791,1,-3.010000,4.638782,25.565498,1.401296,-106.819273,0,-3.007518796992481
2004-09-10,sh.600482,5.1200,5.2100,5.1000,5.2000,5.1600,719007,3716955.0000,3,0.898759,1,0.780000,4.674741,25.763681,1.412159,-107.647330,0,0.7751937984496138
2004-09-13,sh.600482,5.1800,5.1900,5.0800,5.0900,5.2000,660436,3372224.0000,3,0.825545,1,-2.120000,4.575852,25.218680,1.382287,-105.370175,0,-2.115384615384619
2004-09-14,sh.600482,5.1200,5.3200,5.1200,5.2900,5.0900,1708166,8987325.0000,3,2.135208,1,3.930000,4.755650,26.209590,1.436600,-109.510457,0,3.9292730844793677
2004-09-15,sh.600482,5.2800,5.6900,5.2100,5.5500,5.2900,6116497,33946467.0000,3,7.645621,1,4.910000,4.989387,27.497774,1.507208,-114.892823,0,4.914933837429114
2004-09-16,sh.600482,5.5800,5.6700,5.4600,5.6400,5.5500,4223600,23631856.0000,3,5.279500,1,1.620000,5.070296,27.943684,1.531650,-116.755950,0,1.6216216216216273
2004-09-17,sh.600482,5.6300,5.7600,5.5500,5.7600,5.6400,4230652,23962745.0000,3,5.288315,1,2.130000,5.178175,28.538231,1.564238,-119.240119,0,2.127659574468077
2004-09-20,sh.600482,5.7800,5.9100,5.7000,5.8900,5.7600,5491773,31833073.0000,3,6.864716,1,2.260000,5.295043,29.182323,1.599542,-121.931302,0,2.256944444444442
2004-09-21,sh.600482,5.9000,5.9000,5.7400,5.8000,5.8900,4043291,23461492.0000,3,5.054114,1,-1.530000,5.214134,28.736413,1.575101,-120.068176,0,-1.5280135823429464
2004-09-22,sh.600482,5.7000,5.7800,5.5900,5.6300,5.8000,3267341,18575666.0000,3,4.084176,1,-2.930000,5.061306,27.894139,1.528934,-116.548936,0,-2.931034482758621
2004-09-23,sh.600482,5.6100,5.8200,5.5900,5.8000,5.6300,1731033,9851683.0000,3,2.163791,1,3.020000,5.214134,28.736413,1.575101,-120.068176,0,3.0195381882770933
2004-09-24,sh.600482,5.8500,5.8700,5.5500,5.5700,5.8000,4008665,23037527.0000,3,5.010831,1,-3.970000,5.007367,27.596866,1.512640,-115.306851,0,-3.9655172413793016
2004-09-27,sh.600482,5.5800,5.6900,5.4000,5.4600,5.5700,1934783,10696504.0000,3,2.418479,1,-1.970000,4.908478,27.051865,1.482767,-113.029696,0,-1.9748653500897717
2004-09-28,sh.600482,5.4800,5.5600,5.4300,5.5300,5.4600,1154843,6340112.0000,3,1.443554,1,1.280000,4.971407,27.398683,1.501777,-114.478795,0,1.2820512820512775
2004-09-29,sh.600482,5.5500,5.5500,5.4200,5.4300,5.5300,954908,5218387.0000,3,1.193635,1,-1.810000,4.881508,26.903228,1.474620,-112.408654,0,-1.8083182640144746
2004-09-30,sh.600482,5.4700,5.5400,5.4200,5.4400,5.4300,1404717,7700156.0000,3,1.755896,1,0.180000,4.890498,26.952774,1.477336,-112.615668,0,0.18416206261511192
2004-10-08,sh.600482,5.4200,5.5800,5.2800,5.5500,5.4400,1115200,6043016.0000,3,1.394000,1,2.020000,4.989387,27.497774,1.507208,-114.892823,0,2.0220588235293935
2004-10-11,sh.600482,5.5500,5.7000,5.5000,5.5600,5.5500,2040733,11401409.0000,3,2.550916,1,0.180000,4.998377,27.547320,1.509924,-115.099837,0,0.18018018018017834
2004-10-12,sh.600482,5.5700,5.6000,5.4000,5.4200,5.5600,1150768,6303914.0000,3,1.438460,1,-2.520000,4.872519,26.853682,1.471904,-112.201640,0,-2.517985611510787
2004-10-13,sh.600482,5.4000,5.4700,5.3000,5.4400,5.4200,1365547,7335846.0000,3,1.706934,1,0.370000,4.890498,26.952774,1.477336,-112.615668,0,0.3690036900369176
2004-10-14,sh.600482,5.5100,5.5500,5.1500,5.1700,5.4400,1822900,9705507.0000,3,2.278625,1,-4.960000,4.647771,25.615044,1.404012,-107.026288,0,-4.963235294117652
2004-10-15,sh.600482,5.1500,5.2500,5.0900,5.1400,5.1700,1116007,5742356.0000,3,1.395009,1,-0.580000,4.620802,25.466407,1.395865,-106.405245,0,-0.5802707930367523
2004-10-18,sh.600482,5.1600,5.2300,5.0800,5.2200,5.1400,756870,3900568.0000,3,0.946088,1,1.560000,4.692721,25.862772,1.417591,-108.061358,0,1.5564202334630295
2004-10-19,sh.600482,5.2500,5.3200,5.1500,5.1600,5.2200,805750,4214501.0000,3,1.007187,1,-1.150000,4.638782,25.565498,1.401296,-106.819273,0,-1.1494252873563093
2004-10-20,sh.600482,5.1400,5.1400,4.9300,5.0100,5.1600,1384026,6958704.0000,3,1.730032,1,-2.910000,4.503933,24.822315,1.360561,-103.714062,0,-2.9069767441860517
2004-10-21,sh.600482,5.0200,5.0500,4.7000,4.7700,5.0100,1865753,9024782.0000,3,2.332191,1,-4.790000,4.288176,23.633222,1.295384,-98.745724,0,-4.790419161676651
2004-10-22,sh.600482,4.7000,5.0200,4.6800,4.9400,4.7700,1504147,7388879.0000,3,1.880184,1,3.560000,1.563752,23.460781,1.197783,-102.264963,0,3.563941299790363
2004-10-25,sh.600482,5.0100,5.0700,4.9100,4.9200,4.9400,992796,4947861.0000,3,1.240995,1,-0.400000,1.557421,23.365798,1.192933,-101.850935,0,-0.4048582995951455
2004-10-26,sh.600482,4.9200,4.9900,4.8000,4.9600,4.9200,1044264,5126995.0000,3,1.305330,1,0.810000,1.570083,23.555764,1.202632,-102.678992,0,0.8130081300812941
2004-10-27,sh.600482,5.0000,5.1200,4.9200,5.1100,4.9600,1144555,5743122.0000,3,1.430694,1,3.020000,1.617565,24.268136,1.239002,-105.784203,0,3.0241935483870996
2004-10-28,sh.600482,5.1000,5.1300,5.0100,5.0200,5.1100,1157037,5861329.0000,3,1.446296,1,-1.760000,1.589076,23.840713,1.217180,-103.921076,0,-1.7612524461839696
2004-10-29,sh.600482,4.9000,4.9500,4.8000,4.9000,5.0200,1187233,5814599.0000,3,1.484041,1,-2.390000,1.551090,23.270815,1.188084,-101.436907,0,-2.390438247011939
2004-11-01,sh.600482,4.8800,4.9000,4.8000,4.8000,4.9000,657220,3169352.0000,3,0.821525,1,-2.040000,1.519435,22.795901,1.163837,-99.366766,0,-2.0408163265306256
2004-11-02,sh.600482,4.8000,4.9000,4.7600,4.8600,4.8000,531233,2569792.0000,3,0.664041,1,1.250000,1.538428,23.080849,1.178385,-100.608851,0,1.2500000000000178
