date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2004-05-24,sh.600491,20.3800,21.0000,19.8800,19.9900,17.0800,10250097,208277113.0000,3,36.607489,1,17.037470,5.032384,25.971841,0.541875,22.136803,0,
2004-05-25,sh.600491,19.8000,19.8000,18.6100,18.7100,19.9900,4428156,84178885.0000,3,15.814843,1,-6.400000,4.710150,24.308811,0.507178,20.719339,0,-6.40320160080039
2004-05-26,sh.600491,18.5100,18.9800,18.3800,18.5600,18.7100,2109333,39292823.0000,3,7.533332,1,-0.800000,4.672388,24.113925,0.503112,20.553230,0,-0.801710315339399
2004-05-27,sh.600491,18.5600,19.1500,18.2000,18.8900,18.5600,2225341,41544645.0000,3,7.947646,1,1.780000,4.755464,24.542675,0.512057,20.918670,0,1.778017241379315
2004-05-28,sh.600491,18.8900,18.9000,18.5500,18.5700,18.8900,1374773,25713757.0000,3,4.909904,1,-1.690000,4.674906,24.126917,0.503383,20.564304,0,-1.694017998941244
2004-05-31,sh.600491,18.5500,18.8800,18.4000,18.7000,18.5700,839669,15703244.0000,3,2.998818,1,0.700000,4.707632,24.295819,0.506907,20.708265,0,0.7000538502961673
2004-06-01,sh.600491,18.5800,19.7000,18.5800,19.4600,18.7000,3324488,64378733.0000,3,11.873171,1,4.060000,4.898959,25.283242,0.527508,21.549884,0,4.064171122994664
2004-06-02,sh.600491,19.5000,19.8700,19.1900,19.2100,19.4600,2381225,46351812.0000,3,8.504375,1,-1.280000,4.836022,24.958432,0.520731,21.273036,0,-1.2846865364851023
2004-06-03,sh.600491,19.1500,20.1900,19.0900,19.9500,19.2100,2565646,50583610.0000,3,9.163021,1,3.850000,5.022314,25.919871,0.540791,22.092507,0,3.852160333159804
2004-06-04,sh.600491,19.9500,20.0000,19.4200,19.5300,19.9500,1530396,30085060.0000,3,5.465700,1,-2.110000,4.916581,25.374189,0.529406,21.627402,0,-2.1052631578947323
2004-06-07,sh.600491,20.1000,20.9800,20.0500,20.0800,19.5300,3874006,79034424.0000,3,13.835736,1,2.820000,5.055041,26.088772,0.544315,22.236469,0,2.8161802355350485
2004-06-08,sh.600491,20.0000,20.0500,19.5500,19.6300,20.0800,1483872,29356057.0000,3,5.299543,1,-2.240000,4.941755,25.504114,0.532116,21.738141,0,-2.241035856573703
2004-06-09,sh.600491,19.5000,19.8000,18.8500,19.0200,19.6300,1149922,22292339.0000,3,4.106864,1,-3.110000,4.788191,24.711576,0.515581,21.062631,0,-3.1074885379521078
2004-06-10,sh.600491,18.8000,19.1000,18.3200,18.4600,19.0200,1131924,21066959.0000,3,4.042586,1,-2.940000,4.647214,23.984001,0.500401,20.442491,0,-2.9442691903259655
2004-06-11,sh.600491,18.4800,19.3200,18.4000,18.7400,18.4600,1141017,21570476.0000,3,4.075061,1,1.520000,4.717702,24.347788,0.507991,20.752561,0,1.5167930660888285
2004-06-14,sh.600491,18.6700,18.6900,18.0100,18.1900,18.7400,1147322,20948723.0000,3,4.097579,1,-2.930000,4.579242,23.633206,0.493082,20.143494,0,-2.934898612593373
2004-06-15,sh.600491,18.1000,18.5600,18.0000,18.4500,18.1900,580577,10578142.0000,3,2.073489,1,1.430000,4.644696,23.971008,0.500130,20.431417,0,1.4293567894447357
2004-06-16,sh.600491,18.4500,18.5000,18.1000,18.2500,18.4500,386069,7070265.0000,3,1.378818,1,-1.080000,4.594347,23.711160,0.494708,20.209938,0,-1.0840108401083959
2004-06-17,sh.600491,18.2500,18.6100,18.1200,18.1600,18.2500,481278,8806115.0000,3,1.718850,1,-0.490000,4.571690,23.594228,0.492269,20.110272,0,-0.49315068493150926
2004-06-18,sh.600491,18.3000,18.4700,17.0000,17.7400,18.1600,815919,14631375.0000,3,2.913996,1,-2.310000,4.465957,23.048547,0.480884,19.645167,0,-2.312775330396488
2004-06-21,sh.600491,17.6500,18.4400,17.5000,18.4100,17.7400,733233,13205113.0000,3,2.618689,1,3.780000,4.634626,23.919039,0.499045,20.387121,0,3.7767756482525394
2004-06-22,sh.600491,18.4000,18.6500,18.2100,18.4400,18.4100,706969,13044854.0000,3,2.524889,1,0.160000,4.642179,23.958016,0.499859,20.420343,0,0.16295491580662347
2004-06-23,sh.600491,18.3900,18.4800,17.9900,18.2200,18.4400,499981,9074917.0000,3,1.785646,1,-1.190000,4.586795,23.672183,0.493895,20.176716,0,-1.1930585683297301
2004-06-24,sh.600491,18.3000,18.7600,18.0300,18.6500,18.2200,764058,14135275.0000,3,2.728779,1,2.360000,4.695045,24.230857,0.505551,20.652895,0,2.3600439077936297
2004-06-25,sh.600491,18.6000,19.0400,17.9100,17.9600,18.6500,1217608,22528474.0000,3,4.348600,1,-3.700000,4.521341,23.334380,0.486847,19.888794,0,-3.6997319034852483
2004-06-28,sh.600491,17.8000,17.8000,17.1000,17.1900,17.9600,662911,11491438.0000,3,2.367539,1,-4.290000,4.327497,22.333964,0.465975,19.036100,0,-4.287305122494434
2004-06-29,sh.600491,17.1600,17.4000,16.8600,17.3000,17.1900,570186,9770737.0000,3,2.036379,1,0.640000,4.355189,22.476881,0.468956,19.157914,0,0.6399069226294296
2004-06-30,sh.600491,17.3000,17.3000,17.3000,17.3000,17.3000,0,0.0000,3,,0,0.000000,4.355189,22.476881,0.468956,19.157914,0,0.0
2004-07-01,sh.600491,17.2000,17.6400,17.0100,17.4800,17.3000,588425,10253229.0000,3,2.101518,1,1.040000,4.400503,22.710744,0.473836,19.357245,0,1.0404624277456698
2004-07-02,sh.600491,17.5800,17.5800,17.0500,17.2000,17.4800,451936,7771058.0000,3,1.614057,1,-1.600000,4.330015,22.346956,0.466246,19.047174,0,-1.6018306636155666
2004-07-05,sh.600491,17.2000,17.3600,17.0600,17.1900,17.2000,277548,4758229.0000,3,0.991243,1,-0.060000,4.327497,22.333964,0.465975,19.036100,0,-0.05813953488370549
2004-07-06,sh.600491,17.2000,17.4000,17.1000,17.3300,17.1900,394614,6816103.0000,3,1.409336,1,0.810000,4.362742,22.515858,0.469770,19.191136,0,0.8144269924374559
2004-07-07,sh.600491,17.3500,17.3500,17.0200,17.0700,17.3300,339354,5798088.0000,3,1.211979,1,-1.500000,4.297288,22.178055,0.462722,18.903213,0,-1.5002885170224967
2004-07-08,sh.600491,17.0100,17.1200,16.9400,16.9800,17.0700,318108,5403339.0000,3,1.136100,1,-0.530000,4.274631,22.061123,0.460282,18.803548,0,-0.5272407732864637
2004-07-09,sh.600491,16.9600,17.0900,16.5200,16.5400,16.9800,673600,11277706.0000,3,2.405714,1,-2.590000,4.163863,21.489457,0.448355,18.316294,0,-2.5912838633686763
2004-07-12,sh.600491,16.4900,16.4900,15.0100,15.4300,16.5400,773150,12128645.0000,3,2.761250,1,-6.710000,3.884426,20.047299,0.418266,17.087087,0,-6.711003627569523
2004-07-13,sh.600491,15.3000,15.4300,15.0400,15.3100,15.4300,309837,4736755.0000,3,1.106561,1,-0.780000,3.854217,19.891390,0.415013,16.954200,0,-0.7777057679844379
2004-07-14,sh.600491,15.2100,15.4500,14.7000,15.0900,15.3100,417957,6248727.0000,3,1.492704,1,-1.440000,3.798833,19.605556,0.409049,16.710573,0,-1.4369693011103912
2004-07-15,sh.600491,15.0800,15.4000,15.0000,15.2200,15.0900,452812,6882006.0000,3,1.617186,1,0.860000,3.831560,19.774458,0.412573,16.854535,0,0.8614976805831676
2004-07-16,sh.600491,15.2000,16.1100,15.2000,16.1100,15.2200,941065,14799671.0000,3,3.360946,1,5.850000,4.055613,20.930783,0.436699,17.840115,0,5.847568988173446
2004-07-19,sh.600491,16.2000,16.4300,15.9000,16.1200,16.1100,652303,10565869.0000,3,2.329654,1,0.060000,4.058130,20.943775,0.436970,17.851189,0,0.062073246430793816
2004-07-20,sh.600491,16.0000,16.0800,15.7500,15.8300,16.1200,374282,5939089.0000,3,1.336721,1,-1.800000,3.985124,20.566995,0.429109,17.530045,0,-1.7990074441687431
2004-07-21,sh.600491,15.7800,16.3000,15.7400,16.1500,15.8300,376117,6029756.0000,3,1.343275,1,2.020000,4.065683,20.982753,0.437783,17.884411,0,2.0214782059380765
2004-07-22,sh.600491,16.2000,16.3300,15.8000,15.8400,16.1500,405513,6471199.0000,3,1.448261,1,-1.920000,3.987642,20.579988,0.429380,17.541119,0,-1.9195046439628438
