date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-12-26,sh.600506,12.9000,13.2000,12.0600,12.6000,4.9400,35811184,455128822.0000,3,71.622368,1,155.060700,10.909848,73.954626,27.193310,134.949336,0,
2001-12-27,sh.600506,12.5100,13.4800,12.4800,13.1300,12.6000,16864524,220739376.0000,3,33.729048,1,4.206347,11.368755,77.065416,28.337155,140.625776,0,4.206349206349214
2001-12-28,sh.600506,13.1300,13.6800,12.9800,13.6700,13.1300,11679841,155263384.0000,3,23.359682,1,4.112719,11.836319,80.234900,29.502583,146.409319,0,4.1127189642041095
2001-12-31,sh.600506,13.6900,13.7800,13.3500,13.4100,13.6700,8512999,115488288.0000,3,17.025998,1,-1.901977,11.611196,78.708852,28.941451,143.624650,0,-1.9019751280175523
2002-01-04,sh.600506,13.4000,13.5200,12.9800,13.0100,13.4100,6534245,86023032.0000,3,13.068490,1,-2.982846,11.264851,76.361086,28.078171,139.340544,0,-2.982848620432521
2002-01-07,sh.600506,12.9700,13.3700,12.9100,13.3000,13.0100,4918962,64843281.0000,3,9.837924,1,2.229054,11.515951,78.063216,28.704049,142.446521,0,2.229054573405076
2002-01-08,sh.600506,13.2300,13.3700,13.0000,13.0100,13.3000,3620632,47634916.0000,3,7.241264,1,-2.180451,11.264851,76.361086,28.078171,139.340544,0,-2.1804511278195604
2002-01-09,sh.600506,12.9500,13.2700,12.9200,13.1300,13.0100,3434261,44990578.0000,3,6.868522,1,0.922366,11.368755,77.065416,28.337155,140.625776,0,0.9223674096848544
2002-01-10,sh.600506,13.1500,13.7000,13.1000,13.6100,13.1300,8382791,112750465.0000,3,16.765582,1,3.655746,11.784368,79.882735,29.373091,145.766703,0,3.6557501904036505
2002-01-11,sh.600506,13.5800,13.6300,13.0200,13.0400,13.6100,5332827,71105389.0000,3,10.665654,1,-4.188095,11.290827,76.537168,28.142917,139.661852,0,-4.188096987509182
2002-01-14,sh.600506,12.9000,13.2700,12.7500,13.0500,13.0400,3698548,48158916.0000,3,7.397096,1,0.076689,11.299486,76.595863,28.164499,139.768955,0,0.07668711656443339
2002-01-15,sh.600506,13.0000,13.2900,12.8000,12.8200,13.0500,3822218,49796459.0000,3,7.644436,1,-1.762456,11.100338,75.245897,27.668114,137.305594,0,-1.7624521072796995
2002-01-16,sh.600506,12.8200,13.0600,12.1000,12.6300,12.8200,5759820,72247549.0000,3,11.519640,1,-1.482056,10.935824,74.130708,27.258056,135.270643,0,-1.4820592823712953
2002-01-17,sh.600506,12.5500,12.5500,11.8500,11.9300,12.6300,3936062,47746859.0000,3,7.872124,1,-5.542358,10.329721,70.022118,25.747316,127.773458,0,-5.542359461599378
2002-01-18,sh.600506,11.7500,12.4000,11.5100,12.0400,11.9300,4552229,54796383.0000,3,9.104458,1,0.922042,10.424966,70.667754,25.984718,128.951587,0,0.9220452640402277
2002-01-21,sh.600506,11.8800,12.1800,11.7100,11.9700,12.0400,2089136,24940969.0000,3,4.178272,1,-0.581393,10.364356,70.256895,25.833644,128.201869,0,-0.5813953488371992
2002-01-22,sh.600506,11.9600,12.3600,11.9000,12.0800,11.9700,2121839,25761290.0000,3,4.243678,1,0.918961,10.459601,70.902530,26.071046,129.379998,0,0.9189640768588081
2002-01-23,sh.600506,12.0800,12.8000,11.9500,12.7500,12.0800,3659776,45412238.0000,3,7.319552,1,5.546358,11.039727,74.835038,27.517040,136.555875,0,5.5463576158940375
2002-01-24,sh.600506,12.6000,13.3700,12.3000,12.9400,12.7500,6576135,84482637.0000,3,13.152270,1,1.490193,11.204241,75.950227,27.927097,138.590826,0,1.4901960784313717
2002-01-25,sh.600506,12.8000,12.9600,12.6000,12.7000,12.9400,2680420,34244706.0000,3,5.360840,1,-1.854712,10.996434,74.541567,27.409130,136.020362,0,-1.8547140649149974
2002-01-28,sh.600506,12.4700,12.6800,11.8500,11.8700,12.7000,3334381,40582742.0000,3,6.668762,1,-6.535432,10.277770,69.669953,25.617824,127.130842,0,-6.535433070866148
2002-01-29,sh.600506,11.7000,12.2700,11.6000,12.1600,11.8700,2252192,27117679.0000,3,4.504384,1,2.443134,10.528869,71.372083,26.243702,130.236819,0,2.443133951137333
2002-01-30,sh.600506,12.1300,12.2500,11.8300,12.0000,12.1600,1577870,18996619.0000,3,3.155740,1,-1.315788,10.390332,70.432977,25.898390,128.523177,0,-1.3157894736842146
2002-01-31,sh.600506,12.2000,13.2000,12.2000,12.9300,12.0000,5610427,71651579.0000,3,11.220854,1,7.750002,11.195582,75.891533,27.905515,138.483723,0,7.74999999999999
2002-02-01,sh.600506,12.9000,13.2300,12.7100,12.7600,12.9300,3647982,47434954.0000,3,7.295964,1,-1.314772,11.048386,74.893732,27.538622,136.662978,0,-1.314771848414542
2002-02-04,sh.600506,12.7500,13.0900,12.6300,12.9600,12.7600,2582227,33300418.0000,3,5.164454,1,1.567397,11.221558,76.067615,27.970261,138.805031,0,1.5673981191222763
2002-02-05,sh.600506,13.0400,13.1000,12.8200,12.9100,12.9600,1564181,20236129.0000,3,3.128362,1,-0.385804,11.178265,75.774144,27.862351,138.269518,0,-0.38580246913580973
2002-02-06,sh.600506,12.8900,13.0500,12.6300,12.6600,12.9100,1820813,23352720.0000,3,3.641626,1,-1.936483,10.961800,74.306791,27.322802,135.591951,0,-1.936483346243223
2002-02-07,sh.600506,12.6000,13.0300,12.6000,12.9000,12.6600,1452606,18738342.0000,3,2.905212,1,1.895733,11.169607,75.715450,27.840770,138.162415,0,1.8957345971563955
2002-02-08,sh.600506,13.0100,13.0800,12.7000,12.7200,12.9000,1458365,18818444.0000,3,2.916730,1,-1.395344,11.013752,74.658956,27.452294,136.234567,0,-1.3953488372092981
2002-02-25,sh.600506,12.9800,13.4000,12.9000,13.2700,12.7200,3925487,51820690.0000,3,7.850974,1,4.323901,11.489975,77.887134,28.639303,142.125213,0,4.323899371069184
2002-02-26,sh.600506,13.3000,13.4800,13.2000,13.4000,13.2700,3318565,44306934.0000,3,6.637130,1,0.979647,11.602537,78.650158,28.919869,143.517547,0,0.9796533534287999
2002-02-27,sh.600506,13.4900,13.8000,13.3400,13.4000,13.4000,4665291,63375353.0000,3,9.330582,1,0.000000,11.602537,78.650158,28.919869,143.517547,0,0.0
2002-02-28,sh.600506,13.4500,13.6000,13.3200,13.4200,13.4000,2165102,29115109.0000,3,4.330204,1,0.149257,11.619854,78.767546,28.963033,143.731753,0,0.14925373134329067
2002-03-01,sh.600506,13.4000,13.5100,13.2700,13.2900,13.4200,1557306,20845950.0000,3,3.114612,1,-0.968704,11.507292,78.004522,28.682467,142.339418,0,-0.9687034277198303
2002-03-04,sh.600506,13.2500,13.5800,13.1100,13.5800,13.2900,1558981,20955275.0000,3,3.117962,1,2.182091,11.758392,79.706652,29.308345,145.445395,0,2.182091798344632
2002-03-05,sh.600506,13.6000,13.9500,13.5200,13.7700,13.5800,3756025,51862152.0000,3,7.512050,1,1.399120,11.922906,80.821841,29.718403,147.480345,0,1.3991163475699508
2002-03-06,sh.600506,13.8500,13.9000,13.6000,13.6300,13.7700,3257736,44872196.0000,3,6.515472,1,-1.016706,11.801685,80.000123,29.416255,145.980908,0,-1.0167029774872827
2002-03-07,sh.600506,13.6000,14.4500,13.5800,14.2200,13.6300,4841632,68537349.0000,3,9.683264,1,4.328688,12.312543,83.463078,30.689592,152.299964,0,4.3286867204695545
2002-03-08,sh.600506,14.2900,14.3800,13.9100,14.2700,14.2200,4141789,58359757.0000,3,8.283578,1,0.351619,12.355836,83.756549,30.797502,152.835478,0,0.35161744022502717
2002-03-11,sh.600506,14.2700,14.4200,14.0800,14.3700,14.2700,2963196,42199585.0000,3,5.926392,1,0.700767,12.442422,84.343490,31.013322,153.906504,0,0.700770847932719
2002-03-12,sh.600506,14.3700,14.3800,13.8500,13.8900,14.3700,4093325,57614176.0000,3,8.186650,1,-3.340289,12.026809,81.526171,29.977387,148.765577,0,-3.3402922755741082
2002-03-13,sh.600506,13.8900,14.1000,13.6900,13.8200,13.8900,2655519,36797665.0000,3,5.311038,1,-0.503964,11.966199,81.115312,29.826313,148.015858,0,-0.5039596832253412
2002-03-14,sh.600506,13.8700,14.1900,13.8000,14.1700,13.8200,1364707,19072068.0000,3,2.729414,1,2.532564,12.269250,83.169607,30.581682,151.764451,0,2.532561505065112
2002-03-15,sh.600506,14.1500,14.2300,13.5100,13.5700,14.1700,2265252,31551130.0000,3,4.530504,1,-4.234301,11.749733,79.647958,29.286763,145.338292,0,-4.234297812279464
2002-03-18,sh.600506,13.7100,13.9400,13.5800,13.6800,13.5700,1556414,21363120.0000,3,3.112828,1,0.810616,11.844978,80.293594,29.524165,146.516421,0,0.8106116433308719
2002-03-19,sh.600506,13.8000,14.9900,13.7000,14.7000,13.6800,4581560,66021623.0000,3,9.163120,1,7.456137,12.728156,86.280397,31.725528,157.440891,0,7.456140350877183
2002-03-20,sh.600506,14.9000,15.3000,14.4300,14.7300,14.7000,7408087,110421019.0000,3,14.816174,1,0.204080,5.411678,79.558588,23.877639,8.073901,0,0.20408163265306367
2002-03-21,sh.600506,14.8000,14.8500,14.5000,14.5900,14.7300,2732296,40044701.0000,3,5.464592,1,-0.950437,5.360243,78.802430,23.650696,7.997163,0,-0.950441276306857
2002-03-22,sh.600506,14.5000,14.8000,14.5000,14.7400,14.5900,1961872,28745306.0000,3,3.923744,1,1.028099,5.415352,79.612599,23.893849,8.079382,0,1.0281014393420218
2002-03-25,sh.600506,14.8000,15.2000,14.7100,14.9500,14.7400,2595883,38862926.0000,3,5.191766,1,1.424695,5.492504,80.746836,24.234264,8.194489,0,1.424694708276797
2002-03-26,sh.600506,14.9000,14.9500,14.4000,14.6100,14.9500,2697397,39400126.0000,3,5.394794,1,-2.274249,5.367591,78.910453,23.683117,8.008126,0,-2.2742474916387923
2002-03-27,sh.600506,14.4500,14.7500,14.4100,14.7400,14.6100,1303505,18988208.0000,3,2.607010,1,0.889802,5.415352,79.612599,23.893849,8.079382,0,0.8898015058179443
2002-03-28,sh.600506,14.7000,14.8900,14.5400,14.6000,14.7400,1033959,15229836.0000,3,2.067918,1,-0.949792,5.363917,78.856441,23.666906,8.002644,0,-0.9497964721845387
2002-03-29,sh.600506,14.6000,14.6000,13.8900,13.9900,14.6000,2450647,34666161.0000,3,4.901294,1,-4.178086,5.139808,75.561755,22.678084,7.668287,0,-4.178082191780819
2002-04-01,sh.600506,13.9000,14.1800,13.7000,13.9900,13.9900,1021012,14218031.0000,3,2.042024,1,0.000000,5.139808,75.561755,22.678084,7.668287,0,0.0
2002-04-02,sh.600506,13.9900,14.0600,13.4000,13.5400,13.9900,1521754,20726550.0000,3,3.043508,1,-3.216582,4.974482,73.131248,21.948624,7.421630,0,-3.216583273766982
2002-04-03,sh.600506,13.5400,13.8000,13.5100,13.5900,13.5400,993540,13536836.0000,3,1.987080,1,0.369278,4.992851,73.401304,22.029675,7.449037,0,0.36927621861153614
2002-04-04,sh.600506,13.5900,14.0600,13.2800,14.0100,13.5900,1393492,19121045.0000,3,2.786984,1,3.090508,5.147156,75.669777,22.710504,7.679250,0,3.0905077262693093
2002-04-05,sh.600506,14.0500,14.2000,13.8400,13.9400,14.0100,1414737,19838290.0000,3,2.829474,1,-0.499648,5.121438,75.291698,22.597032,7.640881,0,-0.49964311206281975
2002-04-08,sh.600506,13.9000,14.1800,13.8800,13.9600,13.9400,595653,8336702.0000,3,1.191306,1,0.143475,5.128786,75.399721,22.629453,7.651844,0,0.1434720229555264
