date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2003-11-27,sh.600527,9.5800,9.7800,9.0300,9.4200,5.5200,17028651,159062959.0000,3,56.762170,1,70.652180,8.234751,39.858432,3.738452,39.626072,0,
2003-11-28,sh.600527,9.4100,9.8600,9.1300,9.2600,9.4200,8721870,82621965.0000,3,29.072900,1,-1.700000,8.094883,39.181431,3.674954,38.953018,0,-1.698513800424628
2003-12-01,sh.600527,9.2000,9.3100,8.7200,9.2500,9.2600,6058534,54842955.0000,3,20.195113,1,-0.110000,8.086141,39.139119,3.670986,38.910952,0,-0.10799136069113979
2003-12-02,sh.600527,9.1900,9.2400,9.0500,9.1700,9.2500,3304005,30195784.0000,3,11.013350,1,-0.860000,8.016207,38.800618,3.639237,38.574425,0,-0.8648648648648671
2003-12-03,sh.600527,9.1500,9.1500,8.9000,9.0600,9.1700,3433362,30969520.0000,3,11.444540,1,-1.200000,7.920047,38.335180,3.595582,38.111700,0,-1.199563794983638
2003-12-04,sh.600527,9.0000,9.2300,8.9600,9.1700,9.0600,2309797,21000237.0000,3,7.699323,1,1.210000,8.016207,38.800618,3.639237,38.574425,0,1.2141280353200834
2003-12-05,sh.600527,9.1700,9.1700,9.0000,9.0800,9.1700,1425468,12885254.0000,3,4.751560,1,-0.980000,7.937531,38.419805,3.603519,38.195832,0,-0.9814612868047967
2003-12-08,sh.600527,9.0800,9.1100,8.8100,8.8200,9.0800,1746562,15562541.0000,3,5.821873,1,-2.860000,7.710245,37.319678,3.500334,37.102118,0,-2.8634361233480177
2003-12-09,sh.600527,8.8000,8.8900,8.6500,8.6900,8.8200,1816820,15847769.0000,3,6.056067,1,-1.470000,7.596602,36.769615,3.448742,36.555262,0,-1.47392290249434
2003-12-10,sh.600527,8.7000,8.8500,8.7000,8.8000,8.6900,1535004,13470661.0000,3,5.116680,1,1.270000,7.692761,37.235053,3.492397,37.017987,0,1.2658227848101333
2003-12-11,sh.600527,8.8000,8.9400,8.7000,8.8200,8.8000,1046611,9215987.0000,3,3.488703,1,0.230000,7.710245,37.319678,3.500334,37.102118,0,0.2272727272727204
2003-12-12,sh.600527,8.8000,8.9100,8.7500,8.8500,8.8200,979187,8664826.0000,3,3.263957,1,0.340000,7.736470,37.446616,3.512240,37.228316,0,0.340136054421758
2003-12-15,sh.600527,8.8500,8.9500,8.8000,8.8900,8.8500,704877,6256129.0000,3,2.349590,1,0.450000,7.771437,37.615866,3.528115,37.396580,0,0.4519774011299438
2003-12-16,sh.600527,8.8500,8.8500,8.5800,8.6800,8.8900,1338437,11594386.0000,3,4.461457,1,-2.360000,7.587860,36.727303,3.444774,36.513196,0,-2.3622047244094557
2003-12-17,sh.600527,8.6500,8.8700,8.6500,8.7700,8.6800,1376841,12066034.0000,3,4.589470,1,1.040000,7.666536,37.108116,3.480491,36.891789,0,1.0368663594469973
2003-12-18,sh.600527,8.6800,8.7500,8.4800,8.5000,8.7700,1065783,9139065.0000,3,3.552610,1,-3.080000,7.430508,35.965677,3.373338,35.756010,0,-3.078677309007982
2003-12-19,sh.600527,8.5000,8.5100,7.8800,8.2000,8.5000,2576771,21018784.0000,3,8.589237,1,-3.530000,7.168255,34.696300,3.254279,34.494033,0,-3.529411764705892
2003-12-22,sh.600527,8.2000,8.3800,7.9800,8.3300,8.2000,1667148,13613376.0000,3,5.557160,1,1.590000,7.281898,35.246363,3.305871,35.040890,0,1.585365853658538
2003-12-23,sh.600527,8.3100,8.4500,8.2200,8.4500,8.3300,1359986,11408963.0000,3,4.533287,1,1.440000,7.386799,35.754114,3.353495,35.545680,0,1.4405762304921854
2003-12-24,sh.600527,8.4500,8.4700,8.2000,8.4000,8.4500,1310910,10910450.0000,3,4.369700,1,-0.590000,7.343090,35.542551,3.333652,35.335351,0,-0.5917159763313529
2003-12-25,sh.600527,8.5000,8.5600,8.4100,8.4500,8.4000,1502874,12746128.0000,3,5.009580,1,0.600000,7.386799,35.754114,3.353495,35.545680,0,0.5952380952380931
2003-12-26,sh.600527,8.4200,8.8500,8.4100,8.6700,8.4500,2121854,18425097.0000,3,7.072847,1,2.600000,7.579118,36.684990,3.440805,36.471130,0,2.6035502958579926
2003-12-29,sh.600527,8.7100,8.7100,8.5000,8.5500,8.6700,606127,5202514.0000,3,2.020423,1,-1.380000,7.474217,36.177239,3.393181,35.966339,0,-1.3840830449826869
2003-12-30,sh.600527,8.5400,8.6000,8.4100,8.5000,8.5500,732436,6206183.0000,3,2.441453,1,-0.580000,7.430508,35.965677,3.373338,35.756010,0,-0.5847953216374324
2003-12-31,sh.600527,8.5400,8.7000,8.4800,8.5400,8.5000,705575,6066128.0000,3,2.351917,1,0.470000,7.465475,36.134927,3.389213,35.924273,0,0.47058823529411153
2004-01-02,sh.600527,8.4800,8.8100,8.4800,8.7200,8.5400,1336467,11672170.0000,3,4.454890,1,2.110000,7.622827,36.896553,3.460648,36.681459,0,2.1077283372365585
2004-01-05,sh.600527,8.8000,8.9400,8.6800,8.8400,8.7200,1228208,10818031.0000,3,4.094027,1,1.380000,7.727728,37.404304,3.508272,37.186250,0,1.3761467889908063
2004-01-06,sh.600527,8.8300,8.8600,8.6200,8.8500,8.8400,1187610,10372035.0000,3,3.958700,1,0.110000,7.736470,37.446616,3.512240,37.228316,0,0.11312217194570096
2004-01-07,sh.600527,8.8500,9.1800,8.8000,9.1000,8.8500,2090214,18923413.0000,3,6.967380,1,2.820000,7.955014,38.504430,3.611456,38.279963,0,2.824858757062154
2004-01-08,sh.600527,9.0800,9.8400,9.0300,9.5600,9.1000,3911560,37183010.0000,3,13.038533,1,5.050000,8.357136,40.450808,3.794013,40.214994,0,5.054945054945059
2004-01-09,sh.600527,9.6100,9.6100,9.0700,9.1300,9.5600,1952188,18301073.0000,3,6.507293,1,-4.500000,7.981240,38.631368,3.623362,38.406161,0,-4.4979079497907914
2004-01-12,sh.600527,9.1000,9.3000,9.0000,9.2800,9.1300,1005444,9190810.0000,3,3.351480,1,1.640000,8.112366,39.266056,3.682892,39.037149,0,1.642935377875121
2004-01-13,sh.600527,9.4000,9.4600,9.1200,9.3100,9.2800,1004913,9295138.0000,3,3.349710,1,0.320000,8.138592,39.392994,3.694798,39.163347,0,0.3232758620689724
