date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-08-20,sh.600569,7.0000,7.0000,6.8100,6.8500,6.8000,74094662,509611711.0000,3,26.943513,1,0.735290,3.473837,18.722932,1.750650,18.793708,0,
2001-08-21,sh.600569,6.8200,6.8300,6.7600,6.7700,6.8500,18061000,122642085.0000,3,6.567636,1,-1.167882,3.433267,18.504270,1.730205,18.574220,0,-1.167883211678833
2001-08-22,sh.600569,6.7200,6.7300,6.5000,6.5900,6.7700,18228701,119903145.0000,3,6.628619,1,-2.658786,3.341984,18.012281,1.684202,18.080371,0,-2.6587887740029514
2001-08-23,sh.600569,6.5300,6.6000,6.4400,6.5900,6.5900,6655200,43330671.0000,3,2.420073,1,0.000000,3.341984,18.012281,1.684202,18.080371,0,0.0
2001-08-24,sh.600569,6.5800,6.5800,6.3900,6.4100,6.5900,5832099,37722963.0000,3,2.120763,1,-2.731416,3.250700,17.520291,1.638200,17.586521,0,-2.73141122913505
2001-08-27,sh.600569,6.3700,6.3700,6.1500,6.2100,6.4100,7062430,44043359.0000,3,2.568156,1,-3.120122,3.149274,16.973636,1.587086,17.037800,0,-3.120124804992197
2001-08-28,sh.600569,6.1600,6.4100,6.1600,6.3900,6.2100,4512657,28254967.0000,3,1.640966,1,2.898548,3.240558,17.465626,1.633088,17.531649,0,2.898550724637672
2001-08-29,sh.600569,6.3900,6.4000,6.2900,6.2900,6.3900,2856700,18107562.0000,3,1.038800,1,-1.564944,3.189845,17.192298,1.607531,17.257289,0,-1.5649452269170472
2001-08-30,sh.600569,6.2900,6.3500,6.2200,6.3000,6.2900,1338544,8442222.0000,3,0.486743,1,0.158986,3.194916,17.219631,1.610087,17.284725,0,0.15898251192367763
2001-08-31,sh.600569,6.3000,6.3700,6.2800,6.2900,6.3000,1563510,9876380.0000,3,0.568549,1,-0.158734,3.189845,17.192298,1.607531,17.257289,0,-0.15873015873015817
2001-09-03,sh.600569,6.2700,6.2900,6.1600,6.2000,6.2900,1734299,10794984.0000,3,0.630654,1,-1.430845,3.144203,16.946304,1.584530,17.010364,0,-1.4308426073131986
2001-09-04,sh.600569,6.1900,6.3700,6.1800,6.3300,6.2000,2024024,12763540.0000,3,0.736009,1,2.096776,3.210130,17.301629,1.617754,17.367033,0,2.0967741935483897
2001-09-05,sh.600569,6.3700,6.4600,6.2800,6.2900,6.3300,3567692,22745857.0000,3,1.297343,1,-0.631911,3.189845,17.192298,1.607531,17.257289,0,-0.6319115323854652
2001-09-06,sh.600569,6.2800,6.3500,6.2400,6.2800,6.2900,1299460,8181578.0000,3,0.472531,1,-0.158979,3.184773,17.164966,1.604976,17.229852,0,-0.15898251192368873
2001-09-07,sh.600569,6.2600,6.3000,6.0900,6.1300,6.2800,3802500,23416141.0000,3,1.382727,1,-2.388536,3.108704,16.754974,1.566640,16.818311,0,-2.388535031847139
2001-09-10,sh.600569,6.0900,6.3300,6.0200,6.2600,6.1300,2399631,14864826.0000,3,0.872593,1,2.120720,3.174631,17.110300,1.599864,17.174980,0,2.1207177814029254
2001-09-11,sh.600569,6.2600,6.3200,6.1900,6.2800,6.2600,2174275,13594219.0000,3,0.790645,1,0.319489,3.184773,17.164966,1.604976,17.229852,0,0.31948881789138905
2001-09-12,sh.600569,6.0500,6.2900,6.0500,6.2400,6.2800,3009405,18684427.0000,3,1.094329,1,-0.636950,3.164488,17.055635,1.594753,17.120108,0,-0.6369426751592355
2001-09-13,sh.600569,6.2500,6.3000,6.2000,6.2000,6.2400,765614,4771406.0000,3,0.278405,1,-0.641025,3.144203,16.946304,1.584530,17.010364,0,-0.6410256410256387
2001-09-14,sh.600569,6.2300,6.2400,6.1100,6.1400,6.2000,1178391,7240231.0000,3,0.428506,1,-0.967741,3.113775,16.782307,1.569196,16.845747,0,-0.967741935483879
2001-09-17,sh.600569,6.1000,6.1300,6.0200,6.0400,6.1400,2629150,15931213.0000,3,0.956055,1,-1.628663,3.063062,16.508980,1.543639,16.571387,0,-1.6286644951139961
2001-09-18,sh.600569,6.0300,6.1500,6.0300,6.1100,6.0400,1147350,6969424.0000,3,0.417218,1,1.158943,3.098561,16.700309,1.561529,16.763439,0,1.1589403973510048
2001-09-19,sh.600569,6.1200,6.1900,6.0300,6.1800,6.1100,3339985,20390113.0000,3,1.214540,1,1.145658,3.134060,16.891638,1.579419,16.955492,0,1.1456628477904962
2001-09-20,sh.600569,6.1900,6.2400,6.1000,6.1500,6.1800,2450300,15160673.0000,3,0.891018,1,-0.485433,3.118847,16.809640,1.571752,16.873184,0,-0.4854368932038722
2001-09-21,sh.600569,6.1400,6.3000,6.1300,6.1600,6.1500,2687945,16733613.0000,3,0.977435,1,0.162598,3.123918,16.836973,1.574307,16.900620,0,0.1626016260162677
2001-09-24,sh.600569,6.1400,6.1600,6.0800,6.1000,6.1600,780730,4770735.0000,3,0.283902,1,-0.974025,3.093490,16.672976,1.558973,16.736003,0,-0.9740259740259827
2001-09-25,sh.600569,6.1100,6.1700,6.0800,6.1000,6.1000,832240,5083244.0000,3,0.302633,1,0.000000,3.093490,16.672976,1.558973,16.736003,0,0.0
2001-09-26,sh.600569,6.1100,6.1100,6.0500,6.0700,6.1000,1189514,7233009.0000,3,0.432551,1,-0.491799,3.078276,16.590978,1.551306,16.653695,0,-0.4918032786885185
2001-09-27,sh.600569,6.0700,6.1300,6.0300,6.0800,6.0700,1476239,8954803.0000,3,0.536814,1,0.164741,3.083347,16.618311,1.553862,16.681131,0,0.16474464579900872
2001-09-28,sh.600569,6.0700,6.1100,6.0300,6.0900,6.0800,1286160,7803466.0000,3,0.467695,1,0.164477,3.088419,16.645643,1.556418,16.708567,0,0.164473684210531
2001-10-08,sh.600569,6.1000,6.1500,5.9600,5.9800,6.0900,1603011,9663991.0000,3,0.582913,1,-1.806242,3.032635,16.344983,1.528305,16.406770,0,-1.8062397372742067
2001-10-09,sh.600569,6.0600,6.1000,6.0200,6.0700,5.9800,901450,5459739.0000,3,0.327800,1,1.505019,3.078276,16.590978,1.551306,16.653695,0,1.5050167224080147
2001-10-10,sh.600569,6.0800,6.0800,5.8400,5.8900,6.0700,2016629,11919253.0000,3,0.733320,1,-2.965409,2.986993,16.098988,1.505304,16.159846,0,-2.9654036243822124
2001-10-11,sh.600569,5.8500,5.9400,5.6800,5.7000,5.8900,2649610,15272740.0000,3,0.963495,1,-3.225807,2.890638,15.579666,1.456746,15.638560,0,-3.2258064516129004
2001-10-12,sh.600569,5.7000,5.8900,5.4800,5.8100,5.7000,4028861,22936040.0000,3,1.465040,1,1.929827,2.946423,15.880326,1.484858,15.940357,0,1.9298245614034926
2001-10-15,sh.600569,5.8100,5.8100,5.6800,5.7400,5.8100,1177705,6774250.0000,3,0.428256,1,-1.204822,2.910923,15.688997,1.466968,15.748305,0,-1.2048192771084265
2001-10-16,sh.600569,5.7400,5.7600,5.5800,5.6100,5.7400,1142900,6445033.0000,3,0.415600,1,-2.264802,2.844997,15.333671,1.433744,15.391636,0,-2.2648083623693416
2001-10-17,sh.600569,5.6100,5.6400,5.5400,5.5600,5.6100,966231,5390458.0000,3,0.351357,1,-0.891269,2.819640,15.197008,1.420966,15.254455,0,-0.891265597147961
2001-10-18,sh.600569,5.5600,5.6800,5.5100,5.5600,5.5600,1274590,7096960.0000,3,0.463487,1,0.000000,2.819640,15.197008,1.420966,15.254455,0,0.0
2001-10-19,sh.600569,5.5300,5.5500,5.2900,5.3700,5.5600,3491081,18813280.0000,3,1.269484,1,-3.417267,2.723286,14.677685,1.372408,14.733170,0,-3.4172661870503496
2001-10-22,sh.600569,5.3100,5.3600,5.1800,5.1900,5.3700,1800650,9489015.0000,3,0.654782,1,-3.351952,2.632002,14.185696,1.326405,14.239321,0,-3.3519553072625663
2001-10-23,sh.600569,5.6500,5.7100,5.5200,5.7100,5.1900,6276665,35590815.0000,3,2.282424,1,10.019270,2.895710,15.606999,1.459301,15.665996,0,10.019267822736012
2001-10-24,sh.600569,5.8800,5.9700,5.7200,5.8500,5.7100,11415787,66999100.0000,3,4.151195,1,2.451837,2.966708,15.989657,1.495081,16.050101,0,2.4518388791593626
2001-10-25,sh.600569,5.8000,5.8700,5.6600,5.7300,5.8500,3389920,19556330.0000,3,1.232698,1,-2.051280,2.905852,15.661664,1.464413,15.720869,0,-2.051282051282033
2001-10-26,sh.600569,5.7000,5.7600,5.6100,5.6900,5.7300,1928335,10934181.0000,3,0.701213,1,-0.698080,2.885567,15.552333,1.454190,15.611124,0,-0.6980802792321161
2001-10-29,sh.600569,5.7200,5.7600,5.6400,5.7600,5.6900,1534829,8763441.0000,3,0.558120,1,1.230232,2.921066,15.743663,1.472080,15.803177,0,1.2302284710017375
2001-10-30,sh.600569,5.7500,5.7800,5.6700,5.6800,5.7600,964231,5500126.0000,3,0.350629,1,-1.388896,2.880496,15.525001,1.451634,15.583688,0,-1.388888888888895
2001-10-31,sh.600569,5.6300,5.6600,5.5600,5.6200,5.6800,1390831,7778711.0000,3,0.505757,1,-1.056337,2.850068,15.361004,1.436300,15.419072,0,-1.0563380281690127
2001-11-01,sh.600569,5.6300,5.7700,5.6100,5.7400,5.6200,1434060,8202160.0000,3,0.521476,1,2.135229,2.910923,15.688997,1.466968,15.748305,0,2.1352313167259718
2001-11-02,sh.600569,5.7200,5.8400,5.6900,5.7000,5.7400,1890350,10903457.0000,3,0.687400,1,-0.696863,2.890638,15.579666,1.456746,15.638560,0,-0.6968641114982632
2001-11-05,sh.600569,5.7000,5.7000,5.6000,5.6600,5.7000,724560,4084479.0000,3,0.263476,1,-0.701754,2.870353,15.470335,1.446523,15.528816,0,-0.7017543859649145
2001-11-06,sh.600569,5.6600,5.6800,5.5800,5.6000,5.6600,800276,4502688.0000,3,0.291009,1,-1.060070,2.839925,15.306339,1.431189,15.364200,0,-1.0600706713780994
2001-11-07,sh.600569,5.6000,5.6000,5.3100,5.3400,5.6000,1663950,9068142.0000,3,0.605073,1,-4.642853,2.708072,14.595687,1.364741,14.650862,0,-4.642857142857137
2001-11-08,sh.600569,5.2800,5.4000,5.2100,5.3700,5.3400,1350160,7165321.0000,3,0.490967,1,0.561793,2.723286,14.677685,1.372408,14.733170,0,0.5617977528090012
2001-11-09,sh.600569,5.3500,5.4600,5.3000,5.4100,5.3700,794650,4275599.0000,3,0.288964,1,0.744878,2.743571,14.787016,1.382630,14.842914,0,0.7448789571694592
