date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2003-02-26,sh.600573,11.5800,11.8800,11.5800,11.5900,7.4400,29139764,340474681.0000,3,46.253594,1,55.779570,6.566312,41.661795,3.199199,311.514392,0,
2003-02-27,sh.600573,11.4800,11.7500,11.4100,11.6700,11.5900,7623428,88453052.0000,3,12.100679,1,0.690000,6.611636,41.949366,3.221282,313.664621,0,0.690250215703192
2003-02-28,sh.600573,11.6600,11.6700,11.4300,11.4900,11.6700,3852465,44401756.0000,3,6.115024,1,-1.540000,6.509657,41.302332,3.171596,308.826606,0,-1.5424164524421524
2003-03-03,sh.600573,11.4500,11.6400,11.4400,11.5900,11.4900,2991671,34488340.0000,3,4.748684,1,0.870000,6.566312,41.661795,3.199199,311.514392,0,0.870322019147074
2003-03-04,sh.600573,11.5800,11.5800,11.4400,11.4800,11.5900,3046540,35028509.0000,3,4.835778,1,-0.950000,6.503991,41.266386,3.168836,308.557828,0,-0.9490940465918807
2003-03-05,sh.600573,11.4500,11.4900,11.2000,11.2600,11.4800,4578384,51637600.0000,3,7.267276,1,-1.920000,6.379351,40.475566,3.108109,302.644699,0,-1.9163763066202155
2003-03-06,sh.600573,11.2500,11.2700,11.0400,11.1000,11.2600,3521886,39104365.0000,3,5.590295,1,-1.420000,6.288703,39.900425,3.063944,298.344241,0,-1.4209591474245165
2003-03-07,sh.600573,11.0500,11.2000,11.0300,11.0600,11.1000,1671575,18556789.0000,3,2.653294,1,-0.360000,6.266041,39.756640,3.052903,297.269127,0,-0.3603603603603567
2003-03-10,sh.600573,11.1000,11.1400,10.8400,10.8700,11.0600,1824152,19913342.0000,3,2.895479,1,-1.720000,6.158396,39.073660,3.000457,292.162333,0,-1.7179023508137492
2003-03-11,sh.600573,10.8500,10.9300,10.7900,10.8700,10.8700,1249793,13575549.0000,3,1.983798,1,0.000000,6.158396,39.073660,3.000457,292.162333,0,0.0
2003-03-12,sh.600573,10.8300,10.9500,10.7500,10.9400,10.8700,1593488,17262829.0000,3,2.529346,1,0.640000,6.198055,39.325284,3.019779,294.043784,0,0.6439742410303539
2003-03-13,sh.600573,10.8300,10.9900,10.8000,10.8300,10.9400,1010675,11003833.0000,3,1.604246,1,-1.010000,6.135734,38.929874,2.989416,291.087219,0,-1.0054844606946944
2003-03-14,sh.600573,10.8200,11.0500,10.8000,10.9000,10.8300,999483,10929630.0000,3,1.586481,1,0.650000,6.175393,39.181499,3.008738,292.968669,0,0.6463527239150446
2003-03-17,sh.600573,10.9100,11.0700,10.8500,11.0500,10.9000,1589237,17459706.0000,3,2.522598,1,1.380000,6.260375,39.720694,3.050143,297.000348,0,1.3761467889908285
2003-03-18,sh.600573,11.0500,11.0900,10.8000,10.8100,11.0500,1093617,11970374.0000,3,1.735900,1,-2.170000,6.124403,38.857982,2.983895,290.549662,0,-2.1719457013574694
2003-03-19,sh.600573,10.7900,10.8500,10.5800,10.6500,10.8100,1649170,17585185.0000,3,2.617730,1,-1.480000,6.033755,38.282840,2.939730,286.249204,0,-1.4801110083256241
2003-03-20,sh.600573,10.6200,10.6800,10.5000,10.5500,10.6500,1073781,11323149.0000,3,1.704414,1,-0.940000,5.977100,37.923377,2.912127,283.561418,0,-0.9389671361502261
2003-03-21,sh.600573,10.5300,10.7300,10.5200,10.6500,10.5500,710069,7553996.0000,3,1.127094,1,0.950000,6.033755,38.282840,2.939730,286.249204,0,0.9478672985781866
2003-03-24,sh.600573,10.7000,10.7000,10.5200,10.5900,10.6500,656280,6935937.0000,3,1.041714,1,-0.560000,5.999762,38.067162,2.923168,284.636533,0,-0.5633802816901401
2003-03-25,sh.600573,10.5900,10.5900,10.3500,10.4000,10.5900,1385682,14445774.0000,3,2.199495,1,-1.790000,5.892118,37.384182,2.870723,279.529739,0,-1.7941454202077378
2003-03-26,sh.600573,10.4000,10.4300,10.3000,10.4000,10.4000,869087,9007003.0000,3,1.379503,1,0.000000,5.892118,37.384182,2.870723,279.529739,0,0.0
2003-03-27,sh.600573,10.3400,11.1000,10.3300,10.8400,10.4000,3906691,42277585.0000,3,6.201097,1,4.230000,6.141400,38.965821,2.992176,291.355998,0,4.230769230769216
2003-03-28,sh.600573,10.8100,10.8800,10.6500,10.6600,10.8400,2314887,24923114.0000,3,3.674424,1,-1.660000,6.039421,38.318787,2.942491,286.517983,0,-1.6605166051660514
2003-03-31,sh.600573,10.6700,10.8100,10.6000,10.7200,10.6600,1089447,11660621.0000,3,1.729281,1,0.560000,6.073414,38.534465,2.959052,288.130654,0,0.5628517823639712
2003-04-01,sh.600573,10.7000,10.8900,10.6800,10.7800,10.7200,1473662,15890584.0000,3,2.339146,1,0.560000,6.107407,38.750143,2.975614,289.743326,0,0.5597014925373012
2003-04-02,sh.600573,10.7800,10.8800,10.7100,10.7300,10.7800,925978,9990451.0000,3,1.469806,1,-0.460000,6.079079,38.570411,2.961813,288.399433,0,-0.4638218923933124
2003-04-03,sh.600573,10.6900,10.7300,10.6500,10.6500,10.7300,672068,7180199.0000,3,1.066775,1,-0.750000,6.033755,38.282840,2.939730,286.249204,0,-0.745573159366264
2003-04-04,sh.600573,10.6300,10.7000,10.5000,10.5800,10.6500,766267,8102831.0000,3,1.216297,1,-0.660000,5.994097,38.031216,2.920408,284.367754,0,-0.6572769953051671
2003-04-07,sh.600573,10.5800,10.6300,10.4600,10.4700,10.5800,872572,9197767.0000,3,1.385035,1,-1.040000,5.931776,37.635806,2.890045,281.411190,0,-1.03969754253308
2003-04-08,sh.600573,10.4000,10.5800,10.4000,10.4600,10.4700,783364,8219327.0000,3,1.243435,1,-0.100000,5.926111,37.599860,2.887284,281.142411,0,-0.09551098376312517
2003-04-09,sh.600573,10.4500,10.5500,10.3500,10.4900,10.4600,1510842,15757831.0000,3,2.398162,1,0.290000,5.943107,37.707699,2.895565,281.948747,0,0.2868068833651982
2003-04-10,sh.600573,10.5000,10.6000,10.4500,10.6000,10.4900,1729839,18225014.0000,3,2.745776,1,1.050000,6.005428,38.103109,2.925929,284.905311,0,1.0486177311725298
2003-04-11,sh.600573,10.6100,10.7100,10.4600,10.7000,10.6000,2139263,22660399.0000,3,3.395656,1,0.940000,6.062083,38.462572,2.953532,287.593097,0,0.943396226415083
2003-04-14,sh.600573,10.8000,11.0100,10.6900,10.8000,10.7000,3065701,33145080.0000,3,4.866192,1,0.930000,6.118738,38.822035,2.981135,290.280883,0,0.9345794392523477
2003-04-15,sh.600573,10.9300,11.0500,10.8300,10.9300,10.8000,4048444,44300968.0000,3,6.426102,1,1.200000,6.192389,39.289338,3.017019,293.775005,0,1.2037037037036846
