date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2002-05-15,sh.600582,31.0000,31.6000,27.8000,27.9400,12.4800,18094659,532858972.0000,3,72.378636,1,123.878200,19.817504,67.162182,11.717322,203.791543,0,
2002-05-16,sh.600582,27.5000,28.3700,27.0800,27.7200,27.9400,4128919,114112543.0000,3,16.515676,1,-0.787406,19.661460,66.633346,11.625059,202.186885,0,-0.7874015748031593
2002-05-17,sh.600582,27.7200,28.2000,27.1100,27.5000,27.7200,2675979,73434673.0000,3,10.703916,1,-0.793648,19.505417,66.104510,11.532797,200.582227,0,-0.7936507936507908
2002-05-20,sh.600582,27.3000,27.8000,27.1000,27.5800,27.5000,1408514,38715788.0000,3,5.634056,1,0.290909,19.562160,66.296814,11.566347,201.165739,0,0.290909090909075
2002-05-21,sh.600582,28.0000,28.4800,27.5600,27.9500,27.5800,2353544,65850627.0000,3,9.414176,1,1.341555,19.824597,67.186220,11.721515,203.864482,0,1.3415518491660672
2002-05-22,sh.600582,27.9800,28.2000,27.1800,27.1800,27.9500,1470341,40475602.0000,3,5.881364,1,-2.754921,19.278445,65.335294,11.398597,198.248179,0,-2.754919499105546
2002-05-23,sh.600582,27.3000,27.5000,26.1800,26.2700,27.1800,2045774,54800317.0000,3,8.183096,1,-3.348050,18.632993,63.147836,11.016966,191.610731,0,-3.348050036791761
2002-05-24,sh.600582,26.2700,26.4600,25.7000,25.7400,26.2700,1066701,27613155.0000,3,4.266804,1,-2.017513,18.257070,61.873822,10.794698,187.744965,0,-2.0175104682147005
2002-05-27,sh.600582,26.0000,26.3000,25.7800,26.2900,25.7400,543188,14135016.0000,3,2.172752,1,2.136757,18.647179,63.195912,11.025354,191.756609,0,2.136752136752129
2002-05-28,sh.600582,26.2000,26.6400,26.0900,26.1500,26.2900,434745,11453560.0000,3,1.738980,1,-0.532527,18.547878,62.859380,10.966641,190.735463,0,-0.5325218714340108
2002-05-29,sh.600582,26.1000,26.1000,25.1100,25.1600,26.1500,781324,19824611.0000,3,3.125296,1,-3.785850,17.845683,60.479617,10.551461,183.514503,0,-3.7858508604206476
2002-05-30,sh.600582,25.3000,25.5900,25.1000,25.4700,25.1600,799714,20227771.0000,3,3.198856,1,1.232112,18.065563,61.224796,10.681467,185.775612,0,1.2321144674085849
2002-05-31,sh.600582,25.3300,25.6800,25.0000,25.0500,25.4700,420201,10634926.0000,3,1.680804,1,-1.648999,17.767662,60.215199,10.505330,182.712174,0,-1.648998822143688
2002-06-03,sh.600582,25.0100,25.0100,24.2800,24.3500,25.0500,759700,18630812.0000,3,3.038800,1,-2.794407,17.271160,58.532539,10.211767,177.606445,0,-2.7944111776447067
2002-06-04,sh.600582,24.4400,24.6000,24.0700,24.3900,24.3500,452711,11015530.0000,3,1.810844,1,0.164267,17.299532,58.628691,10.228542,177.898201,0,0.1642710472279152
2002-06-05,sh.600582,24.3800,24.3800,24.0300,24.1100,24.3900,365530,8834352.0000,3,1.462120,1,-1.148007,17.100931,57.955627,10.111118,175.855909,0,-1.1480114801148078
2002-06-06,sh.600582,24.1800,25.4500,24.0200,25.0600,24.1100,809251,20076407.0000,3,3.237004,1,3.940269,17.774755,60.239237,10.509523,182.785113,0,3.9402737453338776
2002-06-07,sh.600582,25.0100,25.4000,24.7000,25.0000,25.0600,749046,18789962.0000,3,2.996184,1,-0.239423,17.732197,60.095009,10.484361,182.347479,0,-0.23942537909017458
2002-06-10,sh.600582,25.0000,25.0000,24.5000,24.5700,25.0000,233790,5767822.0000,3,0.935160,1,-1.720001,17.427204,59.061375,10.304030,179.211103,0,-1.7199999999999993
2002-06-11,sh.600582,24.5100,24.8500,24.5100,24.6300,24.5700,139409,3438718.0000,3,0.557636,1,0.244198,17.469761,59.205603,10.329192,179.648737,0,0.24420024420024333
2002-06-12,sh.600582,24.6200,24.8700,24.1900,24.6400,24.6300,201675,4957771.0000,3,0.806700,1,0.040602,17.476854,59.229641,10.333386,179.721676,0,0.040600893219666645
2002-06-13,sh.600582,24.6600,24.7200,24.2500,24.2600,24.6400,234890,5741851.0000,3,0.939560,1,-1.542204,17.207324,58.316197,10.174024,176.949994,0,-1.5422077922077837
2002-06-14,sh.600582,24.0500,24.2500,23.6000,23.6100,24.2600,411523,9856630.0000,3,1.646092,1,-2.679306,16.746287,56.753727,9.901430,172.208959,0,-2.6793075020610124
2002-06-17,sh.600582,23.5000,23.6000,23.1800,23.5300,23.6100,308933,7214477.0000,3,1.235732,1,-0.338839,16.689544,56.561423,9.867880,171.625448,0,-0.33883947479880216
2002-06-18,sh.600582,23.5300,23.5300,23.5300,23.5300,23.5300,0,0.0000,3,,0,0.000000,16.689544,56.561423,9.867880,171.625448,0,0.0
2002-06-19,sh.600582,23.9800,23.9800,23.7000,23.7700,23.5300,482334,11513736.0000,3,1.929336,1,1.019974,16.859773,57.138335,9.968530,173.375983,0,1.0199745006374883
2002-06-20,sh.600582,23.7400,24.1000,23.6100,24.0000,23.7700,297370,7133220.0000,3,1.189480,1,0.967604,17.022910,57.691209,10.064986,175.053580,0,0.9676062263357155
2002-06-21,sh.600582,23.9600,24.7000,23.8100,24.6400,24.0000,638848,15663810.0000,3,2.555392,1,2.666664,17.476854,59.229641,10.333386,179.721676,0,2.6666666666666616
2002-06-24,sh.600582,27.1000,27.1000,26.3500,27.1000,24.6400,3853152,103911861.0000,3,15.412608,1,9.983770,19.221702,65.142990,11.365047,197.664668,0,9.983766233766245
2002-06-25,sh.600582,27.0800,27.0800,25.9000,26.3300,27.1000,1670038,44326441.0000,3,6.680152,1,-2.841330,18.675550,63.292064,11.042129,192.048365,0,-2.8413284132841388
2002-06-26,sh.600582,26.0800,26.7800,25.6500,26.3800,26.3300,1051968,27574346.0000,3,4.207872,1,0.189895,18.711015,63.412254,11.063098,192.413060,0,0.18989745537409952
2002-06-27,sh.600582,26.2900,26.4200,25.8200,25.9900,26.3800,479594,12466395.0000,3,1.918376,1,-1.478390,18.434392,62.474772,10.899542,189.568439,0,-1.4783927217589143
2002-06-28,sh.600582,25.9500,26.3900,25.5000,25.6800,25.9900,599481,15494040.0000,3,2.397924,1,-1.192764,18.214513,61.729594,10.769535,187.307331,0,-1.192766448634086
2002-07-01,sh.600582,25.8000,26.2800,25.2100,25.6100,25.6800,327328,8435886.0000,3,1.309312,1,-0.270000,18.164863,61.561328,10.740179,186.796758,0,-0.2725856697819329
2002-07-02,sh.600582,25.6100,25.8700,25.3100,25.7900,25.6100,153416,3930166.0000,3,0.613664,1,0.700000,18.292535,61.994012,10.815667,188.109660,0,0.7028504490433463
2002-07-03,sh.600582,25.7600,25.9900,25.4800,25.5800,25.7900,224950,5753560.0000,3,0.899800,1,-0.810000,18.143584,61.489214,10.727598,186.577941,0,-0.8142690965490584
2002-07-04,sh.600582,25.5800,25.7000,25.3000,25.5100,25.5800,346087,8816561.0000,3,1.384348,1,-0.270000,18.093934,61.320948,10.698242,186.067368,0,-0.2736512900703536
2002-07-05,sh.600582,25.5700,26.5000,25.3300,25.9700,25.5100,456080,11906790.0000,3,1.824320,1,1.800000,18.420207,62.426696,10.891154,189.422562,0,1.8032144257154048
2002-07-08,sh.600582,25.9600,26.1700,25.8300,25.9400,25.9700,182241,4733566.0000,3,0.728964,1,-0.120000,18.398928,62.354582,10.878573,189.203745,0,-0.11551790527530859
2002-07-09,sh.600582,26.0100,26.1800,25.8000,25.8100,25.9400,142056,3688408.0000,3,0.568224,1,-0.500000,18.306721,62.042088,10.824054,188.255538,0,-0.5011565150347064
2002-07-10,sh.600582,25.8000,26.0500,25.4000,25.5000,25.8100,186600,4788162.0000,3,0.746400,1,-1.200000,18.086841,61.296910,10.694048,185.994429,0,-1.2010848508330008
2002-07-11,sh.600582,25.3500,25.7600,25.3500,25.4500,25.5000,144220,3678449.0000,3,0.576880,1,-0.200000,18.051377,61.176720,10.673079,185.629734,0,-0.19607843137254832
2002-07-12,sh.600582,25.7800,25.7800,25.4700,25.5500,25.4500,109560,2796561.0000,3,0.438240,1,0.390000,18.122306,61.417100,10.715017,186.359124,0,0.39292730844793233
2002-07-15,sh.600582,25.6500,25.6500,25.3000,25.3300,25.5500,182790,4646812.0000,3,0.731160,1,-0.860000,17.966262,60.888264,10.622754,184.754466,0,-0.8610567514677148
2002-07-16,sh.600582,25.3000,25.4800,25.1000,25.1600,25.3300,174930,4416038.0000,3,0.699720,1,-0.670000,17.845683,60.479617,10.551461,183.514503,0,-0.6711409395973034
2002-07-17,sh.600582,25.2300,25.2300,24.6800,24.9600,25.1600,290825,7209846.0000,3,1.163300,1,-0.790000,17.703826,59.998857,10.467586,182.055723,0,-0.7949125596184436
2002-07-18,sh.600582,25.0000,25.0000,24.7000,24.8600,24.8600,121276,3016944.0000,3,0.485104,1,0.000000,17.632897,59.758477,10.425648,181.326333,0,-0.4006410256410353
2002-07-19,sh.600582,24.8500,25.0000,24.7000,24.8900,24.8600,91330,2266534.0000,3,0.365320,1,0.120000,17.654176,59.830591,10.438230,181.545150,0,0.12067578439260984
2002-07-22,sh.600582,24.8800,24.8800,24.2700,24.3400,24.8900,188900,4643080.0000,3,0.755600,1,-2.210000,17.264067,58.508501,10.207574,177.533506,0,-2.2097227802330255
2002-07-23,sh.600582,24.3000,24.4800,24.2000,24.3800,24.3400,109801,2672020.0000,3,0.439204,1,0.160000,17.292439,58.604653,10.224349,177.825262,0,0.16433853738702098
2002-07-24,sh.600582,24.3800,24.6900,24.3000,24.5300,24.3800,108850,2663021.0000,3,0.435400,1,0.620000,17.398832,58.965223,10.287255,178.919347,0,0.6152584085315826
2002-07-25,sh.600582,24.8700,24.8700,24.4100,24.7000,24.5300,91599,2251587.0000,3,0.366396,1,0.690000,17.519411,59.373869,10.358549,180.159310,0,0.6930289441500204
2002-07-26,sh.600582,24.7700,25.6800,24.7700,25.0700,24.7000,316783,7982050.0000,3,1.267132,1,1.497971,17.781848,60.263275,10.513717,182.858052,0,1.4979757085020307
2002-07-29,sh.600582,24.9700,25.1900,24.8000,25.1000,25.0700,129182,3230322.0000,3,0.516728,1,0.120000,17.803126,60.335389,10.526298,183.076869,0,0.11966493817312518
2002-07-30,sh.600582,25.0700,25.1500,24.9000,25.0000,25.1000,115158,2880192.0000,3,0.460632,1,-0.400000,17.732197,60.095009,10.484361,182.347479,0,-0.3984063745020028
2002-07-31,sh.600582,25.1900,25.2000,24.8000,24.8000,25.0000,335773,8375678.0000,3,1.343092,1,-0.800000,17.590340,59.614249,10.400486,180.888699,0,-0.8000000000000007
2002-08-01,sh.600582,24.8000,24.8800,24.7300,24.8500,24.8000,67367,1670843.0000,3,0.269468,1,0.200000,17.625804,59.734439,10.421455,181.253394,0,0.20161290322580072
2002-08-02,sh.600582,24.8000,25.2300,24.8000,25.1500,24.8500,129596,3253340.0000,3,0.518384,1,1.210000,17.838591,60.455579,10.547267,183.441564,0,1.2072434607645732
2002-08-05,sh.600582,25.1800,25.1800,25.0000,25.0600,25.1500,81341,2035129.0000,3,0.325364,1,-0.360000,17.774755,60.239237,10.509523,182.785113,0,-0.3578528827037797
2002-08-06,sh.600582,25.0000,25.1200,24.8100,25.0100,25.0600,98827,2472639.0000,3,0.395308,1,-0.200000,17.739290,60.119047,10.488555,182.420418,0,-0.1995211492418103
2002-08-07,sh.600582,25.0000,25.0500,25.0000,25.0200,25.0100,74410,1860713.0000,3,0.297640,1,0.040000,17.746383,60.143085,10.492748,182.493357,0,0.03998400639744215
2002-08-08,sh.600582,25.1000,25.1000,24.9300,24.9400,25.0200,86800,2169103.0000,3,0.347200,1,-0.320000,17.689640,59.950781,10.459198,181.909845,0,-0.3197442046362853
2002-08-09,sh.600582,24.9200,24.9300,24.0100,24.2200,24.9400,288790,7077473.0000,3,1.155160,1,-2.890000,17.178953,58.220045,10.157249,176.658238,0,-2.886928628708907
2002-08-12,sh.600582,24.1800,24.2000,23.9200,23.9900,24.2200,138120,3316599.0000,3,0.552480,1,-0.950000,17.015817,57.667171,10.060793,174.980641,0,-0.9496284062758042
2002-08-13,sh.600582,24.0000,24.1000,23.9200,23.9300,23.9900,67624,1622405.0000,3,0.270496,1,-0.250000,16.973259,57.522943,10.035630,174.543007,0,-0.2501042100875317
2002-08-14,sh.600582,24.0000,24.1000,23.8900,24.0300,23.9300,130726,3131327.0000,3,0.522904,1,0.420000,17.044188,57.763323,10.077568,175.272397,0,0.41788549937318287
2002-08-15,sh.600582,24.2000,24.2000,23.8800,23.9200,24.0300,287705,6903919.0000,3,1.150820,1,-0.460000,16.966166,57.498905,10.031436,174.470068,0,-0.4577611319184327
2002-08-16,sh.600582,23.9200,24.1000,23.8000,23.8700,23.9200,110959,2653081.0000,3,0.443836,1,-0.210000,16.930702,57.378715,10.010468,174.105373,0,-0.2090301003344508
2002-08-19,sh.600582,23.7100,23.7500,23.3000,23.3200,23.8700,326131,7645232.0000,3,1.304524,1,-2.300000,4.209089,61.736144,8.982237,170.093729,0,-2.304147465437789
2002-08-20,sh.600582,23.2800,23.6900,23.2800,23.6000,23.3200,162291,3822180.0000,3,0.649164,1,1.200000,4.259627,62.477402,9.090086,172.136020,0,1.2006861063464935
2002-08-21,sh.600582,23.6000,24.2600,23.6000,24.1000,23.6000,275968,6612848.0000,3,1.103872,1,2.120000,4.349873,63.801075,9.282672,175.782970,0,2.1186440677966045
2002-08-22,sh.600582,24.0500,24.8800,24.0500,24.5200,24.1000,718374,17638998.0000,3,2.873496,1,1.740000,4.425680,64.912961,9.444445,178.846408,0,1.742738589211612
2002-08-23,sh.600582,24.5000,24.5000,24.2300,24.3000,24.5200,115260,2801340.0000,3,0.461040,1,-0.900000,4.385972,64.330545,9.359707,177.241750,0,-0.8972267536704659
2002-08-26,sh.600582,24.4800,24.5800,24.2500,24.4900,24.3000,153274,3753431.0000,3,0.613096,1,0.780000,4.420265,64.833541,9.432890,178.627591,0,0.7818930041152194
2002-08-27,sh.600582,24.5000,25.1800,24.4900,24.8300,24.4900,358597,8908941.0000,3,1.434388,1,1.390000,4.481633,65.733639,9.563849,181.107516,0,1.3883217639852896
2002-08-28,sh.600582,24.7500,24.9800,24.7000,24.7100,24.8300,149228,3699817.0000,3,0.596912,1,-0.480000,4.459974,65.415957,9.517628,180.232249,0,-0.48328634716068297
2002-08-29,sh.600582,24.7200,24.8000,24.1000,24.2700,24.7100,169800,4131123.0000,3,0.679200,1,-1.780000,4.380557,64.251124,9.348152,177.022933,0,-1.780655605018211
2002-08-30,sh.600582,24.2700,24.4000,24.0000,24.0800,24.2700,150843,3640285.0000,3,0.603372,1,-0.780000,4.346263,63.748128,9.274969,175.637092,0,-0.7828594973217973
2002-09-02,sh.600582,24.1500,24.3500,23.9700,24.1700,24.0800,39631,956103.0000,3,0.158524,1,0.370000,4.362508,63.986390,9.309634,176.293543,0,0.3737541528239241
2002-09-03,sh.600582,24.1500,24.7900,24.1500,24.3800,24.1700,116400,2843246.0000,3,0.465600,1,0.870000,4.400411,64.542333,9.390521,177.825262,0,0.8688456764584185
2002-09-04,sh.600582,24.4000,24.6000,24.1600,24.2500,24.3800,85600,2080407.0000,3,0.342400,1,-0.530000,4.376947,64.198177,9.340448,176.877055,0,-0.533223954060702
2002-09-05,sh.600582,24.2000,24.3300,23.8000,23.8300,24.2500,182771,4384959.0000,3,0.731084,1,-1.730000,4.301140,63.086292,9.178675,173.813617,0,-1.7319587628866095
2002-09-06,sh.600582,23.9000,23.9000,23.6500,23.7400,23.8300,125717,2990250.0000,3,0.502868,1,-0.380000,4.284896,62.848030,9.144010,173.157166,0,-0.3776751993285754
2002-09-09,sh.600582,23.6000,23.9400,23.5200,23.8000,23.7400,127647,3024835.0000,3,0.510588,1,0.250000,4.295726,63.006871,9.167120,173.594800,0,0.2527379949452513
2002-09-10,sh.600582,23.8500,23.9200,23.7000,23.8600,23.8000,68409,1632854.0000,3,0.273636,1,0.250000,4.306555,63.165712,9.190231,174.032434,0,0.25210084033613356
2002-09-11,sh.600582,23.8200,23.8200,23.6000,23.7200,23.8600,127219,3015223.0000,3,0.508876,1,-0.590000,4.281286,62.795083,9.136306,173.011288,0,-0.5867560771165126
2002-09-12,sh.600582,23.7200,24.1400,23.7200,24.0000,23.7200,69517,1663159.0000,3,0.278068,1,1.180000,4.331824,63.536341,9.244155,175.053580,0,1.180438448566612
2002-09-13,sh.600582,24.0000,24.3200,23.8700,24.1900,24.0000,135550,3268921.0000,3,0.542200,1,0.790000,4.366118,64.039337,9.317338,176.439421,0,0.7916666666666794
2002-09-16,sh.600582,23.8100,24.1800,23.7900,23.9000,24.1900,97253,2326539.0000,3,0.389012,1,-1.200000,4.313775,63.271606,9.205638,174.324190,0,-1.1988424968995548
2002-09-17,sh.600582,24.0100,24.0800,23.7600,23.8900,23.9000,133730,3189781.0000,3,0.534920,1,-0.040000,4.311970,63.245132,9.201786,174.251251,0,-0.04184100418409553
2002-09-18,sh.600582,24.0000,24.2000,23.7500,23.8100,23.8900,71994,1726690.0000,3,0.287976,1,-0.330000,4.297530,63.033345,9.170972,173.667739,0,-0.334868145667655
2002-09-19,sh.600582,23.7700,24.1600,23.7700,24.0500,23.8100,90356,2160430.0000,3,0.361424,1,1.010000,4.340849,63.668708,9.263414,175.418275,0,1.0079798404031948
2002-09-20,sh.600582,24.0000,24.5000,23.8600,24.1100,24.0500,203034,4924819.0000,3,0.812136,1,0.250000,4.351678,63.827549,9.286524,175.855909,0,0.2494802494802384
2002-09-23,sh.600582,24.1600,24.3300,24.1000,24.2200,24.1100,89090,2158244.0000,3,0.356360,1,0.460000,4.371532,64.118757,9.328893,176.658238,0,0.45624222314393226
2002-09-24,sh.600582,24.1900,24.3000,24.1100,24.1800,24.2200,109250,2647098.0000,3,0.437000,1,-0.170000,4.364313,64.012863,9.313486,176.366482,0,-0.16515276630882925
2002-09-25,sh.600582,24.8000,24.8000,24.2000,24.3000,24.1800,133104,3246927.0000,3,0.532416,1,0.500000,4.385972,64.330545,9.359707,177.241750,0,0.496277915632759
2002-09-26,sh.600582,24.2000,24.2400,23.8100,23.8800,24.3000,132199,3170312.0000,3,0.528796,1,-1.730000,4.310165,63.218659,9.197934,174.178312,0,-1.728395061728405
2002-09-27,sh.600582,23.8800,23.9900,23.7500,23.7600,23.8800,73200,1743152.0000,3,0.292800,1,-0.500000,4.288506,62.900977,9.151713,173.303044,0,-0.5025125628140614
2002-10-08,sh.600582,23.7500,23.7500,23.4200,23.4500,23.7600,126243,2965185.0000,3,0.504972,1,-1.300000,4.232553,62.080299,9.032310,171.041936,0,-1.3047138047138196
2002-10-09,sh.600582,23.4200,23.4200,23.1900,23.2200,23.4500,168300,3914049.0000,3,0.673200,1,-0.980000,4.191040,61.471410,8.943720,169.364339,0,-0.9808102345415848
2002-10-10,sh.600582,23.1900,23.3500,22.9600,22.9600,23.2200,188000,4341424.0000,3,0.752000,1,-1.120000,4.144112,60.783099,8.843575,167.467925,0,-1.1197243755383224
2002-10-11,sh.600582,22.9500,22.9600,22.5100,22.6100,22.9600,241600,5488396.0000,3,0.966400,1,-1.520000,4.080939,59.856528,8.708764,164.915060,0,-1.5243902439024404
