date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-06-12,sh.600589,30.8000,34.8700,30.8000,33.4600,9.9000,30202169,989503190.0000,3,75.505422,1,237.979800,35.632504,202.604063,23.256992,234.387080,0,
2001-06-13,sh.600589,33.0200,35.8800,33.0200,34.6000,33.4600,8688489,301009883.0000,3,21.721222,1,3.407051,36.846522,209.506891,24.049370,242.372772,0,3.4070531978481755
2001-06-14,sh.600589,34.9000,35.7400,34.6400,35.1800,34.6000,6075989,213866918.0000,3,15.189973,1,1.676306,37.464181,213.018856,24.452509,246.435668,0,1.676300578034673
2001-06-15,sh.600589,35.1800,35.4300,34.3000,34.9800,35.1800,3111258,108670974.0000,3,7.778145,1,-0.568507,37.251195,211.807834,24.313496,245.034670,0,-0.5685048322910835
2001-06-18,sh.600589,35.1000,36.3800,34.6000,35.6600,34.9800,3607929,129127983.0000,3,9.019823,1,1.943969,37.975346,215.925310,24.786142,249.798065,0,1.9439679817038202
2001-06-19,sh.600589,35.7400,35.9900,35.2800,35.7800,35.6600,1350877,48080640.0000,3,3.377193,1,0.336508,38.103138,216.651924,24.869550,250.638664,0,0.33651149747617737
2001-06-20,sh.600589,35.6000,36.1000,33.6500,34.1300,35.7800,3146073,108977893.0000,3,7.865182,1,-4.611508,36.346006,206.660988,23.722687,239.080425,0,-4.611514812744543
2001-06-21,sh.600589,34.1300,34.7000,33.9900,34.2900,34.1300,1533320,52520121.0000,3,3.833300,1,0.468795,36.516394,207.629806,23.833898,240.201224,0,0.4687957808379606
2001-06-22,sh.600589,34.3000,34.8300,33.9600,34.1000,34.2900,1322540,45316310.0000,3,3.306350,1,-0.554104,36.314058,206.479335,23.701835,238.870275,0,-0.554097404491094
2001-06-25,sh.600589,34.1000,34.5000,33.4500,33.7800,34.1000,1987305,67031541.0000,3,4.968262,1,-0.938415,35.973281,204.541699,23.479413,236.628677,0,-0.9384164222873914
2001-06-26,sh.600589,33.8000,34.4400,33.7000,33.8000,33.7800,1237100,42022375.0000,3,3.092750,1,0.059208,35.994580,204.662801,23.493315,236.768777,0,0.059206631142671995
2001-06-27,sh.600589,33.8100,34.4100,33.8100,34.1800,33.8000,557814,19061860.0000,3,1.394535,1,1.124264,36.399252,206.963744,23.757441,239.430675,0,1.1242603550295938
2001-06-28,sh.600589,34.1800,35.0000,33.9000,34.7500,34.1800,1452995,50264128.0000,3,3.632487,1,1.667641,37.006261,210.415158,24.153630,243.423521,0,1.6676418958455175
2001-06-29,sh.600589,34.7900,34.9000,34.2500,34.3300,34.7500,645850,22343864.0000,3,1.614625,1,-1.208628,36.558992,207.872011,23.861701,240.481424,0,-1.20863309352518
2001-07-02,sh.600589,34.4100,34.5200,33.5000,33.6000,34.3300,1015178,34197820.0000,3,2.537945,1,-2.126430,35.781594,203.451779,23.354301,235.367779,0,-2.126420040780652
2001-07-03,sh.600589,33.5500,33.9900,33.5300,33.7500,33.6000,469427,15796192.0000,3,1.173567,1,0.446433,35.941333,204.360045,23.458561,236.418528,0,0.44642857142855874
2001-07-04,sh.600589,33.7500,33.9000,33.0000,33.0900,33.7500,1130705,37567870.0000,3,2.826763,1,-1.955555,35.238480,200.363671,22.999816,231.795232,0,-1.9555555555555437
