date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600628,12.9800,13.1900,12.9100,13.1500,12.9800,895742,11703726.0000,3,0.925490,1,1.309708,5.536777,37.751670,1.515010,23.686025,0,
2001-01-03,sh.600628,13.2000,13.3000,13.1300,13.2800,13.1500,1201404,15885196.0000,3,1.241303,1,0.988594,5.591514,38.124881,1.529987,23.920183,0,0.9885931558935246
2001-01-04,sh.600628,13.3000,13.3500,13.1000,13.1000,13.2800,800036,10541627.0000,3,0.826606,1,-1.355417,5.515725,37.608128,1.509249,23.595964,0,-1.3554216867469826
2001-01-05,sh.600628,13.1800,13.1900,13.0000,13.1100,13.1000,1156515,15087156.0000,3,1.194924,1,0.076330,5.519936,37.636836,1.510402,23.613976,0,0.07633587786259888
2001-01-08,sh.600628,13.1500,13.3900,13.0200,13.3800,13.1100,1249001,16445310.0000,3,1.290481,1,2.059500,5.633618,38.411966,1.541508,24.100305,0,2.0594965675057253
2001-01-09,sh.600628,13.3800,13.4300,13.2300,13.3200,13.3800,1051634,14011183.0000,3,1.086559,1,-0.448434,5.608356,38.239715,1.534596,23.992232,0,-0.4484304932735439
2001-01-10,sh.600628,13.3200,13.8000,13.2700,13.7000,13.3200,2224629,30217035.0000,3,2.298510,1,2.852854,5.768354,39.330637,1.578375,24.676695,0,2.8528528528528385
2001-01-11,sh.600628,13.8200,13.8400,13.5500,13.6600,13.7000,1679408,23000455.0000,3,1.735182,1,-0.291971,5.751512,39.215803,1.573767,24.604646,0,-0.29197080291970545
2001-01-12,sh.600628,13.6600,13.7000,13.3000,13.4300,13.6600,969970,13065827.0000,3,1.002183,1,-1.683745,5.654671,38.555508,1.547269,24.190366,0,-1.68374816983895
2001-01-15,sh.600628,13.4300,13.4300,12.8700,12.9100,13.4300,996003,13027963.0000,3,1.029081,1,-3.871932,5.435726,37.062666,1.487360,23.253732,0,-3.87192851824274
2001-01-16,sh.600628,12.7800,13.0400,12.7300,12.9400,12.9100,665287,8545702.0000,3,0.687382,1,0.232376,5.448357,37.148792,1.490816,23.307769,0,0.23237800154918276
2001-01-17,sh.600628,12.9700,12.9700,12.7100,12.7500,12.9400,679913,8693699.0000,3,0.702493,1,-1.468312,5.368358,36.603330,1.468926,22.965537,0,-1.4683153013910322
2001-01-18,sh.600628,12.7500,12.9000,12.7500,12.7700,12.7500,531237,6810324.0000,3,0.548880,1,0.156866,5.376779,36.660747,1.471230,23.001562,0,0.15686274509802978
2001-01-19,sh.600628,12.8100,13.0100,12.8100,12.9800,12.7700,713010,9240809.0000,3,0.736689,1,1.644472,5.465199,37.263626,1.495424,23.379818,0,1.6444792482380732
2001-02-05,sh.600628,13.0000,13.0900,12.5500,12.5900,12.9800,505850,6466552.0000,3,0.522650,1,-3.004618,5.300991,36.143994,1.450492,22.677342,0,-3.004622496147924
2001-02-06,sh.600628,12.5700,12.5700,12.1000,12.3800,12.5900,541349,6682001.0000,3,0.559328,1,-1.667991,5.212571,35.541116,1.426298,22.299086,0,-1.6679904686258906
2001-02-07,sh.600628,12.3800,12.4400,12.2200,12.3400,12.3800,221376,2734248.0000,3,0.228728,1,-0.323101,5.195729,35.426282,1.421690,22.227038,0,-0.3231017770597866
2001-02-08,sh.600628,12.3400,12.5000,11.9800,12.0600,12.3400,392230,4794218.0000,3,0.405256,1,-2.269042,5.077835,34.622444,1.389431,21.722696,0,-2.269043760129652
2001-02-09,sh.600628,12.1600,12.3900,12.1600,12.3900,12.0600,268893,3293518.0000,3,0.277823,1,2.736318,5.216781,35.569825,1.427450,22.317099,0,2.736318407960203
2001-02-12,sh.600628,12.4500,12.4500,12.1600,12.4400,12.3900,261730,3219743.0000,3,0.270422,1,0.403545,5.237834,35.713367,1.433211,22.407160,0,0.40355125100886013
2001-02-13,sh.600628,12.4500,12.4900,12.2800,12.3900,12.4400,153694,1905678.0000,3,0.158798,1,-0.401923,5.216781,35.569825,1.427450,22.317099,0,-0.4019292604501512
2001-02-14,sh.600628,12.3600,12.4500,12.2200,12.4500,12.3900,184301,2270714.0000,3,0.190422,1,0.484257,5.242044,35.742076,1.434363,22.425172,0,0.4842615012106366
2001-02-15,sh.600628,12.4600,12.4600,12.2900,12.3500,12.4500,162039,1996344.0000,3,0.167420,1,-0.803208,5.199939,35.454991,1.422842,22.245050,0,-0.8032128514056214
2001-02-16,sh.600628,12.1800,12.3000,12.0200,12.1300,12.3500,308058,3746585.0000,3,0.318289,1,-1.781379,5.107309,34.823404,1.397496,21.848782,0,-1.7813765182186136
2001-02-19,sh.600628,12.2500,12.4200,12.1500,12.3900,12.1300,197096,2422928.0000,3,0.203642,1,2.143448,5.216781,35.569825,1.427450,22.317099,0,2.1434460016487966
2001-02-20,sh.600628,12.3800,12.4500,12.1600,12.3000,12.3900,229090,2813033.0000,3,0.236698,1,-0.726394,5.178887,35.311448,1.417082,22.154989,0,-0.7263922518159771
2001-02-21,sh.600628,12.2500,12.2800,12.0000,12.1200,12.3000,414114,5017380.0000,3,0.427867,1,-1.463417,5.103098,34.794695,1.396344,21.830770,0,-1.4634146341463539
2001-02-22,sh.600628,12.0800,12.1200,11.9000,12.0100,12.1200,754594,9062390.0000,3,0.779654,1,-0.907588,5.056783,34.478902,1.383671,21.632636,0,-0.9075907590759047
2001-02-23,sh.600628,12.0100,12.2000,11.9100,12.1000,12.0100,253365,3045928.0000,3,0.261779,1,0.749377,5.094677,34.737278,1.394040,21.794745,0,0.7493755203996644
2001-02-26,sh.600628,12.1000,12.2300,12.0200,12.2200,12.1000,242588,2947766.0000,3,0.250644,1,0.991735,5.145203,35.081780,1.407865,22.010891,0,0.9917355371900971
2001-02-27,sh.600628,12.2300,12.3000,12.1700,12.3000,12.2200,147110,1799905.0000,3,0.151996,1,0.654664,5.178887,35.311448,1.417082,22.154989,0,0.654664484451728
2001-02-28,sh.600628,12.3000,12.3100,12.0800,12.1900,12.3000,131947,1605778.0000,3,0.136329,1,-0.894314,5.132572,34.995655,1.404408,21.956855,0,-0.8943089430894391
2001-03-01,sh.600628,12.1900,12.3100,12.1800,12.3000,12.1900,225634,2765319.0000,3,0.233127,1,0.902384,5.178887,35.311448,1.417082,22.154989,0,0.9023789991796649
2001-03-02,sh.600628,12.2300,12.4400,12.2300,12.4200,12.3000,285352,3532158.0000,3,0.294829,1,0.975609,5.229413,35.655950,1.430907,22.371135,0,0.9756097560975618
2001-03-05,sh.600628,12.4000,12.5500,12.3500,12.4700,12.4200,398720,4954583.0000,3,0.411962,1,0.402578,5.250465,35.799493,1.436667,22.461196,0,0.40257648953301306
2001-03-06,sh.600628,12.4600,12.4700,12.3800,12.4400,12.4700,169847,2109697.0000,3,0.175488,1,-0.240583,5.237834,35.713367,1.433211,22.407160,0,-0.24057738572574872
2001-03-07,sh.600628,12.4000,12.5200,12.3500,12.4700,12.4400,217882,2705115.0000,3,0.225118,1,0.241163,5.250465,35.799493,1.436667,22.461196,0,0.2411575562700996
2001-03-08,sh.600628,12.5100,12.5900,12.3800,12.5600,12.4700,382426,4790713.0000,3,0.395127,1,0.721733,5.288359,36.057869,1.447036,22.623306,0,0.721732157177235
2001-03-09,sh.600628,12.5600,12.6200,12.4500,12.5700,12.5600,358597,4501615.0000,3,0.370506,1,0.079612,5.292570,36.086577,1.448188,22.641318,0,0.07961783439489611
2001-03-12,sh.600628,12.5500,12.7300,12.4500,12.6900,12.5700,810784,10252840.0000,3,0.837711,1,0.954653,5.343096,36.431079,1.462013,22.857464,0,0.9546539379474916
2001-03-13,sh.600628,12.7200,12.7600,12.5000,12.5100,12.6900,517564,6529739.0000,3,0.534753,1,-1.418435,5.267307,35.914327,1.441276,22.533245,0,-1.4184397163120588
2001-03-14,sh.600628,12.5000,12.5800,12.4500,12.5500,12.5100,351282,4389761.0000,3,0.362948,1,0.319744,5.284149,36.029160,1.445884,22.605294,0,0.3197442046362964
2001-03-15,sh.600628,12.5500,12.6000,12.4800,12.5500,12.5500,328234,4118377.0000,3,0.339135,1,0.000000,5.284149,36.029160,1.445884,22.605294,0,0.0
2001-03-16,sh.600628,12.5500,12.7000,12.3900,12.6800,12.5500,593618,7403779.0000,3,0.613332,1,1.035857,5.338885,36.402371,1.460861,22.839452,0,1.035856573705174
2001-03-19,sh.600628,12.6700,12.7400,12.5500,12.7000,12.6800,346628,4389451.0000,3,0.358140,1,0.157725,5.347306,36.459788,1.463165,22.875476,0,0.1577287066246047
2001-03-20,sh.600628,12.7000,13.0500,12.6800,12.9800,12.7000,1241733,15952235.0000,3,1.282972,1,2.204722,5.465199,37.263626,1.495424,23.379818,0,2.2047244094488327
