date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600658,17.0500,17.3500,16.9500,17.1700,17.2100,1584200,27316148.0000,3,1.666352,1,-0.232417,16.978876,-36.696447,23.563749,-54.830743,1,
2001-01-03,sh.600658,17.1700,17.6000,17.1700,17.4500,17.1700,1414618,24641400.0000,3,1.487976,1,1.630755,17.255760,-37.294875,23.948015,-55.724896,1,1.630751310425138
2001-01-04,sh.600658,17.4500,17.5500,17.2300,17.2900,17.4500,570161,9904057.0000,3,0.599728,1,-0.916905,17.097541,-36.952916,23.728434,-55.213952,1,-0.9169054441260704
2001-01-05,sh.600658,17.2900,17.3400,16.8100,17.0500,17.2900,628045,10672747.0000,3,0.660613,1,-1.388095,16.860212,-36.439978,23.399063,-54.447535,1,-1.38808559861191
2001-01-08,sh.600658,17.0200,17.0200,16.6000,16.8900,17.0500,522546,8766058.0000,3,0.549644,1,-0.938415,16.701993,-36.098019,23.179482,-53.936590,1,-0.9384164222873914
2001-01-09,sh.600658,16.8000,16.8500,16.6500,16.6800,16.8900,495411,8296183.0000,3,0.521101,1,-1.243334,16.494331,-35.649198,22.891283,-53.265975,1,-1.243339253996456
2001-01-10,sh.600658,16.7000,17.1000,16.7000,17.0000,16.6800,656130,11128807.0000,3,0.690155,1,1.918463,16.810769,-36.333116,23.330444,-54.287865,1,1.918465227817756
2001-01-11,sh.600658,17.0000,17.0200,16.6000,16.6800,17.0000,496490,8325363.0000,3,0.522236,1,-1.882351,16.494331,-35.649198,22.891283,-53.265975,1,-1.8823529411764683
2001-01-12,sh.600658,16.7500,16.7500,16.4700,16.4800,16.6800,708570,11715614.0000,3,0.745314,1,-1.199045,16.296557,-35.221750,22.616807,-52.627295,1,-1.1990407673860837
2001-01-15,sh.600658,16.4800,16.5000,15.6600,15.6800,16.4800,723460,11602989.0000,3,0.760976,1,-4.854364,15.505462,-33.511956,21.518904,-50.072572,1,-4.8543689320388435
2001-01-16,sh.600658,15.8000,16.1500,15.3000,15.9800,15.6800,899356,14069960.0000,3,0.945994,1,1.913260,15.802123,-34.153129,21.930617,-51.030593,1,1.913265306122458
2001-01-17,sh.600658,16.0800,16.0800,15.6100,15.6500,15.9800,367362,5832556.0000,3,0.386412,1,-2.065081,15.475796,-33.447839,21.477732,-49.976770,1,-2.0650813516896127
2001-01-18,sh.600658,15.8000,16.1600,15.7900,15.8500,15.6500,610794,9753064.0000,3,0.642468,1,1.277960,15.673570,-33.875287,21.752208,-50.615450,1,1.2779552715654896
2001-01-19,sh.600658,16.1000,16.1000,15.8800,16.0000,15.8500,355236,5682184.0000,3,0.373657,1,0.946370,15.821900,-34.195874,21.958065,-51.094461,1,0.9463722397476282
2001-02-05,sh.600658,16.0000,16.1300,15.2000,15.2000,16.0000,820900,12573302.0000,3,0.863469,1,-5.000001,15.030805,-32.486080,20.860162,-48.539738,1,-5.000000000000004
2001-02-06,sh.600658,14.9700,14.9700,14.4400,14.7000,15.2000,1173150,17064710.0000,3,1.233986,1,-3.289474,14.536371,-31.417459,20.173972,-46.943036,1,-3.289473684210531
2001-02-07,sh.600658,14.6000,14.7000,13.9700,13.9700,14.7000,742600,10471452.0000,3,0.781109,1,-4.965983,13.814496,-29.857272,19.172136,-44.611851,1,-4.965986394557809
2001-02-08,sh.600658,13.6800,14.5000,13.2700,14.0000,13.9700,802879,11314025.0000,3,0.844514,1,0.214744,13.844162,-29.921390,19.213307,-44.707653,1,0.21474588403722628
2001-02-09,sh.600658,14.1000,14.5000,13.9000,14.4100,14.0000,1652078,23314925.0000,3,1.737749,1,2.928570,14.249599,-30.797659,19.775982,-46.016949,1,2.928571428571436
2001-02-12,sh.600658,14.5000,14.5700,13.8800,14.0000,14.4100,794198,11131299.0000,3,0.835383,1,-2.845245,13.844162,-29.921390,19.213307,-44.707653,1,-2.84524635669674
2001-02-13,sh.600658,13.9900,14.4500,13.9700,14.1000,14.0000,460576,6543891.0000,3,0.484460,1,0.714288,13.943049,-30.135114,19.350545,-45.026994,1,0.7142857142857117
2001-02-14,sh.600658,14.1500,14.8100,13.9800,14.8100,14.1000,1142014,16645114.0000,3,1.201235,1,5.035461,14.645146,-31.652556,20.324934,-47.294310,1,5.035460992907814
2001-02-15,sh.600658,14.9600,14.9800,14.4300,14.6100,14.8100,652899,9579952.0000,3,0.686756,1,-1.350444,14.447372,-31.225107,20.050458,-46.655630,1,-1.3504388926401156
2001-02-16,sh.600658,14.4500,14.9800,14.3000,14.7600,14.6100,638620,9438174.0000,3,0.671737,1,1.026698,14.595703,-31.545694,20.256315,-47.134640,1,1.0266940451745477
2001-02-19,sh.600658,14.8000,15.5000,14.8000,15.5000,14.7600,759890,11739553.0000,3,0.799295,1,5.013548,15.327466,-33.127253,21.271876,-49.497759,1,5.0135501355013545
2001-02-20,sh.600658,15.7800,16.1800,15.4000,16.0000,15.5000,2441831,38754769.0000,3,2.568457,1,3.225806,15.821900,-34.195874,21.958065,-51.094461,1,3.2258064516129004
2001-02-21,sh.600658,15.8000,16.1100,15.5000,15.6000,16.0000,1335588,21193655.0000,3,1.404847,1,-2.499998,15.426352,-33.340977,21.409113,-49.817099,1,-2.500000000000002
2001-02-22,sh.600658,15.5200,15.7900,14.8200,15.2600,15.6000,1119851,16994334.0000,3,1.177923,1,-2.179488,15.090137,-32.614315,20.942505,-48.731342,1,-2.179487179487183
2001-02-23,sh.600658,15.2800,16.0200,15.2100,15.6700,15.2600,715937,11301178.0000,3,0.753063,1,2.686762,15.495573,-33.490584,21.505180,-50.040638,1,2.6867627785059023
2001-02-26,sh.600658,16.2000,16.2900,15.7800,15.8800,15.6700,461360,7351604.0000,3,0.485285,1,1.340141,15.703236,-33.939405,21.793380,-50.711252,1,1.3401403956605051
2001-02-27,sh.600658,16.0700,16.2600,15.8000,16.2000,15.8800,635096,10156461.0000,3,0.668030,1,2.015117,16.019674,-34.623322,22.232541,-51.733142,1,2.015113350125941
2001-02-28,sh.600658,16.0100,16.6600,16.0100,16.2400,16.2000,957219,15704300.0000,3,1.006857,1,0.246907,16.059228,-34.708812,22.287436,-51.860878,1,0.24691358024691024
2001-03-01,sh.600658,16.2000,16.4700,16.1500,16.3500,16.2400,369856,6039893.0000,3,0.389036,1,0.677344,16.168004,-34.943908,22.438398,-52.212152,1,0.677339901477847
2001-03-02,sh.600658,16.4000,16.5000,16.1500,16.2200,16.3500,342647,5603789.0000,3,0.360416,1,-0.795114,16.039451,-34.666067,22.259988,-51.797010,1,-0.7951070336391641
2001-03-05,sh.600658,16.2500,16.4800,16.0100,16.1000,16.2200,387180,6293165.0000,3,0.407258,1,-0.739821,15.920787,-34.409598,22.095303,-51.413801,1,-0.7398273736128114
2001-03-06,sh.600658,16.1000,16.2900,16.0600,16.1900,16.1000,203651,3292450.0000,3,0.214212,1,0.559007,16.009785,-34.601950,22.218817,-51.701208,1,0.5590062111801242
2001-03-07,sh.600658,16.1000,16.2700,16.0000,16.2000,16.1900,213413,3446987.0000,3,0.224480,1,0.061768,16.019674,-34.623322,22.232541,-51.733142,1,0.06176652254477055
