date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600728,22.4500,22.8800,22.1100,22.5000,22.3500,205060,4583996.0000,3,0.254164,1,0.671139,9.879735,145.509464,13.968914,115.393968,0,
2001-01-03,sh.600728,22.5000,22.7700,22.3500,22.7700,22.5000,188133,4246292.0000,3,0.233184,1,1.200002,9.998292,147.255578,14.136541,116.778696,0,1.200000000000001
2001-01-04,sh.600728,22.8000,23.2000,22.5800,23.0000,22.7700,326228,7478680.0000,3,0.404348,1,1.010099,10.099285,148.743008,14.279334,117.958279,0,1.0101010101010166
2001-01-05,sh.600728,23.0100,23.1600,22.9500,22.9500,23.0000,191420,4411538.0000,3,0.237258,1,-0.217388,10.077330,148.419653,14.248292,117.701848,0,-0.21739130434782483
2001-01-08,sh.600728,22.9500,22.9500,21.8500,22.0000,22.9500,250074,5551420.0000,3,0.309957,1,-4.139437,9.660186,142.275921,13.658494,112.829658,0,-4.139433551198257
2001-01-09,sh.600728,21.9000,22.3000,21.5500,21.5900,22.0000,152500,3306530.0000,3,0.189018,1,-1.863636,9.480155,139.624415,13.403949,110.726924,0,-1.8636363636363673
2001-01-10,sh.600728,21.5800,21.7100,21.1000,21.5800,21.5900,198310,4266542.0000,3,0.245798,1,-0.046319,9.475764,139.559744,13.397741,110.675637,0,-0.04631773969431263
2001-01-11,sh.600728,21.9800,22.0000,20.8000,22.0000,21.5800,329154,6987699.0000,3,0.407974,1,1.946247,9.660186,142.275921,13.658494,112.829658,0,1.9462465245597915
2001-01-12,sh.600728,21.9000,21.9200,20.9800,21.0000,22.0000,359050,7556506.0000,3,0.445029,1,-4.545455,9.221086,135.808833,13.037653,107.701037,0,-4.545454545454541
2001-01-15,sh.600728,20.9000,21.1000,20.1000,20.3000,21.0000,344133,7011145.0000,3,0.426540,1,-3.333337,8.913717,131.281872,12.603065,104.111003,0,-3.3333333333333326
2001-01-16,sh.600728,20.1200,20.2000,19.4300,19.7800,20.3000,353450,6949805.0000,3,0.438088,1,-2.561569,8.685385,127.918987,12.280227,101.444120,0,-2.5615763546797954
2001-01-17,sh.600728,19.7000,19.7000,18.0000,18.3500,19.7800,659065,12426587.0000,3,0.816887,1,-7.229527,8.057473,118.671052,11.392425,94.110192,0,-7.229524772497475
2001-01-18,sh.600728,18.4000,18.5100,18.2900,18.4600,18.3500,429188,7904683.0000,3,0.531963,1,0.599448,8.105774,119.382431,11.460718,94.674340,0,0.5994550408719324
2001-01-19,sh.600728,18.7000,18.9700,18.4500,18.7200,18.4600,289104,5396283.0000,3,0.358334,1,1.408452,8.219940,121.063874,11.622136,96.007782,0,1.4084507042253502
