date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600731,12.5000,13.5300,12.3500,13.5300,12.3000,2053880,27131477.0000,3,2.751602,1,9.999996,10.095345,116.537563,11.962241,-173.841262,0,
2001-01-03,sh.600731,13.6000,14.8700,13.6000,14.4400,13.5300,3216901,46250115.0000,3,4.309711,1,6.725793,10.774337,124.375640,12.766797,-185.533468,0,6.725794530672591
2001-01-04,sh.600731,14.4000,14.8000,14.1000,14.4500,14.4400,953322,13737674.0000,3,1.277174,1,0.069254,10.781799,124.461773,12.775638,-185.661953,0,0.06925207756232066
2001-01-05,sh.600731,14.5800,15.0000,14.5000,14.9600,14.4500,1027339,15183854.0000,3,1.376335,1,3.529413,11.162333,128.854541,13.226543,-192.214728,0,3.529411764705892
2001-01-08,sh.600731,14.9600,15.0000,14.4600,14.8300,14.9600,735191,10755822.0000,3,0.984942,1,-0.868985,11.065334,127.734816,13.111607,-190.544413,0,-0.8689839572192604
2001-01-09,sh.600731,14.8000,14.8300,14.3000,14.5000,14.8300,467797,6796067.0000,3,0.626712,1,-2.225219,10.819106,124.892436,12.819845,-186.304382,0,-2.225219150370872
2001-01-10,sh.600731,14.4100,14.4100,14.0800,14.1400,14.5000,581740,8241775.0000,3,0.779362,1,-2.482756,10.550494,121.791659,12.501559,-181.678894,0,-2.4827586206896513
2001-01-11,sh.600731,14.1800,14.3100,14.0500,14.1800,14.1400,327431,4629894.0000,3,0.438662,1,0.282885,10.580339,122.136189,12.536924,-182.192837,0,0.28288543140027045
2001-01-12,sh.600731,14.1800,14.4500,13.9500,14.1800,14.1800,412192,5828572.0000,3,0.552217,1,0.000000,10.580339,122.136189,12.536924,-182.192837,0,0.0
2001-01-15,sh.600731,14.1800,14.1800,13.5200,13.5200,14.1800,332468,4581623.0000,3,0.445410,1,-4.654442,10.087884,116.451430,11.953400,-173.712776,0,-4.654442877291965
2001-01-16,sh.600731,13.6000,13.9700,13.2500,13.9700,13.5200,369720,4940557.0000,3,0.495317,1,3.328401,10.423649,120.327402,12.351257,-179.494636,0,3.328402366863914
2001-01-17,sh.600731,13.8200,13.8200,13.4800,13.7800,13.9700,300599,4101854.0000,3,0.402715,1,-1.360061,10.281881,118.690881,12.183273,-177.053406,0,-1.3600572655690812
2001-01-18,sh.600731,13.9000,14.1900,13.7000,14.1600,13.7800,813882,11360502.0000,3,1.090365,1,2.757621,10.565416,121.963924,12.519241,-181.935866,0,2.7576197387518153
2001-01-19,sh.600731,14.1300,14.6700,14.0000,14.4300,14.1600,1016881,14589410.0000,3,1.362325,1,1.906783,10.766876,124.289507,12.757956,-185.404982,0,1.9067796610169552
2001-02-05,sh.600731,14.2600,14.2600,13.6800,14.1000,14.4300,292800,4114132.0000,3,0.392267,1,-2.286902,10.520648,121.447128,12.466194,-181.164951,0,-2.2869022869022926
2001-02-06,sh.600731,14.0000,14.0000,13.6500,13.9500,14.1000,184840,2543198.0000,3,0.247632,1,-1.063834,10.408726,120.155137,12.333575,-179.237664,0,-1.0638297872340496
2001-02-07,sh.600731,13.9600,14.0000,13.6000,13.8900,13.9500,114700,1585509.0000,3,0.153665,1,-0.430104,10.363957,119.638341,12.280527,-178.466750,0,-0.4301075268817067
2001-02-08,sh.600731,13.8200,13.8500,13.2000,13.4600,13.8900,181559,2457510.0000,3,0.243236,1,-3.095754,10.043115,115.934634,11.900352,-172.941861,0,-3.0957523398128073
2001-02-09,sh.600731,13.4000,13.8500,13.3500,13.8500,13.4600,190900,2610350.0000,3,0.255750,1,2.897477,10.334111,119.293810,12.245162,-177.952807,0,2.8974739970282215
2001-02-12,sh.600731,13.8100,13.8100,13.3900,13.8000,13.8500,260631,3549258.0000,3,0.349170,1,-0.361012,10.296804,118.863146,12.200955,-177.310378,0,-0.3610108303249038
2001-02-13,sh.600731,13.7500,13.8700,13.6700,13.8300,13.8000,912796,12581026.0000,3,1.222881,1,0.217389,10.319189,119.121544,12.227479,-177.695835,0,0.21739130434781373
2001-02-14,sh.600731,13.8200,13.8900,13.6000,13.7600,13.8300,328900,4529642.0000,3,0.440630,1,-0.506144,10.266958,118.518615,12.165590,-176.796435,0,-0.5061460592914013
2001-02-15,sh.600731,13.7600,13.7600,13.3000,13.5900,13.7600,150477,2027678.0000,3,0.201595,1,-1.235466,10.140114,117.054359,12.015289,-174.612176,0,-1.2354651162790664
2001-02-16,sh.600731,13.5900,13.7000,13.3000,13.6600,13.5900,369138,4976630.0000,3,0.494538,1,0.515082,10.192344,117.657288,12.077178,-175.511577,0,0.5150846210448812
2001-02-19,sh.600731,13.5400,13.5400,12.2900,12.8000,13.6600,1992394,25164164.0000,3,2.669228,1,-6.295752,9.550659,110.249875,11.316828,-164.461800,0,-6.295754026354317
2001-02-20,sh.600731,12.7800,12.7800,11.9500,12.0000,12.8000,1816725,22264009.0000,3,2.433883,1,-6.250001,8.953743,103.359258,10.609527,-154.182937,0,-6.25
2001-02-21,sh.600731,11.9000,11.9000,10.8000,10.8000,12.0000,2977700,32510793.0000,3,3.989252,1,-9.999999,8.058369,93.023332,9.548574,-138.764643,0,-9.999999999999998
