date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600733,28.6000,28.6000,28.2800,28.5000,28.6500,159230,4520510.0000,3,0.210744,1,-0.523559,24.566068,130.375898,35.923005,84.982769,0,
2001-01-03,sh.600733,28.4000,28.6000,28.2000,28.5500,28.5000,231275,6577033.0000,3,0.306097,1,0.175436,24.609166,130.604628,35.986028,85.131862,0,0.17543859649122862
2001-01-04,sh.600733,28.5000,28.6000,28.2600,28.4900,28.5500,231821,6590197.0000,3,0.306820,1,-0.210156,24.557448,130.330152,35.910401,84.952951,0,-0.21015761821366885
2001-01-05,sh.600733,28.3000,28.8000,28.0000,28.8000,28.4900,244066,6906260.0000,3,0.323026,1,1.088099,24.824658,131.748276,36.301142,85.877325,0,1.08810108810109
2001-01-08,sh.600733,28.3600,28.4000,27.9600,28.1000,28.8000,154800,4355682.0000,3,0.204881,1,-2.430552,24.221281,128.546061,35.418823,83.790029,0,-2.430555555555558
2001-01-09,sh.600733,28.1000,28.2000,27.3800,27.5000,28.1000,144725,4011545.0000,3,0.191546,1,-2.135233,23.704101,125.801305,34.662549,82.000918,0,-2.135231316725983
2001-01-10,sh.600733,27.5000,27.5900,27.2000,27.4500,27.5000,138500,3801474.0000,3,0.183307,1,-0.181815,23.661002,125.572576,34.599526,81.851825,0,-0.181818181818183
2001-01-11,sh.600733,27.4900,27.5000,27.0000,27.1900,27.4500,266470,7240923.0000,3,0.352678,1,-0.947178,23.436891,124.383182,34.271807,81.076544,0,-0.947176684881601
2001-01-12,sh.600733,27.2000,27.5000,26.6200,27.5000,27.1900,269026,7276980.0000,3,0.356061,1,1.140123,23.704101,125.801305,34.662549,82.000918,0,1.140125045972784
2001-01-15,sh.600733,27.3500,27.4000,24.7800,26.3500,27.5000,194800,5215450.0000,3,0.257822,1,-4.181817,22.712838,120.540524,33.213024,78.571788,0,-4.181818181818175
2001-01-16,sh.600733,26.1800,26.8500,26.0000,26.8500,26.3500,133627,3519306.0000,3,0.176858,1,1.897533,23.143822,122.827820,33.843252,80.062714,0,1.8975332068311257
2001-01-17,sh.600733,26.5000,27.4800,26.5000,26.8100,26.8500,129600,3476177.0000,3,0.171528,1,-0.148979,23.109343,122.644836,33.792834,79.943440,0,-0.14897579143390294
2001-01-18,sh.600733,26.8400,27.0800,26.6000,27.0700,26.8100,443100,11919377.0000,3,0.586451,1,0.969788,23.333455,123.834230,34.120553,80.718722,0,0.9697873927638989
2001-01-19,sh.600733,27.0000,27.5800,26.6000,27.5800,27.0700,545605,14735760.0000,3,0.722119,1,1.884005,23.773058,126.167273,34.763385,82.239466,0,1.8840044329516026
2001-02-05,sh.600733,27.0300,27.0300,26.2000,26.8400,27.5800,175725,4661195.0000,3,0.232575,1,-2.683103,23.135202,122.782074,33.830648,80.032896,0,-2.6831036983321233
2001-02-06,sh.600733,26.8200,26.8200,25.9200,26.1900,26.8400,138000,3602275.0000,3,0.182646,1,-2.421757,22.574924,119.808589,33.011351,78.094692,0,-2.421758569299548
2001-02-07,sh.600733,26.1900,26.1900,25.0000,25.4800,26.1900,95275,2429658.0000,3,0.126098,1,-2.710962,21.962927,116.560628,32.116427,75.977578,0,-2.710958381061479
2001-02-08,sh.600733,25.4000,26.0400,25.1000,25.4900,25.4800,322069,8229556.0000,3,0.426265,1,0.039247,21.971546,116.606374,32.129032,76.007396,0,0.03924646781789942
2001-02-09,sh.600733,25.4000,26.0000,25.4000,25.7500,25.4900,142343,3663771.0000,3,0.188394,1,1.020009,22.195658,117.795768,32.456750,76.782677,0,1.0200078462142104
2001-02-12,sh.600733,25.7000,25.8000,25.4500,25.6700,25.7500,106531,2737018.0000,3,0.140996,1,-0.310679,22.126701,117.429800,32.355914,76.544129,0,-0.3106796116504773
2001-02-13,sh.600733,25.6100,25.7100,25.2000,25.6000,25.6700,282965,7194280.0000,3,0.374510,1,-0.272691,22.066363,117.109579,32.267682,76.335400,0,-0.2726918582002358
2001-02-14,sh.600733,25.6000,26.0000,24.9000,26.0000,25.6000,367125,9418713.0000,3,0.485897,1,1.562499,22.411150,118.939416,32.771864,77.528140,0,1.5625
2001-02-15,sh.600733,26.0500,26.0700,25.7300,26.0600,26.0000,248023,6450476.0000,3,0.328263,1,0.230767,22.462868,119.213892,32.847492,77.707051,0,0.2307692307692344
2001-02-16,sh.600733,26.0300,26.0500,25.8000,26.0500,26.0600,259766,6727185.0000,3,0.343805,1,-0.038374,22.454248,119.168146,32.834887,77.677233,0,-0.038372985418255734
2001-02-19,sh.600733,26.0200,26.0500,25.8300,25.9300,26.0500,104100,2701168.0000,3,0.137778,1,-0.460649,22.350812,118.619195,32.683632,77.319411,0,-0.46065259117082924
