date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600741,9.0800,9.1900,9.0700,9.1700,9.0300,1302586,11911713.0000,3,0.543126,1,1.550391,5.070394,33.551677,2.580231,-237.265912,0,
2001-01-03,sh.600741,9.2000,9.2300,9.1000,9.1700,9.1700,1655658,15150542.0000,3,0.690343,1,0.000000,5.070394,33.551677,2.580231,-237.265912,0,0.0
2001-01-04,sh.600741,9.1700,9.2000,9.1000,9.1300,9.1700,1557985,14224561.0000,3,0.649617,1,-0.436205,5.048276,33.405323,2.568976,-236.230946,0,-0.4362050163576825
2001-01-05,sh.600741,9.1400,9.1400,9.0100,9.0800,9.1300,1397832,12645219.0000,3,0.582840,1,-0.547647,5.020630,33.222380,2.554907,-234.937239,0,-0.5476451259583848
2001-01-08,sh.600741,9.1000,9.2500,9.0800,9.1900,9.0800,2883387,26477653.0000,3,1.202256,1,1.211450,5.081452,33.624854,2.585859,-237.783395,0,1.2114537444933848
2001-01-09,sh.600741,9.2000,9.2500,9.1000,9.1400,9.1900,1658252,15244288.0000,3,0.691424,1,-0.544061,5.053806,33.441911,2.571790,-236.489688,0,-0.5440696409140244
2001-01-10,sh.600741,9.2000,9.3800,9.2000,9.3600,9.1400,3257708,30362515.0000,3,1.358333,1,2.406995,5.175451,34.246859,2.633693,-242.181999,0,2.4070021881837933
2001-01-11,sh.600741,9.3800,9.4400,9.3100,9.3400,9.3600,2577570,24176649.0000,3,1.074743,1,-0.213670,5.164392,34.173682,2.628065,-241.664517,0,-0.21367521367521292
2001-01-12,sh.600741,9.3400,9.4000,9.2500,9.2600,9.3400,1762068,16433905.0000,3,0.734711,1,-0.856530,5.120158,33.880974,2.605555,-239.594585,0,-0.8565310492505307
2001-01-15,sh.600741,9.2500,9.2500,9.0200,9.0200,9.2600,1629538,14835902.0000,3,0.679452,1,-2.591790,4.987454,33.002849,2.538024,-233.384790,0,-2.591792656587477
2001-01-16,sh.600741,8.9900,9.0900,8.9000,9.0700,9.0200,1090636,9817483.0000,3,0.454751,1,0.554315,5.015100,33.185792,2.552093,-234.678497,0,0.5543237250554389
2001-01-17,sh.600741,9.0700,9.0900,9.0000,9.0500,9.0700,556614,5038191.0000,3,0.232086,1,-0.220502,5.004042,33.112615,2.546466,-234.161014,0,-0.22050716648290836
