date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600755,12.3600,12.7400,12.3000,12.7200,12.3100,1376367,17353418.0000,3,1.084009,1,3.330624,3.311609,52.700137,1.241430,163.988847,0,
2001-01-03,sh.600755,12.8000,12.9800,12.7500,12.9300,12.7200,1815741,23415772.0000,3,1.430055,1,1.650944,3.366282,53.570186,1.261925,166.696210,0,1.6509433962264008
2001-01-04,sh.600755,13.0000,13.0000,12.7000,12.7100,12.9300,1017863,13026376.0000,3,0.801656,1,-1.701471,3.309006,52.658706,1.240454,163.859925,0,-1.7014694508893924
2001-01-05,sh.600755,12.7200,13.8500,12.7100,13.4400,12.7100,5814383,78268653.0000,3,4.579335,1,5.743505,3.499059,55.683164,1.311700,173.271235,0,5.7435090479937
2001-01-08,sh.600755,13.5000,13.6800,13.2800,13.4800,13.4400,4098223,55513847.0000,3,3.227709,1,0.297619,3.509473,55.848887,1.315604,173.786923,0,0.29761904761904656
2001-01-09,sh.600755,13.4700,13.5000,13.1800,13.3000,13.4800,1276511,17018812.0000,3,1.005364,1,-1.335307,3.462610,55.103131,1.298036,171.466326,0,-1.3353115727002929
2001-01-10,sh.600755,13.3100,13.5200,13.3100,13.4900,13.3000,1285648,17304333.0000,3,1.012560,1,1.428568,3.512076,55.890318,1.316580,173.915845,0,1.4285714285714235
2001-01-11,sh.600755,13.5100,13.7800,13.3600,13.4200,13.4900,1397744,18961069.0000,3,1.100846,1,-0.518901,3.493852,55.600302,1.309748,173.013391,0,-0.5189028910303928
2001-01-12,sh.600755,13.4300,13.4500,13.1200,13.1900,13.4200,1119652,14824026.0000,3,0.881824,1,-1.713864,3.433972,54.647391,1.287301,170.048184,0,-1.713859910581228
2001-01-15,sh.600755,13.1500,13.1500,12.6700,12.6800,13.1900,1147135,14805302.0000,3,0.903469,1,-3.866560,3.301195,52.534413,1.237526,163.473159,0,-3.8665655799848375
2001-01-16,sh.600755,12.6000,12.9800,12.3800,12.9000,12.6800,673055,8565635.0000,3,0.530090,1,1.735010,3.358472,53.445894,1.258998,166.309444,0,1.7350157728706739
2001-01-17,sh.600755,12.9000,12.9300,12.6000,12.8000,12.9000,650717,8335122.0000,3,0.512497,1,-0.775189,3.332437,53.031584,1.249238,165.020224,0,-0.7751937984496138
2001-01-18,sh.600755,12.8000,12.9000,12.7000,12.8100,12.8000,703705,9019893.0000,3,0.554229,1,0.078127,3.335041,53.073015,1.250214,165.149146,0,0.07812499999999556
2001-01-19,sh.600755,12.8400,13.0100,12.8400,12.9100,12.8100,815533,10575712.0000,3,0.642304,1,0.780636,3.361075,53.487325,1.259973,166.438366,0,0.7806401249024209
2001-02-05,sh.600755,13.1300,13.4800,12.9200,13.0600,12.9100,1397268,18437019.0000,3,1.100471,1,1.161894,3.400127,54.108789,1.274613,168.372197,0,1.161890007745936
2001-02-06,sh.600755,13.0000,13.3600,12.8000,13.3400,13.0600,1259876,16516362.0000,3,0.992263,1,2.143949,3.473024,55.268854,1.301940,171.982014,0,2.143950995405808
2001-02-07,sh.600755,13.3000,13.6800,13.3000,13.4500,13.3400,2893664,39100011.0000,3,2.279014,1,0.824585,3.501662,55.724595,1.312676,173.400157,0,0.8245877061469287
2001-02-08,sh.600755,13.4500,13.5900,13.2200,13.3300,13.4500,1736159,23207532.0000,3,1.367377,1,-0.892193,3.470421,55.227424,1.300964,171.853092,0,-0.8921933085501821
2001-02-09,sh.600755,13.3500,13.7500,13.3400,13.6700,13.3300,2914499,39646980.0000,3,2.295423,1,2.550639,3.558939,56.636075,1.334147,176.236442,0,2.550637659414856
2001-02-12,sh.600755,13.8000,13.8500,13.6100,13.7800,13.6700,2699372,37124001.0000,3,2.125992,1,0.804679,3.587577,57.091815,1.344883,177.654585,0,0.8046817849304944
2001-02-13,sh.600755,13.8000,13.8200,13.4100,13.5100,13.7800,1779311,24190158.0000,3,1.401363,1,-1.959358,3.517283,55.973180,1.318531,174.173689,0,-1.9593613933236553
2001-02-14,sh.600755,13.5000,13.6000,13.3500,13.5500,13.5100,790433,10658584.0000,3,0.622535,1,0.296077,3.527697,56.138904,1.322435,174.689377,0,0.2960769800148144
2001-02-15,sh.600755,13.5900,13.7600,13.2800,13.3800,13.5500,1055386,14251544.0000,3,0.831209,1,-1.254613,3.483438,55.434578,1.305844,172.497703,0,-1.2546125461254554
2001-02-16,sh.600755,13.3500,13.4600,13.0500,13.4400,13.3800,1100915,14540904.0000,3,0.867067,1,0.448427,3.499059,55.683164,1.311700,173.271235,0,0.4484304932735439
2001-02-19,sh.600755,13.4900,13.5800,13.2600,13.5400,13.4400,654037,8816938.0000,3,0.515111,1,0.744050,3.525094,56.097473,1.321459,174.560455,0,0.7440476190476275
2001-02-20,sh.600755,13.5400,13.7000,13.4500,13.6100,13.5400,1375579,18687706.0000,3,1.083389,1,0.516984,3.543318,56.387489,1.328291,175.462910,0,0.5169867060561328
2001-02-21,sh.600755,13.6000,13.8500,13.5000,13.6900,13.6100,2957179,40518691.0000,3,2.329037,1,0.587803,3.564146,56.718937,1.336099,176.494286,0,0.5878030859661987
2001-02-22,sh.600755,13.7500,14.1400,13.7000,13.8500,13.6900,6244295,87141465.0000,3,4.917929,1,1.168742,3.605801,57.381832,1.351714,178.557039,0,1.1687363038714427
2001-02-23,sh.600755,13.8100,13.9700,13.7000,13.9400,13.8500,1836762,25399139.0000,3,1.446611,1,0.649814,3.629232,57.754710,1.360498,179.717337,0,0.6498194945848468
2001-02-26,sh.600755,13.9800,14.0500,13.7800,13.9200,13.9400,1824983,25406668.0000,3,1.437334,1,-0.143468,3.624025,57.671848,1.358546,179.459493,0,-0.1434720229555153
2001-02-27,sh.600755,13.9000,14.0000,13.7200,13.8000,13.9200,1489514,20614238.0000,3,1.173123,1,-0.862068,3.592784,57.174677,1.346835,177.912429,0,-0.8620689655172376
2001-02-28,sh.600755,13.8000,14.0000,13.5600,13.9900,13.8000,1679252,23067240.0000,3,1.322558,1,1.376809,3.642250,57.961865,1.365378,180.361948,0,1.376811594202887
2001-03-01,sh.600755,13.7000,13.8900,13.5600,13.7000,13.9900,2042529,28043095.0000,3,1.608670,1,-2.072909,3.566749,56.760368,1.337075,176.623208,0,-2.0729092208720545
2001-03-02,sh.600755,13.7000,13.8800,13.6000,13.8000,13.7000,1797014,24667329.0000,3,1.415306,1,0.729930,3.592784,57.174677,1.346835,177.912429,0,0.7299270072992803
2001-03-05,sh.600755,13.8000,14.3000,13.8000,14.1400,13.8000,3157023,44629044.0000,3,2.486432,1,2.463769,3.681302,58.583328,1.380017,182.295778,0,2.463768115942022
2001-03-06,sh.600755,14.1700,14.4600,14.1400,14.3700,14.1400,3998036,57316713.0000,3,3.148803,1,1.626588,3.741181,59.536240,1.402465,185.260985,0,1.6265912305516217
