date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600769,11.3500,11.4800,11.3000,11.4500,11.2700,721665,8218524.0000,3,0.826082,1,1.597155,4.312283,79.738143,8.875897,-39.514751,0,
2001-01-03,sh.600769,11.4500,11.5400,11.3800,11.4500,11.4500,849865,9731526.0000,3,0.972831,1,0.000000,4.312283,79.738143,8.875897,-39.514751,0,0.0
2001-01-04,sh.600769,11.4500,11.5900,11.3800,11.4000,11.4500,762350,8755002.0000,3,0.872653,1,-0.436683,4.293452,79.389941,8.837138,-39.342197,0,-0.4366812227074135
2001-01-05,sh.600769,11.4000,11.4000,11.2500,11.3700,11.4000,771012,8717248.0000,3,0.882569,1,-0.263155,4.282153,79.181020,8.813882,-39.238665,0,-0.263157894736854
2001-01-08,sh.600769,11.4000,11.4000,11.1200,11.1700,11.3700,827911,9295222.0000,3,0.947700,1,-1.759013,4.206830,77.788214,8.658845,-38.548451,0,-1.7590149516270803
2001-01-09,sh.600769,11.1800,11.4000,11.1800,11.3800,11.1700,498382,5629130.0000,3,0.570492,1,1.880036,4.285919,79.250661,8.821634,-39.273176,0,1.8800358102059267
2001-01-10,sh.600769,11.4000,11.6500,11.3500,11.5800,11.3800,1144063,13148577.0000,3,1.309596,1,1.757468,4.361243,80.643467,8.976672,-39.963390,0,1.7574692442882123
2001-01-11,sh.600769,11.6000,11.6500,11.4000,11.4800,11.5800,842690,9735951.0000,3,0.964618,1,-0.863561,4.323581,79.947064,8.899153,-39.618283,0,-0.8635578583765069
2001-01-12,sh.600769,11.5000,11.6000,11.3000,11.3800,11.4800,494971,5655362.0000,3,0.566588,1,-0.871075,4.285919,79.250661,8.821634,-39.273176,0,-0.8710801393728151
2001-01-15,sh.600769,11.3200,11.3800,10.9100,10.9700,11.3800,697250,7726620.0000,3,0.798134,1,-3.602811,4.131506,76.395408,8.503807,-37.858237,0,-3.602811950790863
2001-01-16,sh.600769,10.8900,11.0900,10.8200,11.0200,10.9700,531581,5815337.0000,3,0.608495,1,0.455790,4.150337,76.743610,8.542567,-38.030791,0,0.45578851412944044
2001-01-17,sh.600769,11.0000,11.0000,10.9000,10.9100,11.0200,368510,4030164.0000,3,0.421829,1,-0.998191,4.108909,75.977567,8.457296,-37.651173,0,-0.9981851179673318
2001-01-18,sh.600769,10.9100,11.0000,10.8800,10.9100,10.9100,372420,4072729.0000,3,0.426305,1,0.000000,4.108909,75.977567,8.457296,-37.651173,0,0.0
2001-01-19,sh.600769,10.9200,11.0000,10.9200,10.9800,10.9100,374562,4111113.0000,3,0.428757,1,0.641610,4.135272,76.465049,8.511559,-37.892748,0,0.6416131989001039
2001-02-05,sh.600769,11.0000,11.0600,10.8500,10.8600,10.9800,319346,3499263.0000,3,0.365552,1,-1.092895,4.090078,75.629365,8.418537,-37.478620,0,-1.0928961748634003
2001-02-06,sh.600769,10.8600,10.8600,10.4000,10.7100,10.8600,304386,3240038.0000,3,0.348427,1,-1.381212,4.033585,74.584761,8.302259,-36.960959,0,-1.3812154696132506
2001-02-07,sh.600769,10.7000,10.7400,10.5000,10.5000,10.7100,298366,3155317.0000,3,0.341536,1,-1.960785,3.954495,73.122314,8.139469,-36.236234,0,-1.9607843137254943
2001-02-08,sh.600769,10.4500,10.6000,10.2000,10.2500,10.5000,354900,3704806.0000,3,0.406250,1,-2.380952,3.860340,71.381307,7.945672,-35.373467,0,-2.3809523809523836
2001-02-09,sh.600769,10.3000,10.5200,10.3000,10.4100,10.2500,290390,3016687.0000,3,0.332406,1,1.560974,3.920599,72.495552,8.069702,-35.925638,0,1.560975609756099
2001-02-12,sh.600769,10.4400,10.4400,10.1500,10.3600,10.4100,180055,1851817.0000,3,0.206107,1,-0.480309,3.901769,72.147350,8.030943,-35.753085,0,-0.4803073967339144
2001-02-13,sh.600769,10.4400,10.4400,10.3700,10.4000,10.3600,146870,1528301.0000,3,0.168120,1,0.386100,3.916833,72.425911,8.061950,-35.891127,0,0.38610038610038533
2001-02-14,sh.600769,10.4200,10.4500,10.3600,10.3800,10.4000,139900,1454914.0000,3,0.160142,1,-0.192303,3.909301,72.286631,8.046447,-35.822106,0,-0.19230769230769162
2001-02-15,sh.600769,10.4500,10.5900,10.4000,10.4100,10.3800,111516,1165542.0000,3,0.127651,1,0.289015,3.920599,72.495552,8.069702,-35.925638,0,0.28901734104045396
2001-02-16,sh.600769,10.3800,10.4000,10.2300,10.4000,10.4100,210719,2167075.0000,3,0.241208,1,-0.096064,3.916833,72.425911,8.061950,-35.891127,0,-0.09606147934677622
2001-02-19,sh.600769,10.4000,10.5000,10.1500,10.4700,10.4000,165060,1717105.0000,3,0.188942,1,0.673083,3.943197,72.913393,8.116214,-36.132702,0,0.6730769230769207
2001-02-20,sh.600769,10.4600,10.5400,10.3000,10.3200,10.4700,226040,2354922.0000,3,0.258745,1,-1.432670,3.886704,71.868789,7.999935,-35.615042,0,-1.4326647564469996
2001-02-21,sh.600769,10.2800,10.2800,10.1100,10.1600,10.3200,362837,3692177.0000,3,0.415335,1,-1.550386,3.826445,70.754544,7.875905,-35.062871,0,-1.5503875968992276
2001-02-22,sh.600769,10.0000,10.1500,10.0000,10.0100,10.1600,393916,3961970.0000,3,0.450911,1,-1.476374,3.769952,69.709940,7.759627,-34.545210,0,-1.476377952755914
2001-02-23,sh.600769,10.0000,10.3500,10.0000,10.2000,10.0100,216834,2190994.0000,3,0.248207,1,1.898098,3.841510,71.033105,7.906913,-35.200914,0,1.8981018981018893
2001-02-26,sh.600769,10.2000,10.3600,10.1000,10.3600,10.2000,183664,1885790.0000,3,0.210238,1,1.568626,3.901769,72.147350,8.030943,-35.753085,0,1.5686274509803866
2001-02-27,sh.600769,10.3600,10.3800,10.2800,10.3300,10.3600,194730,2011060.0000,3,0.222905,1,-0.289573,3.890470,71.938429,8.007687,-35.649553,0,-0.28957528957528345
2001-02-28,sh.600769,10.3800,10.4300,10.3000,10.4200,10.3300,205601,2132675.0000,3,0.235349,1,0.871250,3.924366,72.565192,8.077454,-35.960149,0,0.871248789932233
2001-03-01,sh.600769,10.4200,10.5300,10.3700,10.5300,10.4200,271235,2825365.0000,3,0.310480,1,1.055659,3.965794,73.331235,8.162725,-36.339767,0,1.055662188099804
2001-03-02,sh.600769,10.5500,10.6800,10.5500,10.6000,10.5300,439794,4668374.0000,3,0.503427,1,0.664774,3.992157,73.818717,8.216988,-36.581341,0,0.6647673314339908
