date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600776,28.7000,29.2000,28.4000,29.0300,28.9500,793170,22922340.0000,3,0.837715,1,0.276338,8.505577,56.884390,2.709641,-40.036442,0,
2001-01-03,sh.600776,29.1000,31.6800,29.1000,31.6500,29.0300,3257896,99314128.0000,3,3.440860,1,9.025143,9.273218,62.018289,2.954190,-43.649789,0,9.025146400275563
2001-01-04,sh.600776,31.6800,31.7500,30.5500,30.7000,31.6500,1717778,53250258.0000,3,1.814249,1,-3.001576,8.994875,60.156761,2.865517,-42.339606,0,-3.001579778830965
2001-01-05,sh.600776,30.7200,30.9000,30.3500,30.4500,30.7000,907021,27778032.0000,3,0.957960,1,-0.814332,8.921627,59.666885,2.842183,-41.994821,0,-0.8143322475570036
2001-01-08,sh.600776,30.6000,30.7500,29.1000,29.2000,30.4500,1107666,32853032.0000,3,1.169873,1,-4.105090,8.555386,57.217505,2.725508,-40.270896,0,-4.105090311986858
2001-01-09,sh.600776,29.0000,29.6000,28.8000,29.1500,29.2000,638106,18543893.0000,3,0.673942,1,-0.171237,8.540736,57.119530,2.720841,-40.201939,0,-0.171232876712335
2001-01-10,sh.600776,29.0000,29.5600,28.9500,29.4900,29.1500,657414,19289902.0000,3,0.694335,1,1.166381,8.640354,57.785761,2.752577,-40.670847,0,1.1663807890222921
2001-01-11,sh.600776,29.3000,29.5000,28.9000,29.0000,29.4900,546551,15915259.0000,3,0.577245,1,-1.661579,8.496788,56.825605,2.706841,-39.995068,0,-1.6615801966768373
2001-01-12,sh.600776,28.8500,28.9000,28.0000,28.2800,29.0000,885797,25188562.0000,3,0.935544,1,-2.482756,8.285833,55.414762,2.639636,-39.002087,0,-2.4827586206896513
2001-01-15,sh.600776,28.0000,28.0000,26.8000,26.8900,28.2800,1862825,50679498.0000,3,1.967442,1,-4.915139,7.878573,52.691052,2.509895,-37.085082,0,-4.915134370579921
2001-01-16,sh.600776,26.6500,27.4000,26.2000,27.1000,26.8900,934847,24978633.0000,3,0.987348,1,0.780963,7.940101,53.102548,2.529496,-37.374701,0,0.7809594644849316
2001-01-17,sh.600776,27.0000,27.1600,26.6000,26.6000,27.1000,489810,13127597.0000,3,0.517318,1,-1.845018,7.793605,52.122796,2.482826,-36.685131,0,-1.845018450184499
2001-01-18,sh.600776,26.5200,26.9000,26.4400,26.8500,26.6000,787652,20938205.0000,3,0.831887,1,0.939850,7.866853,52.612672,2.506161,-37.029916,0,0.9398496240601517
