date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600805,9.1200,9.3000,9.0000,9.2400,9.0900,2485912,22813751.0000,3,0.803227,1,1.650161,2.928651,28.202382,6.015304,10.335522,0,
2001-01-03,sh.600805,9.2500,9.6500,9.2000,9.6000,9.2400,8374487,79707990.0000,3,2.705895,1,3.896111,3.042754,29.301177,6.249667,10.738205,0,3.8961038961038863
2001-01-04,sh.600805,9.8900,10.2800,9.8800,9.9600,9.6000,28835418,290958909.0000,3,9.317060,1,3.749996,3.156857,30.399971,6.484029,11.140887,0,3.750000000000009
2001-01-05,sh.600805,10.2500,10.2500,10.0000,10.0800,9.9600,7824479,79054951.0000,3,2.528181,1,1.204818,3.194892,30.766235,6.562150,11.275115,0,1.2048192771084265
2001-01-08,sh.600805,10.1000,10.1800,9.7500,9.9300,10.0800,6837766,67984131.0000,3,2.209362,1,-1.488091,3.147349,30.308404,6.464499,11.107330,0,-1.488095238095244
2001-01-09,sh.600805,9.9000,10.0500,9.7600,9.9700,9.9300,3497674,34791455.0000,3,1.130139,1,0.402819,3.160027,30.430493,6.490539,11.152073,0,0.40281973816718164
2001-01-10,sh.600805,9.9800,10.2000,9.9800,10.0700,9.9700,4747352,47871010.0000,3,1.533925,1,1.003003,3.191722,30.735713,6.555640,11.263929,0,1.0030090270812364
2001-01-11,sh.600805,10.1000,10.1600,9.9200,9.9500,10.0700,3133544,31350369.0000,3,1.012485,1,-1.191657,3.153688,30.369449,6.477519,11.129702,0,-1.1916583912611856
2001-01-12,sh.600805,9.9600,10.0500,9.9000,9.9100,9.9500,2724598,27117433.0000,3,0.880349,1,-0.402010,3.141009,30.247360,6.451479,11.084959,0,-0.4020100502512447
2001-01-15,sh.600805,9.9000,9.9000,9.3800,9.4200,9.9100,3332163,31987117.0000,3,1.076661,1,-4.944498,2.985702,28.751779,6.132486,10.536863,0,-4.944500504540872
2001-01-16,sh.600805,9.3500,9.5700,9.2100,9.5600,9.4200,1996631,18740647.0000,3,0.645135,1,1.486203,3.030076,29.179088,6.223627,10.693462,0,1.4861995753715496
2001-01-17,sh.600805,9.5200,9.5400,9.4000,9.4200,9.5600,1225858,11624504.0000,3,0.396089,1,-1.464439,2.985702,28.751779,6.132486,10.536863,0,-1.4644351464435212
