date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600843,17.8000,17.9800,17.3000,17.6300,17.6600,683206,12028484.0000,3,4.379526,1,-0.169879,6.918792,298.918412,10.116042,15.112143,0,
2001-01-03,sh.600843,17.7000,18.4400,17.3000,18.4000,17.6300,677529,12015376.0000,3,4.343135,1,4.367558,7.220974,311.973839,10.557866,15.772175,0,4.367555303460002
2001-01-04,sh.600843,19.3200,19.3200,18.3500,18.8500,18.4000,703338,13162503.0000,3,4.508577,1,2.445657,7.397574,319.603634,10.816074,16.157907,0,2.44565217391306
2001-01-05,sh.600843,18.8500,18.8800,18.1000,18.2600,18.8500,640516,11706129.0000,3,4.105872,1,-3.129974,7.166032,309.600125,10.477534,15.652169,0,-3.129973474801062
2001-01-08,sh.600843,18.2000,18.2000,17.5000,17.6900,18.2600,495904,8716820.0000,3,3.178872,1,-3.121576,6.942339,299.935718,10.150470,15.163574,0,-3.1215772179627566
2001-01-09,sh.600843,17.6500,17.8700,17.4200,17.7000,17.6900,262115,4640174.0000,3,1.680224,1,0.056530,6.946263,300.105269,10.156208,15.172146,0,0.05652911249292014
2001-01-10,sh.600843,17.8800,17.9800,17.5000,17.9500,17.7000,215562,3822652.0000,3,1.381808,1,1.412429,7.044374,304.344044,10.299657,15.386442,0,1.412429378531077
2001-01-11,sh.600843,17.9500,17.9500,17.5200,17.6800,17.9500,210272,3722381.0000,3,1.347897,1,-1.504181,6.938414,299.766167,10.144732,15.155003,0,-1.5041782729804942
2001-01-12,sh.600843,17.5900,18.1800,17.4000,17.8700,17.6800,312473,5534676.0000,3,2.003032,1,1.074664,7.012979,302.987636,10.253753,15.317867,0,1.074660633484159
2001-01-15,sh.600843,17.6900,17.6900,16.9000,16.9600,17.8700,187050,3238362.0000,3,1.199038,1,-5.092343,6.655854,287.558495,9.731598,14.537831,0,-5.092333519865699
2001-01-16,sh.600843,16.5100,17.0500,16.5100,16.7000,16.9600,184929,3096408.0000,3,1.185442,1,-1.533009,6.553819,283.150169,9.582411,14.314963,0,-1.5330188679245405
2001-01-17,sh.600843,16.7000,16.9900,16.6000,16.7200,16.7000,87647,1467127.0000,3,0.561840,1,0.119752,6.561668,283.489271,9.593886,14.332107,0,0.11976047904191933
2001-01-18,sh.600843,16.7200,16.9400,16.6800,16.7000,16.7200,141832,2380303.0000,3,0.909179,1,-0.119609,6.553819,283.150169,9.582411,14.314963,0,-0.11961722488037507
2001-01-19,sh.600843,16.7800,16.9800,16.6100,16.8800,16.7000,149192,2508241.0000,3,0.956359,1,1.077835,6.624459,286.202087,9.685694,14.469256,0,1.0778443113772518
2001-02-05,sh.600843,17.0000,17.1700,16.3000,16.3100,16.8800,191800,3203165.0000,3,1.229487,1,-3.376776,6.400765,276.537680,9.358630,13.980661,0,-3.376777251184837
2001-02-06,sh.600843,15.9800,16.1000,15.8000,16.0500,16.3100,90950,1447651.0000,3,0.583013,1,-1.594115,6.298730,272.129354,9.209442,13.757794,0,-1.5941140404659548
2001-02-07,sh.600843,16.1000,16.2600,15.8500,15.8500,16.0500,106500,1700054.0000,3,0.682692,1,-1.246099,6.220241,268.738334,9.094683,13.586357,0,-1.2461059190031265
2001-02-08,sh.600843,15.7000,15.9300,14.7800,14.8800,15.8500,205131,3138758.0000,3,1.314942,1,-6.119875,5.839570,252.291887,8.538100,12.754889,0,-6.119873817034693
2001-02-09,sh.600843,15.4000,15.7400,15.1000,15.6000,14.8800,221892,3422842.0000,3,1.422385,1,4.838711,6.122130,264.499559,8.951234,13.372061,0,4.8387096774193505
2001-02-12,sh.600843,16.0100,16.8000,15.6800,16.6900,15.6000,488278,8016904.0000,3,3.129987,1,6.987181,6.549894,282.980618,9.576673,14.306391,0,6.987179487179507
2001-02-13,sh.600843,16.7500,16.7700,16.4000,16.4400,16.6900,198550,3278594.0000,3,1.272756,1,-1.497903,6.451783,278.741843,9.433223,14.092095,0,-1.49790293588975
2001-02-14,sh.600843,16.4800,16.5000,16.2400,16.3400,16.4400,64421,1052014.0000,3,0.412955,1,-0.608275,6.412539,277.046333,9.375844,14.006377,0,-0.6082725060827299
2001-02-15,sh.600843,16.3200,16.4000,15.8500,15.8500,16.3400,92700,1493332.0000,3,0.594231,1,-2.998775,6.220241,268.738334,9.094683,13.586357,0,-2.998776009791926
2001-02-16,sh.600843,15.7000,16.2200,15.4500,16.2000,15.8500,116468,1822339.0000,3,0.746590,1,2.208204,6.357597,274.672619,9.295512,13.886371,0,2.208201892744488
2001-02-19,sh.600843,16.2100,17.3800,15.8200,17.0600,16.2000,481045,8162108.0000,3,3.083622,1,5.308634,6.695099,289.254005,9.788977,14.623549,0,5.308641975308648
2001-02-20,sh.600843,17.0600,17.1000,16.2000,16.3500,17.0600,442603,7391341.0000,3,2.837199,1,-4.161777,6.416463,277.215884,9.381582,14.014949,0,-4.161781946072674
2001-02-21,sh.600843,16.0500,16.0500,15.4000,15.7000,16.3500,455940,7182339.0000,3,2.922692,1,-3.975538,6.161375,266.195069,9.008614,13.457779,0,-3.975535168195732
2001-02-22,sh.600843,15.4000,16.5900,15.3000,16.2000,15.7000,384716,6179384.0000,3,2.466128,1,3.184719,6.357597,274.672619,9.295512,13.886371,0,3.1847133757961776
2001-02-23,sh.600843,16.0000,16.5800,15.9000,16.3900,16.2000,248990,4051008.0000,3,1.596090,1,1.172831,6.432161,277.894088,9.404533,14.049236,0,1.1728395061728403
2001-02-26,sh.600843,16.2800,16.3800,16.0000,16.3600,16.3900,100812,1629226.0000,3,0.646231,1,-0.183031,6.420388,277.385435,9.387320,14.023520,0,-0.18303843807200293
2001-02-27,sh.600843,16.2900,16.8000,16.1300,16.7000,16.3600,364051,6032844.0000,3,2.333660,1,2.078241,6.553819,283.150169,9.582411,14.314963,0,2.0782396088019572
2001-02-28,sh.600843,16.7500,16.9000,16.2000,16.3700,16.7000,135719,2225247.0000,3,0.869994,1,-1.976047,6.424312,277.554986,9.393058,14.032092,0,-1.9760479041916024
2001-03-01,sh.600843,16.4000,16.4000,16.0800,16.3000,16.3700,95262,1545846.0000,3,0.610654,1,-0.427621,6.396841,276.368129,9.352892,13.972089,0,-0.42761148442272967
2001-03-02,sh.600843,16.1500,16.4800,16.1500,16.3800,16.3000,89240,1459419.0000,3,0.572051,1,0.490797,6.428237,277.724537,9.398795,14.040664,0,0.4907975460122671
2001-03-05,sh.600843,16.3800,16.3800,16.1000,16.1800,16.3800,107000,1731948.0000,3,0.685897,1,-1.220994,6.349748,274.333517,9.284036,13.869227,0,-1.2210012210012167
2001-03-06,sh.600843,16.1800,16.1800,16.1800,16.1800,16.1800,0,0.0000,3,,0,0.000000,6.349748,274.333517,9.284036,13.869227,0,0.0
2001-03-07,sh.600843,16.3000,16.4800,16.1800,16.2000,16.1800,45697,742981.0000,3,0.292929,1,0.123612,6.357597,274.672619,9.295512,13.886371,0,0.12360939431397266
2001-03-08,sh.600843,16.3500,16.6900,16.2000,16.5000,16.2000,93000,1531964.0000,3,0.596154,1,1.851847,6.475330,279.759149,9.467651,14.143526,0,1.85185185185186
2001-03-09,sh.600843,16.7000,16.7000,16.3000,16.4000,16.5000,134500,2206730.0000,3,0.862179,1,-0.606063,6.436085,278.063639,9.410271,14.057808,0,-0.60606060606061
2001-03-12,sh.600843,16.4000,16.6000,16.2600,16.3200,16.4000,61400,1004210.0000,3,0.393590,1,-0.487804,6.404690,276.707231,9.364368,13.989233,0,-0.4878048780487698
2001-03-13,sh.600843,16.3000,16.5600,16.2800,16.4000,16.3200,121002,1982958.0000,3,0.775654,1,0.490196,6.436085,278.063639,9.410271,14.057808,0,0.4901960784313708
2001-03-14,sh.600843,16.2100,16.4500,16.2100,16.4500,16.4000,97246,1585169.0000,3,0.623372,1,0.304885,6.455708,278.911394,9.438961,14.100667,0,0.3048780487804992
2001-03-15,sh.600843,16.4500,16.5500,16.3000,16.5000,16.4500,109941,1806021.0000,3,0.704750,1,0.303947,6.475330,279.759149,9.467651,14.143526,0,0.3039513677811634
2001-03-16,sh.600843,16.4000,16.7800,16.3100,16.7800,16.5000,166117,2745712.0000,3,1.064853,1,1.696974,6.585214,284.506577,9.628314,14.383538,0,1.696969696969708
2001-03-19,sh.600843,16.7000,17.7500,16.6500,17.4500,16.7800,918787,15902795.0000,3,5.889660,1,3.992849,6.848152,295.866494,10.012758,14.957850,0,3.992848629320611
2001-03-20,sh.600843,17.4900,17.5600,17.2500,17.4900,17.4500,297126,5161900.0000,3,1.904654,1,0.229221,6.863850,296.544698,10.035710,14.992138,0,0.22922636103150928
2001-03-21,sh.600843,17.6000,17.7000,17.4000,17.6200,17.4900,274386,4821577.0000,3,1.758885,1,0.743288,6.914867,298.748861,10.110304,15.103572,0,0.7432818753573711
2001-03-22,sh.600843,17.6800,18.4700,17.0200,18.1500,17.6200,813927,14581745.0000,3,5.217481,1,3.007939,7.122863,307.735064,10.414416,15.557879,0,3.0079455164585545
2001-03-23,sh.600843,18.2000,18.3000,17.5000,17.7700,18.1500,657976,11748864.0000,3,4.217795,1,-2.093659,6.973734,301.292126,10.196373,15.232149,0,-2.0936639118457223
2001-03-26,sh.600843,17.8000,18.4000,17.7700,18.1500,17.7700,485349,8813484.0000,3,3.111212,1,2.138431,7.122863,307.735064,10.414416,15.557879,0,2.1384355655599263
2001-03-27,sh.600843,18.2000,18.3000,17.7000,17.9800,18.1500,390667,7035841.0000,3,2.504276,1,-0.936640,7.056147,304.852697,10.316871,15.412158,0,-0.9366391184572942
2001-03-28,sh.600843,18.0000,18.0000,17.6000,17.7200,17.9800,232251,4120821.0000,3,1.488788,1,-1.446052,6.954112,300.444371,10.167684,15.189290,0,-1.4460511679644128
2001-03-29,sh.600843,17.7000,17.9900,17.7000,17.7400,17.7200,149620,2666274.0000,3,0.959103,1,0.112869,6.961961,300.783473,10.179159,15.206434,0,0.11286681715574343
2001-03-30,sh.600843,17.7400,18.0800,17.7400,17.9800,17.7400,226063,4064687.0000,3,1.449122,1,1.352874,7.056147,304.852697,10.316871,15.412158,0,1.3528748590755368
2001-04-02,sh.600843,18.0300,18.1500,17.8000,17.9200,17.9800,177583,3176275.0000,3,1.138353,1,-0.333701,7.032601,303.835391,10.282443,15.360727,0,-0.33370411568408587
2001-04-03,sh.600843,17.9800,18.1000,17.8500,17.9500,17.9200,174030,3124190.0000,3,1.115577,1,0.167414,7.044374,304.344044,10.299657,15.386442,0,0.16741071428569843
