date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600851,16.4000,16.4500,16.0000,16.2300,16.3400,2581398,41865471.0000,3,2.777916,1,-0.673198,6.747317,118.078055,13.909342,-284.505949,0,
2001-01-03,sh.600851,16.2800,16.9000,16.2600,16.8800,16.2300,3746632,62425594.0000,3,4.031857,1,4.004927,7.017543,122.806997,14.466402,-295.900211,0,4.004929143561298
2001-01-04,sh.600851,16.9000,16.9600,16.5000,16.7600,16.8800,2058974,34494152.0000,3,2.215720,1,-0.710894,6.967655,121.933962,14.363560,-293.796655,0,-0.7109004739336289
2001-01-05,sh.600851,16.7600,17.0800,16.6500,16.8600,16.7600,1692535,28591006.0000,3,1.821385,1,0.596661,7.009228,122.661491,14.449261,-295.549618,0,0.5966587112171684
2001-01-08,sh.600851,16.8600,17.0000,16.3000,16.3800,16.8600,1887156,31149201.0000,3,2.030822,1,-2.846984,6.809677,119.169349,14.037895,-287.135394,0,-2.8469750889679735
2001-01-09,sh.600851,16.3500,16.5000,16.2100,16.2900,16.3800,1052741,17224566.0000,3,1.132884,1,-0.549440,6.772261,118.514572,13.960763,-285.557727,0,-0.5494505494505475
2001-01-10,sh.600851,16.3100,16.6800,16.2900,16.6000,16.2900,1541840,25504930.0000,3,1.659218,1,1.903005,6.901138,120.769914,14.226438,-290.991914,0,1.903007980356053
2001-01-11,sh.600851,16.6000,16.6000,16.2500,16.3000,16.6000,1146902,18806862.0000,3,1.234214,1,-1.807236,6.776419,118.587325,13.969333,-285.733024,0,-1.8072289156626509
2001-01-12,sh.600851,16.3000,16.4000,16.1300,16.2000,16.3000,890260,14472453.0000,3,0.958034,1,-0.613488,6.734846,117.859796,13.883632,-283.980060,0,-0.613496932515345
2001-01-15,sh.600851,16.1800,16.1800,15.2200,15.4300,16.2000,1489149,23440881.0000,3,1.602515,1,-4.753089,6.414732,112.257818,13.223731,-270.482243,0,-4.7530864197530835
2001-01-16,sh.600851,15.2300,15.6000,15.2100,15.4000,15.4300,1132355,17436266.0000,3,1.218559,1,-0.194431,6.402261,112.039559,13.198020,-269.956354,0,-0.19442644199610948
2001-01-17,sh.600851,15.4500,15.5000,15.3100,15.4000,15.4000,546787,8422948.0000,3,0.588413,1,0.000000,6.402261,112.039559,13.198020,-269.956354,0,0.0
2001-01-18,sh.600851,15.5100,15.5900,15.4400,15.5400,15.4000,418198,6482892.0000,3,0.450035,1,0.909093,6.460463,113.058100,13.318002,-272.410502,0,0.9090909090909038
2001-01-19,sh.600851,15.6000,15.8600,15.4000,15.7100,15.5400,807860,12716085.0000,3,0.869361,1,1.093952,6.531137,114.294901,13.463695,-275.390540,0,1.0939510939510955
2001-02-05,sh.600851,15.8000,15.8200,15.2000,15.2300,15.7100,806982,12477078.0000,3,0.868416,1,-3.055382,6.331586,110.802759,13.052328,-266.976316,0,-3.055378739656267
2001-02-06,sh.600851,15.0100,15.3300,14.8700,14.8700,15.2300,981302,14716602.0000,3,1.056007,1,-2.363754,6.181923,108.183652,12.743803,-260.665648,0,-2.3637557452396707
2001-02-07,sh.600851,14.8100,14.9400,14.7600,14.8000,14.8700,1314499,19506200.0000,3,1.288194,1,-0.470744,6.152822,107.674381,12.683812,-259.438574,0,-0.4707464694014729
2001-02-08,sh.600851,14.8000,15.0900,14.5500,14.7000,14.8000,826211,12281047.0000,3,0.809677,1,-0.675678,6.111249,106.946852,12.598110,-257.685610,0,-0.6756756756756799
2001-02-09,sh.600851,14.8500,15.0000,14.7000,14.9900,14.7000,564831,8404962.0000,3,0.553528,1,1.972789,6.231811,109.056688,12.846645,-262.769204,0,1.9727891156462674
2001-02-12,sh.600851,14.9900,15.1800,14.8900,15.1000,14.9900,595431,8943964.0000,3,0.583516,1,0.733827,6.277541,109.856970,12.940916,-264.697464,0,0.7338225483655814
2001-02-13,sh.600851,15.1600,15.2500,15.0000,15.1200,15.1000,416591,6318726.0000,3,0.408254,1,0.132447,6.285856,110.002476,12.958056,-265.048056,0,0.13245033112583293
2001-02-14,sh.600851,15.0000,15.1500,15.0000,15.1100,15.1200,240987,3641697.0000,3,0.236165,1,-0.066139,6.281698,109.929723,12.949486,-264.872760,0,-0.0661375661375696
2001-02-15,sh.600851,15.2000,15.2000,14.9800,14.9800,15.1100,381001,5749939.0000,3,0.373377,1,-0.860358,6.227653,108.983935,12.838074,-262.593908,0,-0.8603573792190566
