date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sh.600896,11.0000,11.2700,10.9400,11.1600,10.9400,1048510,11646700.0000,3,0.672327,1,2.010972,4.533386,55.360006,10.950692,43.036050,0,
2001-01-03,sh.600896,11.2000,11.5000,11.1800,11.3700,11.1600,2299182,26128468.0000,3,1.474284,1,1.881721,4.618691,56.401727,11.156753,43.845868,0,1.8817204301075252
2001-01-04,sh.600896,11.4000,11.4500,11.1500,11.1700,11.3700,1250796,14029630.0000,3,0.802037,1,-1.759013,4.537448,55.409612,10.960504,43.074613,0,-1.7590149516270803
2001-01-05,sh.600896,11.1700,11.1700,11.1700,11.1700,11.1700,0,0.0000,3,,0,0.000000,4.537448,55.409612,10.960504,43.074613,0,0.0
2001-01-08,sh.600896,11.2000,11.4000,11.2000,11.2600,11.1700,1505947,16981657.0000,3,0.965645,1,0.805731,4.574008,55.856064,11.048816,43.421677,0,0.8057296329453845
2001-01-09,sh.600896,11.2600,11.3000,11.0300,11.0900,11.2600,847677,9471326.0000,3,0.543548,1,-1.509770,4.504951,55.012766,10.882005,42.766110,0,-1.5097690941385467
2001-01-10,sh.600896,11.0800,11.2900,11.0800,11.1800,11.0900,1003916,11229699.0000,3,0.643732,1,0.811543,4.541510,55.459218,10.970317,43.113175,0,0.8115419296663706
2001-01-11,sh.600896,11.2000,11.6000,11.2000,11.4700,11.1800,2521319,28883053.0000,3,1.616723,1,2.593917,4.659313,56.897784,11.254878,44.231496,0,2.5939177101967914
2001-01-12,sh.600896,11.4700,11.5000,11.2700,11.3000,11.4700,920303,10438599.0000,3,0.590118,1,-1.482128,4.590256,56.054486,11.088066,43.575929,0,-1.482127288578905
2001-01-15,sh.600896,11.2000,11.2900,10.8500,10.8600,11.3000,1104198,12155561.0000,3,0.708035,1,-3.893810,4.411521,53.871834,10.656318,41.879167,0,-3.8938053097345215
2001-01-16,sh.600896,10.7100,10.9400,10.7000,10.8700,10.8600,693865,7497261.0000,3,0.444921,1,0.092083,4.415583,53.921440,10.666131,41.917729,0,0.09208103130755596
2001-01-17,sh.600896,10.8800,10.9700,10.7500,10.7700,10.8700,426951,4626117.0000,3,0.273770,1,-0.919958,4.374961,53.425382,10.568006,41.532102,0,-0.9199632014719406
2001-01-18,sh.600896,10.7700,10.8700,10.6800,10.7000,10.7700,629780,6792484.0000,3,0.403828,1,-0.649960,4.346526,53.078142,10.499319,41.262162,0,-0.6499535747446661
