date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-11-07,sh.600903,2.6500,3.1800,2.6500,3.1800,2.2100,44259,139684.0000,3,0.036293,1,43.891400,1.134715,17.364660,1.011456,-49.935776,0,
2017-11-08,sh.600903,3.5000,3.5000,3.5000,3.5000,3.1800,15984,55944.0000,3,0.013107,1,10.062890,1.248900,19.112047,1.113238,-54.960759,0,10.062893081761004
2017-11-09,sh.600903,3.8500,3.8500,3.8500,3.8500,3.5000,15400,59290.0000,3,0.012628,1,9.999997,1.373791,21.023252,1.224562,-60.456835,0,10.000000000000009
2017-11-10,sh.600903,4.2400,4.2400,4.2400,4.2400,3.8500,15700,66568.0000,3,0.012874,1,10.129870,1.512954,23.152880,1.348608,-66.581034,0,10.129870129870122
2017-11-13,sh.600903,4.6600,4.6600,4.6600,4.6600,4.2400,70304,327617.0000,3,0.057651,1,9.905663,1.662822,25.446326,1.482197,-73.176325,0,9.905660377358494
2017-11-14,sh.600903,5.1300,5.1300,5.1300,5.1300,4.6600,41300,211869.0000,3,0.033867,1,10.085840,1.830531,28.012801,1.631688,-80.556770,0,10.085836909871237
2017-11-15,sh.600903,5.6400,5.6400,5.6400,5.6400,5.1300,34138,192538.0000,3,0.027994,1,9.941515,2.012514,30.797699,1.793903,-88.565338,0,9.941520467836252
2017-11-16,sh.600903,6.2000,6.2000,6.2000,6.2000,5.6400,80581,499602.0000,3,0.066078,1,9.929077,2.212338,33.855627,1.972021,-97.359059,0,9.929078014184412
2017-11-17,sh.600903,6.8200,6.8200,6.8200,6.8200,6.2000,182873,1247194.0000,3,0.149959,1,10.000010,2.433572,37.241189,2.169223,-107.094965,0,10.000000000000009
2017-11-20,sh.600903,7.5000,7.5000,7.5000,7.5000,6.8200,240586,1804395.0000,3,0.197285,1,9.970672,2.676215,40.954387,2.385509,-117.773055,0,9.97067448680351
