date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2014-09-30,sh.600917,4.6800,4.6800,4.6800,4.6800,3.2500,450350,2107638.0000,3,0.288686,1,43.999990,2.767817,25.950732,1.672840,103.594223,0,
2014-10-08,sh.600917,5.1500,5.1500,5.1500,5.1500,4.6800,120050,618258.0000,3,0.076955,1,10.042700,3.045782,28.556895,1.840839,113.997916,0,10.042735042735051
2014-10-09,sh.600917,5.6700,5.6700,5.6700,5.6700,5.1500,145288,823783.0000,3,0.093133,1,10.097100,3.353317,31.440310,2.026710,125.508385,0,10.097087378640769
2014-10-10,sh.600917,6.2400,6.2400,6.2400,6.2400,5.6700,423500,2642640.0000,3,0.271474,1,10.052900,3.690423,34.600976,2.230454,138.125631,0,10.052910052910068
2014-10-13,sh.600917,6.8600,6.8600,6.8600,6.8600,6.2400,1363700,9354982.0000,3,0.874167,1,9.935900,4.057100,38.038893,2.452069,151.849652,0,9.935897435897445
2014-10-14,sh.600917,7.5500,7.5500,7.5500,7.5500,6.8600,1429898,10795730.0000,3,0.916601,1,10.058300,4.465176,41.864963,2.698706,167.123159,0,10.058309037900859
2014-10-15,sh.600917,8.3100,8.3100,8.3100,8.3100,7.5500,1299732,10800773.0000,3,0.833162,1,10.066200,4.914650,46.079184,2.970364,183.946152,0,10.066225165562926
2014-10-16,sh.600917,9.1400,9.1400,9.1400,9.1400,8.3100,1389093,12696310.0000,3,0.890444,1,9.988000,5.405524,50.681558,3.267043,202.318632,0,9.987966305655839
2014-10-17,sh.600917,10.0500,10.0500,9.0000,9.5100,9.1400,101019600,957065072.0000,3,64.756154,1,4.048100,5.624347,52.733218,3.399297,210.508774,0,4.048140043763659
2014-10-20,sh.600917,9.1300,9.2300,8.8500,9.0900,9.5100,46523070,420925248.0000,3,29.822481,1,-4.416400,5.375953,50.404306,3.249171,201.211856,0,-4.416403785488954
2014-10-21,sh.600917,9.0300,9.2600,8.9000,9.1300,9.0900,41225187,376111424.0000,3,26.426402,1,0.440000,5.399610,50.626107,3.263468,202.097277,0,0.44004400440045277
2014-10-22,sh.600917,9.0500,9.1900,8.8100,8.8400,9.1300,31264548,280442720.0000,3,20.041377,1,-3.176300,5.228100,49.018049,3.159809,195.677977,0,-3.1763417305586072
2014-10-23,sh.600917,8.7600,9.1600,8.7600,8.9400,8.8400,26833118,240921138.0000,3,17.200717,1,1.131200,5.287241,49.572552,3.195554,197.891528,0,1.1312217194570096
2014-10-24,sh.600917,8.8100,8.9200,8.5200,8.5500,8.9400,24038221,208823060.0000,3,15.409116,1,-4.362400,5.056590,47.409991,3.056150,189.258677,0,-4.362416107382538
2014-10-27,sh.600917,8.5000,8.5200,8.0400,8.1400,8.5500,18445693,150532431.0000,3,11.824162,1,-4.795300,4.814110,45.136529,2.909598,180.183114,0,-4.7953216374268965
2014-10-28,sh.600917,8.1900,8.3600,8.1900,8.3300,8.1400,14101932,116856748.0000,3,9.039700,1,2.334100,4.926478,46.190085,2.977513,184.388863,0,2.3341523341523285
2014-10-29,sh.600917,8.3800,9.1600,8.3200,9.0700,8.3300,41783417,367805488.0000,3,26.784242,1,8.883600,5.364125,50.293406,3.242022,200.769146,0,8.88355342136855
2014-10-30,sh.600917,8.9200,8.9800,8.7700,8.8300,9.0700,25910205,229347253.0000,3,16.609106,1,-2.646100,4.258733,41.634799,2.440925,1224.654534,0,-2.6460859977949336
2014-10-31,sh.600917,8.8500,8.9200,8.7000,8.8300,8.8300,20336214,179264576.0000,3,13.036035,1,0.000000,4.258733,41.634799,2.440925,1224.654534,0,0.0
2014-11-03,sh.600917,8.8200,9.0100,8.8200,8.9200,8.8300,19375658,172689111.0000,3,12.420294,1,1.019300,4.302140,42.059162,2.465804,1237.136857,0,1.0192525481313774
2014-11-04,sh.600917,8.9100,8.9200,8.7000,8.7500,8.9200,15534270,136348865.0000,3,9.957865,1,-1.905800,4.220149,41.257586,2.418810,1213.559137,0,-1.905829596412556
2014-11-05,sh.600917,8.7200,9.2800,8.6500,9.0000,8.7500,31865328,287110592.0000,3,20.426492,1,2.857100,4.340725,42.436375,2.487919,1248.232255,0,2.857142857142847
2014-11-06,sh.600917,8.9000,9.9000,8.8600,9.9000,9.0000,56708456,536850592.0000,3,36.351574,1,10.000000,4.774797,46.680012,2.736711,1373.055480,0,10.000000000000009
2014-11-07,sh.600917,10.0600,10.8900,10.0500,10.8900,9.9000,76133186,816943248.0000,3,48.803324,1,10.000000,5.252277,51.348013,3.010382,1510.361028,0,10.000000000000009
2014-11-10,sh.600917,11.3000,11.9800,10.9000,11.9800,10.8900,79114754,922022256.0000,3,50.714586,1,10.009200,5.777987,56.487530,3.311696,1661.535824,0,10.009182736455458
2014-11-11,sh.600917,12.3000,13.1800,11.8600,13.1800,11.9800,67988219,876958672.0000,3,43.582192,1,10.016700,6.356750,62.145713,3.643419,1827.966791,0,10.016694490818034
2014-11-12,sh.600917,13.5000,14.2500,11.8600,12.9500,13.1800,86925192,1143149984.0000,3,55.721277,1,-1.745100,6.245820,61.061228,3.579839,1796.067522,0,-1.7450682852807264
2014-11-13,sh.600917,12.0400,13.0800,12.0000,12.0400,12.9500,48304348,598363312.0000,3,30.964326,1,-7.027000,5.806925,56.770439,3.328282,1669.857372,0,-7.027027027027033
2014-11-14,sh.600917,11.8000,11.8400,10.8400,10.9700,12.0400,36953486,412629776.0000,3,23.688132,1,-8.887000,5.290861,51.725226,3.032496,1521.456426,0,-8.88704318936876
2014-11-17,sh.600917,10.8700,12.0000,10.7700,11.8700,10.9700,37656071,438888032.0000,3,24.138507,1,8.204200,5.724933,55.968863,3.281288,1646.279652,0,8.204193254329972
2014-11-18,sh.600917,11.5800,11.9000,11.4000,11.6500,11.8700,22417371,260067350.0000,3,14.370110,1,-1.853400,5.618827,54.931529,3.220473,1615.767308,0,-1.8534119629317503
2014-11-19,sh.600917,11.4800,11.6500,11.1000,11.4300,11.6500,18821025,213715737.0000,3,12.064760,1,-1.888400,5.512720,53.894196,3.159657,1585.254964,0,-1.8884120171673846
2014-11-20,sh.600917,11.2800,12.3500,11.2100,12.1000,11.4300,35664096,421668624.0000,3,22.861600,1,5.861800,5.835863,57.053348,3.344869,1678.178920,0,5.861767279090113
2014-11-21,sh.600917,11.8900,12.9000,11.8000,12.4100,12.1000,42365564,528585024.0000,3,27.157413,1,2.562000,5.985377,58.515045,3.430563,1721.173587,0,2.5619834710743916
2014-11-24,sh.600917,12.4900,12.8300,12.1200,12.4300,12.4100,31248886,389313344.0000,3,20.031337,1,0.161200,5.995023,58.609349,3.436092,1723.947436,0,0.16116035455278066
2014-11-25,sh.600917,12.2000,12.4200,12.0000,12.2800,12.4300,24785862,301374240.0000,3,15.888373,1,-1.206800,5.922678,57.902076,3.394627,1703.143565,0,-1.2067578439259874
2014-11-26,sh.600917,12.2800,13.4500,12.0900,13.0500,12.2800,43647360,556538112.0000,3,27.979077,1,6.270400,6.294051,61.532743,3.607482,1809.936769,0,6.270358306188939
2014-11-27,sh.600917,12.7900,13.2500,12.6000,12.7500,13.0500,30878955,396430736.0000,3,19.794202,1,-2.298900,6.149360,60.118197,3.524552,1768.329028,0,-2.298850574712652
2014-11-28,sh.600917,12.5700,12.7200,12.3000,12.5000,12.7500,20884760,260190462.0000,3,13.387667,1,-1.960800,6.028784,58.939409,3.455443,1733.655909,0,-1.9607843137254943
2014-12-01,sh.600917,12.4500,12.7100,12.1600,12.5000,12.5000,17895077,223044847.0000,3,11.471203,1,0.000000,6.028784,58.939409,3.455443,1733.655909,0,0.0
2014-12-02,sh.600917,12.4400,13.2200,12.2900,12.8400,12.5000,33103192,427479712.0000,3,21.219995,1,2.720000,6.192767,60.542561,3.549431,1780.811350,0,2.719999999999989
2014-12-03,sh.600917,12.6100,13.1000,12.4000,12.7300,12.8400,30684690,387320592.0000,3,19.669673,1,-0.856700,6.139714,60.023894,3.519023,1765.555178,0,-0.8566978193146335
2014-12-04,sh.600917,12.6200,12.7800,12.5100,12.6100,12.7300,22912662,288556432.0000,3,14.687604,1,-0.942700,6.081837,59.458076,3.485851,1748.912081,0,-0.9426551453260101
2014-12-05,sh.600917,12.5800,12.5800,11.6900,11.9300,12.6100,24396102,295718464.0000,3,15.638527,1,-5.392500,5.753872,56.251772,3.297874,1654.601200,0,-5.392545598731169
2014-12-08,sh.600917,11.8000,12.1800,11.5000,11.8600,11.9300,15538745,183651550.0000,3,9.960734,1,-0.586800,5.720110,55.921711,3.278524,1644.892727,0,-0.5867560771165126
2014-12-09,sh.600917,11.8600,11.9700,11.1400,11.1600,11.8600,18805791,218870933.0000,3,12.054994,1,-5.902200,5.382498,52.621105,3.085019,1547.807996,0,-5.902192242833049
2014-12-10,sh.600917,11.0800,11.5000,11.0000,11.4800,11.1600,9454746,107070029.0000,3,6.060735,1,2.867400,5.536835,54.129953,3.173479,1592.189587,0,2.8673835125448077
2014-12-11,sh.600917,11.4000,11.9700,11.2400,11.8700,11.4800,15439410,181705717.0000,3,9.897058,1,3.397200,5.724933,55.968863,3.281288,1646.279652,0,3.397212543554007
2014-12-12,sh.600917,11.8700,11.8700,11.6000,11.6900,11.8700,10406478,121467868.0000,3,6.670819,1,-1.516400,5.638119,55.120135,3.231530,1621.315007,0,-1.5164279696714411
