date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2007-02-28,sh.601005,5.5000,7.0400,5.5000,7.0000,2.8800,219859812,1286140512.0000,3,78.521361,1,143.055500,3.088439,46.737335,1.369887,-27.019319,0,
2007-03-01,sh.601005,6.3000,6.3000,6.3000,6.3000,7.0000,22124600,139384980.0000,3,7.901643,1,-9.999997,2.779595,42.063601,1.232898,-24.317387,0,-9.999999999999998
2007-03-02,sh.601005,6.0100,6.1100,5.7700,5.9300,6.3000,105343961,625574426.0000,3,37.622843,1,-5.873022,2.616349,39.593199,1.160490,-22.889223,0,-5.873015873015874
2007-03-05,sh.601005,5.8800,6.0300,5.6600,5.8900,5.9300,61821033,362961303.0000,3,22.078940,1,-0.674536,2.598701,39.326129,1.152662,-22.734827,0,-0.6745362563237767
2007-03-06,sh.601005,5.8200,6.0300,5.7500,6.0200,5.8900,42541486,253568778.0000,3,15.193388,1,2.207133,2.656058,40.194108,1.178103,-23.236614,0,2.2071307300509213
2007-03-07,sh.601005,6.1000,6.1800,5.9500,6.1200,6.0200,61632389,373462466.0000,3,22.011568,1,1.661128,2.700178,40.861784,1.197672,-23.622605,0,1.661129568106312
2007-03-08,sh.601005,6.1200,6.1400,6.0000,6.1200,6.1200,38798865,235691852.0000,3,13.856737,1,0.000000,2.700178,40.861784,1.197672,-23.622605,0,0.0
2007-03-09,sh.601005,6.1600,6.5900,6.1400,6.3600,6.1200,86461886,546357940.0000,3,30.879245,1,3.921573,2.806068,42.464207,1.244640,-24.548981,0,3.9215686274509887
2007-03-12,sh.601005,6.2800,6.3900,6.1600,6.3100,6.3600,31036676,194829230.0000,3,11.084527,1,-0.786166,2.784008,42.130369,1.234855,-24.355986,0,-0.7861635220125951
2007-03-13,sh.601005,6.3100,6.3600,6.2300,6.3000,6.3100,25386184,159463934.0000,3,9.066494,1,-0.158475,2.779595,42.063601,1.232898,-24.317387,0,-0.15847860538826808
2007-03-14,sh.601005,6.2500,6.2600,6.0000,6.1300,6.3000,30774812,187975909.0000,3,10.991004,1,-2.698414,2.704591,40.928552,1.199629,-23.661204,0,-2.6984126984127
2007-03-15,sh.601005,6.1300,6.1800,6.0900,6.1800,6.1300,21671374,133116040.0000,3,7.739776,1,0.815656,2.726651,41.262390,1.209414,-23.854199,0,0.815660685154973
2007-03-16,sh.601005,6.1800,6.2200,5.9400,6.0300,6.1800,23195231,140814000.0000,3,8.284011,1,-2.427178,2.660470,40.260875,1.180060,-23.275213,0,-2.4271844660194053
2007-03-19,sh.601005,5.8500,6.1000,5.8000,6.0600,6.0300,16059617,96212910.0000,3,5.735577,1,0.497508,2.673706,40.461178,1.185931,-23.391010,0,0.4975124378109319
2007-03-20,sh.601005,6.1000,6.1000,6.0000,6.0700,6.0600,14343468,86720688.0000,3,5.122667,1,0.165020,2.678118,40.527946,1.187888,-23.429610,0,0.16501650165017256
2007-03-21,sh.601005,6.0800,6.1800,6.0400,6.1400,6.0700,16029575,98026187.0000,3,5.724848,1,1.153207,2.709003,40.995319,1.201586,-23.699803,0,1.153212520593061
