date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-06-03,sh.601010,18.0500,18.8300,18.0500,18.3400,20.0000,17708363,325953343.0000,3,20.123140,1,-8.299999,8.846716,25.619092,1.616755,23.336209,0,
2011-06-07,sh.601010,18.5200,18.6900,17.9100,18.1600,18.3400,6416110,116757695.0000,3,7.291034,1,-0.981500,8.759889,25.367650,1.600887,23.107173,0,-0.9814612868047967
2011-06-08,sh.601010,18.0600,18.0700,17.2900,17.4000,18.1600,8064406,141049748.0000,3,9.164098,1,-4.185000,8.393285,24.306009,1.533890,22.140132,0,-4.185022026431728
2011-06-09,sh.601010,17.4000,17.5300,17.0100,17.0200,17.4000,3963670,68403783.0000,3,4.504170,1,-2.183900,8.209984,23.775188,1.500391,21.656612,0,-2.183908045977001
2011-06-10,sh.601010,16.9500,17.0800,16.6100,16.9400,17.0200,3933988,66128274.0000,3,4.470441,1,-0.470000,8.171394,23.663436,1.493339,21.554819,0,-0.4700352526439411
2011-06-13,sh.601010,16.7200,16.9500,16.6200,16.8000,16.9400,2244350,37604853.0000,3,2.550398,1,-0.826400,8.103862,23.467870,1.480997,21.376680,0,-0.8264462809917439
2011-06-14,sh.601010,16.8000,17.0400,16.7100,16.9100,16.8000,2403592,40631825.0000,3,2.731355,1,0.654800,8.156923,23.621529,1.490694,21.516646,0,0.6547619047619024
2011-06-15,sh.601010,16.9100,16.9100,16.6100,16.6200,16.9100,2282812,38249387.0000,3,2.594105,1,-1.715000,8.017035,23.216429,1.465129,21.147644,0,-1.714961561206385
2011-06-16,sh.601010,16.4500,16.4500,15.9100,15.9200,16.6200,2649967,42737213.0000,3,3.011326,1,-4.211800,7.679374,22.238601,1.403421,20.256949,0,-4.211793020457288
2011-06-17,sh.601010,15.9000,16.0100,15.5400,15.5600,15.9200,1487568,23557894.0000,3,1.690418,1,-2.261300,7.505719,21.735718,1.371685,19.798877,0,-2.2613065326633097
2011-06-20,sh.601010,15.5000,15.9500,15.5000,15.7400,15.5600,1158882,18132940.0000,3,1.316911,1,1.156800,7.592547,21.987159,1.387553,20.027913,0,1.1568123393316254
