date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-03-02,sh.601116,19.1100,22.8000,19.1100,21.7800,11.8000,45002927,927694533.0000,3,93.756098,1,84.576270,15.861000,73.646671,2.007957,179.882132,0,
2011-03-03,sh.601116,20.9000,21.6800,19.6000,19.7200,21.7800,31643194,647545919.0000,3,65.923321,1,-9.458200,14.360832,66.681008,1.818040,162.868487,0,-9.45821854912765
2011-03-04,sh.601116,18.9900,19.2300,18.0200,18.6200,19.7200,18527596,344163943.0000,3,38.599158,1,-5.578100,13.559771,62.961479,1.716628,153.783531,0,-5.578093306288023
2011-03-07,sh.601116,18.5200,18.6700,18.2200,18.4200,18.6200,11010999,202773047.0000,3,22.939581,1,-1.074100,13.414124,62.285201,1.698190,152.131720,0,-1.0741138560687369
2011-03-08,sh.601116,18.4600,18.6900,18.0000,18.2800,18.4200,11498679,209836861.0000,3,23.955581,1,-0.760000,13.312171,61.811807,1.685283,150.975453,0,-0.7600434310532034
2011-03-09,sh.601116,18.1700,18.4600,18.0200,18.3300,18.2800,7927525,144956213.0000,3,16.515677,1,0.273500,13.348582,61.980876,1.689892,151.388406,0,0.2735229759299518
2011-03-10,sh.601116,18.3400,18.3400,17.6100,17.7400,18.3300,10395625,185832304.0000,3,21.657552,1,-3.218800,12.918923,59.985856,1.635498,146.515566,0,-3.218767048554283
2011-03-11,sh.601116,17.6700,18.7800,17.6100,18.5000,17.7400,14674005,268101749.0000,3,30.570844,1,4.284100,13.472383,62.555713,1.705565,152.792444,0,4.284103720405863
2011-03-14,sh.601116,18.2200,18.4400,17.9600,18.1100,18.5000,7234833,131154606.0000,3,15.072569,1,-2.108100,13.188370,61.236971,1.669610,149.571414,0,-2.108108108108109
2011-03-15,sh.601116,18.1100,18.3000,17.6600,17.8900,18.1100,5244080,93989449.0000,3,10.925167,1,-1.214800,13.028158,60.493065,1.649327,147.754423,0,-1.2147984538928736
2011-03-16,sh.601116,17.8800,18.0100,17.8000,17.9200,17.8900,4035620,72221867.0000,3,8.407542,1,0.167700,13.050005,60.594506,1.652093,148.002195,0,0.1676914477361624
