date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2018-10-19,sh.601162,2.1500,2.5800,2.1500,2.5800,1.7900,2015667,5184038.0000,3,0.389125,1,44.134080,1.161278,34.218512,4.749745,20.518142,0,
2018-10-22,sh.601162,2.8400,2.8400,2.8400,2.8400,2.5800,580358,1648217.0000,3,0.112038,1,10.077520,1.278306,37.666890,5.228401,22.585861,0,10.077519379844958
2018-10-23,sh.601162,3.1200,3.1200,3.1200,3.1200,2.8400,1999768,6239276.0000,3,0.386056,1,9.859155,1.404336,41.380527,5.743877,24.812636,0,9.859154929577475
2018-10-24,sh.601162,3.4300,3.4300,3.4300,3.4300,3.1200,1638758,5620940.0000,3,0.316363,1,9.935904,1.543869,45.492053,6.314583,27.277994,0,9.935897435897445
2018-10-25,sh.601162,3.7700,3.7700,3.7700,3.7700,3.4300,4075915,15366200.0000,3,0.786856,1,9.912534,1.696906,50.001470,6.940518,29.981935,0,9.912536443148689
2018-10-26,sh.601162,4.1500,4.1500,4.1500,4.1500,3.7700,1548920,6428018.0000,3,0.299019,1,10.079580,1.867947,55.041406,7.640093,33.003987,0,10.07957559681698
2018-10-29,sh.601162,4.5700,4.5700,4.5700,4.5700,4.1500,2237197,10223990.0000,3,0.431891,1,10.120480,2.056992,60.611861,8.413307,36.344150,0,10.120481927710845
2018-10-30,sh.601162,5.0300,5.0300,5.0300,5.0300,4.5700,12332852,62034246.0000,3,2.380859,1,10.065650,2.264041,66.712836,9.260161,40.002423,0,10.065645514223199
2018-10-31,sh.601162,5.5300,5.5300,5.5300,5.5300,5.0300,4763056,26339700.0000,3,0.919509,1,9.940357,2.489095,73.344331,10.180654,43.978807,0,9.940357852882698
2018-11-01,sh.601162,6.0800,6.0800,6.0800,6.0800,5.5300,2394508,14558609.0000,3,0.462260,1,9.945745,2.736654,80.638975,11.193197,48.352830,0,9.945750452079572
2018-11-02,sh.601162,6.6900,6.6900,6.6900,6.6900,6.0800,3715584,24857257.0000,3,0.717294,1,10.032900,3.011220,88.729399,12.316198,53.204018,0,10.032894736842103
2018-11-05,sh.601162,7.3600,7.3600,7.3600,7.3600,6.6900,4586506,33756684.0000,3,0.885426,1,10.014950,3.312792,97.615601,13.549659,58.532373,0,10.01494768310911
2018-11-06,sh.601162,8.1000,8.1000,7.6000,7.6700,7.3600,381228064,2988130164.0000,3,73.596151,1,4.211956,3.452325,101.727128,14.120365,60.997731,0,4.211956521739135
2018-11-07,sh.601162,7.3100,7.5600,7.0100,7.3600,7.6700,232851445,1696514211.0000,3,44.952016,1,-4.041720,3.312792,97.615601,13.549659,58.532373,0,-4.041720990873532
2018-11-08,sh.601162,7.4000,7.4400,6.7000,6.8000,7.3600,238808494,1676938054.0000,3,46.102026,1,-7.608695,3.060732,90.188327,12.518707,54.078823,0,-7.608695652173925
2018-11-09,sh.601162,6.6500,6.8800,6.5400,6.6300,6.8000,139903711,936963702.0000,3,27.008438,1,-2.500001,2.984213,87.933619,12.205739,52.726852,0,-2.500000000000002
2018-11-12,sh.601162,6.5700,7.0900,6.4600,6.9300,6.6300,187938479,1270041530.0000,3,36.281560,1,4.524882,3.119246,91.912516,12.758035,55.112682,0,4.52488687782806
2018-11-13,sh.601162,6.7900,7.5000,6.7400,7.0600,6.9300,237292790,1668199228.0000,3,45.809419,1,1.875904,3.177760,93.636705,12.997363,56.146542,0,1.8759018759018753
2018-11-14,sh.601162,6.9100,7.0900,6.7100,6.7600,7.0600,152531167,1051580594.0000,3,29.446171,1,-4.249288,3.042727,89.657808,12.445067,53.760712,0,-4.249291784702547
