date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2014-01-28,sh.601225,4.8000,5.7600,4.4100,4.5500,4.0000,88848716,417204000.0000,3,17.769743,1,13.750000,,10.721663,1.204759,,0,
2014-01-29,sh.601225,4.5000,4.7600,4.1100,4.2100,4.5500,250482249,1107683680.0000,3,50.096450,1,-7.472500,,9.920484,1.114733,,0,-7.472527472527468
2014-01-30,sh.601225,4.1100,4.1600,4.0300,4.0300,4.2100,100238181,409493488.0000,3,20.047636,1,-4.275500,,9.496330,1.067072,,0,-4.275534441805218
2014-02-07,sh.601225,4.0200,4.1100,4.0200,4.1000,4.0300,74433830,302122432.0000,3,14.886766,1,1.737000,,9.661279,1.085607,,0,1.7369727047146233
2014-02-10,sh.601225,4.1300,4.3400,4.0600,4.2500,4.1000,127198149,531764304.0000,3,25.439630,1,3.658500,,10.014740,1.125324,,0,3.658536585365857
2014-02-11,sh.601225,4.2000,4.4000,4.1500,4.2900,4.2500,134451618,572744160.0000,3,26.890324,1,0.941200,,10.108997,1.135915,,0,0.9411764705882453
2014-02-12,sh.601225,4.2600,4.4800,4.2300,4.4100,4.2900,140941432,614542432.0000,3,28.188286,1,2.797200,,10.391766,1.167689,,0,2.7972027972027913
2014-02-13,sh.601225,4.3700,4.4200,4.2400,4.2600,4.4100,86168513,374210992.0000,3,17.233703,1,-3.401400,,10.038304,1.127972,,0,-3.401360544217691
2014-02-14,sh.601225,4.2500,4.3800,4.2300,4.3400,4.2600,61300319,264326878.0000,3,12.260064,1,1.877900,,10.226817,1.149154,,0,1.8779342723004744
2014-02-17,sh.601225,4.3800,4.7700,4.3800,4.6800,4.3400,156329185,715404592.0000,3,31.265837,1,7.834100,,11.027996,1.239180,,0,7.834101382488479
2014-02-18,sh.601225,4.6900,5.1400,4.6300,4.9500,4.6800,182151767,889764512.0000,3,36.430353,1,5.769200,,11.664227,1.310671,,0,5.769230769230771
2014-02-19,sh.601225,4.8500,4.9100,4.6400,4.7800,4.9500,104066597,495699744.0000,3,20.813319,1,-3.434300,,11.263637,1.265658,,0,-3.4343434343434343
2014-02-20,sh.601225,4.7600,4.9600,4.7100,4.7500,4.7800,88475824,427401696.0000,3,17.695165,1,-0.627600,,11.192945,1.257715,,0,-0.6276150627615107
2014-02-21,sh.601225,4.6900,4.7000,4.4300,4.4800,4.7500,87199849,396952896.0000,3,17.439970,1,-5.684200,,10.556715,1.186224,,0,-5.6842105263157805
2014-02-24,sh.601225,4.4600,4.5300,4.4100,4.4600,4.4800,37636431,167900412.0000,3,7.527286,1,-0.446400,,10.509586,1.180928,,0,-0.44642857142858094
2014-02-25,sh.601225,4.4700,4.5000,4.1700,4.2300,4.4600,65488584,283541008.0000,3,13.097717,1,-5.157000,,9.967612,1.120028,,0,-5.156950672645733
2014-02-26,sh.601225,4.1800,4.2900,4.1300,4.2900,4.2300,37239488,156975636.0000,3,7.447898,1,1.418400,,10.108997,1.135915,,0,1.4184397163120366
2014-02-27,sh.601225,4.2500,4.2900,4.1700,4.1800,4.2900,35592454,150487739.0000,3,7.118491,1,-2.564100,,9.849792,1.106789,,0,-2.564102564102566
2014-02-28,sh.601225,4.1500,4.3500,4.1300,4.3400,4.1800,48060404,203784365.0000,3,9.612081,1,3.827800,,12.101912,1.004199,,0,3.8277511961722466
2014-03-03,sh.601225,4.2900,4.4600,4.2600,4.4100,4.3400,54472750,238533411.0000,3,10.894550,1,1.612900,,12.297104,1.020396,,0,1.6129032258064502
2014-03-04,sh.601225,4.3500,4.5700,4.2600,4.4000,4.4100,67211026,296462480.0000,3,13.442205,1,-0.226800,,12.269219,1.018082,,0,-0.22675736961450532
2014-03-05,sh.601225,4.3400,4.5400,4.2700,4.3700,4.4000,67279480,295249776.0000,3,13.455896,1,-0.681800,,12.185565,1.011141,,0,-0.6818181818181834
2014-03-06,sh.601225,4.3000,4.4200,4.2600,4.3700,4.3700,46820153,202974598.0000,3,9.364031,1,0.000000,,12.185565,1.011141,,0,0.0
2014-03-07,sh.601225,4.3600,4.3900,4.2400,4.2600,4.3700,38894195,167468632.0000,3,7.778839,1,-2.517200,,11.878835,0.985688,,0,-2.517162471395884
2014-03-10,sh.601225,4.2100,4.2100,4.1000,4.1300,4.2600,33688000,140020386.0000,3,6.737600,1,-3.051600,,11.516335,0.955609,,0,-3.0516431924882625
2014-03-11,sh.601225,4.1100,4.2300,4.1100,4.1700,4.1300,26083446,108699605.0000,3,5.216689,1,0.968500,,11.627874,0.964864,,0,0.9685230024213176
2014-03-12,sh.601225,4.1500,4.2400,4.1200,4.1900,4.1700,29827663,124505812.0000,3,5.965533,1,0.479600,,11.683643,0.969492,,0,0.4796163069544557
2014-03-13,sh.601225,4.1900,4.3500,4.1500,4.2600,4.1900,50827907,216707029.0000,3,10.165581,1,1.670600,,11.878835,0.985688,,0,1.6706443914080937
2014-03-14,sh.601225,4.1900,4.2200,4.1100,4.1500,4.2600,35508114,148100680.0000,3,7.101623,1,-2.582200,,11.572104,0.960236,,0,-2.5821596244131273
2014-03-17,sh.601225,4.1600,4.2400,4.1300,4.1800,4.1500,24189624,101126686.0000,3,4.837925,1,0.722900,,11.655758,0.967178,,0,0.7228915662650381
2014-03-18,sh.601225,4.1900,4.2100,4.1500,4.1800,4.1800,21744165,90754406.0000,3,4.348833,1,0.000000,,11.655758,0.967178,,0,0.0
2014-03-19,sh.601225,4.1600,4.1900,4.1300,4.1900,4.1800,23726898,98559447.0000,3,4.745380,1,0.239200,,11.683643,0.969492,,0,0.23923444976077235
2014-03-20,sh.601225,4.1700,4.1900,4.0900,4.1000,4.1900,22767896,94399668.0000,3,4.553579,1,-2.148000,,11.432681,0.948667,,0,-2.147971360381884
2014-03-21,sh.601225,4.0900,4.3200,4.0700,4.2700,4.1000,65972131,278296016.0000,3,13.194426,1,4.146300,,11.906719,0.988002,,0,4.146341463414638
2014-03-24,sh.601225,4.2500,4.2800,4.1900,4.2500,4.2700,45843670,194258078.0000,3,9.168734,1,-0.468400,,11.850950,0.983375,,0,-0.4683840749414414
2014-03-25,sh.601225,4.2300,4.2700,4.2000,4.2200,4.2500,24522889,103717405.0000,3,4.904578,1,-0.705900,,11.767297,0.976433,,0,-0.7058823529411784
2014-03-26,sh.601225,4.2400,4.2500,4.1700,4.1800,4.2200,20618750,86623356.0000,3,4.123750,1,-0.947900,,11.655758,0.967178,,0,-0.9478672985781977
2014-03-27,sh.601225,4.1700,4.1800,4.1200,4.1300,4.1800,26053960,107851073.0000,3,5.210792,1,-1.196200,,11.516335,0.955609,,0,-1.1961722488038284
2014-03-28,sh.601225,4.1200,4.1500,4.0900,4.1100,4.1300,19354149,79753350.0000,3,3.870830,1,-0.484300,,11.460566,0.950981,,0,-0.4842615012106477
2014-03-31,sh.601225,4.1100,4.1300,4.0800,4.1000,4.1100,13060195,53549477.0000,3,2.612039,1,-0.243300,,11.432681,0.948667,,0,-0.24330900243311193
2014-04-01,sh.601225,4.0900,4.1600,4.0800,4.1500,4.1000,14091234,58126008.0000,3,2.818247,1,1.219500,,11.572104,0.960236,,0,1.2195121951219745
2014-04-02,sh.601225,4.1500,4.1800,4.1300,4.1500,4.1500,16540218,68682421.0000,3,3.308044,1,0.000000,,11.572104,0.960236,,0,0.0
2014-04-03,sh.601225,4.1600,4.1700,4.1000,4.1100,4.1500,16383513,67546086.0000,3,3.276703,1,-0.963900,,11.460566,0.950981,,0,-0.9638554216867434
2014-04-04,sh.601225,4.1000,4.1200,4.0800,4.1200,4.1100,12135786,49808703.0000,3,2.427157,1,0.243300,,11.488451,0.953295,,0,0.24330900243307862
2014-04-08,sh.601225,4.1000,4.2400,4.0900,4.2100,4.1200,45996770,192794251.0000,3,9.199354,1,2.184500,,11.739412,0.974119,,0,2.1844660194174637
2014-04-09,sh.601225,4.1900,4.2000,4.1600,4.1800,4.2100,23358372,97599336.0000,3,4.671674,1,-0.712600,,11.655758,0.967178,,0,-0.7125890736342066
2014-04-10,sh.601225,4.1800,4.2500,4.1500,4.2400,4.1800,40121606,168717924.0000,3,8.024321,1,1.435400,,11.823066,0.981061,,0,1.435406698564612
2014-04-11,sh.601225,4.2100,4.2300,4.1400,4.1700,4.2400,27558610,115218768.0000,3,5.511722,1,-1.650900,,11.627874,0.964864,,0,-1.650943396226423
2014-04-14,sh.601225,4.1400,4.1700,4.1300,4.1700,4.1700,16468499,68304121.0000,3,3.293700,1,0.000000,,11.627874,0.964864,,0,0.0
2014-04-15,sh.601225,4.1600,4.1600,4.1000,4.1100,4.1700,18024363,74341298.0000,3,3.604873,1,-1.438800,,11.460566,0.950981,,0,-1.4388489208633004
2014-04-16,sh.601225,4.1000,4.1300,4.1000,4.1200,4.1100,9158370,37708581.0000,3,1.831674,1,0.243300,,11.488451,0.953295,,0,0.24330900243307862
2014-04-17,sh.601225,4.1200,4.1300,4.1000,4.1100,4.1200,8654605,35584659.0000,3,1.730921,1,-0.242700,,11.460566,0.950981,,0,-0.24271844660194164
2014-04-18,sh.601225,4.1000,4.1300,4.0900,4.1100,4.1100,9609543,39505318.0000,3,1.921909,1,0.000000,,11.460566,0.950981,,0,0.0
2014-04-21,sh.601225,4.1000,4.1300,4.0900,4.0900,4.1100,12484137,51248732.0000,3,2.496827,1,-0.486600,,11.404797,0.946353,,0,-0.48661800486619056
2014-04-22,sh.601225,4.1000,4.1100,4.0500,4.0800,4.0900,13841393,56384805.0000,3,2.768279,1,-0.244500,,11.376912,0.944040,,0,-0.24449877750610804
2014-04-23,sh.601225,4.0800,4.1100,4.0700,4.0900,4.0800,9563661,39120263.0000,3,1.912732,1,0.245100,,11.404797,0.946353,,0,0.2450980392156854
2014-04-24,sh.601225,4.0800,4.1000,4.0600,4.0600,4.0900,10036984,40884935.0000,3,2.007397,1,-0.733500,,11.321143,0.939412,,0,-0.7334963325183463
2014-04-25,sh.601225,4.0500,4.0700,4.0200,4.0400,4.0600,15373351,62194214.0000,3,3.074670,1,-0.492600,1.133685,14.395793,0.921337,-12.654088,0,-0.49261083743841194
2014-04-28,sh.601225,4.0200,4.0300,4.0100,4.0200,4.0400,18518476,74420591.0000,3,3.703695,1,-0.495000,1.128073,14.324527,0.916776,-12.591444,0,-0.4950495049505066
2014-04-29,sh.601225,4.0300,4.0700,4.0200,4.0700,4.0200,11118742,45097528.0000,3,2.223748,1,1.243800,1.142103,14.502693,0.928179,-12.748054,0,1.2437810945273853
2014-04-30,sh.601225,4.0700,4.0700,4.0200,4.0300,4.0700,9331912,37685382.0000,3,1.866382,1,-0.982800,1.130879,14.360160,0.919057,-12.622766,0,-0.9828009828009798
2014-05-05,sh.601225,4.0300,4.0600,4.0100,4.0600,4.0300,9846147,39685557.0000,3,1.969229,1,0.744400,1.139297,14.467060,0.925898,-12.716732,0,0.7444168734491052
2014-05-06,sh.601225,4.0500,4.0800,4.0400,4.0500,4.0600,11960410,48515070.0000,3,2.392082,1,-0.246300,1.136491,14.431426,0.923618,-12.685410,0,-0.24630541871920597
2014-05-07,sh.601225,4.0300,4.0400,4.0100,4.0300,4.0500,12354664,49707428.0000,3,2.470933,1,-0.493800,1.130879,14.360160,0.919057,-12.622766,0,-0.49382716049382047
2014-05-08,sh.601225,4.0200,4.1700,4.0100,4.0800,4.0300,32891410,134573082.0000,3,6.578282,1,1.240700,1.144909,14.538326,0.930460,-12.779376,0,1.2406947890818865
2014-05-09,sh.601225,4.0600,4.1000,4.0200,4.0700,4.0800,20398601,82702339.0000,3,4.079720,1,-0.245100,1.142103,14.502693,0.928179,-12.748054,0,-0.2450980392156854
