date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-03-19,sh.601518,4.9700,4.9700,4.0800,4.3000,1.7900,111078842,492473127.0000,3,18.020683,1,140.223500,3.527171,41.209001,10.707167,,0,
2010-03-22,sh.601518,4.2600,4.2600,4.1300,4.2500,4.3000,47638086,199957729.0000,3,7.728482,1,-1.162800,3.486157,40.729826,10.582665,,0,-1.1627906976744096
2010-03-23,sh.601518,4.2400,4.6800,4.1900,4.6800,4.2500,88148965,404400384.0000,3,14.300694,1,10.117600,3.838874,44.850727,11.653381,,0,10.11764705882352
2010-03-24,sh.601518,4.7000,5.1500,4.6800,5.1500,4.6800,76232090,379320769.0000,3,12.367381,1,10.042700,4.224402,49.354966,12.823700,,0,10.042735042735051
2010-03-25,sh.601518,5.1500,5.6700,5.1500,5.6700,5.1500,82764786,466179194.0000,3,13.427202,1,10.097100,4.650944,54.338380,14.118520,,0,10.097087378640769
2010-03-26,sh.601518,5.9000,6.1100,5.4700,5.7800,5.6700,157156291,909085761.0000,3,25.495978,1,1.940000,4.741174,55.392564,14.392424,,0,1.9400352733686121
2010-03-29,sh.601518,5.6000,5.7400,5.5500,5.6700,5.7800,65471429,369063820.0000,3,10.621644,1,-1.903100,4.650944,54.338380,14.118520,,0,-1.903114186851218
2010-03-30,sh.601518,5.6500,5.7700,5.4900,5.6700,5.6700,61494286,346463887.0000,3,9.976419,1,0.000000,4.650944,54.338380,14.118520,,0,0.0
2010-03-31,sh.601518,5.6500,5.8300,5.5200,5.7300,5.6700,62070265,352805767.0000,3,10.069862,1,1.058200,4.700160,54.913390,14.267922,,0,1.0582010582010692
2010-04-01,sh.601518,5.7000,5.7200,5.5600,5.6600,5.7300,45366928,256146404.0000,3,7.360025,1,-1.221600,4.642741,54.242545,14.093619,,0,-1.221640488656195
