date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-07-20,sh.601619,1.5100,1.8100,1.5100,1.8100,1.2600,37100,67121.0000,3,0.019152,1,43.650790,1.692973,21.458505,4.614194,-8.203197,0,
2017-07-21,sh.601619,1.9900,1.9900,1.9900,1.9900,1.8100,22986,45742.0000,3,0.011866,1,9.944756,1.861335,23.592499,5.073064,-9.018984,0,9.944751381215466
2017-07-24,sh.601619,2.1900,2.1900,2.1900,2.1900,1.9900,25300,55407.0000,3,0.013061,1,10.050250,2.048404,25.963605,5.582920,-9.925415,0,10.050251256281406
2017-07-25,sh.601619,2.4100,2.4100,2.4100,2.4100,2.1900,22603,54473.0000,3,0.011668,1,10.045660,2.254180,28.571821,6.143761,-10.922489,0,10.045662100456632
2017-07-26,sh.601619,2.6500,2.6500,2.6500,2.6500,2.4100,49982,132452.0000,3,0.025802,1,9.958507,2.478663,31.417148,6.755588,-12.010205,0,9.958506224066376
2017-07-27,sh.601619,2.9200,2.9200,2.9200,2.9200,2.6500,58549,170963.0000,3,0.030225,1,10.188680,2.731206,34.618140,7.443893,-13.233887,0,10.188679245283016
2017-07-28,sh.601619,3.2100,3.2100,3.2100,3.2100,2.9200,91904,295012.0000,3,0.047444,1,9.931505,3.002456,38.056243,8.183184,-14.548211,0,9.931506849315074
2017-07-31,sh.601619,3.5300,3.5300,3.5300,3.5300,3.2100,144217,509086.0000,3,0.074449,1,9.968844,3.301766,41.850012,8.998953,-15.998500,0,9.968847352024923
2017-08-01,sh.601619,3.8800,3.8800,3.8800,3.8800,3.5300,185620,720206.0000,3,0.095822,1,9.915018,3.629137,45.999446,9.891201,-17.584754,0,9.915014164305958
2017-08-02,sh.601619,4.2700,4.2700,4.2700,4.2700,3.8800,270200,1153754.0000,3,0.139485,1,10.051540,3.993921,50.623102,10.885419,-19.352293,0,10.051546391752563
2017-08-03,sh.601619,4.7000,4.7000,4.7000,4.7000,4.2700,318260,1495822.0000,3,0.164295,1,10.070250,4.396119,55.720979,11.981609,-21.301119,0,10.070257611241228
2017-08-04,sh.601619,5.1700,5.1700,5.1700,5.1700,4.7000,352349,1821644.0000,3,0.181893,1,10.000010,4.835731,61.293077,13.179770,-23.431231,0,9.999999999999986
2017-08-07,sh.601619,5.6900,5.6900,5.6900,5.6900,5.1700,578815,3293457.0000,3,0.298801,1,10.058030,5.322110,67.457951,14.505395,-25.787950,0,10.058027079303677
2017-08-08,sh.601619,6.2600,6.2600,6.2600,6.2600,5.6900,781080,4889561.0000,3,0.403216,1,10.017580,5.855256,74.215601,15.958484,-28.371278,0,10.017574692442865
2017-08-09,sh.601619,6.8900,6.8900,6.8900,6.8900,6.2600,605439,4171475.0000,3,0.312545,1,10.063890,6.444523,81.684584,17.564529,-31.226534,0,10.063897763578279
2017-08-10,sh.601619,7.5800,7.5800,7.5800,7.5800,6.8900,851982,6458024.0000,3,0.439818,1,10.014510,7.089911,89.864897,19.323531,-34.353720,0,10.0145137880987
2017-08-11,sh.601619,8.3400,8.3400,8.3400,8.3400,7.5800,14320030,119429050.0000,3,7.392420,1,10.026390,7.800773,98.875098,21.260983,-37.798156,0,10.026385224274414
2017-08-14,sh.601619,8.7000,8.9900,8.1000,8.3100,8.3400,128092183,1084019120.0000,3,66.124947,1,-0.359709,7.772712,98.519432,21.184505,-37.662191,0,-0.3597122302158251
2017-08-15,sh.601619,8.1900,9.1400,8.1900,9.1400,8.3100,82407078,734544784.0000,3,42.540954,1,9.987966,8.549048,108.359520,23.300406,-41.423878,0,9.987966305655839
2017-08-16,sh.601619,9.7000,10.0500,9.6000,10.0500,9.1400,60264782,597775072.0000,3,31.110451,1,9.956234,9.400212,119.148050,25.620249,-45.548138,0,9.956236323851208
2017-08-17,sh.601619,10.0900,10.4500,9.5000,9.8500,10.0500,119519375,1199423184.0000,3,61.699412,1,-1.990048,9.213143,116.776945,25.110394,-44.641707,0,-1.9900497512437942
2017-08-18,sh.601619,9.1000,9.2500,8.8700,8.9500,9.8500,83716784,751041200.0000,3,43.217063,1,-9.137061,8.371333,106.106970,22.816043,-40.562769,0,-9.137055837563457
2017-08-21,sh.601619,8.9600,9.8000,8.6000,9.6700,8.9500,77537268,714265504.0000,3,40.027015,1,8.044696,9.044781,114.642950,24.651523,-43.825919,0,8.044692737430182
2017-08-22,sh.601619,9.4300,9.9600,9.2600,9.3500,9.6700,69504059,662191040.0000,3,35.880037,1,-3.309201,8.745471,110.849181,23.835754,-42.375630,0,-3.3092037228541926
2017-08-23,sh.601619,9.1500,9.6300,8.8700,9.4100,9.3500,60465675,561397984.0000,3,31.214157,1,0.641706,8.801591,111.560513,23.988711,-42.647560,0,0.64171122994654
2017-08-24,sh.601619,9.2400,10.3500,9.2000,10.3500,9.4100,123667748,1256858448.0000,3,63.840924,1,9.989379,9.680815,122.704708,26.385033,-46.907783,0,9.989373007438896
2017-08-25,sh.601619,10.4600,11.3900,10.4000,11.3900,10.3500,62967783,691451456.0000,3,32.505819,1,10.048310,10.653573,135.034457,29.036283,-51.621223,0,10.048309178743974
2017-08-28,sh.601619,12.5300,12.5300,12.0500,12.5300,11.3900,43037559,537108960.0000,3,22.217252,1,10.008770,11.719866,148.549758,31.942460,-56.787877,0,10.008779631255482
2017-08-29,sh.601619,13.7800,13.7800,12.1700,12.2500,12.5300,88004925,1149052224.0000,3,45.430727,1,-2.234635,11.457970,145.230210,31.228662,-55.518874,0,-2.2346368715083775
2017-08-30,sh.601619,12.3000,13.1700,12.3000,12.9700,12.2500,109425949,1394258736.0000,3,56.488889,1,5.877553,12.131418,153.766190,33.064143,-58.782024,0,5.877551020408167
