date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2010-08-18,sh.601818,3.3700,3.7200,3.3500,3.6600,3.1000,2093811589,7342756516.0000,3,85.461698,1,18.064520,2.617908,18.930836,5.964772,6.125857,0,
2010-08-19,sh.601818,3.6400,3.8300,3.6000,3.7000,3.6600,795814513,2927902724.0000,3,32.482225,1,1.092900,2.646519,19.137730,6.029961,6.192806,0,1.0928961748633892
2010-08-20,sh.601818,3.6900,3.7400,3.6400,3.6800,3.7000,333231831,1226740528.0000,3,13.601299,1,-0.540500,2.632213,19.034283,5.997366,6.159332,0,-0.5405405405405461
2010-08-23,sh.601818,3.6600,3.7100,3.5300,3.5600,3.6800,361581254,1303629297.0000,3,14.758419,1,-3.260900,2.546380,18.413600,5.801800,5.958484,0,-3.2608695652173947
2010-08-24,sh.601818,3.5400,3.6400,3.5200,3.5600,3.5600,282471321,1007611892.0000,3,11.529442,1,0.000000,2.546380,18.413600,5.801800,5.958484,0,0.0
2010-08-25,sh.601818,3.5300,3.5500,3.4400,3.4600,3.5600,219312039,764259316.0000,3,8.951512,1,-2.809000,2.474853,17.896364,5.638828,5.791111,0,-2.8089887640449507
2010-08-26,sh.601818,3.4700,3.5000,3.4400,3.4700,3.4600,123163337,427014845.0000,3,5.027075,1,0.289000,2.482005,17.948087,5.655125,5.807848,0,0.28901734104047616
2010-08-27,sh.601818,3.4600,3.4800,3.4400,3.4800,3.4700,94760552,327729400.0000,3,3.867778,1,0.288200,2.489158,17.999811,5.671422,5.824585,0,0.28818443804032867
2010-08-30,sh.601818,3.4900,3.5200,3.4500,3.4900,3.4800,185805873,647601142.0000,3,7.583913,1,0.287400,2.496311,18.051535,5.687720,5.841323,0,0.287356321839094
2010-08-31,sh.601818,3.4600,3.4700,3.3800,3.4000,3.4900,203941164,697587570.0000,3,8.324129,1,-2.578800,2.431936,17.586022,5.541045,5.690687,0,-2.5787965616045905
2010-09-01,sh.601818,3.4000,3.6000,3.3800,3.4800,3.4000,314395936,1097618379.0000,3,12.832487,1,2.352900,2.489158,17.999811,5.671422,5.824585,0,2.35294117647058
2010-09-02,sh.601818,3.5200,3.5300,3.4400,3.4800,3.4800,166045308,576137003.0000,3,6.777360,1,0.000000,2.489158,17.999811,5.671422,5.824585,0,0.0
2010-09-03,sh.601818,3.4700,3.5200,3.4500,3.5100,3.4800,138764546,482723432.0000,3,5.663859,1,0.862100,2.510616,18.154982,5.720314,5.874797,0,0.8620689655172376
2010-09-06,sh.601818,3.5200,3.6000,3.5100,3.5800,3.5100,179950143,642027516.0000,3,7.344904,1,1.994300,2.560686,18.517047,5.834394,5.991959,0,1.9943019943019946
2010-09-07,sh.601818,3.5800,3.5900,3.5200,3.5500,3.5800,101495933,360270620.0000,3,4.142691,1,-0.838000,2.539227,18.361876,5.785503,5.941747,0,-0.8379888268156499
2010-09-08,sh.601818,3.5200,3.5300,3.4700,3.4900,3.5500,92810953,324193105.0000,3,3.788202,1,-1.690139,2.496311,18.051535,5.687720,5.841323,0,-1.6901408450704092
2010-09-09,sh.601818,3.5000,3.5700,3.4400,3.4900,3.4900,143108848,500283052.0000,3,5.841177,1,0.000000,2.496311,18.051535,5.687720,5.841323,0,0.0
2010-09-10,sh.601818,3.5000,3.5000,3.4500,3.4900,3.4900,69658699,241807811.0000,3,2.843212,1,0.000000,2.496311,18.051535,5.687720,5.841323,0,0.0
2010-09-13,sh.601818,3.4800,3.5200,3.4600,3.5000,3.4900,144404801,504291260.0000,3,5.894074,1,0.286500,2.503464,18.103258,5.704017,5.858060,0,0.2865329512893977
2010-09-14,sh.601818,3.5100,3.5400,3.4600,3.4800,3.5000,98272676,343646706.0000,3,4.011130,1,-0.571400,2.489158,17.999811,5.671422,5.824585,0,-0.5714285714285672
2010-09-15,sh.601818,3.4600,3.4700,3.4200,3.4400,3.4800,104601865,360099749.0000,3,4.269464,1,-1.149400,2.460547,17.792917,5.606234,5.757636,0,-1.1494252873563204
2010-09-16,sh.601818,3.4300,3.4400,3.3300,3.3600,3.4400,126400400,427583840.0000,3,5.159200,1,-2.325600,2.458036,17.774760,5.600513,5.751761,0,-2.3255813953488413
2010-09-17,sh.601818,3.3700,3.3800,3.3400,3.3600,3.3600,67172723,225766044.0000,3,2.741744,1,0.000000,2.458036,17.774760,5.600513,5.751761,0,0.0
2010-09-20,sh.601818,3.3600,3.3800,3.3200,3.3500,3.3600,39274568,131589301.0000,3,1.603044,1,-0.297600,2.450721,17.721858,5.583845,5.734642,0,-0.29761904761904656
2010-09-21,sh.601818,3.3600,3.3900,3.3400,3.3900,3.3500,45904157,154615604.0000,3,1.873639,1,1.194000,2.479983,17.933463,5.650517,5.803116,0,1.1940298507462588
2010-09-27,sh.601818,3.3600,3.4000,3.3600,3.3800,3.3900,38758837,130957299.0000,3,1.581993,1,-0.295000,2.472667,17.880562,5.633849,5.785997,0,-0.2949852507374673
2010-09-28,sh.601818,3.3800,3.3800,3.3200,3.3400,3.3800,42182139,140788322.0000,3,1.721720,1,-1.183400,2.443405,17.668957,5.567176,5.717524,0,-1.183431952662728
2010-09-29,sh.601818,3.3300,3.4000,3.3200,3.3800,3.3400,61152219,205913397.0000,3,2.496009,1,1.197600,2.472667,17.880562,5.633849,5.785997,0,1.1976047904191711
2010-09-30,sh.601818,3.3500,3.5100,3.3500,3.4600,3.3800,120222228,417321483.0000,3,4.907030,1,2.366900,2.531192,18.303770,5.767195,5.922944,0,2.366863905325456
2010-10-08,sh.601818,3.4900,3.5300,3.4500,3.5100,3.4600,109746162,383955041.0000,3,4.479435,1,1.445100,2.567770,18.568276,5.850536,6.008536,0,1.4450867052023142
2010-10-11,sh.601818,3.5100,3.6800,3.4800,3.5800,3.5100,228969639,819990062.0000,3,9.345700,1,1.994300,2.618979,18.938583,5.967213,6.128364,0,1.9943019943019946
2010-10-12,sh.601818,3.5500,3.6000,3.5200,3.5800,3.5800,95254004,338644664.0000,3,3.887919,1,0.000000,2.618979,18.938583,5.967213,6.128364,0,0.0
2010-10-13,sh.601818,3.5800,3.8300,3.5600,3.8100,3.5800,211192122,775915648.0000,3,8.620087,1,6.424600,2.787238,20.155308,6.350581,6.522086,0,6.424581005586583
2010-10-14,sh.601818,3.9000,4.1900,3.9000,4.1900,3.8100,443020203,1814547056.0000,3,18.082457,1,9.973800,3.065230,22.165548,6.983973,7.172582,0,9.973753280839915
2010-10-15,sh.601818,4.1800,4.6100,4.1400,4.5700,4.1900,432610573,1867694364.0000,3,17.657574,1,9.069200,3.343222,24.175789,7.617364,7.823079,0,9.069212410501182
2010-10-18,sh.601818,4.8500,4.8700,4.4700,4.5100,4.5700,285961413,1324583665.0000,3,11.671894,1,-1.312900,3.299328,23.858383,7.517355,7.720369,0,-1.3129102844639085
2010-10-19,sh.601818,4.5100,4.6700,4.3700,4.5600,4.5100,200635191,903405760.0000,3,8.189191,1,1.108600,3.335906,24.122888,7.600696,7.805961,0,1.1086474501108556
2010-10-20,sh.601818,4.5600,4.9000,4.5600,4.7000,4.5600,269053814,1268528515.0000,3,10.981788,1,3.070200,3.438325,24.863503,7.834051,8.045618,0,3.070175438596512
2010-10-21,sh.601818,4.6000,4.6600,4.3900,4.4700,4.7000,201710990,904309477.0000,3,8.233102,1,-4.893600,3.270066,23.646778,7.450682,7.651896,0,-4.893617021276608
2010-10-22,sh.601818,4.4700,4.4700,4.4700,4.4700,4.4700,0,0.0000,3,,0,0.000000,3.270066,23.646778,7.450682,7.651896,0,0.0
2010-10-25,sh.601818,4.4000,4.5500,4.2700,4.5200,4.4700,209047630,922776224.0000,3,8.532556,1,1.118600,3.306644,23.911284,7.534023,7.737488,0,1.118568232662187
2010-10-26,sh.601818,4.4700,4.5200,4.3400,4.4300,4.5200,148252085,657620158.0000,3,6.051106,1,-1.991200,3.240804,23.435174,7.384009,7.583423,0,-1.9911504424778736
2010-10-27,sh.601818,4.3800,4.5900,4.3400,4.4400,4.4300,143701304,645692738.0000,3,5.865359,1,0.225700,3.248119,23.488075,7.400678,7.600541,0,0.22573363431153126
2010-10-28,sh.601818,4.4200,4.4700,4.2900,4.4000,4.4400,104649544,458510764.0000,3,4.271410,1,-0.900900,2.227869,15.037532,5.443220,-5.184959,0,-0.9009009009009028
2010-10-29,sh.601818,4.4200,4.4200,4.2700,4.3200,4.4000,94745790,409174308.0000,3,3.867175,1,-1.818200,2.187362,14.764123,5.344252,-5.090687,0,-1.8181818181818188
2010-11-01,sh.601818,4.3000,4.3900,4.2800,4.3700,4.3200,112152865,487013782.0000,3,4.577668,1,1.157400,2.212679,14.935004,5.406107,-5.149607,0,1.157407407407396
2010-11-02,sh.601818,4.3500,4.6500,4.2600,4.5000,4.3700,197363675,883307209.0000,3,8.055660,1,2.974800,2.278502,15.379295,5.566929,-5.302799,0,2.9748283752860427
2010-11-03,sh.601818,4.4500,4.9500,4.3600,4.9000,4.5000,345933032,1642458823.0000,3,14.119716,1,8.888900,2.481036,16.746343,6.061767,-5.774159,0,8.888888888888902
2010-11-04,sh.601818,4.8000,4.9300,4.7300,4.8200,4.9000,204347857,987439100.0000,3,8.340729,1,-1.632700,2.440529,16.472933,5.962800,-5.679887,0,-1.6326530612244872
2010-11-05,sh.601818,4.8300,5.0400,4.8100,4.8900,4.8200,182787527,894720528.0000,3,7.460715,1,1.452300,2.475972,16.712167,6.049396,-5.762375,0,1.4522821576763434
2010-11-08,sh.601818,4.9000,5.0300,4.8400,4.8900,4.8900,135624068,666579224.0000,3,5.535676,1,0.000000,2.475972,16.712167,6.049396,-5.762375,0,0.0
2010-11-09,sh.601818,4.8900,4.8900,4.6700,4.7500,4.8900,149240412,710082997.0000,3,6.091445,1,-2.863000,2.405085,16.233700,5.876203,-5.597399,0,-2.862985685071573
2010-11-10,sh.601818,4.7200,4.7300,4.6000,4.6600,4.7500,96026453,447227389.0000,3,3.919447,1,-1.894700,2.359515,15.926114,5.764864,-5.491343,0,-1.8947368421052602
2010-11-11,sh.601818,4.6600,4.8000,4.6300,4.7300,4.6600,172709575,816783570.0000,3,7.049370,1,1.502100,2.394959,16.165347,5.851461,-5.573831,0,1.5021459227467782
2010-11-12,sh.601818,4.6600,4.6700,4.2600,4.3300,4.7300,200965504,899743534.0000,3,8.202674,1,-8.456700,2.192425,14.798299,5.356623,-5.102471,0,-8.456659619450324
2010-11-15,sh.601818,4.3300,4.3700,4.0700,4.3300,4.3300,154761630,651181129.0000,3,6.316801,1,0.000000,2.192425,14.798299,5.356623,-5.102471,0,0.0
