date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-05-15,sh.601952,11.1800,13.4200,11.1800,13.4200,9.3200,100074,1337841.0000,3,0.038490,1,43.991420,5.283268,26.839464,3.348770,77.212769,0,
2017-05-16,sh.601952,14.7600,14.7600,14.7600,14.7600,13.4200,58989,870678.0000,3,0.022688,1,9.985098,5.810807,29.519410,3.683148,84.922539,0,9.985096870342769
2017-05-17,sh.601952,16.2400,16.2400,16.2400,16.2400,14.7600,58430,948903.0000,3,0.022473,1,10.027100,6.393462,32.479351,4.052460,93.437807,0,10.027100271002709
2017-05-18,sh.601952,17.8600,17.8600,17.8600,17.8600,16.2400,233200,4164952.0000,3,0.089692,1,9.975374,7.031234,35.719286,4.456708,102.758573,0,9.975369458128093
2017-05-19,sh.601952,19.6500,19.6500,18.4000,18.4300,17.8600,111511896,2108598080.0000,3,42.889191,1,3.191488,7.255635,36.859264,4.598944,106.038102,0,3.1914893617021267
2017-05-22,sh.601952,16.9000,17.4900,16.5900,16.5900,18.4300,65131659,1099175264.0000,3,25.050638,1,-9.983723,6.531252,33.179337,4.139798,95.451553,0,-9.983722192078137
2017-05-23,sh.601952,16.0500,16.5800,15.6300,15.9100,16.5900,46839275,752417536.0000,3,18.015106,1,-4.098856,6.263546,31.819364,3.970114,91.539132,0,-4.098854731766122
2017-05-24,sh.601952,16.0500,16.5800,15.9000,16.2900,15.9100,36620455,594178400.0000,3,14.084790,1,2.388442,6.413147,32.579349,4.064937,93.725485,0,2.3884349465744803
2017-05-25,sh.601952,16.1400,16.1800,15.1500,15.5000,16.2900,45425145,705719792.0000,3,17.471210,1,-4.849607,6.102135,30.999381,3.867804,89.180173,0,-4.849600982197666
2017-05-26,sh.601952,15.4100,16.4700,15.2300,15.9000,15.5000,47316138,747653216.0000,3,18.198515,1,2.580643,6.259609,31.799365,3.967618,91.481597,0,2.580645161290329
2017-05-31,sh.601952,16.5900,17.3300,16.0700,16.0900,15.9000,48685724,809093200.0000,3,18.725278,1,1.194972,6.334409,32.179357,4.015030,92.574773,0,1.1949685534591081
2017-06-01,sh.601952,15.6000,15.7500,14.8700,14.9200,16.0900,37473904,572748448.0000,3,14.413040,1,-7.271597,5.873797,29.839404,3.723073,85.843108,0,-7.271597265382224
2017-06-02,sh.601952,14.7700,15.2700,14.5400,15.1200,14.9200,22549203,337218528.0000,3,8.672770,1,1.340481,5.952534,30.239396,3.772980,86.993820,0,1.3404825737265424
2017-06-05,sh.601952,15.3500,15.4000,14.9900,15.0400,15.1200,22693889,344640832.0000,3,8.728419,1,-0.529100,5.921039,30.079399,3.753018,86.533535,0,-0.5291005291005346
2017-06-06,sh.601952,14.7400,14.9600,14.7400,14.8900,15.0400,16095414,238659855.0000,3,6.190544,1,-0.997338,5.861986,29.779405,3.715587,85.670501,0,-0.9973404255319007
2017-06-07,sh.601952,14.9300,15.3700,14.8400,15.3400,14.8900,27577217,419626800.0000,3,10.606622,1,3.022161,6.039145,30.679387,3.827878,88.259603,0,3.0221625251846795
2017-06-08,sh.601952,15.2800,15.3500,14.9200,14.9800,15.3400,26445021,399587120.0000,3,10.171162,1,-2.346810,5.897418,29.959401,3.738045,86.188322,0,-2.346805736636237
2017-06-09,sh.601952,14.9900,15.0600,14.7600,14.8900,14.9800,15280310,227249198.0000,3,5.877042,1,-0.600796,5.861986,29.779405,3.715587,85.670501,0,-0.6008010680907838
2017-06-12,sh.601952,14.7000,14.7500,14.2500,14.2700,14.8900,19529596,283608256.0000,3,7.511383,1,-4.163867,5.617901,28.539430,3.560875,82.103294,0,-4.163868368032242
2017-06-13,sh.601952,14.3200,14.6100,14.2800,14.5000,14.2700,12032731,173767206.0000,3,4.627973,1,1.611770,5.708448,28.999421,3.618268,83.426613,0,1.6117729502452827
2017-06-14,sh.601952,14.4200,14.4700,14.2000,14.2200,14.5000,13064012,186691154.0000,3,5.024620,1,-1.931033,5.598216,28.439432,3.548398,81.815617,0,-1.93103448275862
2017-06-15,sh.601952,14.2000,14.5400,14.1900,14.4500,14.2200,16191021,233625349.0000,3,6.227316,1,1.617437,5.688764,28.899423,3.605791,83.138935,0,1.6174402250351605
2017-06-16,sh.601952,14.4800,14.4800,14.2700,14.3000,14.4500,10298516,147595471.0000,3,3.960968,1,-1.038060,5.629711,28.599429,3.568361,82.275901,0,-1.038062283737018
2017-06-19,sh.601952,14.3500,14.3800,14.2800,14.3700,14.3000,7969019,114176038.0000,3,3.065007,1,0.489508,5.657269,28.739426,3.585829,82.678650,0,0.4895104895104696
2017-06-20,sh.601952,14.4000,14.7300,14.3300,14.5100,14.3700,17873962,259834877.0000,3,6.874601,1,0.974254,5.712385,29.019420,3.620764,83.484149,0,0.9742519137091232
